gene	patient	cohort	quartile	tacstd2_published	log2_tmm_cpm
BAIAP2	P1089	GSE205335	Q4	10.52702642	5.998586364
BAIAP2	P1090	GSE205335	Q4	10.16882909	7.735832776
BAIAP2	P1115	GSE205335	Q1	3.372326812	3.658138599
BAIAP2	P1119	GSE205335	Q1	7.974355364	5.25213923
BAIAP2	TD3	GSE189357	Q1	8.359015002	6.002020376
BAIAP2	TD6	GSE189357	Q4	9.841796273	5.87368025
BAIAP2	TD7	GSE189357	Q1	8.334090037	5.720512169
BAIAP2	TD8	GSE189357	Q1	8.044177107	6.015590718
BAIAP2	TD9	GSE189357	Q4	9.761939943	6.792332978
CDH1	LX653	GSE123902	Q4	9.475294191	7.199581584
CDH1	LX666	GSE123902	Q1	3.354142834	5.784864633
CDH1	LX676	GSE123902	Q4	9.381532945	5.609964838
CDH1	LX680	GSE123902	Q1	4.821694624	5.637151398
CDH1	LX682	GSE123902	Q4	9.017035397	5.698096234
CDH1	LX684	GSE123902	Q1	7.16017478	6.580246812
CDH1	LX701	GSE123902	Q1	7.050510406	6.447403596
CDH1	BRONCHO_11	GSE131907	Q1	7.468552184	7.383190848
CDH1	BRONCHO_58	GSE131907	Q4	9.430223317	7.475064711
CDH1	EBUS_06	GSE131907	Q4	9.593080712	7.928079591
CDH1	EBUS_12	GSE131907	Q4	10.49190081	7.628374896
CDH1	EBUS_13	GSE131907	Q1	0	1.13495551
CDH1	EBUS_15	GSE131907	Q4	9.21259347	7.750374863
CDH1	NS_02	GSE131907	Q1	1.431513864	5.896192223
CDH1	NS_03	GSE131907	Q1	7.399143925	8.051539215
CDH1	NS_04	GSE131907	Q1	7.341023159	7.018935264
CDH1	NS_06	GSE131907	Q4	9.541441248	5.774234465
CDH1	NS_16	GSE131907	Q1	3.918084256	6.42124035
CDH1	P1016	GSE205335	Q1	5.931553687	4.416712913
CDH1	P1025	GSE205335	Q1	5.194059377	6.593015372
CDH1	P1027	GSE205335	Q4	9.910986996	7.380757412
CDH1	P1030	GSE205335	Q4	9.884019071	7.09459107
CDH1	P1037	GSE205335	Q1	8.122009045	6.712691501
CDH1	P1056	GSE205335	Q4	10.57352107	6.621469028
CDH1	P1063	GSE205335	Q1	7.211340713	4.329524496
CDH1	P1089	GSE205335	Q4	10.52702642	7.784703546
CDH1	P1090	GSE205335	Q4	10.16882909	6.095590466
CDH1	P1115	GSE205335	Q1	3.372326812	5.564664294
CDH1	P1119	GSE205335	Q1	7.974355364	5.793365676
CDH1	TD3	GSE189357	Q1	8.359015002	6.523036987
CDH1	TD6	GSE189357	Q4	9.841796273	6.602540599
CDH1	TD7	GSE189357	Q1	8.334090037	5.333705063
CDH1	TD8	GSE189357	Q1	8.044177107	6.206829341
CDH1	TD9	GSE189357	Q4	9.761939943	7.154881447
CDH3	LX653	GSE123902	Q4	9.475294191	3.225949382
CDH3	LX666	GSE123902	Q1	3.354142834	1.060316585
CDH3	LX676	GSE123902	Q4	9.381532945	2.728601882
CDH3	LX680	GSE123902	Q1	4.821694624	0.5432004664
CDH3	LX682	GSE123902	Q4	9.017035397	6.426590946
CDH3	LX684	GSE123902	Q1	7.16017478	3.478325456
CDH3	LX701	GSE123902	Q1	7.050510406	3.558717291
CDH3	BRONCHO_11	GSE131907	Q1	7.468552184	4.853879689
CDH3	BRONCHO_58	GSE131907	Q4	9.430223317	5.889516311
CDH3	EBUS_06	GSE131907	Q4	9.593080712	2.829531682
CDH3	EBUS_12	GSE131907	Q4	10.49190081	5.600065187
CDH3	EBUS_13	GSE131907	Q1	0	0.6263830218
CDH3	EBUS_15	GSE131907	Q4	9.21259347	7.216191057
CDH3	NS_02	GSE131907	Q1	1.431513864	0.8864705577
CDH3	NS_03	GSE131907	Q1	7.399143925	6.837679901
CDH3	NS_04	GSE131907	Q1	7.341023159	2.829734179
CDH3	NS_06	GSE131907	Q4	9.541441248	5.426100559
CDH3	NS_16	GSE131907	Q1	3.918084256	3.918084256
CDH3	P1016	GSE205335	Q1	5.931553687	1.718481329
CDH3	P1025	GSE205335	Q1	5.194059377	1.766288588
CDH3	P1027	GSE205335	Q4	9.910986996	5.926170961
CDH3	P1030	GSE205335	Q4	9.884019071	6.115900225
CDH3	P1037	GSE205335	Q1	8.122009045	3.093797406
CDH3	P1056	GSE205335	Q4	10.57352107	4.553170267
CDH3	P1063	GSE205335	Q1	7.211340713	2.407484428
CDH3	P1089	GSE205335	Q4	10.52702642	0.3990835435
CDH3	P1090	GSE205335	Q4	10.16882909	6.34594031
CDH3	P1115	GSE205335	Q1	3.372326812	1.229283076
CDH3	P1119	GSE205335	Q1	7.974355364	0.5762761652
CDH3	TD3	GSE189357	Q1	8.359015002	2.748909455
CDH3	TD6	GSE189357	Q4	9.841796273	2.852219437
CDH3	TD7	GSE189357	Q1	8.334090037	2.06651829
CDH3	TD8	GSE189357	Q1	8.044177107	2.574546888
CDH3	TD9	GSE189357	Q4	9.761939943	2.481437941
CLDN1	LX653	GSE123902	Q4	9.475294191	5.833822515
CLDN1	LX666	GSE123902	Q1	3.354142834	1.060316585
CLDN1	LX676	GSE123902	Q4	9.381532945	5.464308727
CLDN1	LX680	GSE123902	Q1	4.821694624	4.749968064
CLDN1	LX682	GSE123902	Q4	9.017035397	4.499215335
CLDN1	LX684	GSE123902	Q1	7.16017478	5.167675397
CLDN1	LX701	GSE123902	Q1	7.050510406	4.008732571
CLDN1	BRONCHO_11	GSE131907	Q1	7.468552184	4.362362171
CLDN1	BRONCHO_58	GSE131907	Q4	9.430223317	6.388191181
CLDN1	EBUS_06	GSE131907	Q4	9.593080712	0.8534162553
CLDN1	EBUS_12	GSE131907	Q4	10.49190081	7.041842959
CLDN1	EBUS_13	GSE131907	Q1	0	0.2838933119
CLDN1	EBUS_15	GSE131907	Q4	9.21259347	4.347901203
CLDN1	NS_02	GSE131907	Q1	1.431513864	1.431513864
CLDN1	NS_03	GSE131907	Q1	7.399143925	5.158633867
CLDN1	NS_04	GSE131907	Q1	7.341023159	5.441100669
CLDN1	NS_06	GSE131907	Q4	9.541441248	0
CLDN1	NS_16	GSE131907	Q1	3.918084256	5.329605559
CLDN1	P1016	GSE205335	Q1	5.931553687	1.290440825
CLDN1	P1025	GSE205335	Q1	5.194059377	3.865121695
CLDN1	P1027	GSE205335	Q4	9.910986996	6.961244453
CLDN1	P1030	GSE205335	Q4	9.884019071	5.701524834
CLDN1	P1037	GSE205335	Q1	8.122009045	3.92726975
CLDN1	P1056	GSE205335	Q4	10.57352107	8.301476791
CLDN1	P1063	GSE205335	Q1	7.211340713	4.187604411
CLDN1	P1089	GSE205335	Q4	10.52702642	4.236149586
CLDN1	P1090	GSE205335	Q4	10.16882909	10.1550325
CLDN1	P1115	GSE205335	Q1	3.372326812	2.197030428
CLDN1	P1119	GSE205335	Q1	7.974355364	3.199006839
CLDN1	TD3	GSE189357	Q1	8.359015002	4.998103591
CLDN1	TD6	GSE189357	Q4	9.841796273	3.270878758
CLDN1	TD7	GSE189357	Q1	8.334090037	4.785178091
CLDN1	TD8	GSE189357	Q1	8.044177107	3.756598235
CLDN1	TD9	GSE189357	Q4	9.761939943	5.503991655
CLDN23	LX653	GSE123902	Q4	9.475294191	3.83510415
CLDN23	LX666	GSE123902	Q1	3.354142834	0.4213542938
CLDN23	LX676	GSE123902	Q4	9.381532945	3.615446884
CLDN23	LX680	GSE123902	Q1	4.821694624	3.406160195
CLDN23	LX682	GSE123902	Q4	9.017035397	3.67448647
CLDN23	LX684	GSE123902	Q1	7.16017478	3.744102038
CLDN23	LX701	GSE123902	Q1	7.050510406	1.658432894
CLDN23	BRONCHO_11	GSE131907	Q1	7.468552184	2.371448934
CLDN23	BRONCHO_58	GSE131907	Q4	9.430223317	4.070460774
CLDN23	EBUS_06	GSE131907	Q4	9.593080712	4.351925703
CLDN23	EBUS_12	GSE131907	Q4	10.49190081	3.275563143
CLDN23	EBUS_13	GSE131907	Q1	0	0.816530847
CLDN23	EBUS_15	GSE131907	Q4	9.21259347	4.114861738
CLDN23	NS_02	GSE131907	Q1	1.431513864	3.179854345
CLDN23	NS_03	GSE131907	Q1	7.399143925	2.187384822
CLDN23	NS_04	GSE131907	Q1	7.341023159	2.532942194
CLDN23	NS_06	GSE131907	Q4	9.541441248	1.795060542
CLDN23	NS_16	GSE131907	Q1	3.918084256	3.484846063
CLDN23	P1016	GSE205335	Q1	5.931553687	2.330380834
CLDN23	P1025	GSE205335	Q1	5.194059377	2.355391856
CLDN23	P1027	GSE205335	Q4	9.910986996	4.511260501
CLDN23	P1030	GSE205335	Q4	9.884019071	4.312163771
CLDN23	P1037	GSE205335	Q1	8.122009045	1.350809302
CLDN23	P1056	GSE205335	Q4	10.57352107	2.772739859
CLDN23	P1063	GSE205335	Q1	7.211340713	2.611824517
CLDN23	P1089	GSE205335	Q4	10.52702642	3.103492219
CLDN23	P1090	GSE205335	Q4	10.16882909	2.514041347
CLDN23	P1115	GSE205335	Q1	3.372326812	1.632635056
CLDN23	P1119	GSE205335	Q1	7.974355364	3.941259053
CLDN23	TD3	GSE189357	Q1	8.359015002	2.898341713
CLDN23	TD6	GSE189357	Q4	9.841796273	4.130774729
CLDN23	TD7	GSE189357	Q1	8.334090037	3.448972567
CLDN23	TD8	GSE189357	Q1	8.044177107	3.858715627
CLDN23	TD9	GSE189357	Q4	9.761939943	3.312194604
CLDN3	LX653	GSE123902	Q4	9.475294191	7.839706619
CLDN3	LX666	GSE123902	Q1	3.354142834	4.551761272
CLDN3	LX676	GSE123902	Q4	9.381532945	7.462788936
CLDN3	LX680	GSE123902	Q1	4.821694624	8.780076186
CLDN3	LX682	GSE123902	Q4	9.017035397	6.414455957
CLDN3	LX684	GSE123902	Q1	7.16017478	7.311168856
CLDN3	LX701	GSE123902	Q1	7.050510406	6.173372051
CLDN3	BRONCHO_11	GSE131907	Q1	7.468552184	7.723120021
CLDN3	BRONCHO_58	GSE131907	Q4	9.430223317	5.3763668
CLDN3	EBUS_06	GSE131907	Q4	9.593080712	9.401701491
CLDN3	EBUS_12	GSE131907	Q4	10.49190081	8.725310679
CLDN3	EBUS_13	GSE131907	Q1	0	3.106291257
CLDN3	EBUS_15	GSE131907	Q4	9.21259347	7.639370789
CLDN3	NS_02	GSE131907	Q1	1.431513864	5.073518147
CLDN3	NS_03	GSE131907	Q1	7.399143925	8.787055674
CLDN3	NS_04	GSE131907	Q1	7.341023159	8.142645666
CLDN3	NS_06	GSE131907	Q4	9.541441248	6.90919698
CLDN3	NS_16	GSE131907	Q1	3.918084256	5.30119119
CLDN3	P1016	GSE205335	Q1	5.931553687	6.405241593
CLDN3	P1025	GSE205335	Q1	5.194059377	9.375132764
CLDN3	P1027	GSE205335	Q4	9.910986996	7.952807971
CLDN3	P1030	GSE205335	Q4	9.884019071	10.50747724
CLDN3	P1037	GSE205335	Q1	8.122009045	5.07612583
CLDN3	P1056	GSE205335	Q4	10.57352107	2.714288292
CLDN3	P1063	GSE205335	Q1	7.211340713	6.121402031
CLDN3	P1089	GSE205335	Q4	10.52702642	9.37271414
CLDN3	P1090	GSE205335	Q4	10.16882909	4.597381275
CLDN3	P1115	GSE205335	Q1	3.372326812	9.314657074
CLDN3	P1119	GSE205335	Q1	7.974355364	5.964775291
CLDN3	TD3	GSE189357	Q1	8.359015002	6.137476032
CLDN3	TD6	GSE189357	Q4	9.841796273	6.818094608
CLDN3	TD7	GSE189357	Q1	8.334090037	6.721372618
CLDN3	TD8	GSE189357	Q1	8.044177107	6.085707672
CLDN3	TD9	GSE189357	Q4	9.761939943	7.737104746
CLDN4	LX653	GSE123902	Q4	9.475294191	8.870283911
CLDN4	LX666	GSE123902	Q1	3.354142834	7.328117215
CLDN4	LX676	GSE123902	Q4	9.381532945	9.03972
CLDN4	LX680	GSE123902	Q1	4.821694624	9.212073299
CLDN4	LX682	GSE123902	Q4	9.017035397	8.783808501
CLDN4	LX684	GSE123902	Q1	7.16017478	7.745564969
CLDN4	LX701	GSE123902	Q1	7.050510406	5.532673007
CLDN4	BRONCHO_11	GSE131907	Q1	7.468552184	9.020071358
CLDN4	BRONCHO_58	GSE131907	Q4	9.430223317	8.567246387
CLDN4	EBUS_06	GSE131907	Q4	9.593080712	8.833320002
CLDN4	EBUS_12	GSE131907	Q4	10.49190081	8.734336691
CLDN4	EBUS_13	GSE131907	Q1	0	0.1489184786
CLDN4	EBUS_15	GSE131907	Q4	9.21259347	9.149370727
CLDN4	NS_02	GSE131907	Q1	1.431513864	8.500243288
CLDN4	NS_03	GSE131907	Q1	7.399143925	9.956621074
CLDN4	NS_04	GSE131907	Q1	7.341023159	8.785758206
CLDN4	NS_06	GSE131907	Q4	9.541441248	9.477887927
CLDN4	NS_16	GSE131907	Q1	3.918084256	3.582527213
CLDN4	P1016	GSE205335	Q1	5.931553687	8.607321941
CLDN4	P1025	GSE205335	Q1	5.194059377	9.126048794
CLDN4	P1027	GSE205335	Q4	9.910986996	10.53257892
CLDN4	P1030	GSE205335	Q4	9.884019071	10.28379807
CLDN4	P1037	GSE205335	Q1	8.122009045	8.951728206
CLDN4	P1056	GSE205335	Q4	10.57352107	9.195171223
CLDN4	P1063	GSE205335	Q1	7.211340713	7.206091835
CLDN4	P1089	GSE205335	Q4	10.52702642	10.27258487
CLDN4	P1090	GSE205335	Q4	10.16882909	8.963460225
CLDN4	P1115	GSE205335	Q1	3.372326812	8.747000809
CLDN4	P1119	GSE205335	Q1	7.974355364	8.568952961
CLDN4	TD3	GSE189357	Q1	8.359015002	7.767207645
CLDN4	TD6	GSE189357	Q4	9.841796273	8.671728583
CLDN4	TD7	GSE189357	Q1	8.334090037	8.819144622
CLDN4	TD8	GSE189357	Q1	8.044177107	8.005045091
CLDN4	TD9	GSE189357	Q4	9.761939943	9.994882885
CLDN7	LX653	GSE123902	Q4	9.475294191	7.155494146
CLDN7	LX666	GSE123902	Q1	3.354142834	6.070576833
CLDN7	LX676	GSE123902	Q4	9.381532945	7.530228748
CLDN7	LX680	GSE123902	Q1	4.821694624	7.825643065
CLDN7	LX682	GSE123902	Q4	9.017035397	8.033767325
CLDN7	LX684	GSE123902	Q1	7.16017478	7.290541946
CLDN7	LX701	GSE123902	Q1	7.050510406	7.421071951
CLDN7	BRONCHO_11	GSE131907	Q1	7.468552184	8.062812633
CLDN7	BRONCHO_58	GSE131907	Q4	9.430223317	6.853257018
CLDN7	EBUS_06	GSE131907	Q4	9.593080712	8.216136074
CLDN7	EBUS_12	GSE131907	Q4	10.49190081	8.916484186
CLDN7	EBUS_13	GSE131907	Q1	0	4.451388795
CLDN7	EBUS_15	GSE131907	Q4	9.21259347	7.040098134
CLDN7	NS_02	GSE131907	Q1	1.431513864	6.466149817
CLDN7	NS_03	GSE131907	Q1	7.399143925	8.984576282
CLDN7	NS_04	GSE131907	Q1	7.341023159	8.627030441
CLDN7	NS_06	GSE131907	Q4	9.541441248	8.854700641
CLDN7	NS_16	GSE131907	Q1	3.918084256	9.13177417
CLDN7	P1016	GSE205335	Q1	5.931553687	4.266482741
CLDN7	P1025	GSE205335	Q1	5.194059377	7.540147025
CLDN7	P1027	GSE205335	Q4	9.910986996	8.160823082
CLDN7	P1030	GSE205335	Q4	9.884019071	8.158788421
CLDN7	P1037	GSE205335	Q1	8.122009045	6.511491607
CLDN7	P1056	GSE205335	Q4	10.57352107	7.454035932
CLDN7	P1063	GSE205335	Q1	7.211340713	6.223642977
CLDN7	P1089	GSE205335	Q4	10.52702642	7.411653918
CLDN7	P1090	GSE205335	Q4	10.16882909	7.347518351
CLDN7	P1115	GSE205335	Q1	3.372326812	5.36341898
CLDN7	P1119	GSE205335	Q1	7.974355364	9.195715971
CLDN7	TD3	GSE189357	Q1	8.359015002	6.076051393
CLDN7	TD6	GSE189357	Q4	9.841796273	7.75264052
CLDN7	TD7	GSE189357	Q1	8.334090037	7.083595571
CLDN7	TD8	GSE189357	Q1	8.044177107	6.910923192
CLDN7	TD9	GSE189357	Q4	9.761939943	7.348473721
CTNND1	LX653	GSE123902	Q4	9.475294191	6.410328921
CTNND1	LX666	GSE123902	Q1	3.354142834	5.503516627
CTNND1	LX676	GSE123902	Q4	9.381532945	5.63741103
CTNND1	LX680	GSE123902	Q1	4.821694624	5.78802235
CTNND1	LX682	GSE123902	Q4	9.017035397	5.265519292
CTNND1	LX684	GSE123902	Q1	7.16017478	6.064851331
CTNND1	LX701	GSE123902	Q1	7.050510406	6.037866105
CTNND1	BRONCHO_11	GSE131907	Q1	7.468552184	6.915986916
CTNND1	BRONCHO_58	GSE131907	Q4	9.430223317	6.61480917
CTNND1	EBUS_06	GSE131907	Q4	9.593080712	7.656990823
CTNND1	EBUS_12	GSE131907	Q4	10.49190081	6.478412401
CTNND1	EBUS_13	GSE131907	Q1	0	4.601098048
CTNND1	EBUS_15	GSE131907	Q4	9.21259347	6.62316407
CTNND1	NS_02	GSE131907	Q1	1.431513864	5.195474243
CTNND1	NS_03	GSE131907	Q1	7.399143925	6.072209209
CTNND1	NS_04	GSE131907	Q1	7.341023159	6.207198753
CTNND1	NS_06	GSE131907	Q4	9.541441248	6.366670384
CTNND1	NS_16	GSE131907	Q1	3.918084256	5.65560726
CTNND1	P1016	GSE205335	Q1	5.931553687	4.030845202
CTNND1	P1025	GSE205335	Q1	5.194059377	5.131105288
CTNND1	P1027	GSE205335	Q4	9.910986996	6.599031554
CTNND1	P1030	GSE205335	Q4	9.884019071	6.166086978
CTNND1	P1037	GSE205335	Q1	8.122009045	6.652197798
CTNND1	P1056	GSE205335	Q4	10.57352107	6.817579687
CTNND1	P1063	GSE205335	Q1	7.211340713	4.229597335
CTNND1	P1089	GSE205335	Q4	10.52702642	6.130213482
CTNND1	P1090	GSE205335	Q4	10.16882909	6.517144227
CTNND1	P1115	GSE205335	Q1	3.372326812	4.982559624
CTNND1	P1119	GSE205335	Q1	7.974355364	5.00801313
CTNND1	TD3	GSE189357	Q1	8.359015002	6.712566995
CTNND1	TD6	GSE189357	Q4	9.841796273	5.538488998
CTNND1	TD7	GSE189357	Q1	8.334090037	4.892328412
CTNND1	TD8	GSE189357	Q1	8.044177107	5.814262041
CTNND1	TD9	GSE189357	Q4	9.761939943	6.399507572
EPHA2	LX653	GSE123902	Q4	9.475294191	6.537918854
EPHA2	LX666	GSE123902	Q1	3.354142834	4.526504928
EPHA2	LX676	GSE123902	Q4	9.381532945	5.88648534
EPHA2	LX680	GSE123902	Q1	4.821694624	1.575896482
EPHA2	LX682	GSE123902	Q4	9.017035397	4.499215335
EPHA2	LX684	GSE123902	Q1	7.16017478	5.397242831
EPHA2	LX701	GSE123902	Q1	7.050510406	2.901147504
EPHA2	BRONCHO_11	GSE131907	Q1	7.468552184	5.288848619
EPHA2	BRONCHO_58	GSE131907	Q4	9.430223317	5.805147119
EPHA2	EBUS_06	GSE131907	Q4	9.593080712	3.470494968
EPHA2	EBUS_12	GSE131907	Q4	10.49190081	5.108900307
EPHA2	EBUS_13	GSE131907	Q1	0	3.012205616
EPHA2	EBUS_15	GSE131907	Q4	9.21259347	5.759001964
EPHA2	NS_02	GSE131907	Q1	1.431513864	2.502728795
EPHA2	NS_03	GSE131907	Q1	7.399143925	4.988089934
EPHA2	NS_04	GSE131907	Q1	7.341023159	4.135669349
EPHA2	NS_06	GSE131907	Q4	9.541441248	4.287417093
EPHA2	NS_16	GSE131907	Q1	3.918084256	6.029232628
EPHA2	P1016	GSE205335	Q1	5.931553687	1.857571756
EPHA2	P1025	GSE205335	Q1	5.194059377	1.150527342
EPHA2	P1027	GSE205335	Q4	9.910986996	6.002711844
EPHA2	P1030	GSE205335	Q4	9.884019071	4.891675869
EPHA2	P1037	GSE205335	Q1	8.122009045	1.249911365
EPHA2	P1056	GSE205335	Q4	10.57352107	6.242449367
EPHA2	P1063	GSE205335	Q1	7.211340713	3.417830848
EPHA2	P1089	GSE205335	Q4	10.52702642	5.946111321
EPHA2	P1090	GSE205335	Q4	10.16882909	5.225027605
EPHA2	P1115	GSE205335	Q1	3.372326812	1.40741811
EPHA2	P1119	GSE205335	Q1	7.974355364	6.438287499
EPHA2	TD3	GSE189357	Q1	8.359015002	5.263547264
EPHA2	TD6	GSE189357	Q4	9.841796273	5.913589708
EPHA2	TD7	GSE189357	Q1	8.334090037	5.346324671
EPHA2	TD8	GSE189357	Q1	8.044177107	5.811081283
EPHA2	TD9	GSE189357	Q4	9.761939943	6.562761829
ERBB2	LX653	GSE123902	Q4	9.475294191	5.894687096
ERBB2	LX666	GSE123902	Q1	3.354142834	3.255113809
ERBB2	LX676	GSE123902	Q4	9.381532945	5.464308727
ERBB2	LX680	GSE123902	Q1	4.821694624	5.66774945
ERBB2	LX682	GSE123902	Q4	9.017035397	4.46824298
ERBB2	LX684	GSE123902	Q1	7.16017478	5.842001868
ERBB2	LX701	GSE123902	Q1	7.050510406	3.801200734
ERBB2	BRONCHO_11	GSE131907	Q1	7.468552184	6.07193136
ERBB2	BRONCHO_58	GSE131907	Q4	9.430223317	5.631340961
ERBB2	EBUS_06	GSE131907	Q4	9.593080712	5.54884508
ERBB2	EBUS_12	GSE131907	Q4	10.49190081	5.518815889
ERBB2	EBUS_13	GSE131907	Q1	0	4.548438238
ERBB2	EBUS_15	GSE131907	Q4	9.21259347	6.067447416
ERBB2	NS_02	GSE131907	Q1	1.431513864	5.562282626
ERBB2	NS_03	GSE131907	Q1	7.399143925	6.030935288
ERBB2	NS_04	GSE131907	Q1	7.341023159	5.01175102
ERBB2	NS_06	GSE131907	Q4	9.541441248	5.806431903
