sample	signature	CD8A	ImmuneScore	CLDN4	PURITY
A243	-0.11657535319356775	-1.6643	-0.919159432930885	0.6288	0.37
A182	-0.017292726502533246	1.12	1.2360222058876915	-0.4446	0.35
A255	0.22410451542265392	0.4687	0.31707523299903256	-0.0075	0.31
A169	0.19723443616310818	0.7913	0.5776874083318515	0.0177	0.54
A252	-0.15703721509290328	0.4187	0.6195747177556636	-1.9194	0.27
A239	-0.03253353898199538	0.535	-0.03373670261934126	-0.3572	0.14
A250	-0.07002797767609169	0.1753	0.0009751357369429114	0.5431	0.17
A240	-0.514090723675957	1.5049	1.1787731420939676	-0.846	0.29
A249	-0.43309544729017024	-1.5774	-1.2893349938530023	-0.2796	0.19
A322	0.012753174321473814	-1.8442	-1.7032465778119203	-0.2813	0.6
A306	-0.2664725727994425	0.7071	0.43324940332502815	1.2363	0.18
A323	0.4575487492720151	-0.0522	0.5522371719147471	0.9229	0.27
A307	0.30001718858247994	0.5699	0.2976998018250556	1.195	0.4
A380	-0.03568457255562912	-0.0532	0.02186324233937552	-0.1887	0.12
A315	0.018630198262752525	0.0195	-0.1918112368435969	-0.2668	0.2
A377	0.23488137025730293	-0.3419	-0.3546364754885868	0.0886	0.16
A375	0.37138903120991723	-0.6611	-0.9996349638585112	-0.4761	0.38
A425	-0.042748246212390956	0.2306	0.31411231146612095	0.7718	0.18
A316	0.16515981704949875	-0.2762	-0.15843648087539097	-0.1309	0.28
A379	0.17537853493139197	-0.1041	-0.2088732067518757	0.128	0.21
A483	-0.13521109717139826	1.1253	0.557386908258129	-0.0137	0.21
A486	-0.1560922308908536	0.8455	0.7576491814647823	-0.4049	0.13
A488	-0.44397531028267	0.8408	0.7945487384631675	0.5727	0.2
A490	-0.04425177425201813	-1.1138	-0.803834807623179	0.5774	0.4
A492	-0.25567164661552355	-0.3687	-0.11364959309542355	0.9407	0.21
A493	-0.620451452585346	0.9778	1.2600852758553485	-0.1951	0.24
A496	-0.7029197891219836	1.6239	1.128398916790985	-1.7998	0.13
A499	-0.6605778027569297	2.2886	1.834672163278971	-1.5436	0.12
A500	-1.0062199069358608	2.1237	1.940397161078118	-3.6276	0.3
A503	0.07511205416822574	-0.5494	-0.579410340241745	0.5172	0.44
A504	0.20079196683036246	-0.2414	0.41607451140783996	0.8542	0.36
A015	0.3110978504658118	1.1685	0.2986382190387633	0.9683	0.51
A062	0.058504682343151274	0.2847	0.2884124303202578	-0.1731	0.48
A037	-0.0348907570186951	-1.2179	-0.3803991233385944	-0.1862	0.31
A066	0.18435855826875763	-0.7831	-0.33968605537915786	0.819	0.5
A310	0.2668599972587736	-0.9798	-0.8169350912538363	0.6689	0.56
A320	0.05996891762925586	-0.1552	-0.11598664574996773	-0.1787	0.3
A426	0.07673347886523149	-0.3268	-0.4306357844281723	-0.0022	0.57
A381	0.5931769306683555	-1.0335	-1.0872713718473395	1.0378	0.67
A428	0.28087667971429353	-2.1618	-1.5600707998064631	0.3838	0.67
A430	0.09132674098355749	-0.892	-0.6578601857062932	0.1798	0.24
A432	-0.10955491288433866	0.299	0.862311268200533	0.2075	0.28
A434	-0.18266924404197185	0.8386	0.9194982833003733	0.7399	0.26
A508	-0.745083877386405	2.3362	1.7140476927987522	-1.3338	0.3
A509	-0.09262621984881973	0.8828	1.1113474200769569	0.5876	0.34
A063	0.062400822199342613	-1.4395	-1.1110233970545456	1.8218	0.78
A168	-0.2923901582447626	1.3862	0.12576343338437093	1.2527	0.46
A433	-0.032421994142015825	1.2113	1.4495222912895236	0.6065	0.24
A112	0.46903058529943276	-1.5273	-0.4968369420224036	0.0546	0.64
A111	0.47362685763437995	-0.2143	-0.7541597272735099	0.3341	0.76
A110	0.38241422768582	0.2588	0.4186737642659437	-0.7764	0.48
A124	-0.14768435534388857	-0.0678	0.012925033874310196	0.0156	0.29
A126	0.18961216637177997	-0.7919	-1.1889344336356995	0.3862	0.16
A511	-0.25160503885441904	0.6569	0.32562508274246743	-1.132	0.17
A512	0.3455843718094584	-0.7317	-1.549532874009341	-0.0866	0.73
A514	-0.24553480045170167	0.9557	0.7141116032980016	-0.0985	0.12
A517	-0.1834288866871425	1.0581	0.523725039050142	-1.0959	0.16
A510	-0.015512519284914435	-0.4022	-0.7321722746359104	1.101	0.28
A524	-0.41087297331502337	1.557	1.1314733941659714	-1.1489	0.14
A522	-0.25877159955612233	0.23	0.15476308106506853	-1.221	0.26
A521	-0.19731920031940386	0.7516	0.4100373317397923	-0.5658	0.18
A519	-0.07862267065873123	-0.2119	-0.48664866702546317	0.4444	0.37
A534	0.5872501447746865	0.0037	-0.24984843285038139	0.1685	0.84
A530	0.051450193006877934	0.0874	-0.17562370439949532	-0.5856	0.24
A532	-0.4141710887496003	1.3831	0.945311218078952	-1.8945	0.18
A538	-0.4321386622191354	1.0853	0.6083869845956823	-0.0441	0.12
A537	0.35164337362851456	0.7417	0.1730751239428752	-0.1626	0.42
