cohort	score	endpoint	n	n_genes_signature	n_genes_used	unadj_rho	unadj_p	unadj_ci_low	unadj_ci_high	partial_purity_rho	partial_purity_p	partial_purity_n	partial_CLDN4_rho	partial_CLDN4_p	partial_CLDN4_n	partial_purity_CLDN4_rho	partial_purity_CLDN4_p	partial_purity_CLDN4_n	partial_keratin_rho	partial_keratin_p	partial_keratin_n	role	partial_stromal_rho	partial_stromal_p	partial_stromal_n
OncoSG	top30	ImmuneScore	169	30	30	-0.5396648600268511	3.7028735222814566e-14	-0.6385995720955221	-0.42318041851395755	-0.4167969734071813	1.9113695342527227e-08	169.0	-0.38360751228647333	2.8555844335323676e-07	169	-0.3102581092217427	4.494667770662782e-05	169.0	-0.5493233319090127	1.806153439477473e-14	169	validation			
OncoSG	top30	IMSIG_T_cells	169	30	30	-0.5193625379145742	4.658634369691552e-13	-0.6215881974697425	-0.39974359999389975	-0.36620853300591344	1.0510434961629895e-06	169.0	-0.28795779072708094	0.00015371913483199458	169	-0.178619721091054	0.02091344322320202	169.0	-0.47550031000748394	9.556484699938225e-11	169	validation			
GSE273377 discovery	signature	CD8A	103	221	221	-0.38067258269999565	7.288132971015456e-05	-0.5347988643885505	-0.20203148311514055				-0.434635980402032	5.00640717765036e-06	103				-0.38115830304220033	9.137255104012972e-05	103	validation_stratum	-0.3502497036992651	0.00030765565492593363	103.0
GSE273377 discovery	signature	CD274	103	221	221	-0.3715239643280763	0.00011164205742487776	-0.5271472428047601	-0.19178872692967425				-0.42001633140463196	1.1092135365505585e-05	103				-0.3547796950492398	0.0002926164445532535	103	validation_stratum	-0.35101764296031995	0.00029778068912961507	103.0
GSE273377 discovery	signature	ImmuneScore	103	221	221	-0.3914576286078285	4.336263194290737e-05	-0.5437867967198724	-0.2141567757942427				-0.46419146020984203	8.916527092379444e-07	103				-0.40980283397992856	2.295539011752201e-05	103	validation_stratum	-0.36177287545016845	0.00018691837192484555	103.0
GSE273377 discovery	no_lung_marker	CD8A	103	220	220	-0.3783552255853798	8.129273714952903e-05	-0.532863086012931	-0.1994332784792984				-0.4326264416495418	5.597205424364767e-06	103				-0.3792990437025808	9.95130478529317e-05	103	validation_stratum	-0.3474424657213606	0.00034638015504394294	103.0
GSE273377 discovery	no_lung_marker	CD274	103	220	220	-0.3696349338839344	0.00012172775391494845	-0.5255641666212977	-0.18967864179055993				-0.4184296427060122	1.2065766023322155e-05	103				-0.3536637712937633	0.0003067166176245869	103	validation_stratum	-0.34895005499570386	0.0003250584526528604	103.0
GSE273377 discovery	no_lung_marker	ImmuneScore	103	220	220	-0.3884263937090893	5.026772718249822e-05	-0.5412641824688466	-0.2107433229747086				-0.46151431600341725	1.0495352897525243e-06	103				-0.40677072440365253	2.6731505723969245e-05	103	validation_stratum	-0.3581110817964461	0.00021943890335257614	103.0
GSE273377 discovery	top30	CD8A	103	30	30	-0.2532179413961253	0.009859380190393499	-0.42587315342764187	-0.06276921397030824				-0.35563657280459526	0.00024429609637680955	103				-0.2649556831980666	0.007720940553367247	103	validation_stratum	-0.2545547442896057	0.009826617185717501	103.0
GSE273377 discovery	top30	CD274	103	30	30	-0.20113781136054124	0.041621602220701714	-0.37987576361169584	-0.007921491641145329				-0.2855055354544207	0.0036290385258367966	103				-0.19663493384927863	0.04990052637476481	103	validation_stratum	-0.19592420815473321	0.04843614868599588	103.0
GSE273377 discovery	top30	ImmuneScore	103	30	30	-0.2689012871765584	0.0060230449069476775	-0.43955208707914567	-0.0795144788515922				-0.4049626710362995	2.4230228077935143e-05	103				-0.32392358611832217	0.0010103658462546601	103	validation_stratum	-0.2737203462399916	0.005373565521714333	103.0
GSE273377 validation	signature	CD8A	60	221	221	-0.41828285634898593	0.0008818196243394401	-0.6076659321920491	-0.18388948863748297				-0.30451704223340137	0.019027818886884137	60				-0.4276527555891456	0.0009062417238562369	60	validation_stratum	-0.4605555868017844	0.00024209636426059455	60.0
GSE273377 validation	signature	CD274	60	221	221	-0.41672686857460417	0.0009259453033217148	-0.6064759555471023	-0.18206811242485177				-0.43275024563810033	0.0006189596689356304	60				-0.3926361920284758	0.0025194396792385734	60	validation_stratum	-0.37728932784797775	0.003222096801362521	60.0
GSE273377 validation	signature	ImmuneScore	60	221	221	-0.4301194776326758	0.0006035506825255372	-0.6166905013143471	-0.1977978533294174				-0.38731982255802694	0.0024402177558431903	60				-0.43530065175423005	0.0007141375447156504	60	validation_stratum	-0.457183614257084	0.0002724563305386333	60.0
GSE273377 validation	no_lung_marker	CD8A	60	220	220	-0.4174492914698528	0.000905216501045645	-0.6070285504372124	-0.18291355116777003				-0.3025210533116978	0.019867051261087537	60				-0.4257483708578283	0.0009608019774546814	60	validation_stratum	-0.4596091261168507	0.00025028995612312523	60.0
GSE273377 validation	no_lung_marker	CD274	60	220	220	-0.4143373159210893	0.0009975961832070644	-0.6046468348227144	-0.17927413080323315				-0.43066981644601177	0.000661900831800356	60				-0.3899759562968099	0.002711044819522519	60	validation_stratum	-0.3746033533377923	0.0034660371440483908	60.0
GSE273377 validation	no_lung_marker	ImmuneScore	60	220	220	-0.42856348985829407	0.0006348955549362192	-0.6155069659573347	-0.19596416801031785				-0.385486148757507	0.0025690656719237893	60				-0.43329215734152626	0.0007606541301842807	60	validation_stratum	-0.4554428394155418	0.00028945295233002397	60.0
GSE273377 validation	top30	CD8A	60	30	30	-0.364934704084468	0.004145149902213507	-0.566375674418671	-0.1223474419161029				-0.19189527057899824	0.14539034357288264	60				-0.34376247493731665	0.008840288787217397	60	validation_stratum	-0.396165971826531	0.0018959795593650676	60.0
GSE273377 validation	top30	CD274	60	30	30	-0.32320088913587114	0.011774226505730578	-0.533353933159922	-0.07546990275131696				-0.35420781277876007	0.005916747317589774	60				-0.3147796640323591	0.01708583320451362	60	validation_stratum	-0.2743270497998498	0.035502281747948325	60.0
GSE273377 validation	top30	ImmuneScore	60	30	30	-0.30725201444845796	0.016941473155537925	-0.5205629782332184	-0.05783991740459211				-0.2364262297485708	0.07141617147127167	60				-0.2965696464768648	0.025084084025685953	60	validation_stratum	-0.3181515377249912	0.014062776353998437	60.0
GSE233774 tumor	signature	CD8A	30	221	217	-0.33170189098998887	0.07334251052499315	-0.6181061976342598	0.03244451552935542				-0.24139387964329095	0.20712150713128805	30				-0.34566278642671205	0.07739167270634024	30	validation	-0.09950119544137433	0.6075749911541656	30.0
GSE233774 tumor	signature	CD274	30	221	217	-0.14571746384872078	0.4422920541768921	-0.48074857951676364	0.22643925761807926				-0.0009560912022420244	0.9960726529184317	30				-0.21411177010666066	0.2835354470540155	30	validation	-0.1550754774246082	0.4218304432272548	30.0
GSE233774 tumor	signature	ImmuneScore	30	221	217	-0.4402669632925473	0.01490004436982873	-0.6909425796979181	-0.09507859796099574				-0.35167533561274467	0.0613744715684384	30				-0.4299273300705613	0.025204355458555715	30	validation	-0.2491444375693388	0.1924613085679011	30.0
GSE233774 tumor	no_lung_marker	CD8A	30	220	216	-0.2992213570634038	0.10820527641076165	-0.5953154300361093	0.06842398828006135				-0.20294753089267167	0.29102781389410465	30				-0.31287223465907404	0.11206177056024184	30	validation	-0.06473826380865974	0.7386502122020062	30.0
GSE233774 tumor	no_lung_marker	CD274	30	220	216	-0.1599555061179088	0.39847881342496044	-0.4918791844064434	0.2125630999841157				-0.0159169567822402	0.9346864393076992	30				-0.22568036612371584	0.25769388375523383	30	validation	-0.16989369194062412	0.3782682991734858	30.0
GSE233774 tumor	no_lung_marker	ImmuneScore	30	220	216	-0.4206896551724138	0.020618398883141435	-0.6781738135708104	-0.07121368852422853				-0.3278365906680334	0.08253825361997628	30				-0.4105360842392223	0.03341536249401543	30	validation	-0.23125711682288078	0.2274232163745901	30.0
GSE233774 tumor	top30	CD8A	30	30	30	-0.5190211345939933	0.0032943385557836716	-0.7407748398501134	-0.19526376394854764				-0.4604807927876638	0.011946899075565492	30				-0.4602807852048203	0.015697287619592347	30	validation	-0.21364720220834132	0.26578293053717406	30.0
GSE233774 tumor	top30	CD274	30	30	30	-0.32769744160177977	0.07709656292801977	-0.6153221592442232	0.03693194008090578				-0.1332352391314115	0.4908139659794557	30				-0.33887020488857045	0.08379435884545035	30	validation	-0.41560352989155547	0.024950603632297563	30.0
GSE233774 tumor	top30	ImmuneScore	30	30	30	-0.5652947719688542	0.001133469698878798	-0.7689590877960745	-0.2574592683541007				-0.49376861830840474	0.006485385566851075	30				-0.5323574767767315	0.004257045756833974	30	validation	-0.2860060661280953	0.13256550101949957	30.0
GSE282774	signature	CD8A	58	221	221	-0.21154792676429748	0.11090703444871174	-0.4455006820337237	0.04944988557905166				-0.19684854778865363	0.14219897850097	58				-0.19621317950855469	0.1510788558980957	58	validation	-0.20227364178860263	0.13131275187221447	58.0
GSE282774	signature	CD274	58	221	221	-0.20958562810763218	0.11433532870730179	-0.44385336460033453	0.05149799496024344				-0.2746115224097816	0.03870907323356069	58				-0.20425826513490403	0.13469359431040995	58	validation	-0.18619554105898442	0.16551411852059084	58.0
GSE282774	signature	ImmuneScore	58	221	221	-0.2963179427235535	0.02391135672285591	-0.5151828233262289	-0.04117349102358265				-0.28336069992120405	0.03268585893646641	58				-0.27781518949741263	0.04001167551330692	58	validation	-0.27868597115694466	0.035798895821932616	58.0
GSE282774	no_lung_marker	CD8A	58	220	220	-0.2071797712312845	0.11864860363592553	-0.4418315243367125	0.05400606586794245				-0.19212320752967402	0.1522183072381613	58				-0.19345356083152598	0.15702601797478183	58	validation	-0.19761374633025633	0.14062395151062002	58.0
GSE282774	no_lung_marker	CD274	58	220	220	-0.2189682226434942	0.09865303919920805	-0.45171561004174393	0.041685207843212606				-0.2847375473010094	0.03181317091110893	58				-0.21267918347053602	0.11901121312836434	58	validation	-0.19513342371053516	0.14577705712929723	58.0
GSE282774	no_lung_marker	ImmuneScore	58	220	220	-0.29674859269740683	0.023698073957326923	-0.5155295877862501	-0.041644850091203486				-0.28382145037732215	0.03239162862500174	58				-0.27925728222825874	0.038948311066767646	58	validation	-0.2786170740718843	0.03584655288572362	58.0
GSE282774	top30	CD8A	58	30	30	-0.3124769289038438	0.016936429196941622	-0.5281453184964247	-0.05893813779606482				-0.31965968895635577	0.015355706284920825	58				-0.30342451706613466	0.024325383418345795	58	validation	-0.3051032077311496	0.02101187701674622	58.0
GSE282774	top30	CD274	58	30	30	-0.19075891382583696	0.15146941903990419	-0.42796776615055904	0.07103701246087439				-0.29816929960622607	0.02427380021238735	58				-0.23437329687197975	0.08501247228118501	58	validation	-0.16744926873326837	0.2131248874094891	58.0
GSE282774	top30	ImmuneScore	58	30	30	-0.35556307484081334	0.006161261010630408	-0.5622239544039467	-0.10710375603700044				-0.36244852375566505	0.005593668946982881	58				-0.352773303824931	0.0082499299439823	58	validation	-0.33984000859194324	0.009699305769390631	58.0
GSE288479 solid	signature	CD8A	8	221	217	0.1666666666666667	0.693238811728395	-0.6096011685378526	0.7797602696534791						8						8	below_n_floor			8.0
GSE288479 solid	signature	CD274	8	221	217	0.11904761904761905	0.7788857260523796	-0.6392519191340857	0.7599671787496551						8						8	below_n_floor			8.0
GSE288479 solid	signature	ImmuneScore	8	221	217	0.023809523809523815	0.9553740118158806	-0.692481813856378	0.7164617100705113						8						8	below_n_floor			8.0
TCGA-LUAD	signature	CD8A	490	221	221	-0.1897956378708069	2.3465381579468387e-05	-0.2737744857414221	-0.1029447297324332	-0.0819547036301762	0.07018708549245678	490.0	-0.17147235307284533	0.0001387529064598627	490	-0.06388192675567968	0.1588297428823719	490.0	-0.20264426287410758	6.565005887330333e-06	490	discovery_echo			
TCGA-LUAD	signature	CD274	490	221	221	-0.03318931960974262	0.46355691459829745	-0.12141402400088086	0.055555669475275196	0.09385589789258897	0.0380108432329678	490.0	-0.09028279644303949	0.04599690459767147	490	0.030358362625788015	0.5034492146799758	490.0	-0.02830878274530338	0.5331268796023767	490	discovery_echo			
TCGA-LUAD	signature	ImmuneScore	490	221	221	-0.22442941266319485	5.18224770057975e-07	-0.3069096059847792	-0.13860323322189097	-0.1111244264141969	0.013945549617735817	490.0	-0.19383006546597525	1.5869326985690047e-05	490	-0.07832292826673039	0.0839113612292801	490.0	-0.23763002410769354	1.1158919638287844e-07	490	discovery_echo			
