gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
IFITM1	-2.3332467852548158	4.602547965420665	-3.0484370363902755	0.004871351276853622	0.7653911684584659	29	0.09118036986651637	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
RTP4	-1.173316926593124	2.566603415552918	-3.0206259392200363	0.005222975784590186	0.3884350297594575	29	0.09407914943498692	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
TNFAIP3	-1.576591665102176	5.3579344459855065	-3.00619810549169	0.005414764045680539	0.5244470290304806	29	0.0958917641714851	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CXCR4	-1.4341051988312257	5.385823635383923	-2.981377064386756	0.005760446390707361	0.4810210744430641	29	0.09899854411003446	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
VCAM1	-1.9224471162466223	1.433727038161929	-2.980623521534947	0.005771261506239638	0.6449815289844488	29	0.09899854411003446	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
STAT2	-0.653487802166714	4.705836033626912	-2.9597542903207414	0.006078547342672315	0.2207912340236517	29	0.10129474266803934	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CCR7	-1.5353201028987722	1.7695275230847707	-2.949940930653903	0.006228342312834594	0.5204579139008194	29	0.10290786738661473	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
ST3GAL5	1.2674599237412616	4.1861314352438415	2.936503374334128	0.0064391355807948735	0.4316221581147227	29	0.10452995918658674	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
ILDR1	0.7904841165411408	2.5212097222860836	2.927503602867708	0.006584069301454492	0.2700198612110341	29	0.10553610886542346	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
ZEB1	-1.4725362424887232	2.4190380741891424	-2.887149532046646	0.00727269076150387	0.5100311660840338	29	0.10918723836895296	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CXCR5	-0.9248927731928747	0.7367553171950915	-2.8725713503613415	0.007537769672325804	0.3219738207987531	29	0.1111574464108681	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
MAGI1	0.8434441589839349	3.7975903486430362	2.8420770709676733	0.008121991099724266	0.29677033307782824	29	0.11554568268257286	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CASP1	-1.3018358121257976	3.443020462844212	-2.8249514427759217	0.008468523456151537	0.4608347571618988	29	0.11804313746874125	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
XAF1	-1.6482572435165477	3.6200757788418225	-2.7951093162365948	0.009105812074457695	0.5896933024915829	29	0.12259437604340269	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
IRF8	-1.1111959540823995	2.145597926832932	-2.7791926992958693	0.009463868706071684	0.3998268829519917	29	0.12469460710002767	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
CLDN15	0.7709861775562998	3.109787726445571	2.767860278110759	0.009726804605283787	0.2785495292712344	29	0.12621648837728033	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CFB	-1.6375360555136702	2.8042701716129184	-2.766356825210787	0.009762198036932651	0.5919467946398764	29	0.12630574440936304	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
HLA-DQA1	-1.8423355978495959	4.891287300999081	-2.7486373619435476	0.010188534862539577	0.6702723405269038	29	0.12861191327680957	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
XCL1	-1.2871705219936138	1.459509484075445	-2.727632046509537	0.010716502134067092	0.471900351677113	29	0.13169446041545532	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|chemokine
GPR18	-0.8656333648831238	0.685768556636448	-2.7236636407901114	0.010819078555531686	0.31781948105457364	29	0.13202957504078458	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
ITGB7	-1.1211218144325634	1.750974392533441	-2.7128799765365406	0.011102472549977491	0.4132589071868446	29	0.13327353808040907	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
VASP	-0.7511032195943667	5.720352426319244	-2.7079519365796547	0.011234277025343294	0.27736947966036135	29	0.13382080301717822	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
UBE2L6	-0.7663650890421171	6.0049375169222206	-2.694735423287874	0.011595014055960438	0.28439344449892867	29	0.1356147286298784	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
OCLN	0.9023036208179648	5.134263174028114	2.692746597111048	0.011650224652787292	0.3350867184405745	29	0.13576727828384835	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
MYL9	-1.7589158539337615	4.768042697224521	-2.68367654638978	0.011905137007904451	0.6554127606398565	29	0.137519148497602	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
SERPING1	-1.4193251613132192	4.362224063442009	-2.682831501272347	0.011929149921302994	0.529039993991459	29	0.1375313566604516	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SELL	-1.5675551336696274	2.264423189008692	-2.6529465493732913	0.01280797336940554	0.590873243955832	29	0.1429655671214764	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
PRKAB1	0.6282278339915163	4.239526917757694	2.649097317014154	0.0129254508963573	0.23714788805856454	29	0.143627246263114	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
CD274	-0.9647906473728557	1.8749478422534336	-2.647048383305354	0.012988391954870547	0.36447790431700655	29	0.14371938054411107	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
HLA-E	-0.8991843801374114	8.033678826977972	-2.6386057820321405	0.013250759621077227	0.3407801143545203	29	0.14457091531305702	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	MHC-I/APM
CXCL13	-1.30658067280613	2.228813768412288	-2.623814987588521	0.013722320584358325	0.49796981837007254	29	0.1466183499310181	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	chemokine
HLA-B	-1.379231472638239	10.076788563971524	-2.6214358516983527	0.013799612374128124	0.5261358853182216	29	0.1466183499310181	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|MHC-I/APM
IFI44L	-1.5402343188855883	3.684865945488328	-2.6129193607817633	0.014079616905057215	0.589468753610813	29	0.14768950743135056	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
GRHL2	1.0003431882342952	3.222995202861543	2.578709633473163	0.015258324739966671	0.38792393499805256	29	0.15403781578498663	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
PRKACA	0.4868303476344129	4.0056272253342975	2.5769663096925846	0.015320773010659056	0.18891606995533	29	0.15409392740795402	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
B2M	-0.7978789420882458	11.676823575367548	-2.559671816491975	0.015953230167955714	0.31171142212353503	29	0.15713234632969614	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN|MHC-I/APM
ARPC2	-0.5078442366605476	8.332763922626553	-2.5291653866778354	0.01712802659022742	0.20079518695597137	29	0.1618342105192805	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
FPR1	-0.8705396222139874	1.260133240773917	-2.527332191360373	0.017201105412497954	0.34445001934842884	29	0.1622376026419968	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
IL2RB	-1.1541333827579587	1.5721175098905975	-2.5088834946877765	0.017952727124721676	0.4600187235484155	29	0.16563492029445273	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
PDE4B	-1.2358657530071457	2.851138149171874	-2.5011396650017956	0.01827714614539625	0.494121048216737	29	0.16699194500764764	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	IFN
SRC	0.8231491284454742	3.430682741537419	2.498388521916822	0.018393695999527455	0.3294720261578591	29	0.16786242288984599	malignant	GSE123902+GSE131907+GSE205335+GSE189357	q4q1_combined	18.0	16.0	TJ
