accession	contrast	gene	log2fc
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	MX2	0.0001368288710894743
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	OAS1	0.4324630649008851
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	OAS2	0.00867273075736033
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	OAS3	0.3886381108236634
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFI6	1.5717650798777765
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFI27	0.3198216658197058
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFI44	-0.012028893668262708
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IFI44L	0.026447508474740915
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	STAT1	0.08806501536775713
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IRF1	-0.02869783198160336
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	IRF7	-0.43411591524795595
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	B2M	0.44345867294605945
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	HLA-A	-2.105537725303459
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	HLA-B	0.9647573696000071
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	HLA-C	0.9480055551152642
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	TAP1	0.11253229864181069
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	PSMB8	-0.4898127337046143
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	PSMB9	0.9183725626167631
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	CD274	-0.21844815741106172
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	CXCL10	-0.013962537240714668
GSE245459	SKOV3 shTACSTD2 vs shNC, both on cisplatin	CXCL9	0.02467667338180683
GSE207704	CLDN4-/- vs WT, two lines	ISG15	-0.8819459033298085
GSE207704	CLDN4-/- vs WT, two lines	IFIT1	-0.4055035729752561
GSE207704	CLDN4-/- vs WT, two lines	OAS1	-0.5917123988101463
GSE207704	CLDN4-/- vs WT, two lines	OAS3	-0.4278557943774792
GSE207704	CLDN4-/- vs WT, two lines	IFI6	-0.8994751810834889
GSE207704	CLDN4-/- vs WT, two lines	IFI44	-1.5332605454203612
GSE207704	CLDN4-/- vs WT, two lines	IFI44L	-0.19553524369323422
GSE207704	CLDN4-/- vs WT, two lines	STAT1	0.02485148353136246
GSE207704	CLDN4-/- vs WT, two lines	IRF1	-0.27733872733500187
GSE207704	CLDN4-/- vs WT, two lines	HLA-C	0.35249886259314533
GSE207704	CLDN4-/- vs WT, two lines	CD274	-0.1504135292921928
GSE50927	Cldn4 KO vs WT lung, no VILI	Isg15	1.075372735
GSE50927	Cldn4 KO vs WT lung, no VILI	Ifit1	0.57577684
GSE50927	Cldn4 KO vs WT lung, no VILI	Ifit2	-0.369023039
GSE50927	Cldn4 KO vs WT lung, no VILI	Ifit3	-0.206965942
GSE50927	Cldn4 KO vs WT lung, no VILI	Mx1	0.626672753
GSE50927	Cldn4 KO vs WT lung, no VILI	Mx2	0.236067358
GSE50927	Cldn4 KO vs WT lung, no VILI	Oas1a	0.762345187
GSE50927	Cldn4 KO vs WT lung, no VILI	Oas2	1.488747185
GSE50927	Cldn4 KO vs WT lung, no VILI	Oas3	1.81579999
GSE50927	Cldn4 KO vs WT lung, no VILI	Ifi27l2a	0.6236121
GSE50927	Cldn4 KO vs WT lung, no VILI	Ifi44	0.749481166
GSE50927	Cldn4 KO vs WT lung, no VILI	Stat1	0.390851313
GSE50927	Cldn4 KO vs WT lung, no VILI	Irf1	0.381826817
GSE50927	Cldn4 KO vs WT lung, no VILI	Irf7	0.227316665
GSE50927	Cldn4 KO vs WT lung, no VILI	B2m	0.655249264
GSE50927	Cldn4 KO vs WT lung, no VILI	H2-K1	-0.070918061
GSE50927	Cldn4 KO vs WT lung, no VILI	H2-D1	0.354590336
GSE50927	Cldn4 KO vs WT lung, no VILI	Tap1	0.183633493
GSE50927	Cldn4 KO vs WT lung, no VILI	Psmb8	0.431991771
GSE50927	Cldn4 KO vs WT lung, no VILI	Psmb9	0.901806032
GSE50927	Cldn4 KO vs WT lung, no VILI	Cd274	0.141225695
GSE50927	Cldn4 KO vs WT lung, no VILI	Cxcl10	2.542898441
GSE50927	Cldn4 KO vs WT lung, no VILI	Cxcl9	2.883303775
GSE304294	KYSE30 IMMU132 vs control, 1 day	ISG15	0.20848221731430527
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFIT1	-0.6136936448847576
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFIT2	-0.4521897004287778
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFIT3	-0.33740021523966846
GSE304294	KYSE30 IMMU132 vs control, 1 day	MX1	0.026518868146697676
GSE304294	KYSE30 IMMU132 vs control, 1 day	MX2	0.011992412767306348
GSE304294	KYSE30 IMMU132 vs control, 1 day	OAS1	1.211362600648806
GSE304294	KYSE30 IMMU132 vs control, 1 day	OAS2	0.5005688504539367
GSE304294	KYSE30 IMMU132 vs control, 1 day	OAS3	1.2437409709078975
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFI6	1.1949308554252691
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFI27	0.33463582717946966
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFI44	0.3242069817873423
GSE304294	KYSE30 IMMU132 vs control, 1 day	IFI44L	0.0068247640624921335
GSE304294	KYSE30 IMMU132 vs control, 1 day	STAT1	0.19569565721729454
GSE304294	KYSE30 IMMU132 vs control, 1 day	IRF1	-0.008307709717224832
GSE304294	KYSE30 IMMU132 vs control, 1 day	IRF7	-0.058589912008689904
GSE304294	KYSE30 IMMU132 vs control, 1 day	B2M	0.5071420817294774
GSE304294	KYSE30 IMMU132 vs control, 1 day	HLA-A	0.6216517283329939
GSE304294	KYSE30 IMMU132 vs control, 1 day	HLA-B	1.0612450448983548
GSE304294	KYSE30 IMMU132 vs control, 1 day	HLA-C	0.6576441604911096
GSE304294	KYSE30 IMMU132 vs control, 1 day	TAP1	0.4991144014548472
GSE304294	KYSE30 IMMU132 vs control, 1 day	PSMB8	0.5662308617818758
GSE304294	KYSE30 IMMU132 vs control, 1 day	PSMB9	0.3340702308499891
GSE304294	KYSE30 IMMU132 vs control, 1 day	CD274	-0.11265884768006496
GSE304294	KYSE30 IMMU132 vs control, 1 day	CXCL10	-0.1275029364952811
GSE304294	KYSE30 IMMU132 vs control, 1 day	CXCL9	-0.05672049867974291
GSE311016	CRC PDX IMMU132 vs paired control, day 29	ISG15	1.25929616728985
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFIT1	0.37769548356755567
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFIT2	0.6847570058947884
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFIT3	0.16809392212785185
GSE311016	CRC PDX IMMU132 vs paired control, day 29	MX1	0.10097239674801735
GSE311016	CRC PDX IMMU132 vs paired control, day 29	MX2	0.3605173716326412
GSE311016	CRC PDX IMMU132 vs paired control, day 29	OAS1	-0.12019144078675881
GSE311016	CRC PDX IMMU132 vs paired control, day 29	OAS2	-0.32416372357731993
GSE311016	CRC PDX IMMU132 vs paired control, day 29	OAS3	-0.4964921194177078
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFI6	-0.05727142785719055
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFI27	0.2522815850742365
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFI44	0.7191746383149
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IFI44L	0.22954417449190928
GSE311016	CRC PDX IMMU132 vs paired control, day 29	STAT1	-0.6790934271974411
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IRF1	-0.03764202619207522
GSE311016	CRC PDX IMMU132 vs paired control, day 29	IRF7	0.8207923781851623
GSE311016	CRC PDX IMMU132 vs paired control, day 29	B2M	-0.3634158066001669
GSE311016	CRC PDX IMMU132 vs paired control, day 29	HLA-A	0.004836362085352519
GSE311016	CRC PDX IMMU132 vs paired control, day 29	HLA-B	0.7623744197834496
GSE311016	CRC PDX IMMU132 vs paired control, day 29	HLA-C	0.3151018454550393
GSE311016	CRC PDX IMMU132 vs paired control, day 29	TAP1	-0.695578970693065
GSE311016	CRC PDX IMMU132 vs paired control, day 29	PSMB8	0.07362708139990985
GSE311016	CRC PDX IMMU132 vs paired control, day 29	PSMB9	-0.054341555302020915
GSE311016	CRC PDX IMMU132 vs paired control, day 29	CD274	-0.08077526762849702
GSE311016	CRC PDX IMMU132 vs paired control, day 29	CXCL10	0.11298342514056858
GSE311016	CRC PDX IMMU132 vs paired control, day 29	CXCL9	-0.006815143962584899
GSE274940	EpH4 Cldn-null vs WT	Isg15	-0.08525786011550585
GSE274940	EpH4 Cldn-null vs WT	Ifit1	-0.15539331637057163
GSE274940	EpH4 Cldn-null vs WT	Ifit2	0.028753023576610914
GSE274940	EpH4 Cldn-null vs WT	Ifit3	-0.637781437372517
GSE274940	EpH4 Cldn-null vs WT	Mx1	0.28524906772075775
GSE274940	EpH4 Cldn-null vs WT	Mx2	-0.5799755797943501
GSE274940	EpH4 Cldn-null vs WT	Oas1a	0.0
GSE274940	EpH4 Cldn-null vs WT	Oas2	0.0
GSE274940	EpH4 Cldn-null vs WT	Oas3	-0.8721846663744288
GSE274940	EpH4 Cldn-null vs WT	Ifi27l2a	0.20334146284172983
GSE274940	EpH4 Cldn-null vs WT	Ifi44	0.0
GSE274940	EpH4 Cldn-null vs WT	Stat1	-0.06691558429685784
GSE274940	EpH4 Cldn-null vs WT	Irf1	-0.2138961585903285
GSE274940	EpH4 Cldn-null vs WT	Irf7	-0.23709641717492502
GSE274940	EpH4 Cldn-null vs WT	B2m	0.18679082891521048
GSE274940	EpH4 Cldn-null vs WT	H2-K1	0.11682173553413744
GSE274940	EpH4 Cldn-null vs WT	H2-D1	0.015784875970474843
GSE274940	EpH4 Cldn-null vs WT	Tap1	-0.03986586149948135
GSE274940	EpH4 Cldn-null vs WT	Psmb8	-3.89566455670313
GSE274940	EpH4 Cldn-null vs WT	Psmb9	-0.32801972869952856
GSE274940	EpH4 Cldn-null vs WT	Cd274	-0.17619372799971167
GSE274940	EpH4 Cldn-null vs WT	Cxcl10	0.06385506857835573
GSE274940	EpH4 Cldn-null vs WT	Cxcl9	0.0
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	ISG15	0.35125666666666433
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFIT1	-0.13890277777777715
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFIT2	-0.030664999999999054
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFIT3	0.1448122222222228
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	MX1	0.2666533333333323
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	MX2	0.19684666666666395
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	OAS1	0.3495694444444437
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	OAS2	0.06786666666666719
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	OAS3	0.08795583333333568
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFI6	-0.10206305555555417
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFI27	0.6298093434343439
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFI44	-0.028385000000000105
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IFI44L	0.08586499999999919
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	STAT1	0.3376751010101007
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IRF1	-0.013654444444444636
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	IRF7	0.464239722222219
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	B2M	-0.1747567129629637
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	HLA-A	-0.10741419191918844
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	HLA-B	-0.029847500000000693
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	HLA-C	0.07692305555555556
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	TAP1	0.13927111111110868
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	PSMB8	-0.023305000000000575
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	PSMB9	-0.07682722222222083
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	CD274	-0.048211111111113425
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	CXCL10	-0.0024188888888883042
GSE15212	SW480 TACSTD2 siRNA vs negative siRNA, 72h	CXCL9	-0.017164999999998543
GSE156295	A549 type I IFN vs mock	ISG15	6.889497433969178
GSE156295	A549 type I IFN vs mock	IFIT1	8.599192903752554
GSE156295	A549 type I IFN vs mock	IFIT2	4.388994546584553
GSE156295	A549 type I IFN vs mock	IFIT3	6.377248951032206
GSE156295	A549 type I IFN vs mock	MX1	8.544216407255703
GSE156295	A549 type I IFN vs mock	MX2	5.8467407498495785
GSE156295	A549 type I IFN vs mock	OAS1	2.4134517520342946
GSE156295	A549 type I IFN vs mock	OAS2	7.520664917827856
GSE156295	A549 type I IFN vs mock	OAS3	2.7399210923857
GSE156295	A549 type I IFN vs mock	IFI6	6.595321115382372
GSE156295	A549 type I IFN vs mock	IFI27	6.472359669154517
GSE156295	A549 type I IFN vs mock	IFI44	5.643689187859036
GSE156295	A549 type I IFN vs mock	IFI44L	4.730217856063872
GSE156295	A549 type I IFN vs mock	STAT1	3.5565184859242995
GSE156295	A549 type I IFN vs mock	IRF1	0.9494247034379066
GSE156295	A549 type I IFN vs mock	IRF7	4.451547158407149
GSE156295	A549 type I IFN vs mock	B2M	2.3001591034598103
GSE156295	A549 type I IFN vs mock	HLA-A	0.6301225126788577
GSE156295	A549 type I IFN vs mock	HLA-B	2.6235433426407506
GSE156295	A549 type I IFN vs mock	HLA-C	1.5326187234075936
GSE156295	A549 type I IFN vs mock	TAP1	3.760209554643634
GSE156295	A549 type I IFN vs mock	PSMB8	3.07039460183066
GSE156295	A549 type I IFN vs mock	PSMB9	4.1136635099090375
GSE156295	A549 type I IFN vs mock	CD274	1.7972162890411736
GSE156295	A549 type I IFN vs mock	CXCL10	0.03942979492393502
GSE156295	A549 type I IFN vs mock	CXCL9	0.0
GSE156295	HTBE type I IFN vs mock	ISG15	6.927535062105617
GSE156295	HTBE type I IFN vs mock	IFIT1	10.100673260624143
GSE156295	HTBE type I IFN vs mock	IFIT2	8.389502490719707
GSE156295	HTBE type I IFN vs mock	IFIT3	8.140102925054787
GSE156295	HTBE type I IFN vs mock	MX1	8.737007048864559
GSE156295	HTBE type I IFN vs mock	MX2	8.597490504041163
GSE156295	HTBE type I IFN vs mock	OAS1	7.445870456953285
GSE156295	HTBE type I IFN vs mock	OAS2	5.621146999558311
GSE156295	HTBE type I IFN vs mock	OAS3	4.368186545630615
GSE156295	HTBE type I IFN vs mock	IFI6	6.4192064292147055
GSE156295	HTBE type I IFN vs mock	IFI27	3.3767892727162723
GSE156295	HTBE type I IFN vs mock	IFI44	6.344609275821369
GSE156295	HTBE type I IFN vs mock	IFI44L	7.4916187591775945
GSE156295	HTBE type I IFN vs mock	STAT1	4.352629340415518
GSE156295	HTBE type I IFN vs mock	IRF1	2.385528147911571
GSE156295	HTBE type I IFN vs mock	IRF7	4.811873119719721
GSE156295	HTBE type I IFN vs mock	B2M	1.2589291202277533
GSE156295	HTBE type I IFN vs mock	HLA-A	0.5846841941776182
GSE156295	HTBE type I IFN vs mock	HLA-B	2.673783778633922
GSE156295	HTBE type I IFN vs mock	HLA-C	1.6627980862201301
GSE156295	HTBE type I IFN vs mock	TAP1	3.3435751754582412
GSE156295	HTBE type I IFN vs mock	PSMB8	2.0867293592922644
GSE156295	HTBE type I IFN vs mock	PSMB9	3.020471127377387
GSE156295	HTBE type I IFN vs mock	CD274	1.3594361652109859
GSE156295	HTBE type I IFN vs mock	CXCL10	9.69624061103422
GSE156295	HTBE type I IFN vs mock	CXCL9	1.727495382214052
GSE184456	TIGK IFN-β vs unstimulated	ISG15	3.492777153531292
GSE184456	TIGK IFN-β vs unstimulated	IFIT1	2.8847340224412124
GSE184456	TIGK IFN-β vs unstimulated	IFIT2	1.5479871154733367
GSE184456	TIGK IFN-β vs unstimulated	IFIT3	2.3135634149159623
GSE184456	TIGK IFN-β vs unstimulated	MX1	3.262424243906591
GSE184456	TIGK IFN-β vs unstimulated	MX2	4.4724076459460385
GSE184456	TIGK IFN-β vs unstimulated	OAS1	2.912195388170664
GSE184456	TIGK IFN-β vs unstimulated	OAS2	2.8624518238662704
GSE184456	TIGK IFN-β vs unstimulated	OAS3	2.1102357743085696
GSE184456	TIGK IFN-β vs unstimulated	IFI6	4.062730796342117
GSE184456	TIGK IFN-β vs unstimulated	IFI27	4.277827606400539
GSE184456	TIGK IFN-β vs unstimulated	IFI44	3.3731187386592243
GSE184456	TIGK IFN-β vs unstimulated	IFI44L	4.811088950603219
GSE184456	TIGK IFN-β vs unstimulated	STAT1	2.4451249396678962
GSE184456	TIGK IFN-β vs unstimulated	IRF1	0.31292348743127274
GSE184456	TIGK IFN-β vs unstimulated	IRF7	2.299388530758594
GSE184456	TIGK IFN-β vs unstimulated	B2M	1.2796496308679668
GSE184456	TIGK IFN-β vs unstimulated	HLA-A	0.5729939064460563
GSE184456	TIGK IFN-β vs unstimulated	HLA-B	1.5529558187533867
GSE184456	TIGK IFN-β vs unstimulated	HLA-C	1.5661238987224273
GSE184456	TIGK IFN-β vs unstimulated	TAP1	0.8625587204149667
GSE184456	TIGK IFN-β vs unstimulated	PSMB8	0.7062017004431
GSE184456	TIGK IFN-β vs unstimulated	PSMB9	1.1417404337111021
GSE184456	TIGK IFN-β vs unstimulated	CD274	0.3670853570873427
GSE184456	TIGK IFN-β vs unstimulated	CXCL10	0.465197247693539
GSE184456	TIGK IFN-β vs unstimulated	CXCL9	-0.022728231525773482
GSE184456	TIGK IFN-λ vs unstimulated	ISG15	5.31720368955036
GSE184456	TIGK IFN-λ vs unstimulated	IFIT1	4.864940751835564
GSE184456	TIGK IFN-λ vs unstimulated	IFIT2	4.4592991117941585
GSE184456	TIGK IFN-λ vs unstimulated	IFIT3	4.58859226392555
GSE184456	TIGK IFN-λ vs unstimulated	MX1	4.382572141209063
GSE184456	TIGK IFN-λ vs unstimulated	MX2	6.759703153781436
GSE184456	TIGK IFN-λ vs unstimulated	OAS1	4.107786470334593
GSE184456	TIGK IFN-λ vs unstimulated	OAS2	4.245773885209661
GSE184456	TIGK IFN-λ vs unstimulated	OAS3	3.297782557618656
GSE184456	TIGK IFN-λ vs unstimulated	IFI6	4.587583257330421
GSE184456	TIGK IFN-λ vs unstimulated	IFI27	4.864959173811039
GSE184456	TIGK IFN-λ vs unstimulated	IFI44	4.3359021356330265
GSE184456	TIGK IFN-λ vs unstimulated	IFI44L	5.554482508840577
GSE184456	TIGK IFN-λ vs unstimulated	STAT1	3.5766010738894947
GSE184456	TIGK IFN-λ vs unstimulated	IRF1	1.1612025194551054
GSE184456	TIGK IFN-λ vs unstimulated	IRF7	3.096522692297097
GSE184456	TIGK IFN-λ vs unstimulated	B2M	2.023021168235651
GSE184456	TIGK IFN-λ vs unstimulated	HLA-A	0.9935765534185208
GSE184456	TIGK IFN-λ vs unstimulated	HLA-B	2.39478868739359
GSE184456	TIGK IFN-λ vs unstimulated	HLA-C	2.431725790008266
GSE184456	TIGK IFN-λ vs unstimulated	TAP1	2.2220951340709476
GSE184456	TIGK IFN-λ vs unstimulated	PSMB8	1.7820725500853376
GSE184456	TIGK IFN-λ vs unstimulated	PSMB9	2.980557219541644
GSE184456	TIGK IFN-λ vs unstimulated	CD274	0.5538347839066105
GSE184456	TIGK IFN-λ vs unstimulated	CXCL10	1.6685762390667689
GSE184456	TIGK IFN-λ vs unstimulated	CXCL9	0.01763065755229974
GSE241852	MCF10A NEO Poly(I:C) vs untreated	ISG15	0.9267209704424211
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFIT1	2.3172208968288444
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFIT2	2.1379411294108834
GSE241852	MCF10A NEO Poly(I:C) vs untreated	IFIT3	1.5494036403555642
GSE241852	MCF10A NEO Poly(I:C) vs untreated	MX1	0.07803440715700188
GSE241852	MCF10A NEO Poly(I:C) vs untreated	MX2	1.2735775697125076
GSE241852	MCF10A NEO Poly(I:C) vs untreated	OAS1	0.9225267298282929
