symbol	n_probes	n_arrays	tokens	GSM558700	GSM558701	GSM558702	median_log2	mean_log2	direction_median
ABTB3	1	3	BTBD11	-0.6897	0.263	0.1635	0.1635	-0.0877333	UP
ACAA1	3	3	ACAA1	-0.34365	0.9822	0.07595	0.07595	0.238167	UP
ACAA2	1	3	ACAA2	1.1763	2.6159	-0.3401	1.1763	1.1507	UP
ACACA	1	2	ACACA	-0.2515		2.3646	1.05655	1.05655	UP
ACACB	2	3	ACACB	2.0036	1.59435	-0.08895	1.59435	1.16967	UP
ACAD10	2	3	ACAD10	1.0566	0.996	-1.6439	0.996	0.136233	UP
ACAD11	2	3	FLJ12592	0.074	0.39295	-0.6215	0.074	-0.0515167	UP
ACAD8	1	3	ACAD8	1.5558	-1.0291	-1.0589	-1.0291	-0.1774	DOWN
ACAD9	6	3	ACAD9|NPD002	0.3219	-0.1681	1.0426	0.3219	0.3988	UP
ACADM	1	3	ACADM	0.516	1.5211	-0.6439	0.516	0.4644	UP
ACADS	1	3	ACADS	0.9782	1.0286	0.251	0.9782	0.7526	UP
ACADSB	1	3	ACADSB	-3.1844	0.1763	1.926	0.1763	-0.3607	UP
ACADVL	2	3	ACADVL	-0.53125	-1.4673	0.97335	-0.53125	-0.341733	DOWN
ACAP1	1	3	CENTB1	0.189	-2.3219	-3.3219	-2.3219	-1.81827	DOWN
ACAP2	2	3	CENTB2	-1.53915	-0.274	-0.37255	-0.37255	-0.728567	DOWN
ACAT1	3	3	ACAT1	0.0286	-0.1844	-0.69325	-0.1844	-0.283017	DOWN
ACAT2	2	3	ACAT2	-0.1222	-3.0539	0.72605	-0.1222	-0.816683	DOWN
ACBD3	1	3	ACBD3	0.2388	-0.2863	1.3103	0.2388	0.420933	UP
ACBD4	2	3	ACBD4	1.45205	1.7886	-1.5058	1.45205	0.578283	UP
ACBD5	1	3	ACBD5	0.4114	0.1763	1.2265	0.4114	0.604733	UP
ACBD6	1	3	ACBD6	0.0976	-0.1047	0.4751	0.0976	0.156	UP
ACCS	2	3	PHACS	-0.20695	-0.304	-0.3508	-0.304	-0.28725	DOWN
ACD	1	3	PTOP	1.257	-0.2345	2.7268	1.257	1.24977	UP
ACE	2	3	ACE	1.4911	-3.4477	0.2549	0.2549	-0.567233	UP
ACE2	2	2	ACE2		-0.52225	-1.0617	-0.791975	-0.791975	DOWN
ACER1	1	3	ASAH3	-1.0893	7.1749	-1.7859	-1.0893	1.43323	DOWN
ACER3	1	2	PHCA	-1.5146	0.4751		-0.51975	-0.51975	DOWN
ACHE	2	3	ACHE	1.2343	-0.95795	1.04825	1.04825	0.441533	UP
ACIN1	2	3	ACIN1	1.1569	-1.8589	2.12625	1.1569	0.47475	UP
ACKR3	1	3	CMKOR1	-2.6439	0.4854	-1.889	-1.889	-1.34917	DOWN
ACKR5	1	2	ADMR	0.3674	1.9107		1.13905	1.13905	UP
ACLY	2	3	ACLY	0.31145	-0.3593	-0.0367	-0.0367	-0.0281833	DOWN
ACMSD	3	3	ACMSD	-1.6439	2.2933	0.3442	0.3442	0.3312	UP
ACO1	2	3	ACO1	-0.5995	0.8156	-0.43495	-0.43495	-0.07295	DOWN
ACO2	1	3	ACO2	0.3219	-0.3585	-1.7859	-0.3585	-0.6075	DOWN
ACOT11	2	3	THEA	0.77465	-1.3959	-1.95745	-1.3959	-0.859567	DOWN
ACOT13	1	3	THEM2	1.546	-0.5146	1.1043	1.1043	0.7119	UP
ACOT2	2	3	ZAP128	0.0495	0.54795	2.5618	0.54795	1.05308	UP
ACOT4	1	2	PTE2B		1.6915	1.1827	1.4371	1.4371	UP
ACOT7	1	3	BACH	0.6323	-0.1681	1.269	0.6323	0.577733	UP
ACOT8	2	3	PTE1	-0.49755	0.0838	-0.805	-0.49755	-0.40625	DOWN
ACOT9	3	3	ACATE2	0.848	-0.5146	-0.82415	-0.5146	-0.163583	DOWN
ACOX1	3	3	ACOX1	-0.0893	1.7782	0.3694	0.3694	0.6861	UP
ACOX2	1	3	ACOX2	-2.4739	2.4489	1.0909	1.0909	0.3553	UP
ACOX3	2	3	ACOX3	0.78975	-0.04495	-1.1904	-0.04495	-0.148533	DOWN
ACOXL	3	3	ACOXL	-0.3285	0.189	0.5555	0.189	0.138667	UP
ACP1	2	3	ACP1	0.3217	-0.67905	1.42815	0.3217	0.356933	UP
ACP2	1	3	ACP2	-1.2176	0.2141	-0.304	-0.304	-0.435833	DOWN
ACP3	3	3	ACPP	-0.67115	1.7834	-2.5564	-0.67115	-0.481383	DOWN
ACP4	2	3	ACPT	-0.1559	1.32705	-2.0589	-0.1559	-0.295917	DOWN
ACP5	1	2	ACP5	0.7655	2.9411		1.8533	1.8533	UP
ACP6	1	3	ACP6	-1.1203	-0.737	0.4647	-0.737	-0.4642	DOWN
ACR	1	2	ACR	-2		2.1985	0.09925	0.09925	UP
ACRBP	1	2	ACRBP		0.6871	-2.4739	-0.8934	-0.8934	DOWN
ACRV1	1	3	ACRV1	-2.1844	0.1635	-0.1047	-0.1047	-0.708533	DOWN
ACSBG2	2	2	BGR	0.7997		-2.9434	-1.07185	-1.07185	DOWN
ACSF2	2	3	FLJ20920	0.6308	-0.17925	1.00865	0.6308	0.486733	UP
ACSL1	1	3	FACL1	-2.2515	-0.737	-2.737	-2.2515	-1.9085	DOWN
ACSL3	2	3	ACSL3	-1.03185	3.13035	-2.63265	-1.03185	-0.17805	DOWN
ACSL4	2	3	ACSL4	-0.7859	1.42335	-0.5995	-0.5995	0.01265	DOWN
ACSL5	3	3	ACSL5	-0.1047	-1.1203	-0.0589	-0.1047	-0.427967	DOWN
ACSL6	1	3	ACSL6	0.1635	-0.0145	0.757	0.1635	0.302	UP
ACSM1	2	3	BUCS1	0.7187	3.10085	-2.4224	0.7187	0.465717	UP
ACSM3	1	3	SAH	-5.6439	-1.152	-0.7612	-1.152	-2.51903	DOWN
ACSS1	2	2	ACAS2L	-0.8625	2.3495		0.7435	0.7435	UP
ACSS2	3	3	ACAS2	-1.3585	1.3997	-1	-1	-0.3196	DOWN
ACSS3	1	3	FLJ21963	1.3505	0.8797	-6.6439	0.8797	-1.47123	UP
ACTA1	1	3	ACTA1	-1.2515	2.5084	1.3334	1.3334	0.863433	UP
ACTA2	2	3	ACTA2	0.52375	-1.2338	0.0426	0.0426	-0.222483	UP
ACTB	17	3	ACTB	-0.5353	0.2869	-0.415	-0.415	-0.221133	DOWN
ACTC1	1	2	ACTC	-0.3401		-0.9159	-0.628	-0.628	DOWN
ACTG2	1	3	ACTG2	6.769	-1	-2.9434	-1	0.941867	DOWN
ACTL6A	2	3	ACTL6A	-0.00565	-1.9255	-0.0205	-0.0205	-0.65055	DOWN
ACTL6B	1	2	ACTL6B	0.3674		-0.0439	0.16175	0.16175	UP
ACTL7A	1	3	ACTL7A	3.3743	4.3688	-2.6439	3.3743	1.69973	UP
ACTL7B	1	3	ACTL7B	6.3773	-0.889	3.6206	3.6206	3.0363	UP
ACTL9	2	3	MGC33407	-1.3934	-0.5355	-2.0922	-1.3934	-1.34037	DOWN
ACTN1	2	3	ACTN1	-1.16095	0.943	-1.2274	-1.16095	-0.481783	DOWN
ACTN2	1	2	ACTN2	-1.9434	1.757		-0.0932	-0.0932	DOWN
ACTN3	1	3	ACTN3	2.4356	0.9107	2.0215	2.0215	1.78927	UP
ACTN4	1	2	ACTN4	1.9561		1.6135	1.7848	1.7848	UP
ACTR10	1	3	ACTR10	1.7485	-0.1203	0.2869	0.2869	0.638367	UP
ACTR1A	1	3	ACTR1A	1.4647	1.281	0.4114	1.281	1.05237	UP
ACTR1B	1	3	ACTR1B	0.1506	-2.8365	-1.0589	-1.0589	-1.24827	DOWN
ACTR2	1	3	ACTR2	-0.4344	0.0704	-0.6897	-0.4344	-0.351233	DOWN
ACTR3	1	3	ACTR3	-0.2863	2.9523	-1.9434	-0.2863	0.240867	DOWN
ACTR3B	3	3	ARP3BETA	0.92305	-0.889	0.2388	0.2388	0.09095	UP
ACTR5	1	3	ACTR5	-0.6439	4.306	1.0286	1.0286	1.56357	UP
ACTR6	1	3	ACTR6	-1.5564	-1.4739	-0.1047	-1.4739	-1.045	DOWN
ACTR8	3	3	ACTR8	0.4854	0.4647	1.19825	0.4854	0.716117	UP
ACTRT1	1	3	ACTRT1	-2.8365	-0.6897	-0.3219	-0.6897	-1.2827	DOWN
ACTRT2	1	3	ARPM2	-3.4739	-3.6439	1.9486	-3.4739	-1.72307	DOWN
ACVR1	2	3	ACVR1	-0.44785	-1.6439	-0.54215	-0.54215	-0.877967	DOWN
ACVR1B	1	3	ACVR1B	-2.737	1.8718	-0.415	-0.415	-0.426733	DOWN
ACVR1C	1	3	ACVR1C	-0.0893	1.5801	-1.2863	-0.0893	0.0681667	DOWN
ACVR2A	1	3	ACVR2	0.2987	-0.8625	-2.4739	-0.8625	-1.01257	DOWN
ACVR2B	1	2	ACVR2B	-1.0589	-0.8365		-0.9477	-0.9477	DOWN
ACVRL1	1	3	ACVRL1	-1.1844	0.8319	0.5945	0.5945	0.0806667	UP
ACY1	1	3	ACY1	-1.3585	-1.8365	2.546	-1.3585	-0.216333	DOWN
ACY3	1	2	ACY3		0.3561	-1.2176	-0.43075	-0.43075	DOWN
ACYP1	1	3	ACYP1	1	-0.0893	1.585	1	0.8319	UP
ACYP2	1	3	ACYP2	0.6781	0.6229	-0.415	0.6229	0.295333	UP
ADA	2	3	ADA	2.009	-1.3495	1.6076	1.6076	0.7557	UP
ADAD1	1	3	TENR	-0.811	1.9523	-2.3959	-0.811	-0.4182	DOWN
ADAM10	3	3	ADAM10	-1.18855	1.9411	-1.889	-1.18855	-0.378817	DOWN
ADAM11	1	3	ADAM11	1.2016	0.0426	-0.7859	0.0426	0.152767	UP
ADAM12	3	3	ADAM12	-1.2176	0.3219	-0.2345	-0.2345	-0.376733	DOWN
ADAM15	2	3	ADAM15	0.0241	-0.5003	0.1322	0.0241	-0.114667	UP
ADAM17	1	3	ADAM17	0.4436	0.5361	-2.5564	0.4436	-0.525567	UP
ADAM18	1	3	ADAM18	-3.4739	3.0461	0.7908	0.7908	0.121	UP
ADAM19	2	3	ADAM19	-0.01515	-1.1844	-0.9531	-0.9531	-0.71755	DOWN
ADAM20	1	3	ADAM20	-0.2863	0.6781	1.2265	0.6781	0.539433	UP
ADAM21	1	3	ADAM21	1.9449	-0.7859	0.3448	0.3448	0.501267	UP
ADAM22	1	2	ADAM22	-1.5146	-1.0291		-1.27185	-1.27185	DOWN
ADAM23	1	2	ADAM23	-1.0893	-0.304		-0.69665	-0.69665	DOWN
ADAM28	1	3	ADAM28	-0.0145	0.585	-0.074	-0.0145	0.1655	DOWN
ADAM29	1	3	ADAM29	0.0426	-1.152	-2.4739	-1.152	-1.19443	DOWN
ADAM33	3	3	ADAM33	-0.1844	-0.2863	-0.5995	-0.2863	-0.356733	DOWN
ADAM8	1	3	ADAM8	-1.3959	-0.8625	1.9635	-0.8625	-0.0983	DOWN
ADAM9	2	3	ADAM9	-1.1617	0.3345	-1.12305	-1.12305	-0.650083	DOWN
ADAMTS1	2	3	ADAMTS1	-4.3219	-1.6897	-0.1535	-1.6897	-2.05503	DOWN
ADAMTS10	1	2	ADAMTS10		2.5656	-0.7612	0.9022	0.9022	UP
ADAMTS12	1	3	ADAMTS12	0.4542	-1.6439	3.841	0.4542	0.883767	UP
ADAMTS13	2	3	ADAMTS13	0.4452	-0.9714	1.97575	0.4452	0.483183	UP
ADAMTS14	1	2	ADAMTS14		-0.074	-0.9714	-0.5227	-0.5227	DOWN
ADAMTS15	1	3	ADAMTS15	-6.6439	-1.5995	-1.5995	-1.5995	-3.28097	DOWN
ADAMTS16	1	2	ADAMTS16		-1.0291	-0.2176	-0.62335	-0.62335	DOWN
ADAMTS17	2	3	ADAMTS17	1.86	-0.82195	-0.86275	-0.82195	0.0584333	DOWN
ADAMTS18	1	3	ADAMTS18	-2.6439	2.5777	-2.0589	-2.0589	-0.708367	DOWN
ADAMTS2	2	3	ADAMTS2	0.74385	-2.6439	-0.6021	-0.6021	-0.83405	DOWN
ADAMTS3	2	2	ADAMTS3	2.6095		1.7093	2.1594	2.1594	UP
ADAMTS4	2	3	ADAMTS4	5.7317	-4.6439	0.8156	0.8156	0.634467	UP
ADAMTS7	2	3	ADAMTS7	2.1375	-1	1.686	1.686	0.941167	UP
ADAMTS8	2	3	ADAMTS8	-3.8365	-0.6666	0.2928	-0.6666	-1.40343	DOWN
ADAMTS9	3	3	ADAMTS9	-0.8625	-1.15345	2.4542	-0.8625	0.146083	DOWN
ADAMTSL1	2	3	ADAMTSL1|C9ORF94	1.21285	2.0477	2.0215	2.0215	1.76068	UP
ADAMTSL3	3	3	ADAMTSL3	-0.4739	0.1763	0.1506	0.1506	-0.049	UP
ADAMTSL4	1	2	TSRC1	-0.4739	-1.7859		-1.1299	-1.1299	DOWN
ADAP1	2	3	CENTA1	-0.13825	-0.31765	2.00655	-0.13825	0.516883	DOWN
ADAP2	2	3	CENTA2	1.16095	-0.7589	-0.4162	-0.4162	-0.00471667	DOWN
ADAR	1	3	ADAR	0.263	-0.152	-0.152	-0.152	-0.0136667	DOWN
ADARB1	2	3	ADARB1	-0.3983	0.1888	-0.41375	-0.3983	-0.20775	DOWN
ADAT1	1	3	ADAT1	1	0.5059	0.5361	0.5361	0.680667	UP
ADAT2	1	3	DJ20N2.1	1.0635	0.7824	0.0704	0.7824	0.638767	UP
ADCK1	2	3	ADCK1	-1.4376	1.0624	1.24635	1.0624	0.290383	UP
ADCK2	2	3	ADCK2	0.9055	0.3785	-0.40995	0.3785	0.29135	UP
ADCK5	1	3	ADCK5	0.516	0.2869	-0.3585	0.2869	0.148133	UP
ADCY1	2	3	ADCY1	0.33155	0.0144	0.7326	0.33155	0.359517	UP
ADCY10	1	2	SAC	5.4279		2.7929	4.1104	4.1104	UP
ADCY2	1	3	ADCY2	-2.3959	-1.0291	-3.1844	-2.3959	-2.20313	DOWN
ADCY3	2	3	ADCY3	-1.3219	-1.2515	2.15945	-1.2515	-0.137983	DOWN
ADCY4	2	2	ADCY4		1.28905	2.6299	1.95948	1.95948	UP
ADCY5	2	2	ADCY5	-0.6403	-1.02585		-0.833075	-0.833075	DOWN
ADCY6	2	3	ADCY6	0.4436	-1.6439	-0.6439	-0.6439	-0.614733	DOWN
ADCY7	2	3	ADCY7	2.1308	1.79695	-1.2515	1.79695	0.892083	UP
ADCY8	1	3	ADCY8	-2.2515	4.9823	3.7939	3.7939	2.1749	UP
ADCY9	2	3	ADCY9	-1.057	-0.3333	0.65	-0.3333	-0.246767	DOWN
ADCYAP1	1	2	ADCYAP1		-1.5995	2.3868	0.39365	0.39365	UP
ADCYAP1R1	1	3	ADCYAP1R1	-2.4739	1.2928	1.546	1.2928	0.121633	UP
ADD1	3	3	ADD1	-0.42625	2.7677	-0.0427	-0.0427	0.76625	DOWN
ADD2	2	3	ADD2	-1.9477	-0.1717	-0.1168	-0.1717	-0.7454	DOWN
ADD3	2	3	ADD3	0.9433	-0.13955	0.848	0.848	0.550583	UP
ADGB	2	3	C6ORF103	-1	3.59385	0.61415	0.61415	1.06933	UP
ADGRA1	1	3	GPR123	-2.8365	3.2327	-1.3959	-1.3959	-0.333233	DOWN
ADGRA2	2	3	GPR124	0.37625	4.4705	0.2869	0.37625	1.71122	UP
ADGRA3	2	3	GPR125	-0.72745	0.4222	-0.8651	-0.72745	-0.390117	DOWN
ADGRB1	1	3	BAI1	0.6229	-0.4739	1.4751	0.6229	0.541367	UP
ADGRB2	1	3	BAI2	-0.889	0.7398	-0.6897	-0.6897	-0.279633	DOWN
ADGRD1	2	2	GPR133	-0.94075	4.7495		1.90438	1.90438	UP
ADGRE1	2	3	EMR1	-0.29515	-0.6227	-1.1467	-0.6227	-0.688183	DOWN
ADGRE2	2	3	EMR2	0.1837	-1.61485	3.6415	0.1837	0.736783	UP
ADGRE3	2	3	EMR3	0.6229	0.1076	-1.90395	0.1076	-0.39115	UP
ADGRE5	1	3	CD97	0.111	-2.4739	1.3505	0.111	-0.337467	UP
ADGRF2P	1	2	GPR111		0.3785	-0.0439	0.1673	0.1673	UP
ADGRF3	1	2	GPR113	5.9229	1.0426		3.48275	3.48275	UP
ADGRF4	1	3	GPR115	-2.8365	1.4005	-0.4941	-0.4941	-0.643367	DOWN
ADGRF5	2	3	GPR116	-1.9607	-0.3685	-1.07925	-1.07925	-1.13615	DOWN
ADGRG1	1	3	GPR56	-0.5995	1.1763	-0.9714	-0.5995	-0.131533	DOWN
ADGRG2	1	3	GPR64	0.0426	-0.6215	3.0976	0.0426	0.839567	UP
ADGRG4	1	2	GPR112		-1.889	-0.8365	-1.36275	-1.36275	DOWN
ADGRG5	1	3	GPR114	-2.6439	4.2327	2.1506	2.1506	1.24647	UP
ADGRG6	4	3	GPR126	-0.037	0.3062	0.275	0.275	0.1814	UP
ADGRG7	1	2	GPR128	-1.2863	1.2987		0.0062	0.0062	UP
ADGRL2	2	3	LPHN2	-0.52675	-1.14455	-0.7639	-0.7639	-0.811733	DOWN
ADGRL3	3	3	LPHN3	0.1635	-1.8365	1.3785	0.1635	-0.0981667	UP
ADGRL4	1	3	ELTD1	-1.3585	1.2869	-3.0589	-1.3585	-1.0435	DOWN
ADGRV1	2	2	MASS1		-0.2426	-0.2515	-0.24705	-0.24705	DOWN
ADH1B	2	3	ADH1B	-0.718	0.6008	-1.1189	-0.718	-0.412033	DOWN
ADH1C	1	2	ADH1C	-1.3585		0.4751	-0.4417	-0.4417	DOWN
ADH5	1	3	ADH5	0.1243	0.8953	-1.0291	0.1243	-0.00316667	UP
ADH6	1	3	ADH6	-2.5564	-1.3219	-1.5564	-1.5564	-1.81157	DOWN
ADHFE1	1	3	ADHFE1	-0.889	0.0566	3.2032	0.0566	0.790267	UP
ADI1	1	3	MTCBP-1	0.0426	1.6369	-0.1681	0.0426	0.5038	UP
ADIPOQ	1	3	ACDC	-0.0893	0.774	-1.5146	-0.0893	-0.276633	DOWN
ADIPOR1	1	3	ADIPOR1	-0.737	0.4751	0.4114	0.4114	0.0498333	UP
