panel,symbol,hgnc_symbol,hgnc_class,measured,n_probes,n_arrays,tokens,remapped,legacy_measured,GSM558700,GSM558701,GSM558702,median_log2,mean_log2,median_log2_700_702,direction_median,thesis
APM,CANX,CANX,current,yes,17,3,CANX,no,yes,-1.2515,0.8718,-1.3959,-1.2515,-0.591867,-1.3237,DOWN,UP
APM,PDIA3,PDIA3,current,yes,1,3,GRP58,yes,no,-1.1844,1.0072,-0.737,-0.737,-0.304733,-0.9607,DOWN,UP
IFN_IMMUNE,ISG15,ISG15,current,yes,1,3,G1P2,yes,yes,0.7137,1.7949,-1.0589,0.7137,0.483233,-0.1726,UP,UP
IFN_IMMUNE,MX1,MX1,current,yes,1,2,MX1,no,yes,-0.074,,0.7908,0.3584,0.3584,0.3584,UP,UP
IFN_IMMUNE,MX2,MX2,current,no,0,0,,no,no,,,,,,,NA,UP
IFN_IMMUNE,OAS1,OAS1,current,yes,1,3,OAS1,no,yes,0.7398,-0.6897,0.6323,0.6323,0.227467,0.68605,UP,UP
IFN_IMMUNE,OAS2,OAS2,current,yes,1,3,OAS2,no,yes,-0.2863,2.8115,0.111,0.111,0.878733,-0.08765,UP,UP
IFN_IMMUNE,OAS3,OAS3,current,yes,1,3,OAS3,no,yes,1.2265,-0.3585,0.5753,0.5753,0.4811,0.9009,UP,UP
IFN_IMMUNE,OASL,OASL,current,yes,1,2,OASL,no,yes,-2.2515,0.84,,-0.70575,-0.70575,,DOWN,UP
IFN_IMMUNE,RSAD2,RSAD2,current,no,1,0,CIG5,yes,no,,,,,,,NA,UP
IFN_IMMUNE,IFIT1,IFIT1,current,yes,1,3,IFIT1,no,yes,-2.8365,-1.1203,-2.1203,-2.1203,-2.0257,-2.4784,DOWN,UP
IFN_IMMUNE,IFIT2,IFIT2,current,yes,1,3,IFIT2,no,yes,-1.5146,1.6736,-1.3219,-1.3219,-0.387633,-1.41825,DOWN,UP
IFN_IMMUNE,IFIT3,IFIT3,current,yes,1,3,IFIT3,no,yes,-0.5995,-0.7859,1.3448,-0.5995,-0.0135333,0.37265,DOWN,UP
IFN_IMMUNE,IFIT5,IFIT5,current,yes,1,3,IFIT5,no,yes,0.1635,-0.152,-0.0291,-0.0291,-0.00586667,0.0672,DOWN,UP
IFN_IMMUNE,IFITM1,IFITM1,current,no,0,0,,no,no,,,,,,,NA,UP
IFN_IMMUNE,IFITM2,IFITM2,current,yes,2,3,IFITM2,no,yes,0.75265,2.7302,-0.2542,0.75265,1.07622,0.249225,UP,UP
IFN_IMMUNE,IFITM3,IFITM3,current,no,0,0,,no,no,,,,,,,NA,UP
IFN_IMMUNE,IFI6,IFI6,current,yes,1,3,G1P3,yes,yes,0.9336,-0.8625,0.111,0.111,0.0607,0.5223,UP,UP
IFN_IMMUNE,IFI27,IFI27,current,yes,1,3,IFI27,no,yes,-2.6439,2.842,-2.3219,-2.3219,-0.707933,-2.4829,DOWN,UP
IFN_IMMUNE,IFI35,IFI35,current,yes,1,3,IFI35,no,yes,-1.4344,0.2388,-1.4344,-1.4344,-0.876667,-1.4344,DOWN,UP
IFN_IMMUNE,IFI44,IFI44,current,yes,1,2,IFI44,no,yes,-1.3585,,-2,-1.67925,-1.67925,-1.67925,DOWN,UP
IFN_IMMUNE,IFI44L,IFI44L,current,yes,2,3,C1ORF29,yes,no,1.59075,-1.02945,-1.91515,-1.02945,-0.451283,-0.1622,DOWN,UP
IFN_IMMUNE,IFI16,IFI16,current,yes,2,3,IFI16,no,yes,-0.0367,1.1243,-1.0291,-0.0367,0.0195,-0.5329,DOWN,UP
IFN_IMMUNE,DDX58,RIGI,prev_symbol,yes,1,2,DDX58,yes,yes,,-0.6439,-2.2515,-1.4477,-1.4477,,DOWN,UP
IFN_IMMUNE,IFIH1,IFIH1,current,yes,1,3,IFIH1,no,yes,-0.4941,-0.9714,-1.3219,-0.9714,-0.929133,-0.908,DOWN,UP
IFN_IMMUNE,DDX60,DDX60,current,yes,2,3,FLJ20035,yes,no,-1.2176,1.56865,0.9718,0.9718,0.44095,-0.1229,UP,UP
IFN_IMMUNE,XAF1,XAF1,current,yes,1,2,HSXIAPAF1,yes,no,,0.4436,0.4436,0.4436,0.4436,,UP,UP
IFN_IMMUNE,HERC5,HERC5,current,yes,1,3,HERC5,no,yes,-0.0439,0.0704,1.5607,0.0704,0.529067,0.7584,UP,UP
IFN_IMMUNE,USP18,USP18,current,yes,1,3,USP18,no,yes,2.3306,-3.6439,3.2095,2.3306,0.632067,2.77005,UP,UP
IFN_IMMUNE,CMPK2,CMPK2,current,no,0,0,,no,no,,,,,,,NA,UP
IFN_IMMUNE,BST2,BST2,current,yes,1,3,BST2,no,yes,-0.8625,0.9782,-0.811,-0.811,-0.231767,-0.83675,DOWN,UP
IFN_IMMUNE,GBP1,GBP1,current,yes,1,3,GBP1,no,yes,-2.8365,-0.3585,-3.6439,-2.8365,-2.27963,-3.2402,DOWN,UP
IFN_IMMUNE,GBP2,GBP2,current,yes,1,3,GBP2,no,yes,0.4114,-0.7131,-1.0589,-0.7131,-0.453533,-0.32375,DOWN,UP
IFN_IMMUNE,GBP4,GBP4,current,yes,1,2,GBP4,no,yes,0.4222,-0.737,,-0.1574,-0.1574,,DOWN,UP
IFN_IMMUNE,GBP5,GBP5,current,yes,2,3,GBP5,no,yes,-1.62575,0.63995,-1.90395,-1.62575,-0.96325,-1.76485,DOWN,UP
IFN_IMMUNE,EIF2AK2,EIF2AK2,current,yes,2,3,PRKR,yes,no,-0.6379,1.22445,-0.17925,-0.17925,0.135767,-0.408575,DOWN,UP
IFN_IMMUNE,ZBP1,ZBP1,current,yes,1,3,ZBP1,no,yes,0.8319,-0.5995,-1.0589,-0.5995,-0.2755,-0.1135,DOWN,UP
IFN_IMMUNE,STAT1,STAT1,current,yes,3,3,STAT1,no,yes,0.111,0.8237,0.48235,0.48235,0.47235,0.296675,UP,UP
IFN_IMMUNE,STAT2,STAT2,current,yes,2,3,STAT2,no,yes,-0.70405,-0.0491,-0.6695,-0.6695,-0.474217,-0.686775,DOWN,UP
IFN_IMMUNE,IRF1,IRF1,current,yes,1,3,IRF1,no,yes,-1.0291,-0.0439,0.3448,-0.0439,-0.242733,-0.34215,DOWN,UP
IFN_IMMUNE,IRF7,IRF7,current,yes,2,3,IRF7,no,yes,-0.1419,0.5423,0.4182,0.4182,0.272867,0.13815,UP,UP
IFN_IMMUNE,IRF9,IRF9,current,no,0,0,,no,no,,,,,,,NA,UP
IFN_IMMUNE,JAK2,JAK2,current,yes,2,3,JAK2,no,yes,1.8032,2.3683,1.20435,1.8032,1.79195,1.50378,UP,UP
IFN_IMMUNE,SOCS1,SOCS1,current,yes,1,2,SOCS1,no,yes,-0.4344,,-1.5564,-0.9954,-0.9954,-0.9954,DOWN,UP
IFN_IMMUNE,SOCS3,SOCS3,current,yes,1,3,SOCS3,no,yes,0.2987,-0.5995,3.706,0.2987,1.13507,2.00235,UP,UP
IFN_IMMUNE,B2M,B2M,current,yes,1,3,B2M,no,yes,-2.5564,2.2296,-3.1844,-2.5564,-1.1704,-2.8704,DOWN,UP
IFN_IMMUNE,TAP1,TAP1,current,yes,2,3,TAP1,no,yes,-1.90295,2.3537,-1.4717,-1.4717,-0.340317,-1.68732,DOWN,UP
IFN_IMMUNE,TAP2,TAP2,current,yes,3,3,TAP2,no,yes,-0.5564,-3.0589,-0.1681,-0.5564,-1.26113,-0.36225,DOWN,UP
IFN_IMMUNE,PSMB8,PSMB8,current,yes,2,3,PSMB8,no,yes,0.3274,1.05745,-0.133,0.3274,0.417283,0.0972,UP,UP
IFN_IMMUNE,PSMB9,PSMB9,current,yes,2,3,PSMB9,no,yes,0.93805,3.05225,1.7093,1.7093,1.89987,1.32368,UP,UP
IFN_IMMUNE,NLRC5,NLRC5,current,yes,2,3,NOD27,yes,no,4.1376,0.6708,-0.5146,0.6708,1.43127,1.8115,UP,UP
IFN_IMMUNE,HLA-A,HLA-A,current,yes,11,3,HLA-A,no,yes,-1.5995,0.7975,-1.737,-1.5995,-0.846333,-1.66825,DOWN,UP
IFN_IMMUNE,HLA-B,HLA-B,current,yes,1,3,HLA-B,no,yes,-1.5564,2.3277,-2.1203,-1.5564,-0.449667,-1.83835,DOWN,UP
IFN_IMMUNE,HLA-C,HLA-C,current,yes,3,3,HLA-C,no,yes,-1.2515,1.0566,-1.2515,-1.2515,-0.482133,-1.2515,DOWN,UP
IFN_IMMUNE,HLA-E,HLA-E,current,yes,1,3,HLA-E,no,yes,0.8718,-1.5564,1.7991,0.8718,0.3715,1.33545,UP,UP
IFN_IMMUNE,HLA-F,HLA-F,current,yes,2,3,HLA-F,no,yes,-1.89295,1.154,-1.3251,-1.3251,-0.688017,-1.60902,DOWN,UP
IFN_IMMUNE,TAPBP,TAPBP,current,yes,3,3,TAPBP,no,yes,-1.3585,0.546,-0.56015,-0.56015,-0.45755,-0.959325,DOWN,UP
IFN_IMMUNE,CXCL10,CXCL10,current,yes,1,2,CXCL10,no,yes,,6.5048,-0.454,3.0254,3.0254,,UP,UP
IFN_IMMUNE,CXCL11,CXCL11,current,yes,1,3,CXCL11,no,yes,-3.6439,1.696,2.9241,1.696,0.3254,-0.3599,UP,UP
IFN_IMMUNE,CXCL9,CXCL9,current,no,1,1,CXCL9,no,no,,,-0.1361,,,,NA,UP
IFN_IMMUNE,CCL5,CCL5,current,no,1,1,CCL5,no,no,,,-0.8625,,,,NA,UP
IFN_IMMUNE,CCL2,CCL2,current,yes,1,3,CCL2,no,yes,1.1763,0.6599,0.251,0.6599,0.695733,0.71365,UP,UP
IFN_IMMUNE,IL6,IL6,current,yes,2,3,IL6,no,yes,-1.2176,1.2388,-0.71795,-0.71795,-0.23225,-0.967775,DOWN,UP
IFN_IMMUNE,TNF,TNF,current,yes,1,3,TNF,no,yes,-0.4941,1.6088,-0.5778,-0.4941,0.178967,-0.53595,DOWN,UP
IFN_IMMUNE,NFKB1,NFKB1,current,yes,1,3,NFKB1,no,yes,-0.6215,0.696,-2.1844,-0.6215,-0.7033,-1.40295,DOWN,UP
IFN_IMMUNE,RELA,RELA,current,yes,1,3,RELA,no,yes,1.852,-2.3959,2.5084,1.852,0.654833,2.1802,UP,UP
IFN_IMMUNE,IL15,IL15,current,yes,3,3,IL15,no,yes,0.9184,-0.3585,0.6323,0.6323,0.3974,0.77535,UP,UP
IFN_IMMUNE,IL32,IL32,current,yes,2,3,NK4,yes,no,0.87875,-1.10015,0.3552,0.3552,0.0446,0.616975,UP,UP
IFN_IMMUNE,IFNB1,IFNB1,current,yes,1,2,IFNB1,no,yes,,4.4919,-3.0589,0.7165,0.7165,,UP,UP
IFN_IMMUNE,IFNG,IFNG,current,yes,1,3,IFNG,no,yes,-0.2688,-0.811,-3.4739,-0.811,-1.5179,-1.87135,DOWN,UP
IFN_IMMUNE,IFNAR1,IFNAR1,current,yes,1,3,IFNAR1,no,yes,-1.3585,-1.2176,-0.1844,-1.2176,-0.920167,-0.77145,DOWN,UP
IFN_IMMUNE,IFNAR2,IFNAR2,current,yes,1,3,IFNAR2,no,yes,0.0841,1.2449,-2.6439,0.0841,-0.4383,-1.2799,UP,UP
IFN_IMMUNE,IFNGR1,IFNGR1,current,yes,1,3,IFNGR1,no,yes,0.6415,0.1375,-2.2515,0.1375,-0.490833,-0.805,UP,UP
IFN_IMMUNE,IFNGR2,IFNGR2,current,yes,1,3,IFNGR2,no,yes,-1.7859,1.0496,1.2869,1.0496,0.183533,-0.2495,UP,UP
IFN_IMMUNE,IFNL1,IFNL1,current,no,0,0,,no,no,,,,,,,NA,UP
TJ_CORE,CLDN1,CLDN1,current,yes,1,3,CLDN1,no,yes,-1.3959,0.275,-0.8625,-0.8625,-0.661133,-1.1292,DOWN,DOWN
TJ_CORE,CLDN3,CLDN3,current,yes,1,3,CLDN3,no,yes,-0.7859,-0.8625,-1.0291,-0.8625,-0.8925,-0.9075,DOWN,DOWN
TJ_CORE,CLDN7,CLDN7,current,yes,1,3,CLDN7,no,yes,0.5059,-0.3585,-0.9434,-0.3585,-0.265333,-0.21875,DOWN,DOWN
TJ_CORE,CLDN18,CLDN18,current,yes,1,3,CLDN18,no,yes,-1.9434,-0.8625,1.9107,-0.8625,-0.2984,-0.01635,DOWN,DOWN
TJ_CORE,OCLN,OCLN,current,yes,2,3,OCLN,no,yes,-0.1349,0.30545,-0.304,-0.1349,-0.0444833,-0.21945,DOWN,DOWN
TJ_CORE,TJP1,TJP1,current,yes,2,3,TJP1,no,yes,-1.1726,-0.89295,-0.64455,-0.89295,-0.903367,-0.908575,DOWN,DOWN
TJ_CORE,TJP2,TJP2,current,yes,1,2,TJP2,no,yes,0.84,2.8679,,1.85395,1.85395,,UP,DOWN
TJ_CORE,TJP3,TJP3,current,yes,1,3,TJP3,no,yes,-4.3219,1.7004,1.7655,1.7004,-0.285333,-1.2782,UP,DOWN
TJ_CORE,MARVELD2,MARVELD2,current,yes,2,3,MARVELD2,no,yes,1.53305,-1.03005,-2.2515,-1.03005,-0.582833,-0.359225,DOWN,DOWN
TJ_CORE,MARVELD3,MARVELD3,current,yes,3,3,MARVELD3,no,yes,-1.9162,-1.03125,-0.59105,-1.03125,-1.1795,-1.25362,DOWN,DOWN
TJ_CORE,F11R,F11R,current,yes,4,3,F11R,no,yes,-1.02345,0.83615,0.75655,0.75655,0.18975,-0.13345,UP,DOWN
TJ_CORE,JAM2,JAM2,current,no,1,1,JAM2,no,no,,-5.0589,,,,,NA,DOWN
TJ_CORE,JAM3,JAM3,current,yes,1,3,JAM3,no,yes,1.373,0.7824,1.0566,1.0566,1.07067,1.2148,UP,DOWN
TJ_CORE,CGN,CGN,current,yes,1,3,CGN,no,yes,-0.1844,2.1667,1.433,1.433,1.13843,0.6243,UP,DOWN
TJ_CORE,CGNL1,CGNL1,current,yes,1,3,JACOP,yes,no,0.3448,0.251,-1.3959,0.251,-0.2667,-0.52555,UP,DOWN
PERTURB,CLDN4,CLDN4,current,yes,1,2,CLDN4,no,yes,,-1.737,-0.7131,-1.22505,-1.22505,,DOWN,DOWN_expected_for_CLDN4
