method	scope	unit	panel	n	n_up	n_down	effect	effect_kind	p_up	cldn4_values	cldn4_median	orientation_ok	pass_panel_up	note	final_verdict	method_aligns_ifn_and_apm
deposited_abs_threshold_q50_abs	experiment	gene	NHEJ	5	1	4	-0.99	median_log2_among_|effect|>=threshold	0.932419	-1.7370;-0.7131	-1.22505	yes	no	threshold=0.5995; sign-test p_up=0.9688; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q75_abs	experiment	gene	PRIORITY	3	0	3	-2.1203	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.1043; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q75_abs	experiment	gene	APM	7	1	6	-1.4717	median_log2_among_|effect|>=threshold	0.86867	-1.7370;-0.7131	-1.22505	yes	no	threshold=1.1043; sign-test p_up=0.9922; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q75_abs	experiment	gene	IFN_IMMUNE	21	6	15	-1.4344	median_log2_among_|effect|>=threshold	0.818126	-1.7370;-0.7131	-1.22505	yes	no	threshold=1.1043; sign-test p_up=0.9867; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q75_abs	experiment	gene	TJ_CORE	3	3	0	1.7004	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.1043; sign-test p_up=0.125; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q75_abs	experiment	gene	STING	3	2	1	1.88065	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.1043; sign-test p_up=0.5; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q75_abs	experiment	gene	NHEJ	2	0	2	-1.7674	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.1043; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q90_abs	experiment	gene	PRIORITY	2	0	2	-2.2211	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.7108; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q90_abs	experiment	gene	APM	1	0	1	-2.5564	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.7108; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q90_abs	experiment	gene	IFN_IMMUNE	8	4	4	-0.15855	median_log2_among_|effect|>=threshold	0.588966	-1.7370;-0.7131	-1.22505	yes	no	threshold=1.7108; sign-test p_up=0.6367; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q90_abs	experiment	gene	TJ_CORE	1	1	0	1.85395	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.7108; sign-test p_up=0.5; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q90_abs	experiment	gene	STING	2	2	0	2.45303	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.7108; sign-test p_up=0.25; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_q90_abs	experiment	gene	NHEJ	1	0	1	-1.9784	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.7108; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_abs_ge_CLDN4	experiment	gene	PRIORITY	3	0	3	-2.1203	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.2250; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_abs_ge_CLDN4	experiment	gene	APM	7	1	6	-1.4717	median_log2_among_|effect|>=threshold	0.756105	-1.7370;-0.7131	-1.22505	yes	no	threshold=1.2250; sign-test p_up=0.9922; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_abs_ge_CLDN4	experiment	gene	IFN_IMMUNE	20	6	14	-1.44105	median_log2_among_|effect|>=threshold	0.681325	-1.7370;-0.7131	-1.22505	yes	no	threshold=1.2250; sign-test p_up=0.9793; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_abs_ge_CLDN4	experiment	gene	TJ_CORE	3	3	0	1.7004	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.2250; sign-test p_up=0.125; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_abs_ge_CLDN4	experiment	gene	STING	3	2	1	1.88065	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.2250; sign-test p_up=0.5; genes below the bar are ignored	FINAL_DISCORDANT	no
deposited_abs_threshold_abs_ge_CLDN4	experiment	gene	NHEJ	2	0	2	-1.7674	median_log2_among_|effect|>=threshold		-1.7370;-0.7131	-1.22505	yes	no	threshold=1.2250; sign-test p_up=1; genes below the bar are ignored	FINAL_DISCORDANT	no
ssgsea_deposited	experiment	enrichment	PRIORITY	6	1	2	-1663.98	median_per_array_ssgsea_ES	0.737	-1.7370;-0.7131	-1.22505	yes	no	alpha=0.25; per-array ES -1663.975,3893.881,-1852.069; perm p is on the gene-median ranking (n_perm=999, seed=42); ranking ES=-339.186	FINAL_DISCORDANT	no
ssgsea_deposited	experiment	enrichment	APM	15	1	2	-936.29	median_per_array_ssgsea_ES	0.955	-1.7370;-0.7131	-1.22505	yes	no	alpha=0.25; per-array ES -936.290,2960.402,-1390.926; perm p is on the gene-median ranking (n_perm=999, seed=42); ranking ES=-1034.415	FINAL_DISCORDANT	no
ssgsea_deposited	experiment	enrichment	IFN_IMMUNE	64	2	1	77.2589	median_per_array_ssgsea_ES	0.773	-1.7370;-0.7131	-1.22505	yes	no	alpha=0.25; per-array ES 77.259,1759.241,-129.794; perm p is on the gene-median ranking (n_perm=999, seed=42); ranking ES=441.544	FINAL_DISCORDANT	no
ssgsea_deposited	experiment	enrichment	TJ_CORE	14	2	1	604.645	median_per_array_ssgsea_ES	0.437	-1.7370;-0.7131	-1.22505	yes	no	alpha=0.25; per-array ES -177.143,666.350,604.645; perm p is on the gene-median ranking (n_perm=999, seed=42); ranking ES=941.090	FINAL_DISCORDANT	no
ssgsea_deposited	experiment	enrichment	STING	12	3	0	1058.11	median_per_array_ssgsea_ES	0.118	-1.7370;-0.7131	-1.22505	yes	no	alpha=0.25; per-array ES 1058.113,1683.195,389.938; perm p is on the gene-median ranking (n_perm=999, seed=42); ranking ES=2148.338	FINAL_DISCORDANT	no
ssgsea_deposited	experiment	enrichment	NHEJ	11	2	1	740.164	median_per_array_ssgsea_ES	0.676	-1.7370;-0.7131	-1.22505	yes	no	alpha=0.25; per-array ES -296.441,740.164,1305.510; perm p is on the gene-median ranking (n_perm=999, seed=42); ranking ES=221.956	FINAL_DISCORDANT	no
gsva_n3_deposited	experiment	enrichment	PRIORITY	5	0	1	-1182.08	median_across_samples_of_KS	0.937	-1.7370;-0.7131	-1.22505	yes	no	n=3 across-sample ranks only; three rank levels; not a rescue by itself unless p<0.05 and ES>0	FINAL_DISCORDANT	no
gsva_n3_deposited	experiment	enrichment	APM	15	0	1	-937.417	median_across_samples_of_KS	0.981	-1.7370;-0.7131	-1.22505	yes	no	n=3 across-sample ranks only; three rank levels; not a rescue by itself unless p<0.05 and ES>0	FINAL_DISCORDANT	no
gsva_n3_deposited	experiment	enrichment	IFN_IMMUNE	55	0	1	-451.523	median_across_samples_of_KS	0.971	-1.7370;-0.7131	-1.22505	yes	no	n=3 across-sample ranks only; three rank levels; not a rescue by itself unless p<0.05 and ES>0	FINAL_DISCORDANT	no
gsva_n3_deposited	experiment	enrichment	TJ_CORE	13	1	0	361.076	median_across_samples_of_KS	0.251	-1.7370;-0.7131	-1.22505	yes	no	n=3 across-sample ranks only; three rank levels; not a rescue by itself unless p<0.05 and ES>0	FINAL_DISCORDANT	no
gsva_n3_deposited	experiment	enrichment	STING	7	1	0	575.473	median_across_samples_of_KS	0.209	-1.7370;-0.7131	-1.22505	yes	no	n=3 across-sample ranks only; three rank levels; not a rescue by itself unless p<0.05 and ES>0	FINAL_DISCORDANT	no
gsva_n3_deposited	experiment	enrichment	NHEJ	11	0	1	-325.384	median_across_samples_of_KS	0.719	-1.7370;-0.7131	-1.22505	yes	no	n=3 across-sample ranks only; three rank levels; not a rescue by itself unless p<0.05 and ES>0	FINAL_DISCORDANT	no
deposited_within_array_rank	experiment	gene	PRIORITY	6	3	3	0.3518	median_of_within_array_percentile	0.858166	-1.7370;-0.7131	-1.22505	yes	no	percentile within each array, then median; up means percentile > 0.5	FINAL_DISCORDANT	no
deposited_within_array_rank	experiment	gene	APM	15	4	11	0.346426	median_of_within_array_percentile	0.978723	-1.7370;-0.7131	-1.22505	yes	no	percentile within each array, then median; up means percentile > 0.5	FINAL_DISCORDANT	no
deposited_within_array_rank	experiment	gene	IFN_IMMUNE	64	31	33	0.472001	median_of_within_array_percentile	0.915807	-1.7370;-0.7131	-1.22505	yes	no	percentile within each array, then median; up means percentile > 0.5	FINAL_DISCORDANT	no
deposited_within_array_rank	experiment	gene	TJ_CORE	14	6	8	0.425386	median_of_within_array_percentile	0.594486	-1.7370;-0.7131	-1.22505	yes	no	percentile within each array, then median; up means percentile > 0.5	FINAL_DISCORDANT	no
deposited_within_array_rank	experiment	gene	STING	12	8	4	0.571022	median_of_within_array_percentile	0.277099	-1.7370;-0.7131	-1.22505	yes	no	percentile within each array, then median; up means percentile > 0.5	FINAL_DISCORDANT	no
deposited_within_array_rank	experiment	gene	NHEJ	11	7	4	0.536243	median_of_within_array_percentile	0.691153	-1.7370;-0.7131	-1.22505	yes	no	percentile within each array, then median; up means percentile > 0.5	FINAL_DISCORDANT	no
