probe,token,token_from,symbol,map_class,legacy_symbol,remapped,GSM558700,GSM558701,GSM558702,description
11722,MARVELD2,ORF,MARVELD2,current,MARVELD2,no,2.6439,-2.1844,,MARVELD2--MARVEL domain containing 2
11755,IFNGR2,ORF,IFNGR2,current,IFNGR2,no,-1.7859,1.0496,1.2869,IFNGR2--Interferon gamma receptor 2 (interferon gamma transducer 1)
11868,STAT2,ORF,STAT2,current,STAT2,no,-4.0589,-0.889,-0.7612,"STAT2--Signal transducer and activator of transcription 2, 113kDa"
12585,SOCS3,ORF,SOCS3,current,SOCS3,no,0.2987,-0.5995,3.706,SOCS3--Suppressor of cytokine signaling 3
12980,TJP3,ORF,TJP3,current,TJP3,no,-4.3219,1.7004,1.7655,TJP3--Tight junction protein 3 (zona occludens 3)
13326,IFI27,ORF,IFI27,current,IFI27,no,-2.6439,2.842,-2.3219,"IFI27--Interferon, alpha-inducible protein 27"
13757,NFKB1,ORF,NFKB1,current,NFKB1,no,-0.6215,0.696,-2.1844,NFKB1--Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)
13774,TAPBP,ORF,TAPBP,current,TAPBP,no,2.0942,0.546,0.8797,TAPBP--TAP binding protein (tapasin)
13828,ZBP1,ORF,ZBP1,current,ZBP1,no,0.8319,-0.5995,-1.0589,ZBP1--Z-DNA binding protein 1
14116,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-1.5146,3.852,-2.3219,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR"
14667,C1orf29,ORF,IFI44L,prev_symbol,C1ORF29,yes,2.6554,-1.6439,-1.4344,C1orf29--Chromosome 1 open reading frame 29
14780,F11R,ORF,F11R,current,F11R,no,-1.1844,0.3896,-1.0291,F11R--F11 receptor
14789,USP18,ORF,USP18,current,USP18,no,2.3306,-3.6439,3.2095,USP18--Ubiquitin specific protease 18
14801,GBP4,ORF,GBP4,current,GBP4,no,0.4222,-0.737,,GBP4--Guanylate binding protein 4
15133,NK4,ORF,IL32,alias_symbol,NK4,yes,1.144,-0.6439,0.696,NK4--Natural killer cell transcript 4
15153,PRKR,ORF,EIF2AK2,prev_symbol,PRKR,yes,-0.5146,0.4854,-1,"PRKR--Protein kinase, interferon-inducible double stranded RNA dependent"
15210,JAK2,ORF,JAK2,current,JAK2,no,,1.7824,-0.415,JAK2--Janus kinase 2 (a protein tyrosine kinase)
15937,TAP2,ORF,TAP2,current,TAP2,no,-0.5564,-3.6439,-0.1681,"TAP2--Transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)"
16374,PSMB8,ORF,PSMB8,current,PSMB8,no,1.7137,-0.0291,1.2079,"PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)"
16774,DDX58,ORF,RIGI,prev_symbol,DDX58,yes,,-0.6439,-2.2515,DDX58--DEAD (Asp-Glu-Ala-Asp) box polypeptide 58
16813,STAT1,ORF,STAT1,current,STAT1,no,0.111,1.3219,,"STAT1--Signal transducer and activator of transcription 1, 91kDa"
16865,G1P3,ORF,IFI6,prev_symbol,IFI6,yes,0.9336,-0.8625,0.111,"G1P3--Interferon, alpha-inducible protein (clone IFI-6-16)"
16933,HLA-F,DESCRIPTION_PREFIX,HLA-F,current,HLA-F,no,-2,2.6299,-1.889,"HLA-F--Major histocompatibility complex, class I, F"
16953,NOD27,ORF,NLRC5,alias_symbol,NOD27,yes,6.4803,-0.0145,-0.5146,NOD27--Nucleotide-binding oligomerization domains 27
17090,IL15,ORF,IL15,current,IL15,no,0.9184,-1,-0.2009,IL15--Interleukin 15
17150,CXCL10,ORF,CXCL10,current,CXCL10,no,,6.5048,-0.454,CXCL10--Chemokine (C-X-C motif) ligand 10
17169,CLDN4,ORF,CLDN4,current,CLDN4,no,,-1.737,-0.7131,CLDN4--Claudin 4
17582,IFIT3,ORF,IFIT3,current,IFIT3,no,-0.5995,-0.7859,1.3448,IFIT3--Interferon-induced protein with tetratricopeptide repeats 3
17770,MARVELD2,ORF,MARVELD2,current,MARVELD2,no,0.4222,0.1243,-2.2515,MARVELD2--MARVEL domain containing 2
18303,OAS2,ORF,OAS2,current,OAS2,no,-0.2863,2.8115,0.111,"OAS2--2'-5'-oligoadenylate synthetase 2, 69/71kDa"
19379,JAM3,ORF,JAM3,current,JAM3,no,1.373,0.7824,1.0566,JAM3--Junctional adhesion molecule 3
19842,GBP1,ORF,GBP1,current,GBP1,no,-2.8365,-0.3585,-3.6439,"GBP1--Guanylate binding protein 1, interferon-inducible, 67kDa"
19955,FLJ20035,ORF,DDX60,alias_symbol,FLJ20035,yes,,2.6112,1.4276,FLJ20035--Hypothetical protein FLJ20035
19963,HERC5,ORF,HERC5,current,HERC5,no,-0.0439,0.0704,1.5607,HERC5--Hect domain and RLD 5
20164,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-1.5995,2.4854,-1.737,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR"
20715,C1orf29,ORF,IFI44L,prev_symbol,C1ORF29,yes,0.5261,-0.415,-2.3959,C1orf29--Chromosome 1 open reading frame 29
20828,F11R,ORF,F11R,current,F11R,no,-0.8625,0.6508,0.5059,F11R--F11 receptor
21181,NK4,ORF,IL32,alias_symbol,NK4,yes,0.6135,-1.5564,0.0144,NK4--Natural killer cell transcript 4
21420,BST2,ORF,BST2,current,BST2,no,-0.8625,0.9782,-0.811,BST2--Bone marrow stromal cell antigen 2
21618,IFI16,ORF,IFI16,current,IFI16,no,0.5261,1.1243,-1.0291,"IFI16--Interferon, gamma-inducible protein 16"
21687,CXCL11,ORF,CXCL11,current,CXCL11,no,-3.6439,1.696,2.9241,CXCL11--Chemokine (C-X-C motif) ligand 11
21857,HLA-C,DESCRIPTION_PREFIX,HLA-C,current,HLA-C,no,-5.6439,1.257,-3.3219,"HLA-C--Major histocompatibility complex, class I, C"
22422,PSMB8,ORF,PSMB8,current,PSMB8,no,-1.0589,2.144,-1.4739,"PSMB8--Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional protease 7)"
22654,CANX,ORF,CANX,current,CANX,no,-1.2863,0.6415,-1.3959,CANX--Calnexin
22656,CANX,ORF,CANX,current,CANX,no,-1.152,0.903,-1.2176,CANX--Calnexin
22658,CANX,ORF,CANX,current,CANX,no,-0.6439,1.903,-1.3585,CANX--Calnexin
22660,CANX,ORF,CANX,current,CANX,no,-1,0.7485,-1.2863,CANX--Calnexin
22861,STAT1,ORF,STAT1,current,STAT1,no,0.3103,-0.5353,0.7137,"STAT1--Signal transducer and activator of transcription 1, 91kDa"
22979,HLA-E,DESCRIPTION_PREFIX,HLA-E,current,HLA-E,no,0.8718,-1.5564,1.7991,"HLA-E--Major histocompatibility complex, class I, E"
22981,HLA-F,DESCRIPTION_PREFIX,HLA-F,current,HLA-F,no,-1.7859,-0.3219,-0.7612,"HLA-F--Major histocompatibility complex, class I, F"
23563,CALR,ORF,CALR,current,CALR,no,0.4542,-0.9434,0.5059,CALR--Calreticulin
23724,IL6,ORF,IL6,current,IL6,no,-1.2176,1.2388,-1.2515,"IL6--Interleukin 6 (interferon, beta 2)"
23815,IFIT5,ORF,IFIT5,current,IFIT5,no,0.1635,-0.152,-0.0291,IFIT5--Interferon-induced protein with tetratricopeptide repeats 5
23964,STAT2,ORF,STAT2,current,STAT2,no,2.6508,0.7908,-0.5778,"STAT2--Signal transducer and activator of transcription 2, 113kDa"
24124,HLA-B,DESCRIPTION_PREFIX,HLA-B,current,HLA-B,no,-1.5564,2.3277,-2.1203,"HLA-B--Major histocompatibility complex, class I, B"
24466,cig5,ORF,RSAD2,alias_symbol,CIG5,yes,,,,cig5--Viperin
25567,PSMB9,ORF,PSMB9,current,PSMB9,no,2.1276,5.7371,2.3277,"PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)"
25678,CANX,ORF,CANX,current,CANX,no,-1.9434,0.546,-0.4941,CANX--Calnexin
25680,CANX,ORF,CANX,current,CANX,no,-2.737,0.6415,-0.8365,CANX--Calnexin
25682,CANX,ORF,CANX,current,CANX,no,-2.0589,0.8319,-1.4344,CANX--Calnexin
25684,CANX,ORF,CANX,current,CANX,no,-1.6897,0.7312,-1.5564,CANX--Calnexin
25749,IFI35,ORF,IFI35,current,IFI35,no,-1.4344,0.2388,-1.4344,IFI35--Interferon-induced protein 35
26003,FLJ20035,ORF,DDX60,alias_symbol,FLJ20035,yes,-1.2176,0.5261,0.516,FLJ20035--Hypothetical protein FLJ20035
26212,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-3.1844,0.546,1.6415,"HLA-A--HLA CLASS I HISTOCOMPATIBILITY ANTIGEN, A-1 ALPHA CHAIN PRECURSOR"
26876,F11R,ORF,F11R,current,F11R,no,-0.0439,1.0215,1.0072,F11R--F11 receptor
26892,CCL5,ORF,CCL5,current,CCL5,no,,,-0.8625,CCL5--Chemokine (C-C motif) ligand 5
26927,CLDN3,ORF,CLDN3,current,CLDN3,no,-0.7859,-0.8625,-1.0291,CLDN3--Claudin 3
26941,B2M,ORF,B2M,current,B2M,no,-2.5564,2.2296,-3.1844,B2M--Beta-2-microglobulin
27394,IFIH1,ORF,IFIH1,current,IFIH1,no,-0.4941,-0.9714,-1.3219,IFIH1--Interferon induced with helicase C domain 1
27538,MARVELD3,ORF,MARVELD3,current,MARVELD3,no,,,1.7613,MARVELD3--MARVEL domain containing 3
28166,TACSTD1,ORF,EPCAM,prev_symbol,TACSTD1,yes,-1.5995,2.5509,-1.6897,TACSTD1--Tumor-associated calcium signal transducer 1
28362,GBP5,ORF,GBP5,current,GBP5,no,-2,2.0909,-0.9714,GBP5--Guanylate binding protein 5
28512,IFNB1,ORF,IFNB1,current,IFNB1,no,,4.4919,-3.0589,"IFNB1--Interferon, beta 1, fibroblast"
28889,PSMB9,ORF,PSMB9,current,PSMB9,no,-0.2515,0.3674,1.0909,"PSMB9--Proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional protease 2)"
28909,STAT1,ORF,STAT1,current,STAT1,no,-1.4739,0.8237,0.251,"STAT1--Signal transducer and activator of transcription 1, 91kDa"
28953,IRF1,ORF,IRF1,current,IRF1,no,-1.0291,-0.0439,0.3448,IRF1--Interferon regulatory factor 1
29348,IRF7,ORF,IRF7,current,IRF7,no,0.1506,0.7398,0.3103,IRF7--Interferon regulatory factor 7
29684,PDCD1LG1,ORF,CD274,prev_symbol,PDCD1LG1,yes,-1.0291,-0.1203,0.0286,PDCD1LG1--Programmed cell death 1 ligand 1
29863,IFIT1,ORF,IFIT1,current,IFIT1,no,-2.8365,-1.1203,-2.1203,IFIT1--Interferon-induced protein with tetratricopeptide repeats 1
30154,IL6,ORF,IL6,current,IL6,no,,,-0.1844,"IL6--Interleukin 6 (interferon, beta 2)"
30399,OAS3,ORF,OAS3,current,OAS3,no,1.2265,-0.3585,0.5753,"OAS3--2'-5'-oligoadenylate synthetase 3, 100kDa"
30819,TAPBP,ORF,TAPBP,current,TAPBP,no,-2.9434,-0.8625,,TAPBP--TAP binding protein (tapasin)
30970,CANX,ORF,CANX,current,CANX,no,-1.1203,4.292,-3.8365,CANX--Calnexin
30972,CANX,ORF,CANX,current,CANX,no,-1.2515,4.7871,-6.6439,CANX--Calnexin
30974,CANX,ORF,CANX,current,CANX,no,-1.2863,4.7398,-5.6439,CANX--Calnexin
30976,CANX,ORF,CANX,current,CANX,no,-1.0893,1.5993,-3.8365,CANX--Calnexin
31702,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-2.6439,0.926,1.7655,"HLA-A--Major histocompatibility complex, class I, A"
31719,CLDN7,ORF,CLDN7,current,CLDN7,no,0.5059,-0.3585,-0.9434,CLDN7--Claudin 7
32012,OCLN,ORF,OCLN,current,OCLN,no,1.6736,1.7312,-0.304,OCLN--Occludin
32064,CXCL9,ORF,CXCL9,current,CXCL9,no,,,-0.1361,CXCL9--Chemokine (C-X-C motif) ligand 9
32812,IFI44,ORF,IFI44,current,IFI44,no,-1.3585,,-2,IFI44--Interferon-induced protein 44
32924,F11R,ORF,F11R,current,F11R,no,-1.5995,2.842,1.3505,F11R--F11 receptor
33565,HLA-A,DESCRIPTION_PREFIX,HLA-A,current,HLA-A,no,-2.3219,,-2,"HLA-A--Major histocompatibility complex, class I, A"
33586,MARVELD3,ORF,MARVELD3,current,MARVELD3,no,0.2265,-1.3959,-2.9434,MARVELD3--MARVEL domain containing 3
33660,JAM2,ORF,JAM2,current,JAM2,no,,-5.0589,,JAM2--Junctional adhesion molecule 2
34136,TJP1,ORF,TJP1,current,TJP1,no,0.2987,0,-0.1047,TJP1--Tight junction protein 1 (zona occludens 1)
34410,GBP5,ORF,GBP5,current,GBP5,no,-1.2515,-0.811,-2.8365,GBP5--Guanylate binding protein 5
34518,TAP1,ORF,TAP1,current,TAP1,no,-2.9434,2.5311,-2,"TAP1--Transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
35937,MX1,ORF,MX1,current,MX1,no,-0.074,,0.7908,"MX1--Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"
35947,IFNAR2,ORF,IFNAR2,current,IFNAR2,no,0.0841,1.2449,-2.6439,"IFNAR2--Interferon (alpha, beta and omega) receptor 2"
