sample	TACSTD2	CLDN4	CD8A	GEP18	WES_purity	ESTIMATE_ESTIMATEScore
C3N-00217	11.4716	12.4316	8.4422	-0.3895219677673898	0.42	13372.559
C3N-00223	12.6816	13.1716	8.3021	0.5215843084013319	0.34	16837.013
C3N-00293	12.6665	12.8065	8.6974	-0.05508195246822371	0.24	14759.783
C3N-00294	12.7517	13.2617	8.2317	-0.01456574254261196	0.4	14664.091
C3N-00433	10.4117	11.0017	12.0516	2.302956567030778	0.23	20785.577
C3N-00546	11.6716	13.3615	9.4419	0.7675354301748613	0.36	16283.078
C3N-00547	11.5618	12.9418	7.371	-0.4223218488860989	0.32	13165.204
C3N-00549	7.393	11.2516	8.1124	-1.717102310622456	0.66	9305.428
C3N-00550	13.0116	13.9915	8.3224	-0.014943590221621826	0.48	14945.097
C3N-00551	11.7716	13.3415	7.913	-0.3692964870039825	0.27	16222.37
C3N-00552	12.4116	11.9216	7.3331	-0.0448005497072619	0.35	16903.029
C3N-00556	12.3415	13.1715	8.8923	0.8506600506362618	0.26	18525.42
C3N-00559	12.1016	13.3716	8.982	0.17232678983957578	0.43	15376.807
C3N-00560	12.0115	12.5815	9.6919	0.1987624225985503	0.52	13372.978
C3N-00572	11.5316	13.3715	7.8433	0.005428287431981282	0.28	15296.427
C3N-00574	12.6315	13.2715	8.1628	-0.020302197904833577	0.25	16052.431
C3N-00578	13.1215	11.8916	7.5334	-0.3459604824962466	0.56	15640.257
C3N-00579	12.4415	13.6414	8.6327	0.8327973288814613	0.35	15887.077
C3N-00580	11.5516	13.6015	8.3726	-0.04398536246305959	0.74	13050.08
C3N-00704	13.1416	12.6616	8.802	0.06898593004275481	0.34	14377.142
C3N-00737	9.6116	11.9818	9.5316	0.7462738133174143	0.25	16649.775
C3N-00738	10.0417	11.4317	9.6517	0.12775894288957793	0.19	18781.094
C3N-00959	12.9916	12.3316	7.9626	-0.7551577593800711	0.32	14149.574
C3N-01016	12.0819	11.7319	7.89	-0.7794176648730092	0.46	14572.491
C3N-01021	12.4115	12.4515	7.8632	-0.4684784982466381	0.35	16439.282
C3N-01023	9.9818	12.2916	9.3319	0.25981632676641	0.35	16180.66
C3N-01024	12.9616	13.3116	6.8832	-0.931312367842899	0.41	13567.619
C3N-01030	13.6915	12.9916	8.3324	0.2669574454470284	0.32	17284.759
C3N-01071	14.0214	12.5714	8.7327	-0.09208114904176362	0.25	14452.991
C3N-01072	12.1816	11.9716	8.3324	0.27312554525398847	0.4	16075.028
C3N-01074	11.6716	13.2815	7.1343	-0.9184571236382784	0.4	13350.354
C3N-01405	12.2116	12.2716	9.9618	0.5399690557448946	0.26	14940.711
C3N-01410	11.1117	12.3916	7.8926	-0.48349318961735943	0.38	14369.46
C3N-01413	11.3117	12.9117	8.6817	0.7177787521073878	0.27	16866.737
C3N-01414	11.9317	12.7317	8.4018	-0.8612871085759879	0.24	14233.211
C3N-01415	12.3615	13.5915	7.853	-0.008368201602156795	0.26	15981.227
C3N-01416	12.4915	12.8015	8.8025	0.910227166753098	0.34	18280.292
C3N-01488	12.3316	12.5516	8.5522	0.512470774796694	0.35	18039.445
C3N-01489	11.7917	12.6217	9.3918	0.752720281779008	0.23	18176.256
C3N-01799	12.1817	12.9516	8.252	0.3888834439258137	0.27	16839.898
C3N-01823	10.6917	11.7616	9.0521	-0.04740970331042013	0.23	15867.117
C3N-01842	12.0617	12.6017	7.0017	-0.414417963992461	0.46	13950.124
C3N-02000	12.8116	13.0416	7.1627	-0.19921406715066897	0.28	15778.395
C3N-02002	11.9116	13.6515	7.8228	-0.6311931723502966	0.28	13508.899
C3N-02003	11.2117	12.3816	10.2317	1.6312953268136963	0.26	18528.207
C3N-02067	12.6415	13.4114	6.8656	-0.5400908701079437	0.41	14409.942
C3N-02087	13.0315	12.7816	8.3224	0.7727177167703912	0.37	18392.386
C3N-02089	10.8442	11.4441	8.5548	-0.12014422949645025	0.27	12817.245
C3N-02145	12.7715	13.6315	7.9931	-0.5911223418965293	0.33	15996.528
C3N-02149	11.7616	13.4216	7.9522	-0.69172473437765	0.19	14715.738
C3N-02155	10.8117	12.5215	7.8134	-1.1636452144408898	0.41	10937.092
C3N-02158	11.5416	12.4215	8.8023	-0.09893264459092142	0.25	14272.326
C3N-02379	12.0515	13.8014	8.5428	0.6755524854701392	0.38	15748.549
C3N-02380	12.2216	13.4816	5.9737	-0.9149035103609156	0.24	12511.195
C3N-02421	12.2917	13.2116	7.3723	-0.24072744340593838	0.4	16303.222
C3N-02422	14.0318	13.5318	6.6809	-0.5748046082392283	0.31	13548.471
C3N-02423	12.5616	13.1316	9.7918	1.3508414973580192	0.3	18468.937
C3N-02424	11.8217	12.4817	8.2217	0.9177523415422087	0.25	17483.052
C3N-02433	12.1316	13.0515	8.2926	0.044264632582951643	0.39	17243.656
C3N-02529	10.9717	13.7115	9.372	0.9191848200951998	0.25	17062.861
C3N-02572	13.0816	13.2416	7.3428	-0.16644414214624123	0.36	15372.788
C3N-02582	12.6915	13.7315	6.9142	-0.030329185743378444	0.32	14296.269
C3N-02586	11.9716	13.0116	8.4021	-0.046755402703360156	0.63	14226.86
C3N-02587	11.9016	12.4216	7.6027	-0.24860437190596996	0.49	14697.56
C3N-02588	12.1115	13.1714	6.4568	-0.7338761451341838	0.22	13721.775
C3N-02729	12.5115	12.7615	6.3259	-0.9428649412118967	0.49	13805.584
