ModelID,CellLineName,StrippedCellLineName,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,LungGroup,PrimaryOrMetastasis,Sex,Age,HasCRISPR,HasExpression,TACSTD2_geneEffect,TACSTD2_depProb,TACSTD2_log2TPM1,CLDN4_geneEffect,CLDN4_depProb,CLDN4_log2TPM1
ACH-000925,DV-90,DV90,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,50.0,False,True,,,7.0581,,,9.361878
ACH-000563,EBC-1,EBC1,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,69.0,True,True,0.07204891,0.009482659,7.840652,0.09276745,0.007836836,8.451087
ACH-000706,EKVX,EKVX,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,True,True,-0.1533275,0.09000494,1.6135317,0.021584405,0.014115192,1.6780719
ACH-002101,EMC-BAC-1,EMCBAC1,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Male,,False,False,,,,,,
ACH-002102,EMC-BAC-2,EMCBAC2,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Unknown,,False,False,,,,,,
ACH-000585,EPLC-272H,EPLC272H,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,57.0,True,True,-0.076297075,0.05876001,8.92407,-0.08622215,0.06423812,7.2303567
ACH-002650,ETCC-016,ETCC016,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,53.0,True,True,0.012483416,0.026156913,8.676945,0.18654059,0.007553482,7.7954555
ACH-002122,GT3TKB,GT3TKB,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Unknown,,False,False,,,,,,
ACH-002138,H513,H513,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NSCLC,Metastatic,Male,61.0,False,False,,,,,,
ACH-000843,HARA,HARA,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,57.0,True,True,-0.13138826,0.080041744,5.270529,-0.03743369,0.028616494,3.207893
ACH-000578,HCC-1171,HCC1171,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,58.0,False,True,,,8.982566,,,9.614379
ACH-000868,HCC-1195,HCC1195,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NSCLC,Primary,Male,47.0,False,True,,,6.91576,,,8.8013525
ACH-000901,HCC-1359,HCC1359,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,NSCLC,Primary,Female,55.0,True,True,-0.016590618,0.033619728,0.6507646,0.009328004,0.027311018,2.8678966
ACH-000891,HCC-1438,HCC1438,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Primary,Male,43.0,False,True,,,6.6688848,,,1.5993178
ACH-000878,HCC-15,HCC15,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,47.0,True,True,0.026659984,0.02035067,4.8058085,0.07815864,0.015625898,7.3207555
ACH-000712,HCC-1833,HCC1833,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,69.0,False,True,,,0.5849625,,,8.312747
ACH-001079,HCC1897,HCC1897,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,47.0,False,False,,,,,,
ACH-000314,HCC-2108,HCC2108,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,59.0,False,True,,,0.6780719,,,4.928844
ACH-000731,HCC-2279,HCC2279,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NSCLC,Primary,Female,52.0,False,True,,,5.037382,,,5.9342804
ACH-000143,HCC2429,HCC2429,Non-Small Cell Lung Cancer,NUT Carcinoma of the Lung,NUTCL,NSCLC,Primary,Female,34.0,True,True,0.03277818,0.011394968,4.3715587,-0.01430442,0.019050965,0.47508487
ACH-000975,HCC2450,HCC2450,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,52.0,True,True,0.01271711,0.021717386,4.129283,0.054339036,0.0142540075,1.1826923
ACH-000690,HCC-2814,HCC2814,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,55.0,False,True,,,6.0950804,,,7.3001237
ACH-000150,HCC2935,HCC2935,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,39.0,False,True,,,8.589389,,,9.901003
ACH-000575,HCC-364,HCC364,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,76.0,False,True,,,1.5897635,,,7.3283157
ACH-000840,HCC-366,HCC366,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,LUAS,NSCLC,Primary,Female,80.0,True,True,0.12245684,0.013075466,4.6553516,-0.103292234,0.044934817,1.835924
ACH-000066,HCC4006,HCC4006,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,,False,True,,,7.9412823,,,7.7057014
ACH-000667,HCC-44,HCC44,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,54.0,True,True,0.12938924,0.0059863706,4.516015,0.018954953,0.019773398,5.75141
ACH-000339,HCC-461,HCC461,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,69.0,True,True,-0.018687949,0.025513822,4.0071955,0.06643032,0.009957899,3.4329593
ACH-000872,HCC515,HCC515,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,39.0,True,True,0.0017146628,0.0188107,5.9283705,-0.006507395,0.020253772,4.5134907
ACH-000562,HCC-78,HCC78,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,65.0,True,True,-0.046757083,0.04487654,9.636479,0.026481897,0.025511969,8.7286005
ACH-000012,HCC-827,HCC827,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,39.0,True,True,-0.10848648,0.06250674,8.326969,0.15568203,0.0029384696,8.083532
ACH-002333,HCC-827-GR,HCC827GR,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,,Female,39.0,False,False,,,,,,
ACH-000029,HCC-827-GR5,HCC827GR5,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,39.0,True,True,-0.0706022,0.045455746,8.195348,0.06911078,0.009022262,8.24954
ACH-000454,HCC-95,HCC95,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,65.0,True,True,-0.07132058,0.028223371,8.221394,-0.17843814,0.070714,7.2832737
ACH-001088,HLC-1,HLC1,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Unknown,,False,False,,,,,,
ACH-000861,HOP-62,HOP62,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,60.0,True,True,-0.13570817,0.07237099,1.6369146,0.15852726,0.003995436,4.627607
ACH-000825,HOP-92,HOP92,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Male,62.0,False,True,,,8.219701,,,7.3535
ACH-000672,IA-LM,IALM,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,68.0,True,True,0.048080828,0.015798014,0.4329594,0.231425,0.006356867,6.011227
ACH-002337,JHU-028,JHU028,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,52.0,False,False,,,,,,
ACH-000858,KNS-62,KNS62,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,49.0,True,True,-0.12545328,0.06766078,7.164002,0.062365804,0.010348408,7.2646303
ACH-000705,LC-1F,LC1F,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,69.0,False,True,,,0.5945485,,,8.27277
ACH-002156,LC-1-sq,LC1SQ,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,69.0,True,False,0.023912532,0.020222541,,-0.19623698,0.14838406,
ACH-001113,LC-1/sq-SF,LC1SQSF,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,69.0,False,True,,,3.0669503,,,6.349082
ACH-002157,LC-2-ad,LC2AD,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,51.0,False,False,,,,,,
ACH-002035,LCAM1,LCAM1,Non-Small Cell Lung Cancer,Poorly Differentiated Non-Small Cell Lung Cancer,NSCLCPD,NSCLC,Primary,Male,53.0,True,True,-0.12989944,0.062391445,4.5310693,0.1437223,0.00339334,1.5410192
ACH-000627,LCLC-103H,LCLC103H,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,61.0,True,True,-0.24812035,0.23085777,4.305241,0.10228056,0.008723622,7.9082727
ACH-000596,LCLC-97TM1,LCLC97TM1,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Primary,Male,44.0,True,True,-0.08172379,0.047397155,7.790316,0.39395797,0.00058603886,9.3010845
ACH-000769,LK-2,LK2,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,74.0,True,True,-0.17158678,0.10500767,5.211791,-0.017542213,0.021273725,2.5410192
ACH-000176,LOU-NH91,LOUNH91,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Female,64.0,True,True,-0.22852004,0.1583672,0.41142625,-0.017977526,0.037453726,7.5819535
ACH-000438,Lu-65,LU65,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,NSCLC,Primary,Male,64.0,True,True,-0.014997749,0.021031994,3.6135316,0.3230535,0.0009889317,7.421644
ACH-000444,LU99,LU99,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,NSCLC,Metastatic,Male,63.0,True,True,-0.21592765,0.13372423,3.582556,0.09624371,0.00604173,1.6735564
ACH-002158,LU-99A,LU99A,Non-Small Cell Lung Cancer,Giant Cell Carcinoma of the Lung,GCLC,NSCLC,,Male,63.0,False,False,,,,,,
ACH-000390,LUDLU-1,LUDLU1,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,72.0,True,True,-0.0981146,0.065830275,7.7428823,-0.11219186,0.07415429,8.913009
ACH-000787,LXF-289,LXF289,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,62.0,True,True,-0.12798835,0.08258452,3.711495,0.050967403,0.010339455,5.5307574
ACH-000851,MOR/CPR,MORCPR,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Unknown,,True,True,-0.19847117,0.12407413,6.6031814,0.18319182,0.002432712,7.6962028
ACH-000980,NCI-H1155,NCIH1155,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,36.0,True,True,0.07651579,0.0086783515,0.3561438,0.11525555,0.005742745,5.060047
ACH-000510,NCI-H1299,NCIH1299,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,43.0,True,True,-0.016628915,0.02835435,0.16349873,0.1621358,0.0037694885,1.8196682
ACH-000666,NCI-H1355,NCIH1355,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,53.0,True,True,-0.024563959,0.024150899,4.4627066,0.20962572,0.0038460062,1.2630345
ACH-000845,NCI-H1373,NCIH1373,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,56.0,True,True,0.28447446,0.00072863855,7.475247,0.03687347,0.011952854,7.9825945
ACH-000737,NCI-H1385,NCIH1385,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Female,49.0,False,True,,,0.5160152,,,7.9255843
ACH-000327,NCI-H1395,NCIH1395,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,55.0,False,True,,,0.3561438,,,3.0161397
ACH-000852,NCI-H1435,NCIH1435,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,35.0,False,True,,,8.705943,,,9.144556
ACH-000589,NCI-H1437,NCIH1437,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,60.0,True,True,0.0058272234,0.018702583,6.179909,0.013453223,0.017249482,7.2783566
ACH-000892,NCI-H1563,NCIH1563,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,False,True,,,5.0094366,,,0.83995956
ACH-000869,NCI-H1568,NCIH1568,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,48.0,True,True,-0.16426277,0.115711205,6.552746,-0.044890687,0.042089093,8.339627
ACH-000916,NCI-H1573,NCIH1573,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,35.0,True,True,-0.05892671,0.03482895,7.8121133,-0.20264421,0.073654115,8.778898
ACH-000921,NCI-H157-DM,NCIH157DM,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,59.0,True,True,-0.1354331,0.06714998,1.2141248,-0.081465185,0.038988344,0.76553476
ACH-000015,NCI-H1581,NCIH1581,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Primary,Male,44.0,True,True,-0.06832233,0.029924672,0.15055968,0.020914957,0.010023912,1.1570437
ACH-000744,NCI-H1623,NCIH1623,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,58.0,False,True,,,6.357728,,,8.588864
ACH-000766,NCI-H1648,NCIH1648,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,39.0,True,True,-0.10547438,0.066143245,9.097848,0.21047515,0.0061454703,8.380677
ACH-000035,NCI-H1650,NCIH1650,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Metastatic,Male,27.0,True,True,0.10131469,0.008309993,9.811824,-0.05166061,0.033259235,7.974472
ACH-000893,NCI-H1651,NCIH1651,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,71.0,False,True,,,0.18903382,,,6.492334
ACH-000448,NCI-H1666,NCIH1666,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,50.0,True,True,-0.084456824,0.051702023,8.693591,0.10346739,0.011045662,6.976478
ACH-000021,NCI-H1693,NCIH1693,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,55.0,True,True,0.14163253,0.008367445,5.8646812,0.13757901,0.008594761,6.3971186
ACH-000747,NCI-H1703,NCIH1703,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,54.0,True,True,-0.11956475,0.06387102,0.37851164,-0.022362355,0.022863481,0.87184364
ACH-000675,NCI-H1734,NCIH1734,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,56.0,False,True,,,1.469886,,,7.90665
ACH-000282,NCI-H1755,NCIH1755,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,65.0,False,True,,,4.3059707,,,7.7793255
ACH-001362,NCI-H1770,NCIH1770,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Metastatic,Male,57.0,False,False,,,,,,
ACH-000379,NCI-H1781,NCIH1781,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,66.0,False,True,,,8.715447,,,9.610046
ACH-000496,NCI-H1792,NCIH1792,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,50.0,True,True,0.11264981,0.008963129,4.55888,0.25042233,0.0028277666,7.153299
ACH-000888,NCI-H1793,NCIH1793,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,52.0,True,True,-0.0651995,0.04830689,8.835546,0.06631286,0.01261732,7.454587
ACH-000033,NCI-H1819,NCIH1819,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,55.0,False,True,,,7.5808992,,,8.27524
ACH-000733,NCI-H1838,NCIH1838,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,,False,True,,,7.2103305,,,8.839707
ACH-000894,NCI-H1869,NCIH1869,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Metastatic,Male,58.0,True,True,-0.13727815,0.08974908,9.039522,-0.15555115,0.10427313,8.397845
ACH-000434,NCI-H1915,NCIH1915,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Female,61.0,True,True,-0.28979817,0.16636853,1.7907721,-0.06834152,0.034736883,1.6182387
ACH-000414,NCI-H1944,NCIH1944,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,62.0,True,True,-0.051290028,0.03473664,0.70487195,0.012827848,0.017319063,5.127633
ACH-000587,NCI-H1975,NCIH1975,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,,True,True,-0.07974617,0.06585025,5.31252,0.027736409,0.021267608,7.4502215
ACH-001137,NCI-H1993,NCIH1993,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,47.0,True,False,-0.1053502,0.07313011,,-0.12825623,0.08683474,
ACH-000886,NCI-H2009,NCIH2009,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,68.0,True,True,-0.031502564,0.029981773,8.038425,0.20273219,0.001792573,7.349613
ACH-000781,NCI-H2023,NCIH2023,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,26.0,True,True,-0.03143538,0.030092718,1.7782086,-0.09259969,0.058419235,1.5993178
ACH-000521,NCI-H2030,NCIH2030,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,,True,True,0.09053216,0.012463728,0.4329594,0.08895276,0.012595506,1.0703893
ACH-000590,NCI-H2073,NCIH2073,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,47.0,False,True,,,6.3307376,,,6.4711876
ACH-000451,NCI-H2085,NCIH2085,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,45.0,False,True,,,8.038041,,,8.717951
ACH-000841,NCI-H2087,NCIH2087,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,69.0,True,True,-0.1841474,0.11858197,8.132319,0.055101614,0.012521607,8.338781
ACH-000904,NCI-H2106,NCIH2106,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,Metastatic,Male,58.0,False,True,,,0.86393845,,,6.4940953
ACH-000929,NCI-H2110,NCIH2110,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Metastatic,Unknown,,True,True,-0.14947149,0.0589349,8.76686,-0.042031325,0.026112841,8.915401
ACH-000311,NCI-H2122,NCIH2122,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Female,46.0,True,True,0.086646385,0.008414759,7.3022275,0.027454996,0.0139026875,8.63165
ACH-000785,NCI-H2126,NCIH2126,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,65.0,True,True,-0.20396577,0.14492327,8.77449,0.04371187,0.021739844,7.6083655
ACH-001363,NCI-H2135,NCIH2135,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Unknown,,False,False,,,,,,
ACH-000481,NCI-H2170,NCIH2170,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Male,,True,True,-0.022273304,0.033367544,7.4036937,-0.2300105,0.17443201,8.974788
ACH-000924,NCI-H2172,NCIH2172,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Female,,True,True,-0.030528156,0.029384349,6.455656,0.060110915,0.011195757,2.9579146
ACH-000447,NCI-H2228,NCIH2228,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,,False,True,,,5.212569,,,6.435462
ACH-000718,NCI-H2291,NCIH2291,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,,True,True,-0.08932485,0.06389736,8.589426,0.095258564,0.014280534,9.779933
ACH-000900,NCI-H23,NCIH23,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,51.0,True,True,0.10090877,0.0063773748,0.44360664,-0.08604237,0.04996624,1.2927817
ACH-000951,NCI-H2342,NCIH2342,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,55.0,False,True,,,7.909533,,,8.997687
ACH-000875,NCI-H2347,NCIH2347,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,54.0,False,True,,,9.138297,,,8.640028
ACH-000121,NCI-H2405,NCIH2405,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Metastatic,Male,47.0,False,True,,,1.3448285,,,7.1887374
ACH-000186,NCI-H2444,NCIH2444,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Male,,False,True,,,7.2611547,,,9.399705
ACH-000700,NCI-H2882,NCIH2882,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,Primary,Female,61.0,True,True,-0.12634568,0.05169155,0.20163386,0.0034265714,0.021415215,3.8176231
ACH-000251,NCI-H2887,NCIH2887,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,NSCLC,NSCLC,Primary,Male,31.0,True,True,0.007229169,0.018034162,0.36737105,0.19775021,0.0052200505,9.220378
ACH-001075,NCI-H292,NCIH292,Non-Small Cell Lung Cancer,Mucoepidermoid Carcinoma of the Lung,LUMEC,NSCLC,Metastatic,Female,32.0,True,True,-0.014561419,0.021132503,9.616108,-0.12360073,0.061519094,8.258142
ACH-000337,NCI-H3122,NCIH3122,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,,True,True,-0.08966253,0.04575488,7.420971,0.07333556,0.009512736,7.3504972
ACH-000837,NCI-H322,NCIH322,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Male,52.0,True,True,-0.09076374,0.039194968,7.89839,0.039452754,0.008587436,7.8516865
ACH-002172,NCI-H322M,NCIH322M,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,,Male,52.0,False,False,,,,,,
ACH-000109,NCI-H3255,NCIH3255,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,Primary,Female,52.0,False,True,,,9.57448,,,10.9151325
