unit	unit_col	animal	n_mouseID	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_module	MHC_module	TJ_module	IFN_tpm	MHC_tpm	TJ_tpm	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
KP_30w_ND_m1_T1	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	130	1	2.18634707856669	0.353846153846154	0.0403066665981844	0.0145920929955407	0.190773757760096	1.1449465620576	1.95390587052969	1.78524440998654	4.63107785818199	0.0230769230769231	0.0307692307692308
KP_30w_ND_m1_T2	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	185	1	3.13506897062903	0.491891891891892	0.0290885796845076	-0.055719171509584	0.183143391500597	1.18415280733187	1.85060965142877	1.8323291145818	5.26642183388077	0.0378378378378378	0.0486486486486487
KP_30w_ND_m1_T3	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	97	1	2.00710957128713	0.309278350515464	-8.59870613497095e-05	-0.104127825665696	0.137291754691712	0.955847377524095	1.43076413850586	1.56160765525621	3.752885706604	0	0
KP_30w_ND_m1_T4	mouseID	KP_30w_ND_m1	1	KP	30w	08_KP_30w_ND	108	1	4.37357359678319	0.611111111111111	0.0656031180328381	0.0440185740289754	0.21252211637214	1.39795504040263	2.38870779559586	2.02773625467469	6.74323824894646	0.0277777777777778	0.0277777777777778
KP_30w_ND_m2_T1	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	208	1	7.06635734916665	0.956730769230769	-5.24829986254161e-05	-0.197606442333189	0.27866990020798	1.56326695956405	2.26801294560495	2.67516745018552	7.90132838126501	0.00480769230769231	0.0288461538461538
KP_30w_ND_m2_T2	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	224	1	4.21940263365812	0.683035714285714	0.0294998613160443	-0.0528876305204703	0.226769718640182	1.44968886463516	2.359439030933	2.27380738588242	6.43193285800443	0.03125	0.0401785714285714
KP_30w_ND_m2_T3	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	60	1	3.45410962351488	0.6	0.0890692563353525	0.0757092188868316	0.225819979480527	1.72106978546904	2.94290028246919	2.33122326503016	7.23890800054225	0	0
KP_30w_ND_m2_T4	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	77	1	3.88659296337789	0.61038961038961	0.0479603786609033	0.0626187445146162	0.184983201505255	1.30915252128545	2.35970333597745	1.92096609662729	6.28114238477309	0.025974025974026	0.038961038961039
KP_30w_ND_m2_T5	mouseID	KP_30w_ND_m2	1	KP	30w	08_KP_30w_ND	50	1	6.26776421792319	0.9	0.0113225245566823	-0.169417692122173	0.236385144448534	1.49442184831076	2.15709213363317	2.40266746450801	7.8642765427403	0	0.02
KP_30w_ND_m3_T1	mouseID	KP_30w_ND_m3	1	KP	30w	08_KP_30w_ND	140	1	6.37425562572931	0.892857142857143	0.0192976262093097	-0.111595087394114	0.253768613216734	1.60850922619157	2.58244926502021	2.57323929581482	8.51808750785427	0.00714285714285714	0.00714285714285714
KP_30w_ND_m3_T7	mouseID	KP_30w_ND_m3	1	KP	30w	08_KP_30w_ND	141	1	2.11442754187183	0.390070921985816	0.0444576668664422	-0.0455695627706412	0.187080799042518	1.55926617097576	2.5936835746819	2.1998390749136	5.87792943016732	0.00709219858156028	0.00709219858156028
KP_30w_ND_m3_T9	mouseID	KP_30w_ND_m3	1	KP	30w	08_KP_30w_ND	134	1	4.71599903798875	0.723880597014925	0.0592496366158641	0.0204665750821819	0.23202400752703	1.66177641240604	2.85169064779565	2.38792636615937	8.03471546677202	0.0746268656716418	0.0895522388059701
T_0w_ND_f1	mouseID	T_0w_ND_f1	1	T	0w	01_T_early_ND	61	1	0.336381333425881	0.0655737704918033	0.30499890862762	0.76071532900244	0.252901214490002	2.16956985260251	4.9674499617926	2.08831034426722	5.10033198007581	0	0.0163934426229508
T_0w_ND_f2	mouseID	T_0w_ND_f2	1	T	0w	01_T_early_ND	54	1	0.24937699933193	0.0555555555555556	0.317540560193968	0.745046419142443	0.21979443254568	2.16264814521412	4.81776862779484	1.90805553065359	5.48500166478707	0.0185185185185185	0.037037037037037
T_0w_ND_m1	mouseID	T_0w_ND_m1	1	T	0w	01_T_early_ND	47	1	0.733767255634082	0.148936170212766	0.373201291928721	0.760914990049556	0.263834179407447	2.51989758950293	5.21819359657951	2.21480391004088	5.49388715279694	0.0425531914893617	0.0425531914893617
T_4w_ND_m1	mouseID	T_4w_ND_m1	1	T	4w	01_T_early_ND	37	1	0.0884145890821271	0.027027027027027	0.111107073654345	0.357829880150616	0.184974909104133	1.35771631776072	3.16787548896568	1.67404351575647	4.3230732427073	0.027027027027027	0.027027027027027
T_4w_ND_m2	mouseID	T_4w_ND_m2	1	T	4w	01_T_early_ND	7	1	0	0	0.118645129046276	0.549878993598671	0.184048592766089	1.34641352442999	3.77975188930863	1.59689218092609	3.35664161775535	0	0.428571428571429
