sample_id,CLDN4,CLDN7,KLF4,KRT5,PECAM1,TACSTD2
C3L-03962,11.4416,11.2116,9.252,13.0116,11.2616,11.4716
C3L-03963,10.7217,10.1417,9.4316,8.3713,13.2418,10.4917
C3L-03965,11.6715,11.1616,10.6417,12.7115,12.9015,11.9715
C3L-04013,11.9716,10.3417,9.5419,11.7616,10.9917,9.7219
C3L-04014,11.8316,11.4316,9.5419,17.0115,12.6615,11.9716
C3L-04071,10.5717,10.4417,9.3323,15.3713,12.8813,11.8414
C3L-04391,10.7517,8.2321,8.9619,16.3816,12.0416,12.1016
C3N-00211,12.1115,10.5417,9.0222,14.6215,12.2015,13.1815
C3N-00221,12.1514,9.1524,13.0914,17.5413,11.1916,12.6114
C3N-00247,11.0117,10.0517,10.1717,13.5216,13.3416,11.8417
C3N-00497,11.7066,9.6168,9.097,13.0466,13.1266,10.4367
C3N-00555,11.4816,10.4417,10.1918,15.9914,12.1215,12.8315
C3N-01017,13.4916,11.3717,10.4617,15.5716,12.0717,13.4816
C3N-01020,12.1616,10.8617,9.8318,15.3715,12.7516,9.6219
C3N-01025,11.7016,10.4317,11.1016,15.5915,11.9015,12.5515
C3N-01028,10.7517,10.4217,10.3217,14.7416,12.7516,12.2716
C3N-01194,12.8715,11.4216,11.6516,17.3415,12.6416,13.6515
C3N-01411,11.8716,10.4417,11.5516,17.6115,11.4216,12.4516
C3N-01846,12.9715,10.6517,10.4817,16.0915,11.6216,12.1516
C3N-01892,11.0216,9.7919,9.8719,16.7015,12.3915,11.4616
C3N-01893,13.2415,11.4916,9.8118,16.9215,12.5416,13.8415
C3N-02252,12.4116,10.9517,9.5419,16.9515,12.5016,13.0516
C3N-02283,13.2414,11.0216,10.1118,8.7926,10.2018,11.2016
C3N-02284,12.7619,12.3819,11.5118,15.6719,10.5417,14.0519
C3N-02285,12.2817,10.6517,10.2017,17.0517,12.5617,13.7217
C3N-02288,13.3015,11.5916,12.3016,16.0615,12.3915,12.8915
C3N-02289,12.2616,10.3517,10.0818,14.2616,13.2016,12.1916
C3N-02300,11.4116,10.2418,10.8916,16.6214,12.5815,13.0515
C3N-02339,13.1017,10.6117,8.9517,14.8817,11.8317,13.0217
C3N-02374,12.5517,11.4317,11.9417,16.6617,12.0117,14.0017
C3N-02375,14.1816,10.9617,9.9518,16.4216,11.6317,14.5316
C3N-02425,14.2516,11.5416,11.8216,17.1616,11.7716,14.9116
C3N-02426,10.5617,8.4118,8.6018,16.1217,12.7217,12.2217
C3N-02434,13.0215,10.6717,9.502,16.9315,11.6616,13.0515
C3N-02435,11.1117,10.3717,9.2717,15.5517,11.7917,12.1817
C3N-02494,12.1817,8.1018,9.6617,14.4217,12.8517,12.5017
C3N-02523,10.8816,10.3318,10.1418,17.1114,11.6116,11.6416
C3N-02575,12.9117,10.7117,12.2017,17.3917,11.0117,14.1817
C3N-02675,11.9116,10.1418,10.2817,16.7515,13.3116,13.0316
C3N-03051,12.9415,11.6816,10.4417,17.1315,12.0316,13.4415
C3N-03072,9.6415,8.7512,9.3415,16.9319,11.4218,11.3018
C3N-03076,12.2416,10.8017,7.3132,15.3215,12.5416,11.1416
C3N-03092,13.2516,11.3516,9.192,8.2824,12.8716,12.0816
C3N-03093,10.9317,9.1118,9.2118,13.4217,13.1217,11.4917
C3N-03204,11.9315,11.1716,8.6125,17.7114,11.3516,13.5215
C3N-03424,12.4041,10.8542,9.9943,14.3041,13.1341,12.5441
C3N-03425,12.1216,10.5017,10.2417,16.6716,11.9316,12.4416
C3N-03441,11.3316,10.3018,10.6217,16.2014,12.9115,10.9216
C3N-03486,13.2514,11.7115,10.2818,14.1314,12.2615,12.6314
C3N-03662,10.7917,8.9014,10.3617,16.9119,11.9518,11.1318
C3N-03848,10.9217,9.9417,9.3617,16.2117,13.5617,13.3817
C3N-03851,12.4316,11.1817,7.163,6.3041,11.7016,7.3128
C3N-03875,11.3616,11.5116,11.2216,17.9715,12.1615,13.6115
C3N-03877,12.9417,11.4417,8.6317,10.6117,12.3117,12.0117
C3N-03880,11.5217,9.8218,10.2917,17.1216,12.7217,13.3516
C3N-03882,13.4216,12.0416,11.3416,16.2315,11.0517,14.5015
C3N-03886,10.2917,10.2517,9.1814,8.6812,11.3718,7.7706
C3N-04124,11.4917,10.8417,10.7717,15.8017,12.5817,12.3317
C3N-04127,12.2317,11.1817,8.6719,15.7816,13.0716,12.5617
C3N-04155,11.8515,10.7017,11.2116,17.3114,11.2916,12.9515
C3N-04162,11.9616,11.1717,10.6017,17.0316,11.6717,14.2516
