contrast	n	spearman_rho	spearman_p	note	dataset	bh_fdr
epithelial TACSTD2 %pos vs T/NK fraction [GSE131907]	34	-0.03896103896103896	0.8268328554271036		GSE131907	
epithelial TACSTD2 %pos vs T/NK fraction [GSE148071]	26	-0.19658119658119655	0.33579369165846346		GSE148071	
epithelial TACSTD2 %pos vs T/NK fraction [GSE253013]	9	-0.43333333333333335	0.24395243588005172		GSE253013	
epithelial CLDN4 %pos vs T/NK fraction (joint, all eligible donors)	76	0.0338755980861244	0.771426421960872			0.9465851175843605
epithelial CLDN4 %pos vs T/NK fraction (dataset-residualized ranks)	76	-0.1562700876677106	0.17764192530429135			
epithelial CLDN4 %pos vs T/NK fraction [GSE127465]	7	0.21428571428571433	0.6445115810207203		GSE127465	
epithelial CLDN4 %pos vs T/NK fraction [GSE131907]	34	-0.33139801375095496	0.055545497870027605		GSE131907	
epithelial CLDN4 %pos vs T/NK fraction [GSE148071]	26	0.15008547008547007	0.4642834547396419		GSE148071	
epithelial CLDN4 %pos vs T/NK fraction [GSE253013]	9	-0.09999999999999999	0.797971695234851		GSE253013	
epithelial TACSTD2 vs T/NK [GSE131907 tumor sites only]	34	0.15324675324675324	0.38688603747411116			
