expression_rank,gene,median_log2tpm1,mean_log2tpm1,pct_log2tpm1_gt1,expression_percentile
49,DDR1,7.51723080516556,7.363861973412143,100.0,98.21295606850336
50,ATP1A1,7.501168415390991,7.2428737272141195,100.0,98.17572598659717
51,TGOLN2,7.476910611185098,7.3567877438347455,100.0,98.138495904691
52,TMEM219,7.448677164125893,7.450821393148213,100.0,98.10126582278481
53,SLC44A2,7.447467618087515,7.374687222136036,100.0,98.06403574087864
54,PARM1,7.44016238531434,7.407428379290391,100.0,98.02680565897245
55,SLC17A5,7.419763031158104,7.2239196052856105,100.0,97.98957557706626
56,CD44,7.40127292250668,7.325802809499763,100.0,97.95234549516009
57,SYPL1,7.396707521383976,7.315517542540945,100.0,97.9151154132539
58,GPRC5A,7.392349196069659,7.355794043888259,100.0,97.87788533134773
59,SERINC2,7.388233458077232,7.298066916422753,100.0,97.84065524944154
60,TMEM30A,7.375816191699837,7.310885184131221,100.0,97.80342516753538
61,CLSTN1,7.371972619786957,7.28647032789325,100.0,97.76619508562919
62,AQP1,7.355247130532363,7.217102210879126,100.0,97.728965003723
63,FURIN,7.34913435288479,7.304465303147079,100.0,97.69173492181683
64,RNF167,7.287515697955353,7.238126341027437,100.0,97.65450483991064
65,PAM,7.27435485560099,7.105063163463591,100.0,97.61727475800447
66,TSPAN3,7.258699815569902,7.242354022729013,100.0,97.58004467609828
67,SERINC3,7.2542189222793105,7.171543940791778,100.0,97.54281459419211
68,TM9SF2,7.2474927411432,7.132221168002941,100.0,97.50558451228592
69,ENG,7.232460261965979,7.267307468375474,100.0,97.46835443037975
70,NCSTN,7.198324218357381,7.086719155055634,100.0,97.43112434847356
71,ESAM,7.185097431441536,7.1996368765173875,100.0,97.39389426656739
72,VASN,7.175258113020443,6.952115831662029,100.0,97.3566641846612
73,SLC40A1,7.160626788312458,7.085151492106303,100.0,97.31943410275503
74,SDC1,7.138204208262195,7.102064330814381,100.0,97.28220402084885
75,TNFRSF1A,7.135433288174512,7.052620350800669,100.0,97.24497393894266
76,TCTN3,7.118528963558905,7.191554280082041,100.0,97.20774385703649
77,GINM1,7.10501905252571,7.036635968559277,100.0,97.1705137751303
78,DUOX2,7.085715698437059,7.001119203578598,99.8019801980198,97.13328369322413
79,MUC15,7.0731743456288765,6.939209790500727,99.8019801980198,97.09605361131794
80,CD59,7.071567477027599,6.988643057544618,100.0,97.05882352941177
81,EFNA1,7.049283337821719,6.99640306653477,100.0,97.02159344750558
82,DGCR2,7.008537310340602,6.936984316866129,100.0,96.9843633655994
83,TMEM9B,6.9861002900227405,6.8967645036170975,100.0,96.94713328369322
84,IGSF8,6.970324507792369,6.899615410316657,100.0,96.90990320178705
85,FGFRL1,6.962200800010164,6.911148727236353,100.0,96.87267311988086
86,PTPRF,6.949776529189308,6.767182020983787,100.0,96.83544303797468
87,SLC3A2,6.948007389082133,6.954255191768499,100.0,96.79821295606851
88,TM9SF3,6.893427742192937,6.800677002185292,100.0,96.76098287416232
89,TSPAN13,6.875746894459938,6.816636297902137,100.0,96.72375279225615
90,STT3B,6.863341332528154,6.804475493632092,100.0,96.68652271034996
91,HLA-DPA1,6.850754425697367,6.788615959033451,100.0,96.64929262844379
92,IGSF1,6.846482033112511,6.368653418245497,95.84158415841584,96.6120625465376
93,NPTN,6.837492959977478,6.740206360969148,100.0,96.57483246463143
94,SCNN1A,6.825589761704652,6.239540567639414,99.20792079207921,96.53760238272524
95,PRSS8,6.821288006815612,6.702092718389025,100.0,96.50037230081907
96,CD55,6.8117933916413484,6.843453478238584,100.0,96.46314221891288
97,TMEM9,6.810535647244513,6.774160893812608,100.0,96.42591213700669
98,LRP10,6.808034889454299,6.7432328058928315,100.0,96.38868205510052
99,GPR108,6.800515561351735,6.751907116204442,100.0,96.35145197319434
100,F11R,6.799430578976284,6.702732685251779,100.0,96.31422189128817
101,ITGAV,6.782002225494012,6.6317420508448555,100.0,96.27699180938198
102,CD320,6.77726846790727,6.736594084864465,100.0,96.23976172747581
103,TM4SF1,6.7709743651369605,6.929745691976947,100.0,96.20253164556962
104,SPINT2,6.762261103072977,6.67246013222987,100.0,96.16530156366345
105,MMP14,6.744189357043465,6.742774183927616,100.0,96.12807148175726
106,PTPRA,6.741127171477161,6.630488756169973,100.0,96.09084139985107
107,ATP1B3,6.734021297288091,6.6610999371493635,100.0,96.0536113179449
108,IFNGR1,6.730160336324529,6.656420980266505,100.0,96.01638123603871
109,VSIG2,6.727363684621218,6.536589910159494,99.60396039603961,95.97915115413254
110,IL13RA1,6.723148957047578,6.633839748362624,100.0,95.94192107222635
111,DCSTAMP,6.720493266314466,5.213102837638967,75.24752475247524,95.90469099032018
112,HLA-H,6.714737324138771,6.641891541496407,100.0,95.867460908414
113,PIK3IP1,6.714382910651407,6.623024330295776,100.0,95.83023082650783
114,HEG1,6.6894207779567,6.586976084168391,100.0,95.79300074460164
115,EMP3,6.685781802014006,6.46606550543201,100.0,95.75577066269545
116,FZD1,6.683599616467251,6.577766427045063,100.0,95.71854058078928
117,IFNGR2,6.682230560387355,6.622572445342561,100.0,95.6813104988831
118,RNF128,6.681482999021289,6.57077888868817,100.0,95.64408041697692
119,MRC2,6.676009237098953,6.162390559578715,99.4059405940594,95.60685033507073
120,ZDHHC5,6.673289285855288,6.596098837540662,100.0,95.56962025316456
121,FCGRT,6.660526506884338,6.585447694907019,100.0,95.53239017125837
122,ERBB2,6.646869715560866,6.583760687686269,100.0,95.4951600893522
123,TMED7,6.645958107218601,6.575233949626698,100.0,95.45793000744601
124,MEGF9,6.624254458007432,6.437398116502505,100.0,95.42069992553984
125,IL6ST,6.620680241224301,6.55127371121498,100.0,95.38346984363366
126,LAMP2,6.603706451278591,6.513423644004194,100.0,95.34623976172747
127,DUOX1,6.5701016048272365,6.525888872876346,100.0,95.3090096798213
128,CD14,6.556415619957172,6.567977759901412,100.0,95.27177959791511
129,GJA4,6.549034541029491,6.574188456925706,100.0,95.23454951600894
130,RAMP3,6.542908044861825,6.5077185607564685,100.0,95.19731943410275
131,HLA-DPB1,6.526276998078584,6.520067018032911,100.0,95.16008935219658
132,ACVR1,6.500545544056307,6.408626228207618,100.0,95.12285927029039
133,DSG2,6.491904391241447,6.397426437838997,100.0,95.08562918838422
134,MYOF,6.484060772825239,6.349081571741241,100.0,95.04839910647803
135,EMP1,6.452414229892663,6.448194345182666,100.0,95.01116902457186
136,TMEM245,6.442679806796522,6.31896854800149,100.0,94.97393894266567
137,PTPRM,6.417217926995086,6.271755957442675,100.0,94.9367088607595
138,ALCAM,6.416535771330347,6.3087699182681645,100.0,94.89947877885332
139,NTRK2,6.413106603086784,6.315091769549561,100.0,94.86224869694713
140,SLC20A2,6.400891387552547,6.371939685349388,100.0,94.82501861504096
141,PECAM1,6.385922781233124,6.306421689725931,100.0,94.78778853313477
142,TMEM37,6.351384514521911,6.3251604061254305,100.0,94.7505584512286
143,SLC39A6,6.347593023705616,6.221433751835235,100.0,94.71332836932241
144,CD47,6.335006180409888,6.274205437421933,100.0,94.67609828741624
145,CD46,6.333142824531855,6.239467436676145,100.0,94.63886820551005
146,ICAM1,6.302225817516797,5.910071730210431,100.0,94.60163812360388
147,GPRC5C,6.299955278258808,6.26353281015339,100.0,94.56440804169769
148,LPAR5,6.279502868182225,5.723960678672945,98.61386138613861,94.52717795979152
149,EMB,6.267052571614631,6.1368519846763885,99.8019801980198,94.48994787788533
150,DUOXA1,6.2472876502150285,6.192581785944888,100.0,94.45271779597914
151,SLCO2A1,6.242116571967696,6.121995251310821,100.0,94.41548771407298
152,SORT1,6.219466711168743,6.188455923738552,100.0,94.3782576321668
153,BST2,6.210698614725269,6.2985061154912945,100.0,94.34102755026062
154,HLA-DQB1,6.205462894270338,5.980625427769238,100.0,94.30379746835443
155,HLA-DMA,6.177397610851345,6.159421964194753,100.0,94.26656738644826
156,M6PR,6.176725681526464,5.922360271126999,99.8019801980198,94.22933730454207
157,RNF13,6.174843810978107,6.07670218863355,100.0,94.19210722263588
158,DAG1,6.16784963529398,6.065657101610994,100.0,94.15487714072971
159,TMEM87A,6.1617607357477695,6.09684919670549,100.0,94.11764705882352
160,SCARB2,6.159679637289142,6.06159497530013,100.0,94.08041697691735
161,TXNDC15,6.154674338593383,6.086638162860938,100.0,94.04318689501116
162,NT5E,6.153606749218099,5.96165534177055,99.8019801980198,94.00595681310499
163,MFSD6,6.149169926041936,6.047509631624206,100.0,93.9687267311988
164,SLC7A2,6.137888737470402,6.124404760209008,100.0,93.93149664929264
165,CXCL16,6.125917615282447,5.985218428915453,100.0,93.89426656738645
166,CLDN16,6.120347792776921,5.588894063666598,93.06930693069307,93.85703648548028
167,SLC39A10,6.110204531494003,5.969130320680405,100.0,93.81980640357409
168,STIM1,6.105627797219071,6.03421474426924,100.0,93.7825763216679
169,ENPP5,6.093418620823302,5.988651704478395,100.0,93.74534623976173
170,LRP4,6.07144090968276,5.8598090021866245,99.00990099009901,93.70811615785554
171,PLXNB1,6.061087081357899,5.99155700716114,100.0,93.67088607594937
172,PLXND1,6.052485453469437,5.991949602532932,100.0,93.63365599404318
173,ITGA9,6.050773755197234,5.912992693952919,100.0,93.59642591213701
174,RAMP2,6.050654056107565,6.039817582344058,100.0,93.55919583023082
175,HYAL2,6.049430379497195,6.0128183694778,100.0,93.52196574832465
176,VSTM4,6.047442415291482,5.844266419609459,100.0,93.48473566641846
177,CADM1,6.025564831566808,5.989304584133901,100.0,93.44750558451229
178,PODXL,6.021830586554096,5.93154205613457,100.0,93.41027550260611
179,ITGB3,6.019877570993007,5.873105780253069,100.0,93.37304542069992
180,TM9SF4,6.018574090264973,5.94157622231672,100.0,93.33581533879375
181,CLEC14A,6.018091103049456,5.9528369021370136,100.0,93.29858525688756
182,TMEM179B,6.006140907920249,5.9424429754841475,100.0,93.26135517498139
183,FAM174B,6.00139693429001,5.963346536244584,100.0,93.2241250930752
184,HM13,6.001169461393734,5.98178947339063,100.0,93.18689501116903
185,SLC5A3,5.999930117766483,5.978644045290916,100.0,93.14966492926284
186,SLC38A5,5.988482468098811,5.840844710173526,99.60396039603961,93.11243484735667
187,TGFA,5.976743965800708,5.766213353764287,100.0,93.07520476545048
188,FZD6,5.971594133607388,5.868372983786824,100.0,93.0379746835443
189,CD40,5.967223952828091,5.689327922687532,100.0,93.00074460163812
190,SLC41A1,5.965811984140958,5.848730166595126,100.0,92.96351451973194
191,UBAC2,5.96487221315128,5.914574147814549,100.0,92.92628443782577
192,TPO,5.954766295010261,6.441009231176139,98.21782178217822,92.88905435591958
193,EPHA2,5.951613437111189,5.914736131746136,100.0,92.85182427401341
194,SEMA4B,5.944558633869451,5.85858233509719,100.0,92.81459419210722
195,LRIG3,5.942922624741517,5.76165671715998,100.0,92.77736411020105
196,FAM174A,5.9371442655444016,5.894377968586493,100.0,92.74013402829486
197,CDH3,5.93250060467083,5.528363597158913,97.02970297029702,92.70290394638869
198,CX3CL1,5.91315749694041,5.8801108943191895,100.0,92.6656738644825
199,ITGB5,5.909369899488217,5.920265217424831,100.0,92.62844378257633
200,GPR107,5.908704845641898,5.781049111550906,100.0,92.59121370067014
201,ADAM15,5.908380610775449,5.8542837974293915,100.0,92.55398361876395
202,SLC44A1,5.902013264712148,5.890258248259592,100.0,92.51675353685778
203,LTBR,5.862208359316455,5.809318921935015,100.0,92.4795234549516
204,TPCN1,5.861342535113159,5.815296591374631,100.0,92.44229337304543
205,SCAP,5.860985138110761,5.788651682155195,100.0,92.40506329113924
206,SLC22A17,5.859594418615849,5.776570339331839,100.0,92.36783320923307
207,QSOX1,5.850524416921713,5.734341726253932,100.0,92.33060312732688
208,ERMP1,5.84747834483999,5.763365748362787,100.0,92.29337304542071
209,SHISA4,5.840216469112431,5.808055511808773,100.0,92.25614296351452
210,TCIRG1,5.838414815112971,5.680809686341977,100.0,92.21891288160833
211,TGFBR2,5.830110783713517,5.739107456088813,100.0,92.18168279970216
212,FOLR1,5.82505035750296,5.621290215994384,99.60396039603961,92.14445271779597
213,SLC26A4,5.823889445716046,5.742238582763471,96.83168316831683,92.1072226358898
214,NIPAL3,5.822518571144086,5.762245355697207,100.0,92.06999255398361
215,TMX4,5.810859502401773,5.736564602980152,100.0,92.03276247207744
216,CHPT1,5.796828737029327,5.758315374782019,100.0,91.99553239017126
217,SLC38A2,5.795987677364959,5.779836243969147,100.0,91.95830230826509
218,SLC39A14,5.758614988171465,5.798658551808747,100.0,91.9210722263589
219,MYADM,5.7529893772354335,5.893846448358409,100.0,91.88384214445271
220,LRP5,5.752521145663117,5.660452170228096,100.0,91.84661206254654
221,TGFBR1,5.751533347624436,5.605255689457888,100.0,91.80938198064035
222,HLA-DMB,5.736791558580166,5.6363105878473405,100.0,91.77215189873418
223,TSPAN4,5.729770273098871,5.69991068229178,100.0,91.73492181682799
224,SLC29A1,5.722272012661477,5.611276602861818,100.0,91.69769173492182
225,ABCA2,5.722023311482057,5.664905173397483,100.0,91.66046165301563
226,EPOR,5.717928615642626,5.775095283231369,100.0,91.62323157110946
227,KCNK5,5.698935201781551,5.636067923720263,100.0,91.58600148920327
228,IFNAR1,5.696948058410819,5.646166032719247,100.0,91.5487714072971
229,ITGB1,5.673960570729378,5.518895171811395,100.0,91.51154132539092
230,GPRC5B,5.673776881700877,5.527927469645385,100.0,91.47431124348473
231,CRB3,5.655082729442122,5.605567908915141,100.0,91.43708116157856
232,TMEM204,5.646874034608382,5.61160074413248,100.0,91.39985107967237
233,SLC10A3,5.625875382550129,5.642697064201931,100.0,91.3626209977662
234,MUC1,5.61531035134144,5.200186955218184,96.63366336633663,91.32539091586001
235,ATRN,5.591484946344135,5.498312837199708,100.0,91.28816083395384
236,CXCR4,5.586431498150482,5.606788417536665,100.0,91.25093075204765
237,TM7SF3,5.582333199013672,5.549125905450374,100.0,91.21370067014148
238,ABCA3,5.568561158127699,5.574655546626727,100.0,91.17647058823529
239,LMBRD1,5.565557574306626,5.484609422170022,100.0,91.13924050632912
240,PROM2,5.563393067952085,5.478309203671359,99.8019801980198,91.10201042442293
241,TSPAN6,5.557835863168361,5.483598461156998,100.0,91.06478034251676
242,PTK7,5.546826566758803,5.506145617932615,99.8019801980198,91.02755026061058
243,ATP13A3,5.536071555658915,5.447565611349596,100.0,90.9903201787044
244,CD276,5.509062386361898,5.39692808941367,100.0,90.95309009679822
245,ADIPOR2,5.494834788737125,5.4679286256806465,100.0,90.91586001489203
246,INSR,5.493464808186358,5.461821865038051,100.0,90.87862993298586
247,ATP2B4,5.473195947890668,5.39149894584143,100.0,90.84139985107967
248,EPHA4,5.470523850193635,5.278984664582684,100.0,90.8041697691735
249,EFNB1,5.467533821088817,5.418872518656107,100.0,90.76693968726731
250,NOTCH3,5.454676010976539,5.3992590862452845,100.0,90.72970960536114
251,SSR1,5.454577317248886,5.4109636990401455,100.0,90.69247952345495
252,ACP2,5.4527140291648735,5.427619117106454,100.0,90.65524944154876
253,CRIM1,5.451425439174481,5.372957401389131,100.0,90.61801935964259
254,KDR,5.4451572454672,5.360844263905574,99.8019801980198,90.5807892777364
255,TNFRSF1B,5.437737094013269,5.309650032021857,100.0,90.54355919583024
256,SLC12A8,5.4239949192295205,5.367744714875128,100.0,90.50632911392404
257,CPD,5.42302680285092,5.423821485186348,100.0,90.46909903201788
258,CD93,5.411717738301084,5.2968878761543055,100.0,90.43186895011169
259,GPNMB,5.41095837871469,5.218899546047381,99.8019801980198,90.39463886820552
260,LMAN2L,5.410045940701782,5.372955789499417,100.0,90.35740878629933
261,IGF2R,5.405199340006539,5.306400666173088,100.0,90.32017870439316
262,CELSR2,5.403618808135677,5.301983080324963,100.0,90.28294862248697
263,GGT7,5.399437728451953,5.309516693874933,100.0,90.24571854058078
264,ACKR3,5.392698656093097,5.433538246607577,100.0,90.20848845867461
265,ITGB4,5.383369064502429,5.344794061156494,100.0,90.17125837676842
266,CD200,5.380978740623091,5.258635088588728,100.0,90.13402829486225
267,MCAM,5.377089035164185,5.392599571204267,100.0,90.09679821295606
268,SLC2A10,5.375053336774281,5.244225663354638,100.0,90.0595681310499
269,CXADR,5.361578887998802,5.320916256024533,100.0,90.0223380491437
270,ITGA6,5.359949810941069,5.330146449420521,100.0,89.98510796723752
271,MFSD5,5.352529025636305,5.316988845930887,100.0,89.94787788533135
272,TMEM63B,5.340131390029808,5.338877538440259,100.0,89.91064780342516
273,UNC93B1,5.32734964204606,5.241045001338293,100.0,89.87341772151899
274,AGER,5.3220579315984775,5.407163354387944,100.0,89.8361876396128
275,IL1R1,5.308579307600007,5.226729205217579,100.0,89.79895755770663
276,GPR137B,5.306663256710224,5.231454851918377,100.0,89.76172747580044
277,CD82,5.284410487636177,5.257561934386271,100.0,89.72449739389427
278,CDH5,5.281527638540927,5.209161081535134,100.0,89.68726731198808
279,FNDC4,5.278977188279757,5.092283687883735,99.60396039603961,89.6500372300819
280,NRP2,5.2775868358084805,5.145631519145606,99.8019801980198,89.61280714817572
281,ATP13A1,5.269867243968741,5.223886001871569,100.0,89.57557706626955
282,APLNR,5.266891460155396,5.128809473071552,99.60396039603961,89.53834698436336
283,SLC35A5,5.254352162733993,5.151572787054799,100.0,89.50111690245718
284,TSPAN31,5.238695159954202,5.161403436853874,99.8019801980198,89.46388682055101
285,ZFYVE27,5.23420238868818,5.159500982244526,100.0,89.42665673864482
286,SLC11A2,5.232357605505367,5.165538644924831,100.0,89.38942665673865
287,PMEPA1,5.2238163797255295,5.175547099780806,100.0,89.35219657483246
288,F3,5.22209354640772,5.346182506976539,99.8019801980198,89.31496649292629
289,SLC23A2,5.219923559181945,5.128148798838917,100.0,89.2777364110201
290,CD52,5.2134250529547685,5.006364236070515,99.60396039603961,89.24050632911393
291,F2R,5.211522343694711,5.185864108744503,100.0,89.20327624720774
292,TSPAN9,5.205024910507318,5.211031850943147,100.0,89.16604616530157
293,SLC39A9,5.1941422240578765,5.111912282110022,100.0,89.12881608339538
294,SIGIRR,5.185093465874657,5.150379815649888,100.0,89.0915860014892
295,DCBLD2,5.17566032141135,5.148519250464028,100.0,89.05435591958302
296,SLC30A1,5.174885745753016,5.065415433498972,100.0,89.01712583767684
297,PDGFRB,5.172343494841636,5.10232519100685,100.0,88.97989575577067
298,HLA-F,5.168533733100528,5.171637992599577,100.0,88.94266567386448
299,ENTPD1,5.164070222580519,5.05929974631607,100.0,88.90543559195831
300,PCDH1,5.160452333301316,5.127490635721446,100.0,88.86820551005212
301,RELL1,5.159968185782043,5.0998012208992245,100.0,88.83097542814595
302,ANTXR1,5.159100348278335,5.079064835306769,100.0,88.79374534623976
303,SLC12A7,5.156740421183133,5.159125105581225,100.0,88.75651526433359
304,DPP4,5.1533311139911255,4.5484095607247506,91.2871287128713,88.7192851824274
305,SLC12A4,5.151526023527189,5.089269529516557,100.0,88.68205510052121
306,SLC41A3,5.147709652684803,5.083745978392542,100.0,88.64482501861504
307,FLT1,5.143719931094918,5.010078975964955,99.8019801980198,88.60759493670886
308,RYK,5.136113440580059,5.03024054966414,100.0,88.57036485480268
309,NOTCH2,5.129060412537305,4.985897140451377,100.0,88.5331347728965
310,EGFR,5.1184012584920575,5.020704259542546,100.0,88.49590469099033
311,EPHB6,5.106025804597358,4.974964935721902,99.60396039603961,88.45867460908414
312,CLSTN3,5.103547994672396,5.017240753971329,100.0,88.42144452717797
313,CDCP1,5.097720342908489,4.980534018513925,99.8019801980198,88.38421444527178
314,ITFG1,5.09578520586573,4.960892040487098,99.8019801980198,88.34698436336559
315,ERBB3,5.095768330512511,4.635836312995782,98.21782178217822,88.30975428145942
316,IL4R,5.092820554692786,4.911760077162007,100.0,88.27252419955323
317,TNFRSF21,5.088480854963676,4.967865575709057,100.0,88.23529411764706
318,SLC9A1,5.082464163933694,5.07306109861737,100.0,88.19806403574087
319,HLA-DQA1,5.074946363721801,5.029208234286152,98.61386138613861,88.1608339538347
320,TMEM161A,5.070973157736068,5.095500921434713,100.0,88.12360387192852
321,PSEN1,5.069276821630484,5.0066619044988405,100.0,88.08637379002234
322,TMEM87B,5.066915811651188,4.972117409386966,100.0,88.04914370811616
323,IGF1R,5.063602167320709,4.940055764690766,100.0,88.01191362620997
324,ANO6,5.049809351166,5.055829427768852,99.8019801980198,87.9746835443038
325,MPZL3,5.043125739043447,4.931388518200557,100.0,87.93745346239761
326,HBEGF,5.03615602530674,5.242136808038454,100.0,87.90022338049144
327,HLA-DQB2,5.018918982163052,4.865490130747112,97.82178217821782,87.86299329858525
328,CD34,5.015301304989305,4.943540811934692,100.0,87.82576321667908
329,NRP1,4.992446688400263,4.928699724923763,100.0,87.78853313477289
330,SLC38A1,4.988057489306328,4.956842519919174,100.0,87.75130305286672
331,BMPR2,4.98740727950068,4.898539088835194,100.0,87.71407297096053
332,TTYH3,4.976766874048959,4.97062230638548,100.0,87.67684288905436
333,ABCC3,4.974465068907925,4.717179006667843,97.22772277227722,87.63961280714818
334,SLC16A4,4.970214052726069,4.794363411602673,99.8019801980198,87.602382725242
335,ADORA1,4.952934564104221,4.768278374825894,99.00990099009901,87.56515264333582
336,SEMA4A,4.952300946927003,4.877369473877373,99.4059405940594,87.52792256142963
337,LPAR6,4.937928132344811,4.850444354410909,100.0,87.49069247952346
338,SGCB,4.9361526407708265,4.901553472896973,100.0,87.45346239761727
339,ATP13A2,4.934554243277908,4.9056461747604265,100.0,87.4162323157111
340,AXL,4.927190099626432,4.818523836866393,100.0,87.37900223380491
341,TP53I13,4.904667132739371,4.898435484664321,100.0,87.34177215189874
342,MPZL1,4.897187170748111,4.844982172114963,100.0,87.30454206999255
343,TMPRSS6,4.886550147324343,4.004487694299523,76.83168316831683,87.26731198808638
344,RNF149,4.8821685936624215,4.807272505507294,100.0,87.23008190618019
345,CD83,4.882163701553874,4.835848193301353,100.0,87.19285182427402
346,CASD1,4.871306479667188,4.7813391294616086,100.0,87.15562174236784
347,EMP2,4.869718444764541,4.784785864978343,100.0,87.11839166046164
348,SLC2A3,4.868780584854244,4.7338279703148824,100.0,87.08116157855548
349,ANKH,4.860813853999125,4.805584800505004,99.8019801980198,87.0439314966493
350,PIGT,4.852782914594831,4.787797720726446,99.8019801980198,87.00670141474312
351,ADCY9,4.849243697742576,4.814496429231189,100.0,86.96947133283693
352,HLA-DQA2,4.846739009526196,4.8457794489253585,96.03960396039604,86.93224125093076
353,PTGFRN,4.842063661799769,4.795396476264655,100.0,86.89501116902457
354,GPR137,4.841887600996201,4.849293257981103,100.0,86.8577810871184
355,GPR27,4.828403096264674,4.604377932359996,98.41584158415841,86.82055100521221
356,SEMA4C,4.815119391386095,4.721423787547017,100.0,86.78332092330604
357,PTPRJ,4.814155602141756,4.746990395385046,100.0,86.74609084139985
358,SLC1A5,4.807463120128293,4.711785702867008,100.0,86.70886075949366
359,S1PR1,4.806968434121849,4.759258073544241,100.0,86.6716306775875
360,ILDR1,4.786554544037186,4.7166559609910985,99.8019801980198,86.6344005956813
361,UNC5B,4.786491814983925,4.744314025230214,100.0,86.59717051377514
362,LRP1,4.785257588992612,4.695584765753521,100.0,86.55994043186895
363,THY1,4.7840170697164295,4.759187673352278,100.0,86.52271034996278
364,CD58,4.782691624120178,4.67375854129458,100.0,86.48548026805659
365,ITGB2,4.78127052598358,4.638545942745075,100.0,86.4482501861504
366,EFNA4,4.773627167311699,4.725096856831833,100.0,86.41102010424423
367,TPRA1,4.770559506396739,4.730756241710991,100.0,86.37379002233804
368,JAG1,4.767617724099878,4.739950943461143,100.0,86.33655994043187
369,CLDND1,4.765603697051785,4.710582227511749,100.0,86.29932985852568
370,ANO1,4.76512627855084,4.699396041248428,100.0,86.26209977661951
371,FGFR2,4.7642983787088165,4.648062513077871,99.8019801980198,86.22486969471332
372,SLC52A2,4.7633903269639,4.748370627064273,100.0,86.18763961280716
373,IL17RC,4.761811824786169,4.71787628365888,100.0,86.15040953090096
374,THBD,4.757268654523941,4.758907660716805,100.0,86.1131794489948
375,FCGR3A,4.75616398955985,4.762051455437192,100.0,86.07594936708861
376,CD248,4.753449433947515,4.74510651519541,100.0,86.03871928518242
377,NRCAM,4.744435612164194,4.603559979040326,98.8118811881188,86.00148920327625
378,SLC6A6,4.740668564140405,4.617710137425236,99.60396039603961,85.96425912137006
379,ABCC1,4.738794853308295,4.7124040782570615,100.0,85.92702903946389
