protein	score	family	purity	n_marginal	marginal_rho	marginal_p	n_partial	partial_spearman_rho	partial_p	partial_ci_low	partial_ci_high	ols_residual_spearman_rho	ols_residual_spearman_p	n_ols_residual	partial_fdr_primary_wes	marginal_fdr_primary	partial_fdr_cldn4_wes
TACSTD2	MCPcounter_T_cells	primary	WES_purity	110	-0.1852940513490972	0.052623530874175574	108.0	-0.13376554397024684	0.1695624142306227	-0.3156085963120076	0.057554551300655975	-0.13559499652271664	0.161747389326144	108.0	0.36023173918507906		
TACSTD2	MCPcounter_T_cells	primary	WGS_purity	110	-0.1852940513490972	0.052623530874175574	104.0	-0.11486047034355044	0.2479642511680997	-0.30167930673782317	0.08045251993405894	-0.16105835911661157	0.10240385621911229	104.0			
TACSTD2	MCPcounter_T_cells	primary	ESTIMATE_TumorPurity	110	-0.1852940513490972	0.052623530874175574	110.0	-0.16840602326309487	0.08003806668881037	-0.3455612417602542	0.02034001886442276	-0.24997858575840226	0.008443476410568305	110.0			
TACSTD2	MCPcounter_Cytotoxic_lymphocytes	primary	none	110	-0.10790523634560331	0.2618321362853184										0.2618321362853184	
TACSTD2	MCPcounter_Cytotoxic_lymphocytes	primary	WES_purity	110	-0.10790523634560331	0.2618321362853184	108.0	-0.06829590647119012	0.48456616935459923	-0.2548497936397595	0.12315945739611768	-0.08622709994569722	0.3749037960630985	108.0	0.48456616935459923		
TACSTD2	MCPcounter_Cytotoxic_lymphocytes	primary	WGS_purity	110	-0.10790523634560331	0.2618321362853184	104.0	-0.09726435028091575	0.3283721141356051	-0.28541660384376355	0.09810698731529412	-0.1310999679931719	0.18466188940323866	104.0			
TACSTD2	MCPcounter_Cytotoxic_lymphocytes	primary	ESTIMATE_TumorPurity	110	-0.10790523634560331	0.2618321362853184	110.0	-0.08229561791548809	0.39491919916935914	-0.2662754104905429	0.10746972978605894	-0.1394450330230147	0.1462477385243291	110.0			
TACSTD2	CIBERSORT_T_cell_CD8+	primary	none	110	-0.13349412798954083	0.16442699991416423										0.2192359998855523	
TACSTD2	CIBERSORT_T_cell_CD8+	primary	WES_purity	110	-0.13349412798954083	0.16442699991416423	108.0	-0.10755210345364276	0.2701738043888093	-0.29145901644418376	0.08402200868292392	-0.10016481370335438	0.3023404864062488	108.0	0.36023173918507906		
TACSTD2	CIBERSORT_T_cell_CD8+	primary	WGS_purity	110	-0.13349412798954083	0.16442699991416423	104.0	-0.10314653297588143	0.29982171069116886	-0.29086512321516667	0.09221895102041688	-0.12906219993598636	0.19164027102950845	104.0			
TACSTD2	CIBERSORT_T_cell_CD8+	primary	ESTIMATE_TumorPurity	110	-0.13349412798954083	0.16442699991416423	110.0	-0.12037561656260387	0.212467667893327	-0.30164718332697027	0.06929514570589725	-0.14465658318869332	0.13161030313560299	110.0			
TACSTD2	xCell_immune_score	xcell_reproduction	none	110	-0.3094335369564728	0.001003961995617287											
TACSTD2	xCell_immune_score	xcell_reproduction	WES_purity	110	-0.3094335369564728	0.001003961995617287	108.0	-0.27158453845718417	0.004659385319917585	-0.4388164289515457	-0.08616923887718281	-0.2670744138634047	0.00520337103374202	108.0			
TACSTD2	xCell_immune_score	xcell_reproduction	WGS_purity	110	-0.3094335369564728	0.001003961995617287	104.0	-0.2733616836399198	0.0052079273080086015	-0.4434280182241983	-0.0842964910538664	-0.2963938973647712	0.002250142984895646	104.0			
TACSTD2	xCell_immune_score	xcell_reproduction	ESTIMATE_TumorPurity	110	-0.3094335369564728	0.001003961995617287	110.0	-0.338439514143083	0.0003188249691534754	-0.4950272771696213	-0.160559157635862	-0.380673083425377	4.087277322352593e-05	110.0			
TACSTD2	xCell_T_cell_CD8+	xcell_reproduction	none	110	-0.28904629073608734	0.002194504463815969											
TACSTD2	xCell_T_cell_CD8+	xcell_reproduction	WES_purity	110	-0.28904629073608734	0.002194504463815969	108.0	-0.26063080808881767	0.006701010457478128	-0.42924872484055365	-0.07445673681133735	-0.25034416072598276	0.008971733612215886	108.0			
TACSTD2	xCell_T_cell_CD8+	xcell_reproduction	WGS_purity	110	-0.28904629073608734	0.002194504463815969	104.0	-0.2911269194466513	0.0028500596926035915	-0.4588025392924215	-0.10342949730422298	-0.29871972687506676	0.0020687065732542323	104.0			
TACSTD2	xCell_T_cell_CD8+	xcell_reproduction	ESTIMATE_TumorPurity	110	-0.28904629073608734	0.002194504463815969	110.0	-0.2776111425176057	0.0034711539757225616	-0.4426006422342041	-0.09444105044653786	-0.3209386200211888	0.0006297221891791814	110.0			
TACSTD2	ESTIMATE_StromalScore	exploratory	none	110	-0.07896219822825329	0.41222556849074											
TACSTD2	ESTIMATE_StromalScore	exploratory	WES_purity	110	-0.07896219822825329	0.41222556849074	108.0	-0.02761399838011753	0.7776826183709299	-0.21633820163889605	0.16309950183606037	-0.005544599731344136	0.9545841388452471	108.0			
TACSTD2	MCPcounter_CD8_T_cells	exploratory	none	110	-0.28910127809210373	0.0021900444959438528											
TACSTD2	MCPcounter_CD8_T_cells	exploratory	WES_purity	110	-0.28910127809210373	0.0021900444959438528	108.0	-0.26269909908292916	0.0062636497715643875	-0.431058208266047	-0.07666437290702434	-0.2733430506730687	0.0042053538180629015	108.0			
TACSTD2	MCPcounter_NK_cells	exploratory	none	110	-0.2767756914545905	0.003421440375817265											
TACSTD2	MCPcounter_NK_cells	exploratory	WES_purity	110	-0.2767756914545905	0.003421440375817265	108.0	-0.24523360684016862	0.010898910012143957	-0.4157355119391615	-0.05807935153062244	-0.2488686920651252	0.009398083817466454	108.0			
TACSTD2	MCPcounter_B_lineage	exploratory	none	110	-0.25601965601965604	0.006941624756953839											
TACSTD2	MCPcounter_B_lineage	exploratory	WES_purity	110	-0.25601965601965604	0.006941624756953839	108.0	-0.26170175757037767	0.006471281454130516	-0.43018583422936024	-0.07559961063789929	-0.24719197462059503	0.009904123706935861	108.0			
TACSTD2	MCPcounter_Monocytic_lineage	exploratory	none	110	-0.10923968171674593	0.2559436278721532											
TACSTD2	MCPcounter_Monocytic_lineage	exploratory	WES_purity	110	-0.10923968171674593	0.2559436278721532	108.0	-0.044946391669755496	0.6457310703728253	-0.23281806061022892	0.14615926147895908	-0.053531109777358594	0.5821595489316761	108.0			
TACSTD2	MCPcounter_Neutrophils	exploratory	none	110	0.0994206884115141	0.30142413180446154											
TACSTD2	MCPcounter_Neutrophils	exploratory	WES_purity	110	0.0994206884115141	0.30142413180446154	108.0	0.08137172683740733	0.40472504792019376	-0.11018900519109234	0.2671036247673704	0.06996484609448683	0.4718219452434992	108.0			
TACSTD2	MCPcounter_Fibroblasts	exploratory	none	110	-0.05446430584045263	0.5719916206872798											
TACSTD2	MCPcounter_Fibroblasts	exploratory	WES_purity	110	-0.05446430584045263	0.5719916206872798	108.0	-0.026165574998614754	0.7890645153031256	-0.21495613602183877	0.16451008102229048	-0.04158449798508103	0.669149887112498	108.0			
TACSTD2	CIBERSORT_leukocyte_sum	exploratory	none	110	-0.19157041485403006	0.04497752727421586											
TACSTD2	CIBERSORT_leukocyte_sum	exploratory	WES_purity	110	-0.19157041485403006	0.04497752727421586	108.0	-0.14908191580205096	0.1253792581610882	-0.3296108699177326	0.04196427035232453	-0.14621738260596187	0.13104805590671662	108.0			
TACSTD2	CIBERSORT_T_cell_regulatory_(Tregs)	exploratory	none	110	0.07042928160282148	0.46469427568697147											
TACSTD2	CIBERSORT_T_cell_regulatory_(Tregs)	exploratory	WES_purity	110	0.07042928160282148	0.46469427568697147	108.0	0.06807790898531921	0.4859648519185409	-0.12337514527872266	0.2546449911500415	0.10266213008948323	0.2903847053002827	108.0			
TACSTD2	CIBERSORT_Macrophage_M2	exploratory	none	110	0.0854090120145166	0.37498905581750475											
TACSTD2	CIBERSORT_Macrophage_M2	exploratory	WES_purity	110	0.0854090120145166	0.37498905581750475	108.0	0.13939175838742174	0.1521595984562294	-0.05183854331845198	0.32076131743023334	0.12894528756656853	0.18351644061434438	108.0			
TACSTD2	CIBERSORT_Neutrophil	exploratory	none	110	-0.05353801768250811	0.5785556621380723											
TACSTD2	CIBERSORT_Neutrophil	exploratory	WES_purity	110	-0.05353801768250811	0.5785556621380723	108.0	-0.028486035746257587	0.7708524756638181	-0.2171699230573346	0.16224987275478375	-0.03326759838806482	0.7325023736502695	108.0			
CLDN4	ESTIMATE_ImmuneScore	primary	none	79	-0.16772151898734178	0.13955015774719456											
CLDN4	ESTIMATE_ImmuneScore	primary	WES_purity	79	-0.16772151898734178	0.13955015774719456	77.0	-0.08489677317106621	0.4659008883308696	-0.30452359798215034	0.14330162711358554	-0.06648614543351385	0.5656245673920731	77.0			0.6850232750986538
CLDN4	ESTIMATE_ImmuneScore	primary	WGS_purity	79	-0.16772151898734178	0.13955015774719456	75.0	-0.09888270514846266	0.40192032044494835	-0.3201478412887163	0.1326123545334553	-0.1605120910384068	0.16892508310288187	75.0			
CLDN4	ESTIMATE_ImmuneScore	primary	ESTIMATE_TumorPurity	79	-0.16772151898734178	0.13955015774719456	79.0	-0.04049237019510043	0.7248460966290742	-0.26067424332371336	0.18369361180370342	-0.1426728334956183	0.20972595036508987	79.0			
CLDN4	MCPcounter_T_cells	primary	none	79	-0.24267283349561833	0.031172318097750992											
CLDN4	MCPcounter_T_cells	primary	WES_purity	79	-0.24267283349561833	0.031172318097750992	77.0	-0.1839598780681951	0.11166480719028617	-0.3931112218417765	0.04329115577165455	-0.09303854040696145	0.42093270374826247	77.0			0.44665922876114467
CLDN4	MCPcounter_T_cells	primary	WGS_purity	79	-0.24267283349561833	0.031172318097750992	75.0	-0.2035541400266666	0.08194860087226773	-0.41285043653407955	0.026161416309524045	-0.18219061166429587	0.11771406052295945	75.0			
CLDN4	MCPcounter_T_cells	primary	ESTIMATE_TumorPurity	79	-0.24267283349561833	0.031172318097750992	79.0	-0.15928655346878617	0.16362595793172263	-0.3687466575066852	0.0655683485328936	-0.19174780915287246	0.09047941529804106	79.0			
CLDN4	MCPcounter_Cytotoxic_lymphocytes	primary	none	79	-0.13057448880233694	0.2513851800773489											
CLDN4	MCPcounter_Cytotoxic_lymphocytes	primary	WES_purity	79	-0.13057448880233694	0.2513851800773489	77.0	-0.07605411357504846	0.5137674563239903	-0.2964268777537714	0.15200788135826632	-0.042825595457174404	0.7115194390690333	77.0			0.6850232750986538
CLDN4	MCPcounter_Cytotoxic_lymphocytes	primary	WGS_purity	79	-0.13057448880233694	0.2513851800773489	75.0	-0.06634959815902025	0.5743454549852628	-0.29044496040870077	0.16464529626493238	-0.05425320056899004	0.6438692724439522	75.0			
CLDN4	MCPcounter_Cytotoxic_lymphocytes	primary	ESTIMATE_TumorPurity	79	-0.13057448880233694	0.2513851800773489	79.0	-0.06404145256208861	0.5775004699994061	-0.28254559678642627	0.16078061906193927	-0.10182570593962999	0.37188668832856314	79.0			
CLDN4	CIBERSORT_T_cell_CD8+	primary	none	79	-0.05856864654333009	0.6081524313478166											
CLDN4	CIBERSORT_T_cell_CD8+	primary	WES_purity	79	-0.05856864654333009	0.6081524313478166	77.0	-0.01868309441023901	0.8727313927374446	-0.24311458832229074	0.2076471011328573	-0.017797991482202007	0.8778980150250607	77.0			0.8727313927374446
CLDN4	CIBERSORT_T_cell_CD8+	primary	WGS_purity	79	-0.05856864654333009	0.6081524313478166	75.0	-0.023100573180669465	0.8451099108264165	-0.25027823166621177	0.20648810442440163	-0.06304409672830726	0.5910309277180807	75.0			
CLDN4	CIBERSORT_T_cell_CD8+	primary	ESTIMATE_TumorPurity	79	-0.05856864654333009	0.6081524313478166	79.0	-0.029603485566753678	0.796957898200294	-0.2504841307737091	0.1942066428344273	-0.05331061343719572	0.64077565260189	79.0			
CLDN4	xCell_immune_score	xcell_reproduction	none	79	-0.18765822784810127	0.09770044779855329											
CLDN4	xCell_immune_score	xcell_reproduction	WES_purity	79	-0.18765822784810127	0.09770044779855329	77.0	-0.11829254643750162	0.30880244323349804	-0.33481857497590417	0.11009931327979484	-0.05129081444870918	0.657761928584461	77.0			
CLDN4	xCell_immune_score	xcell_reproduction	WGS_purity	79	-0.18765822784810127	0.09770044779855329	75.0	-0.1287882075786656	0.27413988491420815	-0.3470732944778749	0.10273377623471248	-0.0991180654338549	0.3975213224030964	75.0			
CLDN4	xCell_immune_score	xcell_reproduction	ESTIMATE_TumorPurity	79	-0.18765822784810127	0.09770044779855329	79.0	-0.08243363657543755	0.4730641116491602	-0.29947089270397614	0.14271508778778583	-0.1350535540408958	0.2353479713181826	79.0			
CLDN4	xCell_T_cell_CD8+	xcell_reproduction	none	79	-0.194762536785242	0.08543101493418208											
CLDN4	xCell_T_cell_CD8+	xcell_reproduction	WES_purity	79	-0.194762536785242	0.08543101493418208	77.0	-0.15283467678352536	0.18748410172667604	-0.36568950114256044	0.07521249505632177	-0.12402153124466851	0.28253615047041286	77.0			
CLDN4	xCell_T_cell_CD8+	xcell_reproduction	WGS_purity	79	-0.194762536785242	0.08543101493418208	75.0	-0.16948334034408133	0.1488525762684433	-0.38314416009180874	0.06139294783921515	-0.1326315789473684	0.2566474046064607	75.0			
CLDN4	xCell_T_cell_CD8+	xcell_reproduction	ESTIMATE_TumorPurity	79	-0.194762536785242	0.08543101493418208	79.0	-0.14832531463547477	0.19497339538742564	-0.35900636743989855	0.07673833948380755	-0.16662609542356377	0.1421909297143551	79.0			
CLDN4	ESTIMATE_StromalScore	exploratory	none	79	-0.07714216163583251	0.4992097288188081											
CLDN4	ESTIMATE_StromalScore	exploratory	WES_purity	79	-0.07714216163583251	0.4992097288188081	77.0	0.008957401785940917	0.9387857104834438	-0.21693624299355233	0.23394050283354514	0.01275040748724959	0.9123627445256299	77.0			
CLDN4	MCPcounter_CD8_T_cells	exploratory	none	79	-0.09878286270691335	0.386420142088925											
CLDN4	MCPcounter_CD8_T_cells	exploratory	WES_purity	79	-0.09878286270691335	0.386420142088925	77.0	-0.045097817161339	0.6988785554307841	-0.2678301825544885	0.18221035922638903	-0.016641253483358744	0.8857785440843394	77.0			
CLDN4	MCPcounter_NK_cells	exploratory	none	79	-0.15306718597857838	0.17805847120669582											
CLDN4	MCPcounter_NK_cells	exploratory	WES_purity	79	-0.15306718597857838	0.17805847120669582	77.0	-0.1016038466774113	0.3824750851236438	-0.3197351680200729	0.1267552989516714	-0.10415899889584099	0.36732396527499483	77.0			
CLDN4	MCPcounter_B_lineage	exploratory	none	79	-0.20679162609542356	0.06747054899564454											
CLDN4	MCPcounter_B_lineage	exploratory	WES_purity	79	-0.20679162609542356	0.06747054899564454	77.0	-0.16541448643367587	0.1532893372238675	-0.37681715622508555	0.06236694520519841	-0.14264682685735317	0.21586909864869974	77.0			
CLDN4	MCPcounter_Monocytic_lineage	exploratory	none	79	-0.11779454722492698	0.3011840705202417											
CLDN4	MCPcounter_Monocytic_lineage	exploratory	WES_purity	79	-0.11779454722492698	0.3011840705202417	77.0	-0.03983681106152826	0.7325998290553803	-0.26293085892230394	0.1873009623254386	-0.0069141384930858606	0.952410776557695	77.0			
CLDN4	MCPcounter_Neutrophils	exploratory	none	79	0.03242453748782863	0.7766582511678335											
CLDN4	MCPcounter_Neutrophils	exploratory	WES_purity	79	0.03242453748782863	0.7766582511678335	77.0	0.04151606424064951	0.7217777257849807	-0.18567742435810022	0.2644959182859447	0.07008780692991218	0.5447112396361318	77.0			
CLDN4	MCPcounter_Fibroblasts	exploratory	none	79	0.041041869522882184	0.7195015401315609											
CLDN4	MCPcounter_Fibroblasts	exploratory	WES_purity	79	0.041041869522882184	0.7195015401315609	77.0	0.10632707284858749	0.36062721468522624	-0.12205436062407111	0.3240153116749443	0.09277564540722436	0.42225212491355457	77.0			
CLDN4	CIBERSORT_leukocyte_sum	exploratory	none	79	-0.14924537487828626	0.18926922941363875											
CLDN4	CIBERSORT_leukocyte_sum	exploratory	WES_purity	79	-0.14924537487828626	0.18926922941363875	77.0	-0.07532266128644245	0.5178361066216183	-0.295755706976271	0.15272646902341488	-0.005494505494505494	0.9621738445906458	77.0			
CLDN4	CIBERSORT_T_cell_regulatory_(Tregs)	exploratory	none	79	-0.04297326727489865	0.7068867973449501											
CLDN4	CIBERSORT_T_cell_regulatory_(Tregs)	exploratory	WES_purity	79	-0.04297326727489865	0.7068867973449501	77.0	-0.06377530955711287	0.5841564796382411	-0.2851310958685814	0.16403886571826265	0.0027361948557181504	0.9811578458812188	77.0			
CLDN4	CIBERSORT_Macrophage_M2	exploratory	none	79	0.07775073028237586	0.4958204470333861											
CLDN4	CIBERSORT_Macrophage_M2	exploratory	WES_purity	79	0.07775073028237586	0.4958204470333861	77.0	0.12213364895953496	0.2932442861976287	-0.1062474939541042	0.33827456227281333	0.16467742783532255	0.15237450464858307	77.0			
CLDN4	CIBERSORT_Neutrophil	exploratory	none	79	0.12690645754134255	0.26506322846140284											
CLDN4	CIBERSORT_Neutrophil	exploratory	WES_purity	79	0.12690645754134255	0.26506322846140284	77.0	0.15469738682508202	0.18209976105963832	-0.07331519838323886	0.3673410356397691	0.13715232136284766	0.23426172281295854	77.0			
