dataset	unit_id	pr503_quartile	pr503_cldn4_pct	pr503_frac_tnk	n_cells_atlas	n_malignant	n_T	n_NK	n_other	atlas_cldn4_pct_pos	frac_T	frac_NK	frac_malignant	frac_other	frac_TNK	atlas_quartile	quartile_match
GSE131907	EBUS_51	Q3	85.36964980544747	0.3490076335877862	350	137	57	71	85	84.67153284671532	0.16285714285714287	0.20285714285714285	0.3914285714285714	0.24285714285714285	0.3657142857142857	Q3	True
GSE131907	NS_02	Q1	58.5635359116022	0.4223951578037181	350	28	91	60	171	53.57142857142857	0.26	0.17142857142857143	0.08	0.48857142857142855	0.43142857142857144	Q1	True
GSE131907	NS_03	Q4	93.14412089937338	0.0484949832775919	350	310	11	9	20	92.90322580645162	0.03142857142857143	0.025714285714285714	0.8857142857142857	0.05714285714285714	0.05714285714285714	Q4	True
GSE131907	NS_04	Q4	89.34092758340114	0.0688025210084033	350	237	18	1	94	85.23206751054853	0.05142857142857143	0.002857142857142857	0.6771428571428572	0.26857142857142857	0.054285714285714284	Q3	False
GSE131907	NS_06	Q1	60.24096385542169	0.3579439252336449	350	32	86	37	195	56.25	0.24571428571428572	0.10571428571428572	0.09142857142857143	0.5571428571428572	0.3514285714285714	Q1	True
GSE131907	NS_07	Q4	90.407204385278	0.0289703315881326	350	304	8	1	37	90.46052631578947	0.022857142857142857	0.002857142857142857	0.8685714285714285	0.10571428571428572	0.025714285714285714	Q4	True
GSE131907	NS_12	Q3	86.33938100320171	0.0069138906348208	350	317	3	1	29	88.01261829652996	0.008571428571428572	0.002857142857142857	0.9057142857142857	0.08285714285714285	0.011428571428571429	Q4	False
GSE131907	NS_13	Q2	72.41124260355029	0.3673890608875129	350	90	128	4	128	70.0	0.3657142857142857	0.011428571428571429	0.2571428571428571	0.3657142857142857	0.37714285714285717	Q2	True
GSE131907	NS_16	Q1	11.39240506329114	0.2923310554290053	350	22	104	0	224	9.090909090909092	0.29714285714285715	0.0	0.06285714285714286	0.64	0.29714285714285715	Q1	True
GSE131907	NS_17	Q3	88.21942446043165	0.170195101701951	350	161	59	4	126	86.33540372670807	0.16857142857142857	0.011428571428571429	0.46	0.36	0.18	Q3	True
GSE131907	NS_19	Q2	67.1523178807947	0.1121212121212121	350	83	36	7	224	73.49397590361446	0.10285714285714286	0.02	0.23714285714285716	0.64	0.12285714285714286	Q2	True
GSE189357	TD1	Q3	56.1299176578225	0.6516167192429022	350	49	201	18	82	65.3061224489796	0.5742857142857143	0.05142857142857143	0.14	0.2342857142857143	0.6257142857142857	Q2	False
GSE189357	TD2	Q1	35.6255178127589	0.6274357838795395	350	25	205	17	103	48.0	0.5857142857142857	0.04857142857142857	0.07142857142857142	0.29428571428571426	0.6342857142857142	Q1	True
GSE189357	TD3	Q3	48.04216867469879	0.5154842787170169	350	12	51	62	225	58.333333333333336	0.1457142857142857	0.17714285714285713	0.03428571428571429	0.6428571428571429	0.32285714285714284	Q1	False
GSE189357	TD4	Q1	30.346232179226067	0.6036066689350119	350	8	113	46	183	62.5	0.32285714285714284	0.13142857142857142	0.022857142857142857	0.5228571428571429	0.4542857142857143	Q2	False
GSE189357	TD5	Q2	36.86635944700461	0.5794328843230777	350	19	127	15	189	73.68421052631578	0.3628571428571429	0.04285714285714286	0.054285714285714284	0.54	0.4057142857142857	Q3	False
GSE189357	TD6	Q4	63.501238645747314	0.3769307700855651	350	47	75	52	176	78.72340425531915	0.21428571428571427	0.14857142857142858	0.13428571428571429	0.5028571428571429	0.3628571428571429	Q3	False
GSE189357	TD7	Q1	36.63133097762073	0.5278015397775877	350	68	54	15	213	48.529411764705884	0.15428571428571428	0.04285714285714286	0.19428571428571428	0.6085714285714285	0.19714285714285715	Q1	True
GSE189357	TD8	Q2	45.338567222767416	0.4675600798917596	350	16	94	40	200	81.25	0.26857142857142857	0.11428571428571428	0.045714285714285714	0.5714285714285714	0.38285714285714284	Q4	False
GSE189357	TD9	Q4	78.56412354264675	0.2472543105901098	350	116	67	13	154	82.75862068965517	0.19142857142857142	0.037142857142857144	0.3314285714285714	0.44	0.22857142857142856	Q4	True
GSE205335	P0031	Q2	59.24764890282132	0.5948973242065961	350	19	234	9	88	47.368421052631575	0.6685714285714286	0.025714285714285714	0.054285714285714284	0.25142857142857145	0.6942857142857143	Q1	False
GSE205335	P1006	Q3	74.18096723868955	0.4922824302134647	350	77	115	47	111	74.02597402597402	0.32857142857142857	0.13428571428571429	0.22	0.3171428571428571	0.46285714285714286	Q3	True
GSE205335	P1015	Q1	41.580756013745706	0.3958158995815899	350	82	69	84	115	42.68292682926829	0.19714285714285715	0.24	0.2342857142857143	0.32857142857142857	0.43714285714285717	Q1	True
GSE205335	P1016	Q4	82.64617691154422	0.1101964182553437	350	316	17	5	12	80.0632911392405	0.04857142857142857	0.014285714285714285	0.9028571428571428	0.03428571428571429	0.06285714285714286	Q3	False
GSE205335	P1017	Q3	64.31838975297347	0.3782317267794446	350	120	137	25	68	71.66666666666667	0.3914285714285714	0.07142857142857142	0.34285714285714286	0.19428571428571428	0.46285714285714286	Q2	False
GSE205335	P1018	Q3	67.03389830508475	0.5062636707098827	350	81	155	24	90	70.37037037037037	0.44285714285714284	0.06857142857142857	0.23142857142857143	0.2571428571428571	0.5114285714285715	Q2	False
GSE205335	P1025	Q4	92.85714285714286	0.1047463175122749	350	300	19	2	29	89.33333333333333	0.054285714285714284	0.005714285714285714	0.8571428571428571	0.08285714285714285	0.06	Q4	True
GSE205335	P1027	Q3	78.07283763277694	0.5693478260869566	350	103	167	41	39	80.58252427184466	0.47714285714285715	0.11714285714285715	0.29428571428571426	0.11142857142857143	0.5942857142857143	Q3	True
GSE205335	P1030	Q3	61.69154228855721	0.1626016260162601	350	257	29	20	44	64.2023346303502	0.08285714285714285	0.05714285714285714	0.7342857142857143	0.12571428571428572	0.14	Q2	False
GSE205335	P1037	Q4	86.05284663579407	0.1226168974513345	350	333	3	5	9	80.48048048048048	0.008571428571428572	0.014285714285714285	0.9514285714285714	0.025714285714285714	0.022857142857142857	Q3	False
GSE205335	P1056	Q2	49.70662196144174	0.265334117185969	350	185	71	23	71	42.7027027027027	0.20285714285714285	0.06571428571428571	0.5285714285714286	0.20285714285714285	0.26857142857142857	Q1	False
GSE205335	P1062	Q1	45.21276595744681	0.6326463853451095	350	13	204	27	106	84.61538461538461	0.5828571428571429	0.07714285714285714	0.037142857142857144	0.3028571428571429	0.66	Q4	False
GSE205335	P1063	Q1	35.11450381679389	0.7316732604142425	350	1	227	39	83	100.0	0.6485714285714286	0.11142857142857143	0.002857142857142857	0.23714285714285716	0.76	Q4	False
GSE205335	P1072	Q2	58.86699507389162	0.4603299293008641	350	110	84	77	79	61.81818181818181	0.24	0.22	0.3142857142857143	0.2257142857142857	0.46	Q2	True
GSE205335	P1076	Q2	59.36395759717315	0.2994982078853047	350	49	105	14	182	55.10204081632652	0.3	0.04	0.14	0.52	0.34	Q2	True
GSE205335	P1079	Q2	51.38121546961326	0.3923257635082224	350	139	119	29	63	51.07913669064749	0.34	0.08285714285714285	0.39714285714285713	0.18	0.4228571428571429	Q1	False
GSE205335	P1084	Q4	86.73469387755102	0.6649688737973967	350	18	212	40	80	83.33333333333334	0.6057142857142858	0.11428571428571428	0.05142857142857143	0.22857142857142856	0.72	Q3	False
GSE205335	P1089	Q4	87.77046095954844	0.1690490988191423	350	241	38	14	57	89.62655601659752	0.10857142857142857	0.04	0.6885714285714286	0.16285714285714287	0.14857142857142858	Q4	True
GSE205335	P1090	Q1	38.16254416961131	0.2530737704918033	350	207	89	6	48	38.164251207729464	0.2542857142857143	0.017142857142857144	0.5914285714285714	0.13714285714285715	0.2714285714285714	Q1	True
GSE205335	P1115	Q4	88.8829928362961	0.0616329315442347	350	337	6	0	7	88.4272997032641	0.017142857142857144	0.0	0.9628571428571429	0.02	0.017142857142857144	Q4	True
GSE205335	P1119	Q1	36.08837970540098	0.2602682313495389	350	204	89	13	44	30.392156862745097	0.2542857142857143	0.037142857142857144	0.5828571428571429	0.12571428571428572	0.2914285714285714	Q1	True
GSE205335	P4001	Q1	48.14814814814815	0.7803292894280762	350	2	242	46	60	100.0	0.6914285714285714	0.13142857142857142	0.005714285714285714	0.17142857142857143	0.8228571428571428	Q4	False
