sample,platform,n_units,n_tumor,n_domains,n_cldn4_high_domains,n_cldn4_low_domains,n_cd8,tumor_definition,auc_high,auc_low,auc_delta,barrier_high,barrier_low,barrier_drop_high,cd8_stroma_high,cd8_rim_high,n_perm,barrier_perm_mean,barrier_perm_p,auc_delta_perm_p,notes
GSM9226173_P3_LUAD,visium,14336,4357,9,2,7,14336,EPCAM/KRT RNA,12.511055236199642,,,0.1804175733583046,-0.11570538802700342,0.03677410983916708,0.12030092991101503,0.08352682007184795,99,0.18408281372277693,0.59,,
GSM9226177_P4_LUAD,visium,12978,6180,2,1,1,12978,EPCAM/KRT RNA,5.048943911502905,5.5012323157047796,0.4522884042018749,0.3858567245200819,0.33132279560288785,0.04499915330010948,0.08081027409547435,0.03581112079536487,99,0.3735038509653259,0.33,1.0,
GSM9226179_P5_LUAD,visium,12084,6064,12,5,7,12084,EPCAM/KRT RNA,8.041662765587835,5.265460928756998,-2.776201836830838,0.4454216123032478,0.29127874780031415,0.13791255603830566,0.22376752625534888,0.08585497021704322,99,0.37368196206931337,0.08,0.88,
GSM9226181_P6_LUAD,visium,11724,3083,17,5,12,11724,EPCAM/KRT RNA,13.729634735106819,17.574541466601808,3.844906731494989,0.06324432146522838,0.1587353706847292,0.012303446303038396,0.10342089598436867,0.09111744968133027,99,0.15421268507620897,0.97,0.07,
GSM9226182_P7_LUAD,visium,13616,2043,28,7,21,13616,EPCAM/KRT RNA,0.22141576496539672,0.2813570984207621,0.0599413334553654,-0.06433806246311008,-0.04959386527670327,-0.00037714916965156647,0.00274241612139256,0.0031195652910441267,99,-0.08888430785537259,0.34,0.4,
GSM9226183_P7_LUAD-1,visium,13074,1961,25,6,19,13074,EPCAM/KRT RNA,0.5693576291715419,0.11128253260597351,-0.45807509656556833,-0.09635793857844668,-0.07323380882314715,-0.0006277422863241022,0.0029434698294951273,0.0035712121158192295,99,-0.10236700867745264,0.48,0.89,
GSM9226185_P8_LUAD,visium,12642,2053,1,1,0,12642,EPCAM/KRT RNA,0.12761556408686783,,,0.4811488459081952,,0.0013662504324254568,0.0021028996088522174,0.0007366491764267606,99,0.09077411822749597,0.01,,
GSM9226188_P9_LUAD,visium,12127,1819,20,8,12,12127,EPCAM/KRT RNA,0.05680853699651194,0.0632836090918879,0.0064750720953759625,0.031125811405714986,0.07748179174913745,6.9435484157776e-05,0.0011501131287982365,0.0010806776446404605,99,0.03359507852519106,0.54,0.42,
GSM9226190_P10_LUAD,visium,13441,1626,25,9,16,13441,EPCAM/KRT RNA,0.5614786677777039,0.6368646690030657,0.07538600122536177,0.17479780970709327,0.19919959798957507,0.0025894470202624297,0.008701696391036979,0.006112249370774549,99,0.12475951709702233,0.34,0.46,
GSM9226192_P11_LUAD,visium,11794,1769,13,4,9,11794,EPCAM/KRT RNA,1.6945956621500051,0.44108852204422644,-1.2535071401057787,-0.07788133964330352,0.02206345552399981,-0.0018045450800443907,0.01068294356884166,0.01248748864888605,99,-0.021864505294711904,0.79,0.96,
GSM9226194_P12_LUAD,visium,14177,1948,18,6,12,14177,EPCAM/KRT RNA,0.2827004111343637,0.15849444085013237,-0.12420597028423136,-0.2090293360910294,-0.13552623858223867,-0.0008542597539921446,0.0016162619254989762,0.0024705216794911207,99,-0.22967839482910762,0.34,0.48,
GSM9226196_P13_LUAD,visium,4880,732,12,4,8,4880,EPCAM/KRT RNA,0.891570140591084,0.6586123488367717,-0.2329577917543123,-0.27311857278173163,0.03274979934809798,-0.0015043061417965736,0.002001785255758541,0.0035060913975551145,99,-0.08062747462747268,0.98,0.7653061224489796,
GSM9226198_P14_LUAD,visium,11488,1414,8,3,5,11488,EPCAM/KRT RNA,0.3606463319194204,0.34314957266247126,-0.017496759256949157,0.02182600529179056,-0.09272476284974789,0.00010472488706699673,0.0024514425181253897,0.002346717631058393,99,-0.050203714983055765,0.15,0.8020833333333334,
GSM9226200_P15_LUAD,visium,14231,2216,6,1,5,14231,EPCAM/KRT RNA,0.2464430633832545,0.09513020238430729,-0.1513128609989472,0.06637457342343123,-0.2416051965344474,0.0002460348305883251,0.0019763940484894965,0.0017303592179011714,99,0.02817422005384028,0.23,0.6724137931034483,
GSM9226202_P16_LUAD,visium,7736,1055,8,5,3,7736,EPCAM/KRT RNA,0.056126428373761306,0.13470727283866862,0.07858084446490732,0.4915390961760567,0.40252091374285304,0.003500537077197886,0.005311055655065792,0.0018105185778679058,99,0.4433857396410701,0.2,0.23958333333333334,
GSM9226204_P17_LUAD,visium,13515,2028,30,6,24,13515,EPCAM/KRT RNA,0.3353018008521018,0.2880904729507897,-0.047211327901312106,0.12948780668642643,0.12127166007632971,0.00165701971426452,0.007226866821348838,0.005569847107084318,99,0.13097534729377758,0.5,0.57,
GSM9226206_P18_LUAD,visium,11971,1796,22,9,13,11971,EPCAM/KRT RNA,0.818159549678169,0.6872114372497993,-0.13094811242836968,-0.20742742273754428,0.03854193759370278,-0.0013823192513517392,0.002640890589368607,0.0040232098407203465,99,-0.0007724586061406472,1.0,0.68,
GSM9226208_P19_LUAD,visium,12572,1886,15,10,5,12572,EPCAM/KRT RNA,0.5439589575951453,0.7259337586651098,0.18197480106996444,-0.06804085058981876,-0.12897756781607927,-0.0003977121059274614,0.002723736933979813,0.003121449039907274,99,-0.10319689191896077,0.32,0.11224489795918367,
GSM9226210_P20_LUAD,visium,13604,2041,18,5,13,13604,EPCAM/KRT RNA,1.186697417765834,0.9733028857364345,-0.2133945320293995,0.027026893478806713,-0.022899446909072835,0.0005936863407190723,0.011280089745029311,0.010686403404310239,99,0.012826708800062344,0.4,0.79,
GSM9226213_P21_LUAD,visium,13348,3066,33,10,23,13348,EPCAM/KRT RNA,0.24937605756450065,0.2573018421262985,0.007925784561797822,0.15185934491969322,0.094892415120581,0.0008626014894873068,0.0032714287966262054,0.0024088273071388986,99,0.08696769820889373,0.18,0.48,
GSM9226216_P22_LUAD,visium,12229,1835,22,10,12,12229,EPCAM/KRT RNA,3.0271110795656906,1.235046456604433,-1.7920646229612576,-0.3353128722321414,-0.31346319097298,-0.005965243561097968,0.005912414321493995,0.011877657882591963,99,-0.39171912169532763,0.14,0.78,
GSM9226219_P23_LUAD,visium,10894,1634,26,5,21,10894,EPCAM/KRT RNA,0.038183905600558135,0.013066719846884829,-0.025117185753673305,0.28925354685739396,-0.46391509127556596,0.0004017707222151502,0.0008953761185152254,0.0004936053963000753,99,0.0323656478522256,0.08,0.84,
GSM9226221_P24_LUAD,visium,6276,915,13,2,11,6276,EPCAM/KRT RNA,0.5008834511342766,0.18545513323471471,-0.3154283178995618,0.06858672286695118,0.09041959855022721,0.0009222802062760866,0.007184595327831848,0.006262315121555761,99,0.08653812136638434,0.66,0.98,
GSM9226223_P25_LUAD,visium,3791,627,14,7,7,3791,EPCAM/KRT RNA,1.013723039480913,0.2968440843145864,-0.7168789551663265,0.18719637974827893,0.24838345844562804,0.0040477359923326885,0.01283533274193717,0.00878759674960448,99,0.182940352348895,0.55,0.7878787878787878,
