accession	platform	n_samples_or_sections	n_patients	disease	CLDN4	CD8_T_NK	coords	download_url	license	ran_this_slice	notes
GSE307534	Visium CytAssist	56	normal / AAH / AIS / MIA / LUAD	LUAD progression	yes (WTA)	CD8A yes	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE307534	GEO public	no	RAW.tar 10.1 GB; no compact matrix
GSE300827	spatial transcriptome (pre-invasive LUAD)	20	pre-invasive LUAD	LUAD	yes if WTA	CD8A if WTA	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300827	GEO public	no	Confirm processed matrix + positions
GSE282617	spatial + single-cell LUAD progression	70	AIS/MIA/IAC	LUAD	yes if WTA spatial member	CD8A if WTA	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282617	GEO public	no	Super-series style; pull spatial member
GSE287472	CosMx	1	1	LUAD	yes	CD8A, CD3E, NKG7	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE287472	GEO public	no	Single LUAD CosMx
GSE299786	CosMx SMI	4 TMAs	LUAD TMA n=22 cores + meso TMA	LUAD + mesothelioma	yes	CD8A, CD3E, NKG7	yes (CenterX/Y in exprMat)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299786	GEO public	no	GSE299786_RAW.tar 2.0 GB
GSE300007	Xenium	6	same TMA study as GSE299786	LUAD + meso	verify gene_panel.json	CD8A likely	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300007	GEO public	no	Sister of CosMx/MERFISH benchmark
GSE299886	MERFISH	3	same TMA study	LUAD + meso	verify panel	T/NK verify panel	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299886	GEO public	no	Targeted; confirm CLDN4
GSE271689	GeoMx WTA	586 AOIs	Yale NSCLC ICI (~37 pts in published CK matrix)	advanced NSCLC ICI	yes	CD8A, NKG7, CD3 family	ROI/AOI centroids, not cell XY	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE271689	GEO public	no	WTA; Nat Genet 2025 family
GSE292098	GeoMx WTA	315 AOIs	Greek NSCLC ICI (~61 pts)	advanced NSCLC ICI	yes	CD8A, NKG7	AOI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292098	GEO public	no	Sister of GSE271689
GSE221322	GeoMx WTA	96	NSCLC ICI multi-omic	NSCLC ICI	yes	CD8A, NKG7	AOI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221322	GEO public	no	WTA arm
GSE265899	GeoMx WTA + protein	95	lung cancer PD-L1 tumor/immune AOIs	lung cancer	yes	CD8A, NKG7	AOI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE265899	GEO public	no	Paired tumor vs immune Q3
GSE289483	GeoMx WTA	125	9 pulmonary pleomorphic carcinoma	PPC (NSCLC variant)	yes	CD8A, CD3, NKG7	AOI (CD45±)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289483	GEO public	no	
GSE305762	GeoMx WTA	52	LUSC + IPF	LUSC	likely yes (WTA)	likely yes	AOI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE305762	GEO public	no	DCC-only deposit (no processed gene matrix)
GSE309894	GeoMx WTA	34	ALK+ NSCLC alectinib	NSCLC	likely yes (WTA)	likely yes	AOI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309894	GEO public	no	DCC-only
GSE249568	GeoMx gene (paired MET14 biopsies)	94 AOIs	1 patient paired	NSCLC METex14	yes if WTA	CD8/T if WTA	AOI	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249568	GEO public	no	Confirm panel
GSE328481	Stereo-XCR-seq (Stereo-seq + TCR)	11	LUAD	LUAD	yes (WTA Stereo-seq)	CD8A + TCR	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE328481	GEO public	no	Ectopic GC-like niches
GSE316782	multimodal single-cell + spatial	18	NSCLC non-metastatic LN	NSCLC	yes if WTA spatial	T-cell focused	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE316782	GEO public	no	Lymph-node spatial, not primary tumor first
GSE193460	Visium mouse	4	mouse LUAD Perturb-map	mouse LUAD	Cldn4 (WTA)	Cd8a/Cd3e/Nkg7	yes	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193460	GEO public	no	Public mouse; not the private 8-KL scRNA
GSE270431	Visium mouse	12	NKX2-1 / CXCL mouse LUAD	mouse LUAD	Cldn4 if WTA	Cd8a if WTA	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE270431	GEO public	no	
GSE300293	spatial + scRNA mouse tobacco LUAD	19	mouse	mouse LUAD	Cldn4 if spatial WTA	Cd8a if WTA	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300293	GEO public	no	
GSE303162	Visium mouse	2	CAF / Treg lung cancer	mouse lung cancer	Cldn4 if WTA	Cd8a if WTA	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE303162	GEO public	no	
GSE292706	spatial mouse	1	squamous lung	mouse LUSC-like	Cldn4 if WTA	Cd8a if WTA	deposit-dependent	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292706	GEO public	no	
Zenodo-7306132	Visium LUAD (STopover)	LUAD ST package	SNUH LUAD	LUAD	yes	CD8A yes	yes	https://zenodo.org/records/7306132	CC (Zenodo; cite DOI)	no	530 MB zip
