"cohort	in_keratin_funnel	gene	y	n	rho_marginal	p_marginal	rho_partial_krt	p_partial_krt	q_partial_cd8_family	q_partial_tnk_family"
"CESC	True	CDH1	CD8_score	304	-0.07728923021724086	0.17893432892201636	-0.0981407718615357	0.08918742779520196	0.14762057014378255	"
"CESC	True	CDH1	TNK_score	304	-0.20270931752364194	0.0003754089524451868	-0.200139535255758	0.00047717499645075955		0.0012054947278756032"
"KIRC	True	CLDN4	CD8_score	533	-0.10805134344388069	0.012559772176592023	-0.06580665410824625	0.1302678751336179	0.20170509698108577	"
"KIRC	True	CLDN4	TNK_score	533	-0.1538576451458135	0.00036387171518431513	-0.09741133529008872	0.024921447047231905		0.04124929166438385"
"KIRC	True	CLDN3	CD8_score	533	-0.06878327424691966	0.11270847279140762	-0.050262263108586266	0.24804032325281886	0.3260613778346649	"
"KIRC	True	CLDN3	TNK_score	533	-0.0739923992581534	0.08790078112635183	-0.04914163475630754	0.25875583808737745		0.3356832494106518"
"KIRC	True	CLDN7	CD8_score	533	-0.021276577196728357	0.6240559362423872	-0.020102091097626985	0.6442685787103508	0.7363069470975437	"
"KIRC	True	CLDN7	TNK_score	533	-0.02673003101382903	0.538045078351689	-0.018089498689347925	0.6777742542693388		0.7072427001071361"
"KIRC	True	OCLN	CD8_score	533	-0.08727467740751843	0.04400888364233194	-0.05780585583752586	0.18392717975161338	0.25224298937364126	"
"KIRC	True	OCLN	TNK_score	533	-0.11193231196548616	0.009703418433024961	-0.0713303556330923	0.10093015241401584		0.13841849473922174"
"KIRC	True	F11R	CD8_score	533	0.027206048734959454	0.5308284972964717	0.04979593010680978	0.2524612037090275	0.3260613778346649	"
"KIRC	True	F11R	TNK_score	533	0.02254371136929597	0.603547315643488	0.052483674246615875	0.22772357744110117		0.3036314365881349"
"KIRC	True	CDH1	CD8_score	533	-0.02817833102265752	0.5162421533754463	0.0014412307516686296	0.9735938045560322	0.9932014820878231	"
"KIRC	True	CDH1	TNK_score	533	-0.08600516617132561	0.04718896045423124	-0.04646147472863965	0.2856672845682876		0.34791908785198594"
"STAD	True	CLDN4	CD8_score	412	-0.1594735822498993	0.001162456886192799	-0.17859988517150738	0.0002832751953600466	0.0011331007814401864	"
"STAD	True	CLDN4	TNK_score	412	-0.17282466257241316	0.000425323617216585	-0.19879283154811575	5.154495837426955e-05		0.00017672557156892416"
"STAD	True	CLDN3	CD8_score	412	-0.29138053307201317	1.6631037929372792e-09	-0.3088299208199522	1.7333102935614505e-10	8.319889409094962e-09	"
"STAD	True	CLDN3	TNK_score	412	-0.3008461278040606	4.5777871497938015e-10	-0.32171774963787847	2.6570588435682422e-11		6.376941224563781e-10"
"STAD	True	CLDN7	CD8_score	412	-0.10064890217529882	0.0411584400849386	-0.12090864417837852	0.014416092234446481	0.0329510679644491	"
"STAD	True	CLDN7	TNK_score	412	-0.07859837679223686	0.11116223023053026	-0.10026956503279369	0.04268998617119656		0.06610062374894951"
"STAD	True	OCLN	CD8_score	412	-0.07635569455114011	0.12176627881453818	-0.10648866691081053	0.031308114252114716	0.06011157936406025	"
"STAD	True	OCLN	TNK_score	412	-0.09113835084438617	0.06458297318860107	-0.11444656289940398	0.020609311086970093		0.03533024757766302"
"STAD	True	F11R	CD8_score	412	-0.2746242477705731	1.4562294311515009e-08	-0.24936299551882476	3.246549662598335e-07	3.5308047253863413e-06	"
"STAD	True	F11R	TNK_score	412	-0.3344026254653738	3.2003623378036464e-12	-0.31658134320534603	5.6716016868952813e-11		9.07456269903245e-10"
"STAD	True	CDH1	CD8_score	412	-0.1326036065144514	0.0070326597133116755	-0.15867210511503366	0.0012839504458801428	0.003423867855680381	"
"STAD	True	CDH1	TNK_score	412	-0.15590948486429715	0.0015012826376458236	-0.17641118545718154	0.0003371671162403102		0.0009520012693844055"
"BLCA	True	CLDN4	CD8_score	406	-0.191480419066626	0.0001034690630228921	-0.14480527095748533	0.003576473787988031	0.00903530220123292	"
"BLCA	True	CLDN4	TNK_score	406	-0.2145793800966215	1.2933430850610412e-05	-0.15549765434200177	0.0017423416853672136		0.003636191343375054"
"BLCA	True	CLDN3	CD8_score	406	-0.11161328145662935	0.02450977123785553	-0.10573658012976603	0.03383727272478288	0.06246881118421455	"
"BLCA	True	CLDN3	TNK_score	406	-0.17720792550975897	0.0003331363781934894	-0.1640798876220391	0.0009461002077027558		0.0021625147604634417"
"BLCA	True	CLDN7	CD8_score	406	-0.1314174900381797	0.008017478011253779	-0.0703352798123401	0.15873732996195541	0.23089066176284423	"
"BLCA	True	CLDN7	TNK_score	406	-0.1611984577501819	0.0011165386785566265	-0.08467098542170869	0.08959689811241231		0.1264897385116409"
"BLCA	True	OCLN	CD8_score	406	-0.20388288888453585	3.487993167470151e-05	-0.16775996058914427	0.0007214625426710202	0.002308680136547265	"
"BLCA	True	OCLN	TNK_score	406	-0.27777792471279744	1.2539894268872857e-08	-0.2266549767113432	4.30924376637747e-06		2.3949094389339248e-05"
"BLCA	True	F11R	CD8_score	406	-0.16558367592850354	0.0008102171732392845	-0.11725964111028707	0.018533280965098035	0.03867815157933503	"
"BLCA	True	F11R	TNK_score	406	-0.16164189267637544	0.0010813019947876234	-0.11607307213461837	0.019764108502197935		0.03513619289279633"
"BLCA	True	CDH1	CD8_score	406	-0.18529456460490942	0.0001735948315309081	-0.11893373729051022	0.016910599300035186	0.03689585301825859	"
"BLCA	True	CDH1	TNK_score	406	-0.22941463631118802	3.0007974566609316e-06	-0.15475882892447318	0.0018338177231599433		0.0036676354463198867"
"PAAD	True	CLDN4	CD8_score	178	-0.2762346943226563	0.00018969961111463187	-0.16846402638385943	0.025843803234669678	0.05168760646933936	"
"PAAD	True	CLDN4	TNK_score	178	-0.24787723328038605	0.0008498898594765598	-0.14134188404906	0.06207559718902398		0.09311339578353597"
"PAAD	True	CLDN3	CD8_score	178	-0.1279362590153086	0.08878202138875223	-0.12760903392485884	0.09239477575470423	0.14783164120752676	"
"PAAD	True	CLDN3	TNK_score	178	-0.15322327537505492	0.04115900070129035	-0.15861598241264271	0.03603377083171694		0.057654033330747104"
"PAAD	True	CLDN7	CD8_score	178	-0.32598313276853896	8.978375639051561e-06	-0.2487763820603008	0.000900927288897837	0.002702781866693511	"
"PAAD	True	CLDN7	TNK_score	178	-0.317176084576601	1.6050467402171743e-05	-0.25570592872703124	0.0006369073596399445		0.0015285776631358667"
"PAAD	True	OCLN	CD8_score	178	-0.025356170519262627	0.7368978858148827	0.046427648279336875	0.541790467744468	0.6501485612933616	"
"PAAD	True	OCLN	TNK_score	178	-0.04360222953010281	0.5633297297199278	0.02278417046568625	0.7647225280146226		0.7809932201000401"
"PAAD	True	F11R	CD8_score	178	-0.3504551939561392	1.6211649220819897e-06	-0.2672675053344801	0.0003494976221005653	0.001290452758525164	"
"PAAD	True	F11R	TNK_score	178	-0.34789755396418237	1.9520999788841474e-06	-0.27532009030066673	0.0002264084528931241		0.0007245070492579972"
"PAAD	True	CDH1	CD8_score	178	-0.1320748694848228	0.07885119602352461	-0.04239357098955821	0.5774961995396027	0.6760931116561203	"
"PAAD	True	CDH1	TNK_score	178	-0.16124941351953181	0.03153383194720363	-0.07994750141502997	0.29293206042177067		0.34791908785198594"
