cohort,signature,n_genes_in_set,n_genes_found,genes_found
GSE126044,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
GSE126044,HEV_stroma,8,6,CHST4;MADCAM1;SELP;LTB;LTA;TNFSF14
GSE126044,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
GSE126044,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
GSE126044,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
GSE126044,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
GSE207422,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
GSE207422,TLS_12chemokine,12,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
GSE207422,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
GSE207422,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
GSE207422,Plasma_cell,14,13,MZB1;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;IGHG3;IGKC;IGHA1;SSR4;FKBP11
GSE207422,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
GSE207422,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
GSE207422,HEV_stroma,8,8,CHST4;GLYCAM1;MADCAM1;ACKR1;SELP;LTB;LTA;TNFSF14
GSE207422,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
GSE207422,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
GSE207422,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
GSE207422,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
GSE81089,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
GSE81089,TLS_12chemokine,12,9,CCL2;CCL5;CCL8;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
GSE81089,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
GSE81089,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
GSE81089,Plasma_cell,14,14,MZB1;JCHAIN;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;IGHG3;IGKC;IGHA1;SSR4;FKBP11
GSE81089,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
GSE81089,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
GSE81089,HEV_stroma,8,8,CHST4;GLYCAM1;MADCAM1;ACKR1;SELP;LTB;LTA;TNFSF14
GSE81089,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
GSE81089,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
GSE81089,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
GSE81089,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
GSE72094,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
GSE72094,TLS_12chemokine,12,12,CCL2;CCL3;CCL4;CCL5;CCL8;CCL18;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
GSE72094,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
GSE72094,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
GSE72094,Plasma_cell,14,10,MZB1;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;SSR4;FKBP11
GSE72094,GC_reaction,8,7,AICDA;BCL6;RGS13;LMO2;MKI67;STMN1;CD38
GSE72094,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
GSE72094,HEV_stroma,8,7,CHST4;GLYCAM1;MADCAM1;SELP;LTB;LTA;TNFSF14
GSE72094,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
GSE72094,IFNg_Ayers,6,6,IFNG;STAT1;CXCL9;CXCL10;IDO1;HLA-DRA
GSE72094,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
GSE72094,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
GSE190265,TLS_Cabrita,8,8,CCL19;CCL21;CXCL13;CCL17;CCR7;CXCR5;SELL;LAMP3
GSE190265,TLS_12chemokine,12,9,CCL2;CCL5;CCL8;CCL19;CCL21;CXCL9;CXCL10;CXCL11;CXCL13
GSE190265,TLS_imprint,9,9,CD79B;CD1D;CCR6;LAT;SKAP1;CETP;EIF1AY;RBP5;PTGDS
GSE190265,B_cell,16,16,MS4A1;CD19;CD79A;CD79B;BANK1;BLK;CD22;CR2;FCRL2;FCRL5;PAX5;TCL1A;TNFRSF13C;VPREB3;CD37;IRF8
GSE190265,Plasma_cell,14,14,MZB1;JCHAIN;DERL3;TNFRSF17;POU2AF1;XBP1;PRDM1;SDC1;IGHG1;IGHG3;IGKC;IGHA1;SSR4;FKBP11
GSE190265,GC_reaction,8,8,AICDA;BCL6;RGS13;MEF2B;LMO2;MKI67;STMN1;CD38
GSE190265,Tfh,9,9,CXCL13;CD200;BTLA;ICOS;PDCD1;CD40LG;MAF;IL21;TOX2
GSE190265,HEV_stroma,8,8,CHST4;GLYCAM1;MADCAM1;ACKR1;SELP;LTB;LTA;TNFSF14
GSE190265,T_cell_CD8,8,8,CD8A;CD8B;GZMK;GZMA;PRF1;CD2;CD3D;CD3E
GSE190265,IFNg_Ayers,6,5,IFNG;STAT1;CXCL9;CXCL10;IDO1
GSE190265,Myeloid,7,7,CD68;CD163;CSF1R;ITGAM;AIF1;MRC1;FCGR3A
GSE190265,Epithelial,6,6,EPCAM;KRT8;KRT18;KRT19;CDH1;KRT7
