cohort,kind,gene,signature,n,adjustment,rho_crude,p_crude,rho_adj,p_adj,holds_after_purity,opposite_after_purity,verdict
GSE126044,ici,CDH1,Tfh,16,epithelial_score,-0.55,0.0272939727097305,-0.167480128718102,0.5507650758525727,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,B_cell,16,epithelial_score,-0.3,0.2589364525624988,-0.1801510092659065,0.5205604138834072,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,Epithelial,16,epithelial_score,0.288235294117647,0.2789844597370832,-0.0258667409772364,0.9270916556770692,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,GC_reaction,16,epithelial_score,-0.3382352941176471,0.2000655587786896,-0.2710314017495825,0.328525555647418,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,HEV_stroma,16,epithelial_score,-0.35,0.1838688220261931,-0.2359364314069781,0.3972453001089719,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,IFNg_Ayers,16,epithelial_score,-0.4441176470588235,0.0848227441774157,-0.3534282142771925,0.1962656339586157,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,Myeloid,16,epithelial_score,-0.3529411764705882,0.1799586578849817,-0.234514783502629,0.4001788797334173,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,Plasma_cell,16,epithelial_score,-0.0647058823529411,0.8118214513105935,-0.0030153810785417,0.9914905191448448,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,TLS_12chemokine,16,epithelial_score,-0.4617647058823529,0.071768415840538,-0.3789991510804844,0.1635758454771083,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,TLS_Cabrita,16,epithelial_score,-0.3,0.2589364525624988,-0.2077834359373273,0.4574235708699306,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,TLS_imprint,16,epithelial_score,-0.3794117647058823,0.1472271338628926,-0.2674146628938244,0.3352733182380122,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,T_cell_CD8,16,epithelial_score,-0.326470588235294,0.2171594905792293,-0.1818601944387793,0.5165444695238939,False,False,UNDERPOWERED
GSE126044,ici,CEACAM5,Tfh,16,epithelial_score,-0.3058823529411765,0.2492542989289185,-0.1460060040144137,0.6036087913288637,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,B_cell,16,epithelial_score,-0.2764705882352941,0.2999421284923733,0.143794725553551,0.609161757338132,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,Epithelial,16,epithelial_score,0.6823529411764706,0.0035879704117567,-0.0847928350932457,0.7638322601134707,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,GC_reaction,16,epithelial_score,0.0529411764705882,0.8456104411493658,0.392374910519766,0.1480085880759713,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,HEV_stroma,16,epithelial_score,-0.2823529411764706,0.2893498290632738,0.17821429135525,0.5251279897834984,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,IFNg_Ayers,16,epithelial_score,-0.711764705882353,0.0019840432477699,-0.5069699108736064,0.0537588505148956,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,Myeloid,16,epithelial_score,-0.4147058823529412,0.1102294039177016,-0.0056364877710475,0.9840943517578548,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,Plasma_cell,16,epithelial_score,-0.2676470588235294,0.3162544185483092,-0.1696725369365465,0.5454851736762114,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,TLS_12chemokine,16,epithelial_score,-0.6294117647058822,0.0089880892644469,-0.4139048457160814,0.1250974080073145,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,TLS_Cabrita,16,epithelial_score,-0.3,0.2589364525624988,-0.0285678246947028,0.919500033208527,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,TLS_imprint,16,epithelial_score,-0.3941176470588235,0.1309128542989908,0.0475471148951649,0.866373058502776,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,T_cell_CD8,16,epithelial_score,-0.538235294117647,0.0314932282058383,-0.1126696871834409,0.6893125235528462,False,False,UNDERPOWERED
GSE126044,ici,CLDN3,Tfh,16,epithelial_score,-0.4941176470588235,0.0517234422492353,0.0071961608426825,0.9796938434018808,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,B_cell,16,epithelial_score,-0.3941176470588235,0.1309128542989908,-0.0009066511043153,0.9974413691021784,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,Epithelial,16,epithelial_score,0.7352941176470589,0.0011716155350991,0.0273944586247134,0.9227971206445416,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,GC_reaction,16,epithelial_score,-0.4529411764705882,0.0780987414167249,-0.3383532027376271,0.217374642497984,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,HEV_stroma,16,epithelial_score,-0.4147058823529412,0.1102294039177016,0.0087034955190165,0.975441519153549,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,IFNg_Ayers,16,epithelial_score,-0.45,0.0802957365433964,0.0037218490525679,0.9894969404939544,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,Myeloid,16,epithelial_score,-0.5,0.0485802888870238,-0.1047921869857966,0.7101352625826081,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,Plasma_cell,16,epithelial_score,0.0294117647058823,0.9138955872505002,0.2829306410898933,0.3068775759263653,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,TLS_12chemokine,16,epithelial_score,-0.3911764705882353,0.1340712861972552,0.027266788315437,0.923155937742828,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,TLS_Cabrita,16,epithelial_score,-0.2323529411764706,0.386511349907985,0.1140096277913731,0.6857906753977986,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,TLS_imprint,16,epithelial_score,-0.3970588235294118,0.1278060090882617,0.1071133627995203,0.7039791168147267,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,T_cell_CD8,16,epithelial_score,-0.4705882352941176,0.0658194725010811,0.0960078076693734,0.7335810727414585,False,False,UNDERPOWERED
GSE126044,ici,CLDN4,Tfh,16,epithelial_score,-0.4676470588235294,0.0677608501901538,0.1481462508324119,0.598253352946994,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,B_cell,16,epithelial_score,-0.038235294117647,0.8881976539853075,0.5828604659897029,0.0225864581225698,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,Epithelial,16,epithelial_score,0.7147058823529412,0.0018627410999474,0.0129116381386559,0.96357356082004,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,GC_reaction,16,epithelial_score,0.0,1.0,0.3458465650162771,0.2067100643458957,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,HEV_stroma,16,epithelial_score,-0.2529411764705882,0.344563031337499,0.2696089790733657,0.3311700768706014,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,IFNg_Ayers,16,epithelial_score,-0.2323529411764706,0.386511349907985,0.3751857068261968,0.168205131475526,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,Myeloid,16,epithelial_score,-0.1294117647058823,0.6328823324682601,0.5403557872744237,0.0375675400945916,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,Plasma_cell,16,epithelial_score,0.2264705882352941,0.3989829266412892,0.5561624223554159,0.0313209477470917,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,TLS_12chemokine,16,epithelial_score,-0.1617647058823529,0.5494831434036931,0.4005414156483025,0.1390103138216381,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,TLS_Cabrita,16,epithelial_score,0.0176470588235294,0.9482801500547112,0.4894067572310866,0.0640845844753418,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,TLS_imprint,16,epithelial_score,-0.1941176470588235,0.4712897283621075,0.4496152052574928,0.0926705841727907,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,T_cell_CD8,16,epithelial_score,-0.2705882352941176,0.3107606271023349,0.465978697370128,0.0800010102973621,False,False,UNDERPOWERED
GSE126044,ici,CLDN7,Tfh,16,epithelial_score,-0.2794117647058823,0.2946176535684143,0.5055877842856016,0.0545239996804555,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,B_cell,16,epithelial_score,-0.55,0.0272939727097305,-0.2628901731617642,0.343824122462526,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,Epithelial,16,epithelial_score,0.7558823529411764,0.0007058905869098,-0.0871170885191028,0.7575352075183235,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,GC_reaction,16,epithelial_score,-0.1088235294117647,0.6882882939574141,0.2152756870672141,0.4409862690784045,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,HEV_stroma,16,epithelial_score,-0.5,0.0485802888870238,-0.1277781554541026,0.6499600556253097,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,IFNg_Ayers,16,epithelial_score,-0.5911764705882353,0.0158755795556414,-0.2450232124913293,0.3787662360958952,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,Myeloid,16,epithelial_score,-0.6794117647058824,0.0037934326691597,-0.4282064403954317,0.1112979336567231,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,Plasma_cell,16,epithelial_score,-0.3970588235294118,0.1278060090882617,-0.3671444544377473,0.1782476698912096,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,TLS_12chemokine,16,epithelial_score,-0.611764705882353,0.0117884050531152,-0.3552716859971348,0.1937784421829812,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,TLS_Cabrita,16,epithelial_score,-0.45,0.0802957365433964,-0.2325640252606264,0.4042228401176551,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,TLS_imprint,16,epithelial_score,-0.6735294117647058,0.0042327392484605,-0.4013626145439529,0.1381264540506288,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,T_cell_CD8,16,epithelial_score,-0.7970588235294117,0.0002180980699057,-0.5706273943898087,0.026321222121455,False,False,UNDERPOWERED
GSE126044,ici,EPCAM,Tfh,16,epithelial_score,-0.7852941176470588,0.000312853917886,-0.5223506491982718,0.045766494822225,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,B_cell,16,epithelial_score,0.1705882352941176,0.5276097688612683,0.3655932397234571,0.1802290364844906,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,Epithelial,16,epithelial_score,0.2411764705882353,0.3682066080426343,0.1387221398502506,0.6219747002656598,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,GC_reaction,16,epithelial_score,-0.1529411764705882,0.5717446192454617,-0.0822650873618523,0.7706962496166052,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,HEV_stroma,16,epithelial_score,0.3294117647058824,0.2128014262162129,0.5859817687812372,0.0217017554956164,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,IFNg_Ayers,16,epithelial_score,0.1705882352941176,0.5276097688612683,0.4165276798158559,0.1224832014351158,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,Myeloid,16,epithelial_score,0.0088235294117647,0.9741279946623942,0.1992141255057118,0.4765873520632264,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,Plasma_cell,16,epithelial_score,0.4970588235294117,0.0501335578037741,0.5790385949017339,0.0237068597300097,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,TLS_12chemokine,16,epithelial_score,0.2117647058823529,0.4310832472392213,0.4268001088448605,0.1126058560274978,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,TLS_Cabrita,16,epithelial_score,0.5117647058823529,0.0427234481633318,0.69095377764588,0.0043394886146139,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,TLS_imprint,16,epithelial_score,0.288235294117647,0.2789844597370832,0.5728173162680933,0.025620479877532,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,T_cell_CD8,16,epithelial_score,0.1441176470588235,0.5943782881736934,0.4543994503939295,0.0888292808171739,False,False,UNDERPOWERED
GSE126044,ici,ERBB2,Tfh,16,epithelial_score,0.2705882352941176,0.3107606271023349,0.6725672106400856,0.0060097142748675,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,B_cell,16,epithelial_score,0.1529411764705882,0.5717446192454617,0.3225858031288302,0.2409304501297755,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,Epithelial,16,epithelial_score,0.2117647058823529,0.4310832472392213,-0.0027636551407404,0.9922008752398864,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,GC_reaction,16,epithelial_score,0.1558823529411764,0.5642819694728023,0.2417228392581143,0.3854233823028686,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,HEV_stroma,16,epithelial_score,0.15,0.5792486306642535,0.3374366600056963,0.2187024646604716,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,IFNg_Ayers,16,epithelial_score,-0.1323529411764706,0.6251064291516133,-0.0028278913253673,0.9920196038911002,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,Myeloid,16,epithelial_score,-0.0411764705882353,0.8796536149318311,0.1109478420544355,0.6938468504609231,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,Plasma_cell,16,epithelial_score,-0.0352941176470588,0.8967532476935333,0.0106576305250417,0.9699296607922764,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,TLS_12chemokine,16,epithelial_score,-0.0852941176470588,0.7534650694747835,0.039049973405614,0.8901056133635774,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,TLS_Cabrita,16,epithelial_score,0.1941176470588235,0.4712897283621075,0.3158631159890511,0.2514352002069877,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,TLS_imprint,16,epithelial_score,0.0264705882352941,0.9224805705017288,0.2046090565994611,0.4644777556317059,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,T_cell_CD8,16,epithelial_score,-0.0441176470588235,0.8711220048065985,0.1506802869194917,0.5919372193000231,False,False,UNDERPOWERED
GSE126044,ici,FOLR1,Tfh,16,epithelial_score,0.0088235294117647,0.9741279946623942,0.2442369606958053,0.3803464998243084,False,False,UNDERPOWERED
GSE126044,ici,KRT18,B_cell,16,epithelial_score,-0.5117647058823529,0.0427234481633318,-0.0457336508484863,0.8714298462126991,False,False,UNDERPOWERED
GSE126044,ici,KRT18,Epithelial,16,epithelial_score,0.9294117647058824,1.940118948103671e-07,0.002110981087406,0.994042707914342,False,False,UNDERPOWERED
GSE126044,ici,KRT18,GC_reaction,16,epithelial_score,-0.3058823529411765,0.2492542989289185,-0.0226677687098479,0.9360901423089084,False,False,UNDERPOWERED
GSE126044,ici,KRT18,HEV_stroma,16,epithelial_score,-0.611764705882353,0.0117884050531152,-0.2687582799119454,0.33275743188043,False,False,UNDERPOWERED
GSE126044,ici,KRT18,IFNg_Ayers,16,epithelial_score,-0.5058823529411764,0.0455816161239402,0.2247875011841381,0.4205554545407978,False,False,UNDERPOWERED
GSE126044,ici,KRT18,Myeloid,16,epithelial_score,-0.3794117647058823,0.1472271338628926,0.6146657357643629,0.0147549177019331,False,False,UNDERPOWERED
GSE126044,ici,KRT18,Plasma_cell,16,epithelial_score,-0.1558823529411764,0.5642819694728023,0.1211521565635792,0.6671201132677501,False,False,UNDERPOWERED
GSE126044,ici,KRT18,TLS_12chemokine,16,epithelial_score,-0.4088235294117647,0.1158878381487834,0.3417499718471251,0.2124981465242038,False,False,UNDERPOWERED
GSE126044,ici,KRT18,TLS_Cabrita,16,epithelial_score,-0.3823529411764705,0.1438592495438904,0.0010288849965099,0.9970964180289452,False,False,UNDERPOWERED
GSE126044,ici,KRT18,TLS_imprint,16,epithelial_score,-0.6058823529411764,0.0128602985333671,-0.1096824788951619,0.6971852362918544,False,False,UNDERPOWERED
GSE126044,ici,KRT18,T_cell_CD8,16,epithelial_score,-0.6058823529411764,0.0128602985333671,0.1807340317632404,0.5191889423106143,False,False,UNDERPOWERED
GSE126044,ici,KRT18,Tfh,16,epithelial_score,-0.6882352941176471,0.0032039086143957,-0.0408447402141172,0.885084954507026,False,False,UNDERPOWERED
GSE126044,ici,KRT19,B_cell,16,epithelial_score,-0.1088235294117647,0.6882882939574141,0.1119983053875618,0.6910793910047233,False,False,UNDERPOWERED
GSE126044,ici,KRT19,Epithelial,16,epithelial_score,0.3676470588235294,0.1612323576755898,0.1107267918430683,0.6944296689384359,False,False,UNDERPOWERED
GSE126044,ici,KRT19,GC_reaction,16,epithelial_score,-0.326470588235294,0.2171594905792293,-0.2368167405723529,0.3954345092580336,False,False,UNDERPOWERED
GSE126044,ici,KRT19,HEV_stroma,16,epithelial_score,0.0264705882352941,0.9224805705017288,0.3093349115993397,0.2619003112231672,False,False,UNDERPOWERED
GSE126044,ici,KRT19,IFNg_Ayers,16,epithelial_score,0.0999999999999999,0.7125163701282782,0.4444275706674557,0.0969664815018621,False,False,UNDERPOWERED
GSE126044,ici,KRT19,Myeloid,16,epithelial_score,-0.2529411764705882,0.344563031337499,-0.0421499884390486,0.8814362049672912,False,False,UNDERPOWERED
GSE126044,ici,KRT19,Plasma_cell,16,epithelial_score,0.4529411764705882,0.0780987414167249,0.5855888710140011,0.0218116389166821,False,False,UNDERPOWERED
GSE126044,ici,KRT19,TLS_12chemokine,16,epithelial_score,0.0735294117647058,0.7866792491258566,0.3572444715348098,0.1911394022394772,False,False,UNDERPOWERED
GSE126044,ici,KRT19,TLS_Cabrita,16,epithelial_score,0.1941176470588235,0.4712897283621075,0.4076868820738784,0.1314468965038219,False,False,UNDERPOWERED
GSE126044,ici,KRT19,TLS_imprint,16,epithelial_score,-0.0294117647058823,0.9138955872505002,0.2702635500224615,0.3299516214142414,False,False,UNDERPOWERED
GSE126044,ici,KRT19,T_cell_CD8,16,epithelial_score,0.0058823529411764,0.9827505044191353,0.3996102440659634,0.1400171562478865,False,False,UNDERPOWERED
GSE126044,ici,KRT19,Tfh,16,epithelial_score,0.0147058823529411,0.956891924031642,0.4446512008636477,0.096778461879421,False,False,UNDERPOWERED
GSE126044,ici,KRT8,B_cell,16,epithelial_score,-0.4764705882352941,0.0620591741892261,0.0099653092626706,0.9718822985696204,False,False,UNDERPOWERED
GSE126044,ici,KRT8,Epithelial,16,epithelial_score,0.8970588235294116,2.4923759658858707e-06,-0.0519063047238911,0.8542375938255141,False,False,UNDERPOWERED
GSE126044,ici,KRT8,GC_reaction,16,epithelial_score,-0.2529411764705882,0.344563031337499,0.0827674319609293,0.7693308800592896,False,False,UNDERPOWERED
GSE126044,ici,KRT8,HEV_stroma,16,epithelial_score,-0.5794117647058823,0.0186625294177119,-0.1861615978823577,0.5065007172814401,False,False,UNDERPOWERED
GSE126044,ici,KRT8,IFNg_Ayers,16,epithelial_score,-0.5529411764705882,0.0263144998706665,-0.004343125201179,0.9877438115405304,False,False,UNDERPOWERED
GSE126044,ici,KRT8,Myeloid,16,epithelial_score,-0.45,0.0802957365433964,0.2577609014241619,0.3536642414829418,False,False,UNDERPOWERED
GSE126044,ici,KRT8,Plasma_cell,16,epithelial_score,-0.0499999999999999,0.8540995521297438,0.3304033297938968,0.2290619821664937,False,False,UNDERPOWERED
GSE126044,ici,KRT8,TLS_12chemokine,16,epithelial_score,-0.5529411764705882,0.0263144998706665,-0.154587103145715,0.5822526034379545,False,False,UNDERPOWERED
GSE126044,ici,KRT8,TLS_Cabrita,16,epithelial_score,-0.45,0.0802957365433964,-0.2002010801646113,0.4743607237010236,False,False,UNDERPOWERED
GSE126044,ici,KRT8,TLS_imprint,16,epithelial_score,-0.6323529411764706,0.0085775841030993,-0.2252587546699572,0.4195561351467347,False,False,UNDERPOWERED
GSE126044,ici,KRT8,T_cell_CD8,16,epithelial_score,-0.6323529411764706,0.0085775841030993,-0.005642090042474,0.9840785445092752,False,False,UNDERPOWERED
GSE126044,ici,KRT8,Tfh,16,epithelial_score,-0.711764705882353,0.0019840432477699,-0.1900078847219812,0.4975968763567354,False,False,UNDERPOWERED
GSE126044,ici,MET,B_cell,16,epithelial_score,-0.2352941176470588,0.3803558011886571,0.0074084006318979,0.979095063073754,False,False,UNDERPOWERED
GSE126044,ici,MET,Epithelial,16,epithelial_score,0.45,0.0802957365433964,0.042310841087095,0.8809867019376334,False,False,UNDERPOWERED
GSE126044,ici,MET,GC_reaction,16,epithelial_score,-0.2088235294117647,0.4376585109498007,-0.0763202911150161,0.7869006492784983,False,False,UNDERPOWERED
GSE126044,ici,MET,HEV_stroma,16,epithelial_score,0.0176470588235294,0.9482801500547112,0.3741702391202068,0.1694522570437495,False,False,UNDERPOWERED
GSE126044,ici,MET,IFNg_Ayers,16,epithelial_score,-0.4264705882352941,0.0994991119375397,-0.2127438539547961,0.4465072815422664,False,False,UNDERPOWERED
GSE126044,ici,MET,Myeloid,16,epithelial_score,-0.6058823529411764,0.0128602985333671,-0.4695922535000496,0.0773790315808323,False,False,UNDERPOWERED
GSE126044,ici,MET,Plasma_cell,16,epithelial_score,-0.2911764705882353,0.2738870484191485,-0.2230662396236692,0.4242159028979106,False,False,UNDERPOWERED
GSE126044,ici,MET,TLS_12chemokine,16,epithelial_score,-0.3794117647058823,0.1472271338628926,-0.1755007064590685,0.531557892728096,False,False,UNDERPOWERED
GSE126044,ici,MET,TLS_Cabrita,16,epithelial_score,0.1235294117647058,0.6485420669723406,0.3794795148546985,0.1629987609730603,False,False,UNDERPOWERED
GSE126044,ici,MET,TLS_imprint,16,epithelial_score,-0.2058823529411765,0.4442846410521442,0.1026000842979047,0.7159644023881377,False,False,UNDERPOWERED
GSE126044,ici,MET,T_cell_CD8,16,epithelial_score,-0.4823529411764706,0.0584589767747195,-0.2613958158931191,0.3466749214323517,False,False,UNDERPOWERED
GSE126044,ici,MET,Tfh,16,epithelial_score,-0.2588235294117647,0.3330723066336084,0.1136224318999279,0.6868077533961596,False,False,UNDERPOWERED
GSE126044,ici,MUC1,B_cell,16,epithelial_score,0.0617647058823529,0.8202418775044894,0.2370412024239647,0.3949734952379584,False,False,UNDERPOWERED
GSE126044,ici,MUC1,Epithelial,16,epithelial_score,0.2470588235294117,0.3562750415125774,0.0065731041735586,0.98145169558478,False,False,UNDERPOWERED
GSE126044,ici,MUC1,GC_reaction,16,epithelial_score,0.0088235294117647,0.9741279946623942,0.0959058341278323,0.7338545744212636,False,False,UNDERPOWERED
GSE126044,ici,MUC1,HEV_stroma,16,epithelial_score,0.0235294117647058,0.931073583667659,0.2067136718266814,0.4597948983483338,False,False,UNDERPOWERED
GSE126044,ici,MUC1,IFNg_Ayers,16,epithelial_score,0.1647058823529412,0.542148135201078,0.4141988491920372,0.1248024871699872,False,False,UNDERPOWERED
GSE126044,ici,MUC1,Myeloid,16,epithelial_score,0.1588235294117647,0.5568612810855391,0.3981419117015016,0.1416148028897847,False,False,UNDERPOWERED
GSE126044,ici,MUC1,Plasma_cell,16,epithelial_score,0.0176470588235294,0.9482801500547112,0.0746955605050893,0.791343803646581,False,False,UNDERPOWERED
GSE126044,ici,MUC1,TLS_12chemokine,16,epithelial_score,0.2264705882352941,0.3989829266412892,0.4496949370141573,0.0926056239509674,False,False,UNDERPOWERED
GSE126044,ici,MUC1,TLS_Cabrita,16,epithelial_score,0.1941176470588235,0.4712897283621075,0.3350329941422413,0.2222089921923058,False,False,UNDERPOWERED
GSE126044,ici,MUC1,TLS_imprint,16,epithelial_score,0.0411764705882353,0.8796536149318311,0.2542682221656338,0.3604531655411015,False,False,UNDERPOWERED
GSE126044,ici,MUC1,T_cell_CD8,16,epithelial_score,-0.0176470588235294,0.9482801500547112,0.2263796306060832,0.4171841934772531,False,False,UNDERPOWERED
GSE126044,ici,MUC1,Tfh,16,epithelial_score,0.0,1.0,0.2718601043273109,0.3269904252878172,False,False,UNDERPOWERED
GSE126044,ici,TACSTD2,B_cell,16,epithelial_score,-0.0441176470588235,0.8711220048065985,0.2608536854073536,0.3477124076415474,False,False,UNDERPOWERED
GSE126044,ici,TACSTD2,Epithelial,16,epithelial_score,0.45,0.0802957365433964,0.0651265088856247,0.8176293109426248,False,False,UNDERPOWERED
GSE126044,ici,TACSTD2,GC_reaction,16,epithelial_score,-0.088235294117647,0.7452220943671326,0.0662369724711187,0.8145691436440268,False,False,UNDERPOWERED
