unit	unit_col	animal	mouse_id	genotype	week	timesimple	n_cells	n_tumors	Cldn4_mean	Cldn4_pct_pos	IFN_mean	MHC-I/APM_mean	TJ_mean	Epcam_mean	Ptprc_pct_pos	any_tnk_marker_pct
K_2w_ND_m4	mouseID	K_2w_ND_m4	1	K	2w	02_KorKP_early_ND	31	1	0.5865846333234718	0.16129032258064516	1.5861098022355096	3.66423308306936	2.0840498087956916	5.759066349903036	0.03225806451612903	0.03225806451612903
K_2w_ND_m5	mouseID	K_2w_ND_m5	1	K	2w	02_KorKP_early_ND	22	1	0.9032352590572366	0.18181818181818182	1.4606729576982722	3.3556617713673393	1.8893772266971636	5.615426952725908	0.0	0.0
K_30w_ND_m1	mouseID	K_30w_ND_m1	1	K	30w	05_K_30w_ND	193	1	0.7131065921257808	0.12435233160621761	1.4918266409962273	3.0248726461558837	1.9295753471958947	6.2093261854601955	0.025906735751295335	0.04145077720207254
K_30w_ND_m2	mouseID	K_30w_ND_m2	1	K	30w	05_K_30w_ND	206	1	2.2160357830893926	0.38349514563106796	1.505101685680595	3.014215891671596	2.0272363587801467	6.395460504490825	0.038834951456310676	0.07766990291262135
K_30w_ND_m3	mouseID	K_30w_ND_m3	1	K	30w	05_K_30w_ND	106	1	3.0433294634747505	0.46226415094339623	1.4958146114854762	2.881919206065046	2.1575262037490344	6.74538926453535	0.03773584905660377	0.04716981132075472
T_0w_ND_f1	mouseID	T_0w_ND_f1	1	T	0w	01_T_early_ND	61	1	0.3363813334258813	0.06557377049180328	2.169469113059697	4.9674499617926005	2.0881961552802744	5.100331980075812	0.0	0.01639344262295082
T_0w_ND_f2	mouseID	T_0w_ND_f2	1	T	0w	01_T_early_ND	54	1	0.24937699933192986	0.05555555555555555	2.1621985058416087	4.81776862779484	1.9080555306535871	5.485001664787071	0.018518518518518517	0.037037037037037035
T_0w_ND_m1	mouseID	T_0w_ND_m1	1	T	0w	01_T_early_ND	47	1	0.7337672556340821	0.14893617021276595	2.520157886943751	5.218193596579513	2.214854821513708	5.493887152796941	0.0425531914893617	0.0425531914893617
T_4w_ND_m1	mouseID	T_4w_ND_m1	1	T	4w	01_T_early_ND	37	1	0.08841458908212708	0.02702702702702703	1.3574048551890088	3.167875488965684	1.6740435157564733	4.323073242707295	0.02702702702702703	0.02702702702702703
T_4w_ND_m2	mouseID	T_4w_ND_m2	1	T	4w	01_T_early_ND	7	1	0.0	0.0	1.3464135244299864	3.7797518893086286	1.5968921809260912	3.3566416177553537	0.0	0.42857142857142855
