dataset,cell_line,ifn_type,timepoint,gene,sample_id,arm,value,scale
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128892,treated,6.348728154231077,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128901,treated,6.916476644437717,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128910,treated,6.364572432295856,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128888,control,5.4495613746132365,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128893,control,5.462706750670158,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128902,control,7.2259304111710545,array_log2
GSE5542,A549,IFNA+IFNG,6hr,TACSTD2,GSM128911,control,6.187846909439575,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128887,treated,13.614594828765293,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128892,treated,13.886896848733759,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128901,treated,13.499982876827836,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128910,treated,13.345945740257656,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128888,control,8.649256177517314,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128893,control,7.092757140919852,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128902,control,7.916476644437717,array_log2
GSE5542,A549,IFNA+IFNG,6hr,MX1,GSM128911,control,7.982423226775876,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128887,treated,13.978585343853682,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128892,treated,14.045478124119999,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128901,treated,13.853933288677933,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128910,treated,13.942441195801843,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128888,control,8.489847960439297,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128893,control,8.629720891017257,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128902,control,7.911092331587135,array_log2
GSE5542,A549,IFNA+IFNG,6hr,ISG15,GSM128911,control,8.426264754702098,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128887,treated,12.320532772106517,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128892,treated,12.660504103847922,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128901,treated,12.151536737066294,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128910,treated,12.423351836027125,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128888,control,10.230286725831792,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128893,control,10.213862302254228,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128902,control,10.071294743752468,array_log2
GSE5542,A549,IFNA+IFNG,6hr,STAT1,GSM128911,control,9.891405522087094,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128887,treated,11.469997868690765,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128892,treated,12.18957750090512,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128901,treated,12.831148871219325,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128910,treated,11.10669379120375,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128888,control,7.330020515836084,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128893,control,8.381110294099054,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128902,control,7.22881869049588,array_log2
GSE5542,A549,IFNA+IFNG,6hr,CXCL10,GSM128911,control,7.87528859822269,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128894,treated,5.970393537914677,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128903,treated,5.700439718141092,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128907,treated,3.572889668420581,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128912,treated,6.185866545311334,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128897,control,5.399171093819823,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128898,control,7.869131119644294,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128906,control,5.548436624696042,array_log2
GSE5542,A549,IFNA,24hr,TACSTD2,GSM128915,control,5.692092375427572,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128894,treated,14.091617199402192,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128903,treated,13.941982926775363,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128907,treated,14.24471316765317,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128912,treated,13.582577171367747,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128897,control,8.541483864054275,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128898,control,8.430870663548154,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128906,control,7.98584193700334,array_log2
GSE5542,A549,IFNA,24hr,MX1,GSM128915,control,7.189824558880018,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128894,treated,15.300735064061193,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128903,treated,15.103091063855375,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128907,treated,15.321692087870296,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128912,treated,14.716337196561664,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128897,control,8.714588975599154,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128898,control,8.796688594464145,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128906,control,8.922435740233148,array_log2
GSE5542,A549,IFNA,24hr,ISG15,GSM128915,control,8.246503098280098,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128894,treated,12.299702139256668,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128903,treated,12.55563910668041,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128907,treated,12.144041826930744,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128912,treated,12.539352581473548,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128897,control,10.08431236106337,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128898,control,10.481015294649177,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128906,control,10.121059840145772,array_log2
GSE5542,A549,IFNA,24hr,STAT1,GSM128915,control,10.487135149120459,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128894,treated,8.872828759534885,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128903,treated,8.543031820255237,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128907,treated,7.274261661257048,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128912,treated,7.824640580853424,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128897,control,8.429615964201735,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128898,control,8.608809242675523,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128906,control,7.905687848526862,array_log2
GSE5542,A549,IFNA,24hr,CXCL10,GSM128915,control,8.28955784835356,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128889,treated,5.354028938054387,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128895,treated,7.092757140919852,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128904,treated,6.013462259806563,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128913,treated,5.575917361118149,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128897,control,5.399171093819823,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128898,control,7.869131119644294,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128906,control,5.548436624696042,array_log2
GSE5542,A549,IFNG,24hr,TACSTD2,GSM128915,control,5.692092375427572,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128889,treated,10.81410175449819,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128895,treated,10.870672954824592,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128904,treated,11.107870914279614,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128913,treated,10.340629025951822,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128897,control,8.541483864054275,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128898,control,8.430870663548154,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128906,control,7.98584193700334,array_log2
GSE5542,A549,IFNG,24hr,MX1,GSM128915,control,7.189824558880018,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128889,treated,13.308637664408995,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128895,treated,13.076848992382851,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128904,treated,12.975149374036123,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128913,treated,13.182177063692409,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128897,control,8.714588975599154,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128898,control,8.796688594464145,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128906,control,8.922435740233148,array_log2
GSE5542,A549,IFNG,24hr,ISG15,GSM128915,control,8.246503098280098,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128889,treated,13.286231566745531,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128895,treated,13.020923342784684,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128904,treated,12.935965716556964,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128913,treated,13.133536204233817,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128897,control,10.08431236106337,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128898,control,10.481015294649177,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128906,control,10.121059840145772,array_log2
GSE5542,A549,IFNG,24hr,STAT1,GSM128915,control,10.487135149120459,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128889,treated,8.75120928822302,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128895,treated,8.98042523154384,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128904,treated,8.711839019959028,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128913,treated,9.078684546194637,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128897,control,8.429615964201735,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128898,control,8.608809242675523,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128906,control,7.905687848526862,array_log2
GSE5542,A549,IFNG,24hr,CXCL10,GSM128915,control,8.28955784835356,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128886,treated,5.161887682376894,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128896,treated,4.8529975876133165,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128905,treated,6.121015400961366,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128914,treated,5.501439145158873,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128897,control,5.399171093819823,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128898,control,7.869131119644294,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128906,control,5.548436624696042,array_log2
GSE5542,A549,IFNA+IFNG,24hr,TACSTD2,GSM128915,control,5.692092375427572,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128886,treated,14.383596302276697,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128896,treated,14.069894457129362,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128905,treated,14.463684011110177,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128914,treated,13.712806398823325,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128897,control,8.541483864054275,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128898,control,8.430870663548154,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128906,control,7.98584193700334,array_log2
GSE5542,A549,IFNA+IFNG,24hr,MX1,GSM128915,control,7.189824558880018,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128886,treated,15.426569434189075,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128896,treated,15.317871862652314,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128905,treated,15.538613334370464,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128914,treated,14.752312691925212,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128897,control,8.714588975599154,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128898,control,8.796688594464145,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128906,control,8.922435740233148,array_log2
GSE5542,A549,IFNA+IFNG,24hr,ISG15,GSM128915,control,8.246503098280098,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128886,treated,13.42475134758526,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128896,treated,13.399118020418719,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128905,treated,13.23754410361056,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128914,treated,13.040867140564444,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128897,control,10.08431236106337,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128898,control,10.481015294649177,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128906,control,10.121059840145772,array_log2
GSE5542,A549,IFNA+IFNG,24hr,STAT1,GSM128915,control,10.487135149120459,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128886,treated,11.083545809442445,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128896,treated,10.310499179152215,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128905,treated,13.30008081382297,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128914,treated,11.624932500811424,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128897,control,8.429615964201735,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128898,control,8.608809242675523,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128906,control,7.905687848526862,array_log2
GSE5542,A549,IFNA+IFNG,24hr,CXCL10,GSM128915,control,8.28955784835356,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,TACSTD2,GSM1482745,treated,6.477083637,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,TACSTD2,GSM1482756,treated,6.322929619,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,TACSTD2,GSM1482760,treated,6.416445694,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,TACSTD2,GSM1482743,control,6.376487194,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,TACSTD2,GSM1482748,control,6.466699619,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,TACSTD2,GSM1482753,control,6.447542464,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,MX1,GSM1482745,treated,13.26163789,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,MX1,GSM1482756,treated,13.55605361,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,MX1,GSM1482760,treated,13.53063663,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,MX1,GSM1482743,control,6.845490051,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,MX1,GSM1482748,control,6.744460131,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,MX1,GSM1482753,control,6.882303392,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,ISG15,GSM1482745,treated,12.80134349,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,ISG15,GSM1482756,treated,12.82206732,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,ISG15,GSM1482760,treated,12.99832843,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,ISG15,GSM1482743,control,7.611024797,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,ISG15,GSM1482748,control,7.422064766,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,ISG15,GSM1482753,control,7.729243075,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,STAT1,GSM1482745,treated,12.02579323,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,STAT1,GSM1482756,treated,12.00675462,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,STAT1,GSM1482760,treated,12.20869161,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,STAT1,GSM1482743,control,10.21997517,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,STAT1,GSM1482748,control,10.3796792,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,STAT1,GSM1482753,control,10.14533072,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,CXCL10,GSM1482745,treated,6.966104848,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,CXCL10,GSM1482756,treated,6.734333281,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,CXCL10,GSM1482760,treated,6.597017939,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,CXCL10,GSM1482743,control,6.689609785,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,CXCL10,GSM1482748,control,6.693486957,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_100,CXCL10,GSM1482753,control,6.699668842,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,TACSTD2,GSM1482755,treated,6.36923381,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,TACSTD2,GSM1482759,treated,6.499403003,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,TACSTD2,GSM1482763,treated,6.541311766,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,TACSTD2,GSM1482743,control,6.376487194,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,TACSTD2,GSM1482748,control,6.466699619,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,TACSTD2,GSM1482753,control,6.447542464,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,MX1,GSM1482755,treated,13.30068224,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,MX1,GSM1482759,treated,13.37719923,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,MX1,GSM1482763,treated,13.46850031,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,MX1,GSM1482743,control,6.845490051,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,MX1,GSM1482748,control,6.744460131,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,MX1,GSM1482753,control,6.882303392,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,ISG15,GSM1482755,treated,12.99832843,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,ISG15,GSM1482759,treated,13.02070992,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,ISG15,GSM1482763,treated,12.8771776,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,ISG15,GSM1482743,control,7.611024797,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,ISG15,GSM1482748,control,7.422064766,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,ISG15,GSM1482753,control,7.729243075,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,STAT1,GSM1482755,treated,11.94078259,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,STAT1,GSM1482759,treated,12.07817861,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,STAT1,GSM1482763,treated,12.10536747,array_log2
GSE60572,A549,IFNB,6h_IFN_2b_1000,STAT1,GSM1482743,control,10.21997517,array_log2
