dataset,cell_line,ifn_type,timepoint,scale,gene,primary,note,n_treated,n_control,mean_treated,mean_control,log2fc,p,isg_qc_pass,q
GSE109720,NCI-H1993,IFNG,unspecified,log2count,ISG15,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,9.24765438244063,9.472235781326566,-0.22458139888593642,0.7889461939622124,False,
GSE109720,NCI-H596,IFNG,unspecified,log2count,ISG15,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,9.922571293421877,8.876648956285054,1.0459223371368225,0.017229824883516372,False,
GSE156295,A549,IFNI,unspecified,log2CPM,ISG15,True,,2,2,8.895955019075142,2.006457585105964,6.889497433969178,0.001125610263884628,True,
GSE178640,A549,IFNA2,DMSO_pretreated,log2CPM,ISG15,True,,3,3,7.57020461036304,1.4040773116024603,6.166127298760579,0.001450573669614074,True,
GSE215771,A549_WT,IFNG,24h,log2TPM,ISG15,True,,3,3,8.255452533294877,2.795741194179934,5.459711339114943,0.0006111983007317589,True,
GSE5542,A549,IFNA,24hr,array_log2,ISG15,True,,4,4,15.110463853087133,8.670054102144135,6.440409750942997,6.844323904749019e-08,True,
GSE5542,A549,IFNA,6hr,array_log2,ISG15,True,,4,4,14.12602630685029,8.364231484436447,5.761794822413844,1.5363634358983435e-06,True,
GSE5542,A549,IFNG,24hr,array_log2,ISG15,True,,4,4,13.135703273630094,8.670054102144135,4.465649171485959,5.159901244901259e-06,True,
GSE5542,A549,IFNG,6hr,array_log2,ISG15,True,,4,4,10.788968107216187,8.364231484436447,2.42473662277974,0.00013626068445047904,True,
GSE60572,A549,IFNB,6h_IFN_2b_100,array_log2,ISG15,True,,3,3,12.873913080000001,7.587444212666667,5.286468867333334,3.601240994849019e-06,True,
GSE60572,A549,IFNB,6h_IFN_2b_1000,array_log2,ISG15,True,,3,3,12.965405316666667,7.587444212666667,5.377961104,1.7231349142648347e-05,True,
GSE156295,HTBE,IFNI,unspecified,log2CPM,MX1,False,,2,2,10.984035292924933,2.247028244060373,8.737007048864559,0.0035993810027037157,True,
GSE215771,A549_IRF1KO,IFNG,24h,log2TPM,MX1,False,,3,3,2.6519780084484386,0.0980376081206451,2.5539404003277935,1.8809559068129068e-06,True,
GSE215771,A549_NF2KO,IFNG,24h,log2TPM,MX1,False,,3,3,0.6776996484948632,0.23568693006715513,0.44201271842770806,0.04610931869865379,True,
GSE5542,A549,IFNA+IFNG,24hr,array_log2,MX1,False,,4,4,14.15749529233489,8.037005255871446,6.120490036463444,1.894997333258806e-05,True,
GSE5542,A549,IFNA+IFNG,6hr,array_log2,MX1,False,,4,4,13.586855073646136,7.910228297412689,5.676626776233447,0.00011402771200782822,True,
GSE60572,A549,IFNB,24h_IFN_2b_100,array_log2,MX1,False,no matched 24h untreated samples deposited,3,0,13.20179518,,,,False,
GSE60572,A549,IFNB,24h_IFN_2b_1000,array_log2,MX1,False,no matched 24h untreated samples deposited,3,0,13.790942849999999,,,,False,
GSE109720,EBC-1,IFNG,unspecified,log2count,MX1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,14.306740702769943,12.007655174459908,2.2990855283100355,0.06359942307488131,True,
GSE109720,NCI-H1573,IFNG,unspecified,log2count,MX1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,7.168953683571702,13.122943329740318,-5.953989646168616,0.016034325173187477,False,
GSE109720,NCI-H1993,IFNG,unspecified,log2count,MX1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,7.075897831486873,7.2914248276553115,-0.21552699616843896,0.8762561506861183,False,
GSE109720,NCI-H596,IFNG,unspecified,log2count,MX1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,5.795826288614126,7.567953216933039,-1.7721269283189125,0.0014244157948066678,False,
GSE156295,A549,IFNI,unspecified,log2CPM,MX1,True,,2,2,10.037959968714018,1.4937435614583152,8.544216407255703,0.00012249341463105228,True,
GSE178640,A549,IFNA2,DMSO_pretreated,log2CPM,MX1,True,,3,3,10.015920849996888,0.9573529366939519,9.058567913302937,1.3491640104241972e-07,True,
GSE215771,A549_WT,IFNG,24h,log2TPM,MX1,True,,3,3,2.2529752502972085,0.09887341794737393,2.1541018323498347,0.00020197029711424214,True,
GSE5542,A549,IFNA,24hr,array_log2,MX1,True,,4,4,13.965222616299616,8.037005255871446,5.928217360428171,4.166916798146773e-05,True,
GSE5542,A549,IFNA,6hr,array_log2,MX1,True,,4,4,13.677138982197834,7.910228297412689,5.766910684785144,2.7018341222508597e-05,True,
GSE5542,A549,IFNG,24hr,array_log2,MX1,True,,4,4,10.783318662388554,8.037005255871446,2.7463134065171086,0.0008029239803397459,True,
GSE5542,A549,IFNG,6hr,array_log2,MX1,True,,4,4,9.95505429611684,7.910228297412689,2.044825998704151,0.005607999405843063,True,
GSE60572,A549,IFNB,6h_IFN_2b_100,array_log2,MX1,True,,3,3,13.44944271,6.824084524666667,6.625358185333333,1.9435202262010417e-05,True,
GSE60572,A549,IFNB,6h_IFN_2b_1000,array_log2,MX1,True,,3,3,13.382127259999999,6.824084524666667,6.558042735333332,7.646457538393076e-08,True,
GSE156295,HTBE,IFNI,unspecified,log2CPM,STAT1,False,,2,2,9.722586362208919,5.3699570217934,4.352629340415518,0.01666418643059481,True,
GSE215771,A549_IRF1KO,IFNG,24h,log2TPM,STAT1,False,,3,3,8.657155003598993,6.412819879580162,2.2443351240188303,0.0004729833609576103,True,
GSE215771,A549_NF2KO,IFNG,24h,log2TPM,STAT1,False,,3,3,9.802950588630868,7.683271053671305,2.1196795349595625,0.00035145561561634087,True,
GSE5542,A549,IFNA+IFNG,24hr,array_log2,STAT1,False,,4,4,13.275570153044747,10.293380661244694,2.982189491800053,1.1921822830695984e-06,True,
GSE5542,A549,IFNA+IFNG,6hr,array_log2,STAT1,False,,4,4,12.388981362261964,10.101712323481395,2.2872690387805683,5.081384277924833e-06,True,
GSE60572,A549,IFNB,24h_IFN_2b_100,array_log2,STAT1,False,no matched 24h untreated samples deposited,3,0,12.21760157,,,,False,
GSE60572,A549,IFNB,24h_IFN_2b_1000,array_log2,STAT1,False,no matched 24h untreated samples deposited,3,0,12.578607513333333,,,,False,
GSE109720,EBC-1,IFNG,unspecified,log2count,STAT1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,14.572846451695066,13.938525964369198,0.6343204873258674,0.639942342233494,True,
GSE109720,NCI-H1573,IFNG,unspecified,log2count,STAT1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,13.227100806905646,14.053636807599906,-0.8265360006942597,0.6081809568238111,False,
GSE109720,NCI-H1993,IFNG,unspecified,log2count,STAT1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,13.23771834034873,13.075499472772885,0.16221886757584514,0.9330591055132152,False,
GSE109720,NCI-H596,IFNG,unspecified,log2count,STAT1,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,10.875153285337149,12.229584801710944,-1.3544315163737952,0.0021835353207584752,False,
GSE156295,A549,IFNI,unspecified,log2CPM,STAT1,True,,2,2,11.310534247606494,7.7540157616821945,3.5565184859242995,0.0028609221029293726,True,
GSE178640,A549,IFNA2,DMSO_pretreated,log2CPM,STAT1,True,,3,3,10.617468619951655,7.845920800227877,2.7715478197237777,2.1609146368705526e-06,True,
GSE215771,A549_WT,IFNG,24h,log2TPM,STAT1,True,,3,3,9.014762688484838,5.994470460027572,3.020292228457266,0.001854610312081929,True,
GSE5542,A549,IFNA,24hr,array_log2,STAT1,True,,4,4,12.384683913585341,10.293380661244694,2.091303252340648,8.730888160456179e-06,True,
GSE5542,A549,IFNA,6hr,array_log2,STAT1,True,,4,4,12.399841471097718,10.101712323481395,2.298129147616322,7.654008690395536e-07,True,
GSE5542,A549,IFNG,24hr,array_log2,STAT1,True,,4,4,13.09416420758025,10.293380661244694,2.8007835463355555,2.6138009954626534e-06,True,
GSE5542,A549,IFNG,6hr,array_log2,STAT1,True,,4,4,12.306336257248873,10.101712323481395,2.2046239337674773,1.9649500036170722e-06,True,
GSE60572,A549,IFNB,6h_IFN_2b_100,array_log2,STAT1,True,,3,3,12.080413153333334,10.248328363333334,1.8320847899999997,4.326090430063324e-05,True,
GSE60572,A549,IFNB,6h_IFN_2b_1000,array_log2,STAT1,True,,3,3,12.041442889999999,10.248328363333334,1.793114526666665,5.897830977924566e-05,True,
GSE156295,HTBE,IFNI,unspecified,log2CPM,TACSTD2,False,,2,2,8.838243341643313,8.302024075000688,0.5362192666426253,0.14549744035788204,True,
GSE215771,A549_IRF1KO,IFNG,24h,log2TPM,TACSTD2,False,,3,3,0.0,0.0,0.0,,True,
GSE215771,A549_NF2KO,IFNG,24h,log2TPM,TACSTD2,False,,3,3,0.0,0.0,0.0,,True,
GSE5542,A549,IFNA+IFNG,24hr,array_log2,TACSTD2,False,,4,4,5.409334954027612,6.127207803396933,-0.7178728493693214,0.3240113546193741,True,
GSE5542,A549,IFNA+IFNG,6hr,array_log2,TACSTD2,False,,4,4,6.745510351055743,6.081511361473505,0.6639989895822378,0.23020882464263337,True,
GSE60572,A549,IFNB,24h_IFN_2b_100,array_log2,TACSTD2,False,no matched 24h untreated samples deposited,3,0,6.397833233333333,,,,False,
GSE60572,A549,IFNB,24h_IFN_2b_1000,array_log2,TACSTD2,False,no matched 24h untreated samples deposited,3,0,6.499033981666667,,,,False,
GSE109720,EBC-1,IFNG,unspecified,log2count,TACSTD2,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,14.68131497817592,13.65076860945012,1.0305463687257994,0.013006670878648851,True,0.13006670878648852
GSE109720,NCI-H1573,IFNG,unspecified,log2count,TACSTD2,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,14.027123709890263,14.655749957080689,-0.6286262471904251,0.038772607254878196,False,
GSE109720,NCI-H1993,IFNG,unspecified,log2count,TACSTD2,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,13.98610613883121,14.045889073428881,-0.059782934597672366,0.6299517252032638,False,
GSE109720,NCI-H596,IFNG,unspecified,log2count,TACSTD2,True,column-to-sample order assumed from series matrix; ISG QC required,3,3,10.793424810442446,12.447775373842367,-1.6543505633999214,0.002989309976673474,False,
GSE156295,A549,IFNI,unspecified,log2CPM,TACSTD2,True,,2,2,0.0,0.035031230701006555,-0.035031230701006555,0.5000000000000001,True,0.7798118371230403
GSE178640,A549,IFNA2,DMSO_pretreated,log2CPM,TACSTD2,True,,3,3,0.0,0.023461589985761602,-0.023461589985761602,0.4226497308103742,True,0.7798118371230403
GSE215771,A549_WT,IFNG,24h,log2TPM,TACSTD2,True,,3,3,0.0,0.049667640387520785,-0.049667640387520785,0.4226497308103742,True,0.7798118371230403
GSE5542,A549,IFNA,24hr,array_log2,TACSTD2,True,,4,4,5.357397367446921,6.127207803396933,-0.7698104359500126,0.39443876547859974,True,0.7798118371230403
GSE5542,A549,IFNA,6hr,array_log2,TACSTD2,True,,4,4,6.2843716261671405,6.081511361473505,0.20286026469363527,0.7336808540273482,True,0.8152009489192757
GSE5542,A549,IFNG,24hr,array_log2,TACSTD2,True,,4,4,6.009041424974738,6.127207803396933,-0.11816637842219535,0.8723088221747042,True,0.8723088221747042
GSE5542,A549,IFNG,6hr,array_log2,TACSTD2,True,,4,4,6.628875645542851,6.081511361473505,0.5473642840693458,0.4355866740330852,True,0.7798118371230403
GSE60572,A549,IFNB,6h_IFN_2b_100,array_log2,TACSTD2,True,,3,3,6.405486316666667,6.430243092333332,-0.02475677566666512,0.6669618333554529,True,0.8152009489192757
GSE60572,A549,IFNB,6h_IFN_2b_1000,array_log2,TACSTD2,True,,3,3,6.4699828596666675,6.430243092333332,0.03973976733333551,0.5458682859861281,True,0.7798118371230403
