radius_um,cutoff,immune_def,n_labels,sections_high_lt_low,section_p,patients_high_lt_low,patient_p,mean_high,mean_low,ratio,max_section_ratio,min_section_high,min_section_absent,degree_high,degree_low,degree_ratio,n_high_min,n_low_min,eligible,contact_ratio,contact_8of8,contact_5of5,contact_absent_min
5,ge2,broad,14,8/8,0.0078125,5/5,0.0625,0.00042897864200534396,0.002320742898637598,0.18484539681546702,0.40030364372469635,0.0,8.020371744230345e-05,0.026129093669652572,0.04428737647039442,0.5899896483396246,3723,5226,False,,False,False,
5,ge3,broad,14,8/8,0.0078125,5/5,0.0625,0.0004899924228197682,0.002320742898637598,0.211136021619379,0.6434817978442139,0.0,8.020371744230345e-05,0.02109356151680195,0.04428737647039442,0.47628835117164237,1719,5226,False,,False,False,
5,ge5,broad,14,8/8,0.0078125,5/5,0.0625,0.00023902008438205042,0.002320742898637598,0.10299291857032856,0.8555976203353164,0.0,8.020371744230345e-05,0.014579567407663922,0.04428737647039442,0.32920368216912077,386,5226,False,,False,False,
5,ge10,broad,14,8/8,0.0078125,5/5,0.0625,0.0,0.002320742898637598,0.0,0.0,0.0,8.020371744230345e-05,0.010256921983475983,0.04428737647039442,0.23159922309538053,53,5226,False,,False,False,
5,pos_top50,broad,14,8/8,0.0078125,5/5,0.0625,0.00042897864200534396,0.002320742898637598,0.18484539681546702,0.40030364372469635,0.0,8.020371744230345e-05,0.02629732980812303,0.04428737647039442,0.5937883863069306,3723,5226,False,0.2809340111254826,True,True,0.007337526205450734
5,pos_top25,broad,14,8/8,0.0078125,5/5,0.0625,0.00043616042175201883,0.002320742898637598,0.18794000059552854,0.6434817978442139,0.0,8.020371744230345e-05,0.01995607570036477,0.04428737647039442,0.4506041515849368,1990,5226,False,,False,False,
5,pos_top10,broad,14,8/8,0.0078125,5/5,0.0625,0.0003850891014155239,0.002320742898637598,0.16593354724540665,0.8555976203353164,0.0,8.020371744230345e-05,0.01468391108423524,0.04428737647039442,0.3315597412741587,1131,5226,False,,False,False,
5,ge1,no_neutrophil,13,8/8,0.0078125,5/5,0.0625,0.0003879976535453636,0.0013068205604917459,0.2969020118564428,0.8947240849963642,0.0,8.020371744230345e-05,0.030252679399626715,0.04428737647039442,0.68309937979393,7260,5226,False,0.41496634548423617,False,True,0.0010482180293501049
5,ge2,no_neutrophil,13,7/8,0.015625,5/5,0.0625,0.0003222030380753342,0.0013068205604917459,0.24655491948649158,1.4010627530364372,0.0,8.020371744230345e-05,0.026129093669652572,0.04428737647039442,0.5899896483396246,3723,5226,False,,False,False,
5,ge3,no_neutrophil,13,7/8,0.0234375,5/5,0.0625,0.0003180122240200121,0.0013068205604917459,0.24334804152480333,2.252186292454749,0.0,8.020371744230345e-05,0.02109356151680195,0.04428737647039442,0.47628835117164237,1719,5226,False,,False,False,
5,ge5,no_neutrophil,13,7/8,0.0390625,5/5,0.0625,0.000166598299909281,0.0013068205604917459,0.1274836844062137,5.989183342347215,0.0,8.020371744230345e-05,0.014579567407663922,0.04428737647039442,0.32920368216912077,386,5226,False,,False,False,
