regulon	tf	axis	kind	n_targets	targets	expected	note
GRHL2_prior	GRHL2	TJ	public_prior	10	CDC42SE1;CDH1;CLDN3;ERBB3;LAD1;LIPH;NKX2-1;RAB25;TERT;ZEB1	up	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
KLF4_prior	KLF4	TJ	public_prior	110	ACTA2;ACTG2;AGRP;ALPL;AQP3;ASS1;ATF3;BDKRB2;BIRC3;BIRC5;CCL2;CCNB1;CCND1;CCND2;CCNE1;CD14;CD55;CD86;CDH1;CDH2;CDH5;CDK4;CDKN1A;CDKN1B;CDKN1C;CDKN2B;CEBPB;CIITA;CLMP;COL8A1;CTBP2;CTNNB1;CXCL10;DLK2;EDN1;ENG;EPCAM;F3;FOXM1;GDF15;GHRL;GPA33;GSTP1;HBA1;HBA2;HDC;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA8;ID3;IFITM3;IL1B;IL6;ITGAD;IVL;KPNA2;KRT19;KRT4;LAMA1;LAMA3;LAMC1;LDLR;LXN;MAPK7;MAPK8;MFN2;MMP2;MSC;MTF2;MYC;MYH10;MYOCD;NDRG1;NOS3;NOTCH1;NPNT;ODC1;PFKP;PLAUR;POU5F1;PTGS2;RARA;SCARB1;SCN2A;SELE;SERPINE1;SLC19A2;SLC39A4;SLC46A1;SLC4A7;SLC5A6;SNAI2;SOD1;SOX2;STAR;TAGLN;TERT;TGFB1;TGFBR1;THBD;TKT;TNF;TP53;VCAM1;VDR;VEGFA;VIM;ZNF750	up	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
OVOL1_prior	OVOL1	TJ	public_prior	9	CDH2;CHUK;GADD45A;GADD45B;ID2;LEMD3;MYC;OVOL2;SGK1	up	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
OVOL2_prior	OVOL2	TJ	public_prior	1	SMAD4	up	TRRUST+DoRothEA+CollecTRI union; CLDN4/TACSTD2 held out; not ChIP
IFN_prior_union	IRF1+IRF7+IRF9+STAT1+STAT2	IFN	combinatorial_public_prior	921	A2M;AAK1;ABCA1;ABCB1;ABL1;ACAT1;ACHE;ACSL1;ACSL5;ACTB;ADAMTS4;ADAR;ADCY7;AFF1;AGFG2;AGT;AHNAK;AIM2;AK2;AKAP13;AKT1;ALCAM;ALDH1A2;AMPD3;ANKRD1;ANKRD44;ANXA1;AOX1;AP3D1;AP3S2;APOE;APOL2;APOL4;APOL6;APP;ARHGAP15;ARHGAP25;ARHGAP26;ARHGEF10L;ARHGEF2;ARHGEF3;ARID1A;ARID5B;ARSG;ASAP1;ATF4;ATG4C;ATP11C;ATP13A1;ATP6V0A1;ATP8B4;ATR;ATXN1;B3GAT3;BACE1;BANP;BAX;BBC3;BCAR3;BCAT1;BCL11A;BCL2;BCL2L14;BCL2L2;BCL3;BCL6;BCOR;BCR;BHLHE40;BIN1;BIRC2;BIRC3;BIRC5;BLMH;BLVRA;BRD8;BST2;BTBD1;C1QB;C1R;CACNA1A;CAMK4;CASP1;CASP2;CASP3;CASP4;CASP7;CASP8;CASP9;CAST;CBL;CCDC12;CCDC88C;CCL11;CCL19;CCL2;CCL3;CCL4;CCL5;CCL8;CCNB1;CCND1;CCND2;CCND3;CCNE1;CCR1;CCR5;CD14;CD180;CD200;CD22;CD274;CD36;CD38;CD40;CD40LG;CD44;CD69;CD74;CD79A;CD80;CD82;CD83;CD86;CDC42EP3;CDC42SE2;CDC7;CDH23;CDK1;CDK19;CDK2;CDK4;CDK5RAP2;CDK6;CDK8;CDKN1A;CDKN1B;CEACAM1;CEBPD;CEBPE;CELF1;CFAP46;CFB;CFH;CFLAR;CFTR;CH25H;CHD9;CHN2;CHST15;CIITA;CISH;CLC;CLIC2;CLIP2;CLU;CMKLR1;CMTM7;CMTR1;COL1A1;COL1A2;COL2A1;COPS5;CPQ;CREB5;CREBBP;CREM;CSF1;CSF3;CSNK2A2;CTNND1;CTSB;CTSL;CTSS;CUEDC1;CUX1;CX3CL1;CXCL10;CXCL11;CXCL14;CXCL8;CXCL9;CYBB;CYP19A1;CYSLTR2;CYTH1;CYTH4;DAPK1;DCLRE1C;DDX50;DDX58;DDX60L;DENND3;DGKE;DGKG;DHX58;DIAPH1;DIMT1;DLEU1;DMXL2;DNAJB12;DNM2;DNMT1;DOCK10;DOCK4;DOCK8;DOT1L;DPYSL2;DSE;DST;DTNB;DTNBP1;DTX3L;DUOX2;DUSP10;DUSP22;E2F1;EARS2;ECE1;EDEM2;EDN1;EEF2K;EGFR;EGLN3;EHD1;EIF2AK1;EIF2AK2;EIF2AK3;EIF4E;ELF1;ELF5;ELL;ELMO1;ELP3;EMC2;ENPP2;EPB41L3;EPSTI1;ERAP2;ERC2;ERCC1;ERGIC1;ERN1;ESR1;ESR2;ETV6;ETV7;FAM111A;FAM78A;FAS;FASLG;FBXO5;FCGR1A;FCGR3A;FCGRT;FCHSD2;FGF2;FGFR1;FGFR3;FGGY;FGL2;FHAD1;FKBP5;FNBP1;FNDC3B;FNIP2;FOS;FOXK1;FOXN3;FOXO3;FOXP1;FOXP3;FRMD4B;FSCN1;FYN;GAB2;GADD45A;GAS7;GATA3;GBP1;GBP2;GBP5;GCNT2;GFI1;GLIPR2;GLIS3;GLS;GM2A;GNA12;GNAI2;GPCPD1;GPD2;GPR107;GPR132;GPR141;GPR146;GPT;GRAMD1A;GRAMD1B;GRB2;GREB1;GSAP;GSE1;GSN;GSTK1;HAMP;HCFC1;HDAC4;HDAC7;HDAC9;HGF;HIVEP2;HIVEP3;HK1;HK2;HLA-A;HLA-DMA;HLA-DMB;HLA-DQA2;HLA-DRB1;HLA-E;HLA-G;HLX;HM13;HMGB1;HMOX1;HNRNPR;HOOK2;HPCAL1;HSP90AA1;HSPA4;HSPB1;HSPG2;HTRA1;ICAM1;IDO1;IDO2;IER5;IFI27;IFI30;IFI35;IFI6;IFIT1;IFIT2;IFIT3;IFITM1;IFITM3;IFNG;IFNGR1;IFNGR2;IFNL1;IFNLR1;IGBP1;IGF1;IGF1R;IGF2;IGF2R;IGFBP3;IGFLR1;IL12A;IL12B;IL12RB1;IL12RB2;IL15;IL16;IL17D;IL17RA;IL18;IL18BP;IL1B;IL1R1;IL20RA;IL21;IL21R;IL23A;IL27;IL2RA;IL33;IL4R;IL6;IL6R;IL6ST;IL7;IL7R;INO80;INPP4A;INPP5D;IPCEF1;IQGAP2;IQSEC1;IRF1;IRF2;IRF3;IRF7;IRF8;IRF9;ISG15;ISG20;ITGB1;ITGB2;ITPR1;IVL;JADE2;JAK1;JAK2;JMJD1C;JUN;JUNB;JUND;KAT2B;KCNJ15;KCNMA1;KDM6B;KIF2A;KITLG;KLF4;KLF6;KLF7;KLF9;KLHL6;KRT17;KSR1;KYNU;LAMA3;LAP3;LAPTM4B;LAPTM5;LAT;LCK;LCN2;LCP2;LDLR;LGALS3;LHFPL2;LIMD1;LIMS1;LINC00299;LIPA;LITAF;LMNA;LMO2;LONP1;LPL;LPP;LRCH1;LRRFIP1;LY96;LYN;LYZ;MACF1;MAD1L1;MAML3;MAN1A1;MAP1LC3B;MAP3K14;MAP3K5;MAP3K8;MAPK1;MAPK8;MAPKAPK2;MAPKAPK3;MARK3;MAT2A;MBNL1;MBP;MC1R;MCF2L;MCF2L2;MCL1;MCTP1;MDC1;MDM2;ME3;MED15;MED16;MED23;MEF2D;MET;METTL9;MGAT1;MGLL;MGRN1;MKI67;MLC1;MMP13;MMP7;MMP9;MNT;MOV10;MPZL1;MSN;MSR1;MTMR9;MTSS1;MUC1;MUC4;MVP;MX1;MYB;MYC;MYD88;MYH9;MYO18A;MYO9B;MYOCD;MYOF;N4BP1;NAA35;NABP1;NCAM1;NCF2;NCL;NCOA7;NCOR2;NEDD4L;NEDD9;NEK6;NFE2L2;NFKB1;NFKB2;NFKBIZ;NLRC5;NLRP3;NMI;NOD1;NOS3;NOX4;NOX5;NPAT;NR3C1;NR4A2;NRP1;NRP2;OAS1;OAS2;OAS3;OASL;ODC1;OGN;OPTN;OSBPL3;OSM;P2RY6;PACSIN2;PARK7;PARP10;PARP14;PARP9;PDCD1;PDE4B;PDE4D;PDGFB;PDGFD;PFKFB3;PGS1;PHACTR2;PIAS1;PIGR;PIK3AP1;PIK3CB;PIK3R1;PIK3R5;PIM1;PIP4K2A;PKIG;PLAC8;PLAU;PLB1;PLCB1;PLCG1;PLCG2;PLEC;PLEKHA2;PLEKHG3;PLEKHO1;PLSCR1;PLXNC1;PMAIP1;PML;POLA1;POLH;POLR1A;POLR2K;POMC;POU2F2;POU3F1;PPARA;PPARG;PPARGC1A;PPFIBP2;PPIP5K2;PPM1H;PRDM16;PREX1;PRF1;PRKAG2;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PROS1;PRPF31;PRUNE2;PSMB10;PSMB8;PSMB9;PSMD1;PSTPIP2;PTGFR;PTGS2;PTK2B;PTN;PTP4A2;PTPN2;PTPN6;PTPRE;PTPRJ;PTTG1IP;PWP2;RAB31;RAB3GAP2;RAD51B;RALGDS;RAP1GAP2;RAPGEF1;RAPGEF2;RARA;RASA3;RASGEF1B;RASSF2;RASSF4;RASSF5;RB1;RBAK;RBFOX3;RBM47;RBMS1;RBPJ;RC3H1;RCAN1;RCN1;RELA;RERE;REST;REV3L;RFTN1;RFX3;RGS12;RHBDD2;RHBDF2;RHOA;RHOF;RIN2;RIN3;RIPK1;RNF213;RPGR;RPS24;RREB1;RSAD2;RTN4;RUNX1;RUNX3;S100A10;S100A11;SAMD4A;SAMD9;SAMD9L;SAMHD1;SAMSN1;SBNO2;SCARB1;SCARB2;SCGB3A1;SEC14L1;SELL;SEMA4B;SEMA4D;SERPINB6;SERPINE1;SGK1;SGMS1;SH2B3;SH3BP2;SH3BP5;SH3KBP1;SH3TC1;SHANK2;SIK3;SIRPA;SKI;SKP2;SLA;SLC12A8;SLC1A2;SLC1A3;SLC25A37;SLC26A6;SLC44A3;SLC6A6;SLC7A7;SLC8A1;SLCO3A1;SLPI;SMAD3;SMARCA4;SMCO4;SMG6;SNAP91;SNCA;SNRNP27;SNX10;SNX30;SNX8;SOCS1;SOCS2;SOCS3;SOCS4;SOCS5;SOCS6;SOCS7;SOD2;SP1;SP100;SP110;SP140L;SPG7;SPIDR;SRC;SRGN;ST14;ST3GAL1;ST3GAL2;ST6GAL1;STAG1;STAT1;STAT2;STAT3;STAT6;STK10;STK40;SUB1;SUSD1;SUSD6;SYK;TACC1;TAF1B;TAOK3;TAP1;TAP2;TAPBP;TBC1D1;TBC1D14;TBC1D2B;TBX21;TBXAS1;TCF4;TCF7L2;TERT;TFEB;TG;TGFA;TGFBI;TGM2;TH;THADA;TIAM1;TIMP1;TIMP3;TLE4;TLR2;TLR3;TLR7;TLR8;TMX3;TNF;TNFAIP3;TNFAIP8;TNFRSF10B;TNFRSF1A;TNFRSF8;TNFSF10;TNFSF11;TNFSF13B;TNFSF8;TNIP1;TNS1;TNS3;TP53;TP53BP1;TP73;TPCN1;TRAF1;TRAF3IP2;TRAF6;TRAPPC9;TRIM21;TRIM22;TRIM25;TRIM28;TRIM56;TRIM69;TRIO;TRIP6;TRPS1;TSPAN14;TTC7A;TTC7B;TUBA1C;TUBGCP5;TYK2;UBC;UBR1;UPP1;USF1;USP10;UTP14A;UTRN;VANGL1;VCAM1;VEGFA;VIM;VMP1;VOPP1;VPS33B;VPS53;VRK2;WIPF1;XAF1;XXYLT1;XYLT1;ZBTB7B;ZC3HAV1;ZCCHC2;ZEB2;ZFP1;ZFP30;ZFP36;ZFP36L1;ZMIZ1;ZNF107;ZNF112;ZNF114;ZNF12;ZNF124;ZNF140;ZNF155;ZNF169;ZNF175;ZNF181;ZNF184;ZNF19;ZNF200;ZNF205;ZNF222;ZNF226;ZNF227;ZNF23;ZNF230;ZNF235;ZNF25;ZNF251;ZNF254;ZNF267;ZNF268;ZNF273;ZNF282;ZNF302;ZNF311;ZNF331;ZNF333;ZNF337;ZNF33B;ZNF343;ZNF354A;ZNF365;ZNF367;ZNF398;ZNF41;ZNF417;ZNF418;ZNF419;ZNF425;ZNF460;ZNF490;ZNF496;ZNF510;ZNF519;ZNF529;ZNF546;ZNF550;ZNF567;ZNF585A;ZNF589;ZNF596;ZNF599;ZNF613;ZNF619;ZNF630;ZNF655;ZNF669;ZNF670;ZNF680;ZNF689;ZNF713;ZNF721;ZNF746;ZNF764;ZNF777;ZNF778;ZNF782;ZNF786;ZNF79;ZNF8;ZNF81;ZNF84;ZNF860;ZNF879;ZNFX1;ZSWIM6	down	union of axis TF priors; CLDN4/TACSTD2 held out; not ChIP
MHC_prior_union	NLRC5+CIITA+RFX5	MHC	combinatorial_public_prior	45	BTN2A1;BTN2A2;BTN3A1;BTN3A2;CD74;CIITA;COL1A1;COL1A2;CR2;CREBBP;FASLG;HDAC2;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DPB1;HLA-DQA1;HLA-DQA2;HLA-DQB1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB5;HLA-E;HLA-F;HLA-G;IFNG;IRF1;IRF2;MMP9;MR1;PLXNA1;PSMB8;PSMC5;RAB4B;S100A4;SIN3B;SIRT1;STAT1;TSPAN3	down	union of axis TF priors; CLDN4/TACSTD2 held out; not ChIP
TJ_prior_union	GRHL1+GRHL2+KLF4+OVOL1+OVOL2	TJ	combinatorial_public_prior	127	ACTA2;ACTG2;AGRP;ALPL;AQP3;ASS1;ATF3;BDKRB2;BIRC3;BIRC5;CCL2;CCNB1;CCND1;CCND2;CCNE1;CD14;CD55;CD86;CDC42SE1;CDH1;CDH2;CDH5;CDK4;CDKN1A;CDKN1B;CDKN1C;CDKN2B;CEBPB;CHUK;CIITA;CLDN3;CLMP;COL8A1;CTBP2;CTNNB1;CXCL10;DLK2;EDN1;ENG;EPCAM;ERBB3;F3;FOXM1;GADD45A;GADD45B;GDF15;GHRL;GPA33;GSTP1;HBA1;HBA2;HDC;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA8;ID2;ID3;IFITM3;IGF2;IL1B;IL6;ITGAD;IVL;KPNA2;KRT19;KRT4;LAD1;LAMA1;LAMA3;LAMC1;LDLR;LEMD3;LIPH;LXN;MAPK7;MAPK8;MFN2;MMP2;MSC;MTF2;MYC;MYH10;MYOCD;NDRG1;NKX2-1;NOS3;NOTCH1;NPNT;ODC1;OVOL2;PFKP;PLAUR;POU5F1;PTGS2;RAB25;RARA;SCARB1;SCN2A;SELE;SERPINE1;SGK1;SLC19A2;SLC39A4;SLC46A1;SLC4A7;SLC5A6;SMAD4;SNAI2;SOD1;SOX2;STAR;TAGLN;TERT;TGFB1;TGFBR1;THBD;TKT;TNF;TP53;VCAM1;VDR;VEGFA;VIM;ZEB1;ZNF750	up	union of axis TF priors; CLDN4/TACSTD2 held out; not ChIP
ISG_CORE		IFN	program_ISG	40	ISG15;IFI6;IFI27;IFI44;IFI44L;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IFITM2;IFITM3;MX1;MX2;OAS1;OAS2;OAS3;OASL;RSAD2;USP18;BST2;XAF1;STAT1;STAT2;IRF7;IRF9;DDX58;IFIH1;SAMD9;SAMD9L;HERC5;HERC6;EPSTI1;CMPK2;PARP9;DTX3L;LY6E;SP100;SP110;PLSCR1	down	literature ISG core; not a TF regulon
MHC1_APM		MHC	program_APM	21	HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;B2M;TAP1;TAP2;TAPBP;PSMB8;PSMB9;PSMB10;PSME1;PSME2;NLRC5;ERAP1;ERAP2;CALR;PDIA3;CANX;IRF1	down	MHC-I antigen processing/presentation; not a TF regulon
TJ_STRUCT		TJ	program_TJ	27	CLDN1;CLDN3;CLDN7;CLDN8;CLDN12;TJP1;TJP2;TJP3;OCLN;F11R;MARVELD2;MARVELD3;CRB3;PARD3;PARD6B;CGN;CGNL1;MAGI1;MPDZ;EPCAM;CDH1;DSP;JUP;PKP1;PKP3;DSG2;PERP	up	structural tight-junction genes; CLDN4 held out
CTRL_OXPHOS		CTRL	program_control	15	COX4I1;COX5A;COX6A1;COX7A2;CYCS;NDUFA1;NDUFA4;NDUFB3;NDUFS3;SDHA;SDHB;UQCRC1;UQCRB;VDAC1;TOMM20	null	OXPHOS control; expected null
CTRL_RIBO		CTRL	program_control	16	RPL5;RPL7;RPL8;RPL10A;RPL13;RPL19;RPLP0;RPS3;RPS6;RPS8;RPS14;RPS18;RPSA;EEF1A1;EEF2;NCL	null	ribosome control; expected null
