study,cell_line,cancer_type,icb_arm,timepoint,n_icb,n_control,control_match_level,mean_log2_icb,mean_log2_control,delta_log2,mannwhitney_p,expressed,direction,status
GSE146027,YTN16,Gastric adenocarcinoma,antiPD1; antiIL17,day10,4,4,study+cell_line+timepoint,1.4053,1.0799,0.3254,0.11428571428571428,True,up,ok
GSE146834,6419c5,Pancreatic ductal adenocarcinoma,antiPD1; antiCTLA4; gemcitabine; abraxane; CD40agonist;,,2,4,study+cell_line,0.1763,0.0494,0.1269,0.8057327908484386,False,up,ok
GSE148856,402230,Sarcoma,antiPD1,,4,8,study+cell_line,0.5921,0.5697,0.0224,1.0,True,up,ok
GSE148856,402230,Sarcoma,antiPD1; radiation;,,4,8,study+cell_line,0.971,0.5697,0.4013,0.1090909090909091,True,up,ok
GSE148947,BNL-MEA,Hepatocellular carcinoma,antiPD1,,3,11,study+cell_line,0.0946,0.102,-0.0074,1.0,False,down,ok
GSE148947,BNL-MEA,Hepatocellular carcinoma,antiPD1; regorafenib_5;,,3,11,study+cell_line,0.0857,0.102,-0.0163,0.7692307692307692,False,down,ok
GSE149825,B16,Melanoma,antiPD1; antiCTLA4;,,3,3,study+cell_line,0.0799,0.0771,0.0028,1.0,False,up,ok
GSE149825,B16,Melanoma,antiPD1; antiCTLA4; birinapant,,3,3,study+cell_line,2.6038,0.0771,2.5267,0.07652250047505922,True,up,ok
GSE150401,B16,Melanoma,antiPD1,,8,8,study+cell_line,0.1348,0.0,0.1348,0.07644792983041898,False,up,ok
GSE151829,B16,Melanoma,antiCTLA4,,12,8,study+cell_line,0.689,0.4422,0.2468,0.4726680955783123,True,up,ok
GSE151829,MC38,Colorectal carcinoma,antiPD1,,7,0,,,,,,,,no_matched_control_arm
GSE152925,B16,Melanoma,antiPDL1,,9,9,study+cell_line,0.0156,0.0,0.0156,0.16932729721206286,False,up,ok
GSE152925,B16,Melanoma,antiPDL1; swainsonine,,3,9,study+cell_line,0.0664,0.0,0.0664,0.12365771040283347,False,up,ok
GSE153239,CT26,Colorectal carcinoma,antiGARP:TGFb FcD; antiPD1 FcS;,,5,5,study+cell_line,0.62,0.2202,0.3998,0.6904761904761905,True,up,ok
GSE153239,CT26,Colorectal carcinoma,antiGARP:TGFb WT; antiPD1 FcS;,,5,5,study+cell_line,0.4657,0.2202,0.2455,1.0,False,up,ok
GSE153239,CT26,Colorectal carcinoma,antiPD1_FcS,,5,5,study+cell_line,0.3753,0.2202,0.1551,0.2222222222222222,False,up,ok
GSE153239,CT26,Colorectal carcinoma,antiTGFb; antiPD1 FcS;,,5,5,study+cell_line,0.5548,0.2202,0.3346,0.2222222222222222,True,up,ok
GSE153941,AB1,Mesothelioma,antiCTLA4; antiPDL1;,day2,16,24,study+cell_line,0.433,0.6259,-0.1928,0.05860567363740236,True,down,ok
GSE153941,AB1,Mesothelioma,antiCTLA4; antiPDL1;,day4,16,24,study+cell_line,0.5557,0.6259,-0.0702,1.0,True,down,ok
GSE153941,AB1,Mesothelioma,antiCTLA4; antiPDL1;,day6,16,24,study+cell_line,0.3583,0.6259,-0.2675,0.06238745434209309,True,down,ok
GSE153941,Renca,Renal adenocarcinoma,antiCTLA4; antiPDL1;,day2,16,24,study+cell_line,0.519,0.4051,0.1139,0.0068160734193515905,True,up,ok
GSE153941,Renca,Renal adenocarcinoma,antiCTLA4; antiPDL1;,day4,16,24,study+cell_line,0.4647,0.4051,0.0596,0.22977337245234897,False,up,ok
GSE153941,Renca,Renal adenocarcinoma,antiCTLA4; antiPDL1;,day6,16,24,study+cell_line,0.5096,0.4051,0.1045,0.09486460481682263,True,up,ok
GSE155972,LLC,Lung carcinoma,antiPD1; antiCTL4;,,13,20,study+cell_line,0.6748,0.2186,0.4561,0.03721326580843898,True,up,ok
GSE157602,CT26,Colorectal carcinoma,antiPD1,,2,2,study+cell_line,0.6735,0.1504,0.5232,0.6666666666666666,True,up,ok
GSE159344,D3UV2,Melanoma,antiPD1,,3,3,study+cell_line,1.096,0.2471,0.8489,0.4,True,up,ok
GSE159344,D4M.3A.3,Melanoma,antiPD1,,3,3,study+cell_line,0.211,0.0496,0.1614,0.1840386271964254,False,up,ok
GSE159344,D4M.3A.3,Melanoma,antiPD1; aFP; imiquimod;,,3,3,study+cell_line,3.3304,0.0496,3.2808,0.07652250047505922,True,up,ok
GSE172162,MC38,Colorectal carcinoma,antiPD1,,4,4,study+cell_line,0.0359,0.0158,0.0201,0.4083519693259383,False,up,ok
GSE172162,MC38,Colorectal carcinoma,antiPD1; exercise,,4,4,study+cell_line,0.0,0.0158,-0.0158,0.4532547047537364,False,down,ok
GSE174053,E0771,Mammary adenocarcinoma,antiPD1; high.fat.diet;,,8,8,study+cell_line,0.609,0.5992,0.0098,0.1605283605283605,True,up,ok
GSE90885,B16,Melanoma,antiPD1,,7,9,study+cell_line,0.1083,0.204,-0.0957,0.36164362801008776,False,down,ok
GSE90885,B16,Melanoma,antiPD1; antiCD40;,,7,9,study+cell_line,0.4959,0.204,0.2919,0.10247043485974941,False,up,ok
GSE93017,MC38,Colorectal carcinoma,antiPDL1,,3,15,study+cell_line,0.0995,0.033,0.0666,0.02865429147952521,False,up,ok
