gene_a	gene_b	pair_level	dataset	n_units	median_rho	q25	q75	frac_pos	wilcoxon_p
CLDN4	CLDN7	primary	GSE205335	21	0.7623237979845819	0.6054197016903577	0.8115470852207834	1.0	9.5367431640625e-07
CLDN4	CLDN7	primary	GSE189357	9	0.6510967271130202	0.5833962200135867	0.6989729761622472	1.0	0.00390625
CLDN4	CLDN7	primary	ALL	64	0.6945873977573187	0.5596436932318642	0.7922773936375547	1.0	3.5254980732707397e-12
ELF3	GRHL2	primary	GSE123902	11	0.2756303173087101	0.17566142843964266	0.32929649933985156	1.0	0.0009765625
ELF3	GRHL2	primary	GSE131907	19	0.1857471229213508	0.1632910404665088	0.3098330381215395	1.0	3.814697265625e-06
ELF3	GRHL2	primary	GSE205335	21	0.4523065534798285	0.3062765255901564	0.5240319288186954	1.0	9.5367431640625e-07
ELF3	GRHL2	primary	GSE189357	9	0.328364761866429	0.268140072670445	0.3410194260567719	1.0	0.00390625
ELF3	GRHL2	primary	ALL	60	0.31102597638371976	0.18173306538694997	0.42818483468714535	1.0	1.6295557943119345e-11
GRHL2	CLDN4	primary	GSE123902	11	0.293733420533337	0.1569592405535391	0.3428147485366989	1.0	0.0009765625
GRHL2	CLDN4	primary	GSE131907	19	0.2395955265550605	0.1713795196883361	0.3144716983584992	1.0	3.814697265625e-06
GRHL2	CLDN4	primary	GSE205335	21	0.4712271455331244	0.3447586514643502	0.5221026057430453	1.0	9.5367431640625e-07
GRHL2	CLDN4	primary	GSE189357	9	0.3096215475554104	0.2761803167303364	0.3602282987689014	1.0	0.00390625
GRHL2	CLDN4	primary	ALL	60	0.3099250303205613	0.19557422736068802	0.4185169571477994	1.0	1.6295557943119345e-11
GRHL2	TACSTD2	primary	GSE123902	11	0.2878634119952075	0.03265957583451585	0.32438661780178635	0.8181818181818182	0.009765625
GRHL2	TACSTD2	primary	GSE131907	19	0.1961557336192915	0.14855309261612526	0.2659432603303475	0.9473684210526315	7.62939453125e-06
GRHL2	TACSTD2	primary	GSE205335	21	0.4446961094675536	0.3295013678905209	0.5288932652673642	1.0	9.5367431640625e-07
GRHL2	TACSTD2	primary	GSE189357	9	0.2928637186771001	0.2518258369113669	0.3321036776628857	1.0	0.00390625
GRHL2	TACSTD2	primary	ALL	60	0.2903635653361538	0.18181119657188535	0.42493322738961303	0.95	3.1333026866219484e-11
GRHL2	CLDN7	primary	GSE123902	11	0.3088533562094607	0.12632140371199896	0.3312970980532942	1.0	0.0009765625
GRHL2	CLDN7	primary	GSE131907	19	0.1862305890162513	0.1386952296481789	0.28645563984990113	1.0	3.814697265625e-06
GRHL2	CLDN7	primary	GSE205335	21	0.4361924836260151	0.3096637701411066	0.5205846794053706	0.9523809523809523	1.9073486328125e-06
GRHL2	CLDN7	primary	GSE189357	9	0.2954080387251772	0.2488286825001961	0.3209501359245301	1.0	0.00390625
GRHL2	CLDN7	primary	ALL	60	0.2961107010845146	0.14966061364939476	0.3888690065482422	0.9833333333333333	1.7141493981716166e-11
GRHL1	ELF3	secondary	GSE123902	13	0.3346196666452656	0.1731065017736215	0.4042324235215199	1.0	0.000244140625
GRHL1	ELF3	secondary	GSE131907	20	0.30665932766546794	0.18394998545908303	0.4117791509665485	1.0	1.9073486328125e-06
GRHL1	ELF3	secondary	GSE205335	21	0.4509152214854872	0.2902523494660725	0.518552787934222	1.0	9.5367431640625e-07
GRHL1	ELF3	secondary	GSE189357	9	0.2979857730905294	0.2040083582447838	0.3445577053250155	0.8888888888888888	0.0078125
GRHL1	ELF3	secondary	ALL	63	0.3519074626304802	0.1937160275287293	0.4516509879372433	0.9841269841269841	5.690890720152127e-12
GRHL1	CLDN4	secondary	GSE123902	13	0.3256809260691335	0.2330251156097929	0.397341975813418	1.0	0.000244140625
GRHL1	CLDN4	secondary	GSE131907	21	0.3281752147463277	0.1425806958852466	0.3923139468177241	0.9047619047619048	4.76837158203125e-06
GRHL1	CLDN4	secondary	GSE205335	21	0.4337660097573089	0.3003509262395689	0.5029548255057292	1.0	9.5367431640625e-07
GRHL1	CLDN4	secondary	GSE189357	9	0.3035533800656993	0.1987370006383652	0.3609665463154259	0.8888888888888888	0.0078125
GRHL1	CLDN4	secondary	ALL	64	0.3492034178338918	0.19615066711035462	0.43431921455139744	0.953125	5.14545136045379e-12
GRHL3	ELF3	secondary	GSE123902	7	0.0767168837080971	0.0654213701506117	0.12560962741359977	1.0	0.015625
GRHL3	ELF3	secondary	GSE131907	19	0.1145048462903258	0.0819600890773953	0.16676192000884676	0.9473684210526315	0.00041961669921875
GRHL3	ELF3	secondary	GSE205335	21	0.1689099466721845	0.0858602822481048	0.243903938557868	0.9047619047619048	6.67572021484375e-06
GRHL3	ELF3	secondary	GSE189357	6	0.0681819735549124	0.03989539280427198	0.09178603194026567	1.0	0.03125
GRHL3	ELF3	secondary	ALL	53	0.1145048462903258	0.0666705808088433	0.1763484214819808	0.9433962264150944	2.624931950143359e-09
GRHL3	CLDN4	secondary	GSE123902	7	0.0767283909393348	0.06612027763225704	0.1281980340987841	1.0	0.015625
GRHL3	CLDN4	secondary	GSE131907	19	0.1247224205009593	0.082545851701482	0.1712455275981496	0.9473684210526315	1.9073486328125e-05
GRHL3	CLDN4	secondary	GSE205335	21	0.1676428291883471	0.1042520685068359	0.2512166391371888	1.0	9.5367431640625e-07
GRHL3	CLDN4	secondary	GSE189357	6	0.054516825993234194	0.03542993681415725	0.09673270730504765	1.0	0.03125
GRHL3	CLDN4	secondary	ALL	53	0.1247224205009593	0.0729571753275069	0.1813784622279975	0.9811320754716981	3.768396036047294e-10
