experiment	assay	biosample	stratum	file	domain_start0	domain_end0	domain_bp	covers_CLDN4	covers_RFC2
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF097OBP	74060000	74190000	130000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF097OBP	74415000	74565000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF097OBP	74220000	74395000	175000	False	True
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF097OBP	73745000	73865000	120000	True	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF685BII	73880000	74015000	135000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF685BII	74060000	74190000	130000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF685BII	73580000	73730000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF685BII	73745000	73865000	120000	True	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF685BII	74415000	74565000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF685BII	74220000	74400000	180000	False	True
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF578NLR	73865000	74040000	175000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF578NLR	73580000	73730000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF578NLR	74060000	74190000	130000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF578NLR	74415000	74565000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF578NLR	74220000	74395000	175000	False	True
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF578NLR	73745000	73865000	120000	True	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF233SYF	74195000	74405000	210000	False	True
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF233SYF	73590000	73740000	150000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF233SYF	74060000	74200000	140000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF233SYF	74410000	74590000	180000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF233SYF	73860000	74050000	190000	False	False
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	baseline	ENCFF233SYF	73740000	73890000	150000	True	False
ENCSR346DCU	in situ Hi-C	LNCaP clone FGC	baseline	ENCFF139JCA	73105696	73785670	679974	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF882MNQ	73735000	73855000	120000	True	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF882MNQ	74060000	74175000	115000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF882MNQ	73875000	73995000	120000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF310QAH	74060000	74180000	120000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF310QAH	73735000	73855000	120000	True	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF310QAH	73875000	73995000	120000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	73590000	73735000	145000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	74200000	74415000	215000	False	True
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	74050000	74210000	160000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	74400000	74590000	190000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	73300000	73460000	160000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	73850000	74050000	200000	False	False
ENCSR152HRS	in situ Hi-C	HCT116	baseline	ENCFF774DEP	73720000	73870000	150000	True	False
ENCSR179GCO	in situ Hi-C	HCT116	baseline	ENCFF384UPG	73580000	73750000	170000	False	False
ENCSR179GCO	in situ Hi-C	HCT116	baseline	ENCFF384UPG	74200000	74430000	230000	False	True
ENCSR206PBT	in situ Hi-C	HCT116	baseline	ENCFF333WCB	73580000	73750000	170000	False	False
ENCSR206PBT	in situ Hi-C	HCT116	baseline	ENCFF333WCB	74200000	74420000	220000	False	True
ENCSR637QCS	in situ Hi-C	HCT116	baseline	ENCFF317JZH	73420000	74670000	1250000	True	True
ENCSR637QCS	in situ Hi-C	HCT116	baseline	ENCFF317JZH	73495000	74505000	1010000	True	True
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	73310000	73440000	130000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	74415000	74560000	145000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	73590000	73730000	140000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	74230000	74400000	170000	False	True
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	73740000	73855000	115000	True	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	74060000	74190000	130000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF971CQI	73865000	74020000	155000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF014TPX	73585000	73730000	145000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF014TPX	73735000	73855000	120000	True	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF014TPX	74415000	74560000	145000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF014TPX	74060000	74190000	130000	False	False
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF014TPX	74215000	74400000	185000	False	True
ENCSR123UVP	in situ Hi-C	HCT116	baseline	ENCFF014TPX	73865000	74020000	155000	False	False
ENCSR444WCZ	in situ Hi-C	A549	baseline	ENCFF716CFF	73105696	73785670	679974	False	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	73345000	73445000	100000	False	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	73590000	73730000	140000	False	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	73865000	74030000	165000	False	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	74060000	74180000	120000	False	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	74205000	74400000	195000	False	True
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	74415000	74565000	150000	False	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	73740000	73860000	120000	True	False
ENCSR662QKG	in situ Hi-C	A549	baseline	ENCFF513HKS	73865000	73970000	105000	False	False
