experiment	assay	biosample	epithelial_call	stratum	target	description	kind	files_scanned	cldn_touching_records	repair_gene_hit	repair_genes	promoter_repair_genes	domain_le_2Mb	repair_genes_le_2Mb
ENCSR346DCU	in situ Hi-C	LNCaP clone FGC	encode_epithelium_slim	baseline		HiC experiment done on LNCaP clone FGC	domains	1	0	False			False	
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	domains	3	3	False			False	
ENCSR152HRS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	loops	4	3	False				
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	domains	4	0	False			False	
ENCSR549MGQ	in situ Hi-C	T47D	encode_epithelium_slim	baseline		HiC experiment done on T47D	loops	4	0	False				
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	domains	4	0	False			False	
ENCSR440CTR	in situ Hi-C	Panc1	encode_epithelium_slim	baseline		HiC experiment done on Panc1	loops	4	0	False				
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	loops	4	4	False				
ENCSR179GCO	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	domains	3	0	False			False	
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	domains	3	0	False			False	
ENCSR489OCU	in situ Hi-C	NCI-H460	encode_epithelium_slim	baseline		HiC experiment done on NCI-H460	domains	1	0	False			False	
ENCSR206PBT	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	loops	4	3	False				
ENCSR637QCS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	loops	2	0	False				
ENCSR637QCS	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	domains	2	2	True	RFC2		True	RFC2
ENCSR123UVP	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	loops	2	0	False				
ENCSR123UVP	in situ Hi-C	HCT116	encode_epithelium_slim	baseline		in situ MboI Hi-C	domains	2	2	False			False	
ENCSR213DHH	in situ Hi-C	DLD1	encode_epithelium_slim	baseline		HiC experiment done on DLD1	domains	3	0	False			False	
ENCSR444WCZ	in situ Hi-C	A549	lung_carcinoma_line	baseline		HiC experiment done on A549	domains	1	0	False			False	
ENCSR213DHH	in situ Hi-C	DLD1	encode_epithelium_slim	baseline		HiC experiment done on DLD1	loops	4	0	False				
ENCSR662QKG	in situ Hi-C	A549	lung_carcinoma_line	baseline		Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.	domains	1	1	False			False	
ENCSR080ODG	dilution Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC dilution Hi-C	domains	3	0	False			False	
ENCSR662QKG	in situ Hi-C	A549	lung_carcinoma_line	baseline		Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.	loops	1	0	False				
ENCSR080ODG	dilution Hi-C	mammary epithelial cell	encode_epithelium_slim	baseline		HMEC dilution Hi-C	loops	4	4	False				
ENCSR912RAV	dilution Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK dilution Hi-C	domains	3	0	False			False	
ENCSR912RAV	dilution Hi-C	keratinocyte	encode_epithelium_slim	baseline		NHEK dilution Hi-C	loops	4	0	False				
ENCSR857MYZ	ChIA-PET	HepG2	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET with HepG2 cell	loops	2	35	False				
ENCSR106EOT	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, CTCF tag and IAA untreated, control	loops	2	120	True	RFC2			
ENCSR278IZK	ChIA-PET	HCT116	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in HCT116	loops	2	41	False				
ENCSR641SOU	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, SUPT16H tag and IAA untreated, control	loops	2	211	False				
ENCSR711IEI	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, BRD4 tag and IAA untreated, control	loops	2	168	False				
ENCSR557OAJ	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, SMARCA5 tag and IAA untreated, control	loops	2	68	False				
ENCSR394XYY	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, BRD4 tag and IAA untreated, control	loops	2	118	False				
ENCSR758BJW	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, CDK7 tag and IAA untreated, control	loops	2	105	False				
ENCSR028AOM	ChIA-PET	HCT116	encode_epithelium_slim	baseline	RAD21		loops	1	6	False				
ENCSR309KYA	ChIA-PET	HCT116	encode_epithelium_slim	baseline	RAD21		loops	1	15	False				
ENCSR066MHC	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, MED14 tag and IAA untreated, control	loops	2	102	False				
ENCSR010NWN	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, SMARCA5 tag and IAA untreated, control	loops	2	151	False				
ENCSR440JFJ	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, MED14 tag and IAA untreated, control	loops	2	38	True	RFC2			
ENCSR332LKV	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, CTCF tag and IAA untreated, control	loops	1	82	True	RFC2			
ENCSR674UYO	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, SUPT16H tag and IAA untreated, control	loops	2	154	False				
ENCSR353XNY	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, RAD21 tag and IAA untreated, control	loops	1	79	True	RFC2			
ENCSR447IUA	ChIA-PET	Panc1	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET in Panc1	loops	2	53	False				
ENCSR819BBB	ChIA-PET	mammary epithelial cell	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in HMEC	loops	1	10	False				
ENCSR035PVZ	ChIA-PET	HCT116	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET in HCT116	loops	2	160	False				
ENCSR910WPE	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	CTCF	CTCF ChIA-PET in HCT116, RAD21 tag and IAA untreated, control	loops	1	40	False				
ENCSR779BUF	ChIA-PET	HCT116	encode_epithelium_slim	tagged_untreated	POLR2A	RNAPII ChIA-PET in HCT116, CDK7 tag and IAA untreated, control	loops	2	120	False				
ENCSR145PYF	ChIA-PET	Panc1	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in Panc1	loops	2	44	True	RFC2			
ENCSR030KAB	ChIA-PET	RWPE1	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in RWPE1	loops	2	49	True	RFC2			
ENCSR411IVB	ChIA-PET	HepG2	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET with HepG2 cell	loops	2	10	False				
ENCSR200VHL	ChIA-PET	MCF-7	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET in MCF7	loops	2	118	False				
ENCSR617FPZ	ChIA-PET	RWPE1	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET with RWPE1 cell	loops	2	27	False				
ENCSR059HDE	ChIA-PET	MCF-7	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET in MCF7	loops	2	273	True	RFC2			
ENCSR789ZIJ	ChIA-PET	HepG2	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET with HepG2 cell	loops	1	4	False				
ENCSR499JGQ	ChIA-PET	MCF 10A	encode_epithelium_slim	baseline	POLR2A	RNAPII ChIA-PET with MCF10A cell	loops	2	121	False				
ENCSR138NSW	ChIA-PET	A549	lung_carcinoma_line	baseline	POLR2A	RNAPII ChIA-PET in A549	loops	2	35	True	RFC2			
ENCSR403ZYJ	ChIA-PET	MCF 10A	encode_epithelium_slim	baseline	CTCF	CTCF ChIA-PET with MCF10A cell	loops	2	137	False				
ENCSR911ZMB	ChIA-PET	A549	lung_carcinoma_line	baseline	CTCF	CTCF ChIA-PET in A549	loops	2	188	True	RFC2			
