experiment	assay	biosample	classification	organ_slims	epithelial_call	stratum	target	n_loop_or_domain_files	description
ENCSR788FBI	intact Hi-C	endothelial cell of umbilical vein	primary cell	extraembryonic component;vasculature;blood vessel;placenta;epithelium;vein		baseline		4	HUVEC intact Hi-C
ENCSR381ORP	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-cmv-OsTIR1F47G-SUPT16H-mAC-untreated-OneWeekPreGrowth
ENCSR086RCC	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116-CTCF-auxin untreated degon-intact
ENCSR490HOI	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116-MED14-auxin untreated degon-intact
ENCSR878JLT	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116 BRD4 degron treated intact mnase
ENCSR176ICO	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		4	HCT116-SUPT16H-auxin-untreated-intact HiC
ENCSR565SZK	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		4	HCT116-SUPT16H-treated intact HIC
ENCSR080EUF	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-tet-OsTIR1-CDK7-mAC-24hr-treated
ENCSR201MSV	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-tet-OsTIR1-STAG2-mAC-24hr-treated
ENCSR598LTY	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F47G-MED14-mAC-6hr-treated-OneWeekPreGrowth
ENCSR619VVW	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-80-min-treated
ENCSR532VCL	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-160-min-treated
ENCSR013NSI	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-tet-OsTIR1-MED14-mAC-24hr-treated
ENCSR800DTY	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated		0	HCT116-tet-OsTIR1-MED14-mAC-untreated
ENCSR623MJB	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-120-min-treated
ENCSR554LWJ	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F74G-CTCF-mAC-24hr-treated
ENCSR751IQA	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F74G-RAD21-mAC-6hr-treated-OneWeekPreGrowth
ENCSR391RWG	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1-RAD21-mAC-60-min-treated
ENCSR380YQA	in situ Hi-C	mammary epithelial cell	primary cell	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		7	HMEC in situ Hi-C
ENCSR872NMT	intact Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated		0	HCT116-cmv-OsTIR1F74G-RAD21-mAC-6hr-treated-replicate
ENCSR269QPG	intact Hi-C	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline		0	HepG2 Ultra intact dnase hi-c
ENCSR566XIP	in situ Hi-C	hTERT RPE-1	cell line	epithelium;eye	encode_epithelium_slim	baseline		7	
ENCSR693GXU	in situ Hi-C	HeLa-S3	cell line	epithelium;uterus	encode_epithelium_slim	baseline		0	HiC experiment done on HeLa-S3
ENCSR846DUS	in situ Hi-C	hTERT RPE-1	cell line	epithelium;eye	encode_epithelium_slim	baseline		8	
ENCSR194SRI	in situ Hi-C	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline		7	HiC experiment done on HepG2
ENCSR869CSI	in situ Hi-C	keratinocyte	primary cell	epithelium;skin of body	encode_epithelium_slim	baseline		4	NHEK in situ Hi-C
ENCSR312KHQ	in situ Hi-C	SK-MEL-5	cell line	epithelium;skin of body		baseline		8	HiC experiment done on SK-MEL-5
ENCSR401TBQ	in situ Hi-C	Caki2	cell line	epithelium;kidney	encode_epithelium_slim	baseline		8	HiC experiment done on Caki2
ENCSR834DXR	in situ Hi-C	SK-N-MC	cell line	epithelium;brain		baseline		1	HiC experiment done on SK-N-MC
ENCSR428VHF	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		0	in situ MboI Hi-C
ENCSR855CCB	in situ Hi-C	endothelial cell of umbilical vein	primary cell	extraembryonic component;vasculature;blood vessel;placenta;epithelium;vein		baseline		0	HUVEC in situ Hi-C experiment
ENCSR859UVV	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		0	in situ MboI Hi-C
ENCSR711AVS	in situ Hi-C	mammary epithelial cell	primary cell	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		11	HMEC in situ Hi-C experiment
ENCSR176BRX	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		7	in situ MboI Hi-C
ENCSR346DCU	in situ Hi-C	LNCaP clone FGC	cell line	epithelium;prostate gland	encode_epithelium_slim	baseline		1	HiC experiment done on LNCaP clone FGC
ENCSR152HRS	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		7	in situ MboI Hi-C
ENCSR549MGQ	in situ Hi-C	T47D	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		8	HiC experiment done on T47D
ENCSR440CTR	in situ Hi-C	Panc1	cell line	epithelium;pancreas	encode_epithelium_slim	baseline		8	HiC experiment done on Panc1
ENCSR862OGI	in situ Hi-C	RPMI7951	cell line	epithelium;skin of body		baseline		1	HiC experiment done on RPMI-7951
ENCSR179GCO	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		7	in situ MboI Hi-C
ENCSR489OCU	in situ Hi-C	NCI-H460	cell line	lung;epithelium	encode_epithelium_slim	baseline		1	HiC experiment done on NCI-H460
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	cell line	epithelium;eye	encode_epithelium_slim	treated		7	in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome
ENCSR206PBT	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		7	in situ MboI Hi-C
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell	primary cell	epithelium;vasculature;blood vessel;brain		baseline		7	HiC experiment done on brain microvascular endothelial cell
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid	primary cell	liver;endocrine gland;vasculature;blood vessel;epithelium;exocrine gland		baseline		7	HiC experiment done on endothelial cell of hepatic sinusoid
ENCSR637QCS	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		4	in situ MboI Hi-C
ENCSR123UVP	in situ Hi-C	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		4	in situ MboI Hi-C
ENCSR444WCZ	in situ Hi-C	A549	cell line	lung	lung_carcinoma_line	baseline		1	HiC experiment done on A549
ENCSR757IVO	in situ Hi-C	A549	cell line	lung	lung_carcinoma_line	treated		2	Hi-C on A549 cell line treated with 100 nM dexamethasone for 8 hours.
ENCSR244BBG	in situ Hi-C	A549	cell line	lung	lung_carcinoma_line	treated		2	Hi-C on A549 cell line treated with 100 nM dexamethasone for 1 hours.
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells	primary cell	epithelium;uterus;vasculature;blood vessel		baseline		7	HiC experiment done on endometrial microvascular endothelial cells
ENCSR393LOP	in situ Hi-C	A549	cell line	lung	lung_carcinoma_line	treated		2	Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.
ENCSR213DHH	in situ Hi-C	DLD1	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline		7	HiC experiment done on DLD1
ENCSR662QKG	in situ Hi-C	A549	cell line	lung	lung_carcinoma_line	baseline		2	Hi-C on A549 cell line treated with 100 nM dexamethasone for 0 hours.
ENCSR499RVD	in situ Hi-C	A549	cell line	lung	lung_carcinoma_line	treated		2	Hi-C on A549 cell line treated with 100 nM dexamethasone for 12 hours.
ENCSR080ODG	dilution Hi-C	mammary epithelial cell	primary cell	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline		7	HMEC dilution Hi-C
ENCSR912RAV	dilution Hi-C	keratinocyte	primary cell	epithelium;skin of body	encode_epithelium_slim	baseline		7	NHEK dilution Hi-C
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein	primary cell	extraembryonic component;vasculature;blood vessel;placenta;epithelium;vein		baseline		7	HUVEC dilution Hi-C experiment
ENCSR857MYZ	ChIA-PET	HepG2	cell line	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline	POLR2A	2	RNAPII ChIA-PET with HepG2 cell
ENCSR381DCY	ChIA-PET	hepatocyte	in vitro differentiated cells	exocrine gland;epithelium;liver;endocrine gland	encode_epithelium_slim	baseline	RAD21	0	RAD21 ChIA-PET in human LX cells (fetal hepatocyte cells derived from H9 stem cell)
ENCSR110JOO	ChIA-PET	ARPE-19	cell line	epithelium;eye	encode_epithelium_slim	baseline	RAD21	0	RAD21 ChIA-PET in human ARPE-19 cells
ENCSR255XYX	ChIA-PET	MCF-7	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	RAD21	0	RAD21 ChIA-PET in human MCF-7 cells
ENCSR106EOT	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	2	CTCF ChIA-PET in HCT116, CTCF tag and IAA untreated, control
ENCSR672RHL	ChIA-PET	DU 145	cell line	epithelium;prostate gland	encode_epithelium_slim	baseline	RAD21	0	RAD21 ChIA-PET in human DU 145 cells
ENCSR278IZK	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline	CTCF	2	CTCF ChIA-PET in HCT116
ENCSR771PKY	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	1	RNAPII ChIA-PET in HCT116, RAD21 tag and IAA treated
ENCSR641SOU	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	2	RNAPII ChIA-PET in HCT116, SUPT16H tag and IAA untreated, control
ENCSR711IEI	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	2	RNAPII ChIA-PET in HCT116, BRD4 tag and IAA untreated, control
ENCSR394XYY	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	2	CTCF ChIA-PET in HCT116, BRD4 tag and IAA untreated, control
ENCSR407ATL	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	1	CTCF ChIA-PET in HCT116, POLR2A tag and IAA treated
ENCSR263OBH	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	2	CTCF ChIA-PET in HCT116, CDK7 tag and IAA treated
ENCSR557OAJ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	2	CTCF ChIA-PET in HCT116, SMARCA5 tag and IAA untreated, control
ENCSR758BJW	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	2	CTCF ChIA-PET in HCT116, CDK7 tag and IAA untreated, control
ENCSR000BZZ	ChIA-PET	MCF-7	cell line	mammary gland;epithelium;exocrine gland	encode_epithelium_slim	baseline	ESR1	0	ESR1 ChIA-PET on human MCF-7
ENCSR000BZW	ChIA-PET	HeLa-S3	cell line	epithelium;uterus	encode_epithelium_slim	baseline	POLR2A	0	POLR2A ChIA-PET on human HeLa-S3
ENCSR635DLF	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	1	RNAPII ChIA-PET in HCT116, CTCF tag and IAA treated
ENCSR553HMH	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	2	RNAPII ChIA-PET in HCT116, MED14 tag and IAA treated
ENCSR028AOM	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline	RAD21	1	
ENCSR956HZZ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	2	CTCF ChIA-PET in HCT116, MED14 tag and IAA treated
ENCSR309KYA	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	baseline	RAD21	1	
ENCSR066MHC	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	2	RNAPII ChIA-PET in HCT116, MED14 tag and IAA untreated, control
ENCSR180DXE	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	1	RNAPII ChIA-PET in HCT116, SMARCA5 tag and IAA treated
ENCSR356GHP	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	1	CTCF ChIA-PET in HCT116, CTCF tag and IAA treated
ENCSR326KGW	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	2	CTCF ChIA-PET in HCT116, SUPT16H tag and IAA treated
ENCSR830FZR	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	2	RNAPII ChIA-PET in HCT116, SUPT16H tag and IAA treated
ENCSR388DDH	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	POLR2A	2	RNAPII ChIA-PET in HCT116, CDK7 tag and IAA treated
ENCSR080OMN	ChIA-PET	endothelial cell of umbilical vein	primary cell	extraembryonic component;vasculature;blood vessel;placenta;epithelium;vein		baseline	POLR2A	2	RNAPII ChIA-PET in HUVEC
ENCSR010NWN	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	2	RNAPII ChIA-PET in HCT116, SMARCA5 tag and IAA untreated, control
ENCSR440JFJ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	2	CTCF ChIA-PET in HCT116, MED14 tag and IAA untreated, control
ENCSR281XBJ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	1	CTCF ChIA-PET in HCT116, RAD21 tag and IAA treated
ENCSR674UYO	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	CTCF	2	CTCF ChIA-PET in HCT116, SUPT16H tag and IAA untreated, control
ENCSR332LKV	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	1	RNAPII ChIA-PET in HCT116, CTCF tag and IAA untreated, control
ENCSR160MHZ	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	treated	CTCF	2	CTCF ChIA-PET in HCT116, SMARCA5 tag and IAA treated
ENCSR636PMP	ChIA-PET	pulmonary artery endothelial cell	primary cell	epithelium;vasculature;arterial blood vessel;blood vessel		baseline	RAD21	0	RAD21 ChIA-PET in human pulmonary artery endothelial cell
ENCSR353XNY	ChIA-PET	HCT116	cell line	large intestine;epithelium;colon;intestine	encode_epithelium_slim	tagged_untreated	POLR2A	1	RNAPII ChIA-PET in HCT116, RAD21 tag and IAA untreated, control
ENCSR447IUA	ChIA-PET	Panc1	cell line	epithelium;pancreas	encode_epithelium_slim	baseline	POLR2A	2	RNAPII ChIA-PET in Panc1
