experiment	assay	biosample	epithelial_call	stratum	target	description	file	kind	file_format	file_size	biological_replicates	used	reason	n_records	n_cldn_loops	n_cldn_domains
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF873JEE	domains	bedpe	3717	1,2	no	not_epithelial_call			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF015WBJ	loops	bedpe	92441	1,2	no	not_epithelial_call			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF458XFQ	loops	bedpe	143	1,2	no	not_epithelial_call			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF612GTX	loops	bedpe	72042	1,2	no	not_epithelial_call			
ENCSR312KHQ	in situ Hi-C	SK-MEL-5		baseline		HiC experiment done on SK-MEL-5	ENCFF150PMY	loops	bedpe	68	1,2	no	not_epithelial_call			
ENCSR834DXR	in situ Hi-C	SK-N-MC		baseline		HiC experiment done on SK-N-MC	ENCFF603GAT	domains	bed	45291	1,2	no	not_epithelial_call			
ENCSR862OGI	in situ Hi-C	RPMI7951		baseline		HiC experiment done on RPMI-7951	ENCFF654ZID	domains	bed	46359	1,2	no	not_epithelial_call			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF444ZES	domains	bedpe	78793	1	no	treated			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF901IPR	domains	bedpe	73521	1	no	treated			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF273BSZ	loops	bedpe	894915	1	no	treated			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF894ZLW	loops	bedpe	1353029	1	no	treated			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF688RCL	domains	bedpe	85766	1	no	treated			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF906CCO	loops	bedpe	26657	1	no	treated			
ENCSR624AJS	in situ Hi-C	hTERT RPE-1	encode_epithelium_slim	treated		in situ MboI Hi-C  of hTERT RPE-1 with DXZ4 deletion on X active chromosome	ENCFF420MUU	loops	bedpe	79127	1	no	treated			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF698ULZ	domains	bedpe	35569	1,2	no	not_epithelial_call			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF585PQU	loops	bedpe	123849	1,2	no	not_epithelial_call			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF915TBK	loops	bedpe	101310	1,2	no	not_epithelial_call			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF842FRX	domains	bedpe	43259	1,2	no	not_epithelial_call			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF259LUG	loops	bedpe	7173	1,2	no	not_epithelial_call			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF288DXL	domains	bedpe	1099	1,2	no	not_epithelial_call			
ENCSR507AHE	in situ Hi-C	brain microvascular endothelial cell		baseline		HiC experiment done on brain microvascular endothelial cell	ENCFF277KJA	loops	bedpe	185	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF861RSA	domains	bedpe	59236	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF193TXL	loops	bedpe	1488908	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF753CKC	loops	bedpe	1323291	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF339OJK	loops	bedpe	20875	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF049WZN	loops	bedpe	2432	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF845UNG	domains	bedpe	14200	1,2	no	not_epithelial_call			
ENCSR982KWR	in situ Hi-C	endothelial cell of hepatic sinusoid		baseline		HiC experiment done on endothelial cell of hepatic sinusoid	ENCFF313TPC	domains	bedpe	67961	1,2	no	not_epithelial_call			
ENCSR757IVO	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 8 hours.	ENCFF047SHN	loops	tsv	5689925	1,2,3,4	no	treated			
ENCSR757IVO	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 8 hours.	ENCFF890BJC	domains	bedpe	345115	1,2,3,4	no	treated			
ENCSR244BBG	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 1 hours.	ENCFF385DHX	loops	tsv	6213049	1,2,3,4	no	treated			
ENCSR244BBG	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 1 hours.	ENCFF538WJU	domains	bedpe	350310	1,2,3,4	no	treated			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF246KOM	loops	bedpe	68	1,2	no	not_epithelial_call			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF282DPA	domains	bedpe	4649	1,2	no	not_epithelial_call			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF185GGH	domains	bedpe	3855	1,2	no	not_epithelial_call			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF016EDL	loops	bedpe	186022	1,2	no	not_epithelial_call			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF962KMC	loops	bedpe	137156	1,2	no	not_epithelial_call			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF630ZSU	loops	bedpe	267	1,2	no	not_epithelial_call			
ENCSR551IPY	in situ Hi-C	endometrial microvascular endothelial cells		baseline		HiC experiment done on endometrial microvascular endothelial cells	ENCFF183VJR	domains	bedpe	68	1,2	no	not_epithelial_call			
ENCSR393LOP	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.	ENCFF829HRZ	loops	tsv	6103910	1,2,3,4	no	treated			
ENCSR393LOP	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 4 hours.	ENCFF296ETQ	domains	bedpe	352816	1,2,3,4	no	treated			
ENCSR499RVD	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 12 hours.	ENCFF360VME	loops	tsv	5544835	1,2,3,4	no	treated			
ENCSR499RVD	in situ Hi-C	A549	lung_carcinoma_line	treated		Hi-C on A549 cell line treated with 100 nM dexamethasone for 12 hours.	ENCFF881OVU	domains	bedpe	351428	1,2,3,4	no	treated			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF428UIM	domains	bedpe	8221	1	no	not_epithelial_call			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF542BWR	domains	bedpe	7011	1	no	not_epithelial_call			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF003VPO	loops	bedpe	67931	1	no	not_epithelial_call			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF108FUH	loops	bedpe	51541	1	no	not_epithelial_call			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF862ACB	loops	bedpe	268	1	no	not_epithelial_call			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF597RBV	domains	bedpe	68	1	no	not_epithelial_call			
ENCSR008UIB	dilution Hi-C	endothelial cell of umbilical vein		baseline		HUVEC dilution Hi-C experiment	ENCFF909CZW	loops	bedpe	68	1	no	not_epithelial_call			
ENCSR771PKY	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, RAD21 tag and IAA treated	ENCFF718SMU	loops	bedpe	4204647	1	no	treated			
ENCSR407ATL	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, POLR2A tag and IAA treated	ENCFF531YEE	loops	bedpe	4978361	1	no	treated			
ENCSR263OBH	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, CDK7 tag and IAA treated	ENCFF316EBJ	loops	bedpe	8284727	1	no	treated			
ENCSR263OBH	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, CDK7 tag and IAA treated	ENCFF801VZT	loops	bedpe	10453124	2	no	treated			
ENCSR635DLF	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, CTCF tag and IAA treated	ENCFF359UCU	loops	bedpe	2551234	1	no	treated			
ENCSR553HMH	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, MED14 tag and IAA treated	ENCFF778WWP	loops	bedpe	3628949	1	no	treated			
ENCSR553HMH	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, MED14 tag and IAA treated	ENCFF727SSY	loops	bedpe	5364292	2	no	treated			
ENCSR956HZZ	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, MED14 tag and IAA treated	ENCFF460HIJ	loops	bedpe	6628633	1	no	treated			
ENCSR956HZZ	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, MED14 tag and IAA treated	ENCFF197NNE	loops	bedpe	7376519	2	no	treated			
ENCSR180DXE	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, SMARCA5 tag and IAA treated	ENCFF586MYT	loops	bedpe	9443249	1	no	treated			
ENCSR356GHP	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, CTCF tag and IAA treated	ENCFF558NWU	loops	bedpe	4700883	1	no	treated			
ENCSR326KGW	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, SUPT16H tag and IAA treated	ENCFF214DRG	loops	bedpe	8725608	1	no	treated			
ENCSR326KGW	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, SUPT16H tag and IAA treated	ENCFF273DQC	loops	bedpe	11747767	2	no	treated			
ENCSR830FZR	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, SUPT16H tag and IAA treated	ENCFF256XHE	loops	bedpe	2927759	1	no	treated			
ENCSR830FZR	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, SUPT16H tag and IAA treated	ENCFF914CHV	loops	bedpe	6774511	2	no	treated			
ENCSR388DDH	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, CDK7 tag and IAA treated	ENCFF002YGU	loops	bedpe	3692464	1	no	treated			
ENCSR388DDH	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, CDK7 tag and IAA treated	ENCFF128OHI	loops	bedpe	3465595	2	no	treated			
ENCSR080OMN	ChIA-PET	endothelial cell of umbilical vein		baseline	POLR2A	RNAPII ChIA-PET in HUVEC	ENCFF308LJF	loops	bedpe	1857890	1	no	not_epithelial_call			
ENCSR080OMN	ChIA-PET	endothelial cell of umbilical vein		baseline	POLR2A	RNAPII ChIA-PET in HUVEC	ENCFF095AVT	loops	bedpe	1611780	2	no	not_epithelial_call			
ENCSR281XBJ	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, RAD21 tag and IAA treated	ENCFF751AJI	loops	bedpe	5353272	1	no	treated			
ENCSR160MHZ	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, SMARCA5 tag and IAA treated	ENCFF174CIH	loops	bedpe	11835185	1	no	treated			
ENCSR160MHZ	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, SMARCA5 tag and IAA treated	ENCFF087QCS	loops	bedpe	11721815	2	no	treated			
ENCSR741AGK	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, BRD4 tag and IAA treated	ENCFF006SFW	loops	bedpe	9306017	1	no	treated			
ENCSR741AGK	ChIA-PET	HCT116	encode_epithelium_slim	treated	CTCF	CTCF ChIA-PET in HCT116, BRD4 tag and IAA treated	ENCFF505KGY	loops	bedpe	7319408	2	no	treated			
ENCSR918GSZ	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, BRD4 tag and IAA treated	ENCFF876SWP	loops	bedpe	2862997	1	no	treated			
ENCSR918GSZ	ChIA-PET	HCT116	encode_epithelium_slim	treated	POLR2A	RNAPII ChIA-PET in HCT116, BRD4 tag and IAA treated	ENCFF790ZSM	loops	bedpe	5173019	2	no	treated			
ENCSR404FPI	ChIA-PET	endothelial cell of umbilical vein		baseline	CTCF	CTCF ChIA-PET in HUVEC	ENCFF975WWK	loops	bedpe	6688915	1	no	not_epithelial_call			
ENCSR404FPI	ChIA-PET	endothelial cell of umbilical vein		baseline	CTCF	CTCF ChIA-PET in HUVEC	ENCFF377RDA	loops	bedpe	14896598	2	no	not_epithelial_call			
ENCSR404FPI	ChIA-PET	endothelial cell of umbilical vein		baseline	CTCF	CTCF ChIA-PET in HUVEC	ENCFF562OTG	loops	bedpe	12312826	3	no	not_epithelial_call			
ENCSR773XVD	ChIA-PET	HEK293T		baseline	POLR2A	RNAPII ChIA-PET in HEK293T	ENCFF125JGW	loops	bedpe	2711778	1	no	not_epithelial_call			
ENCSR773XVD	ChIA-PET	HEK293T		baseline	POLR2A	RNAPII ChIA-PET in HEK293T	ENCFF816HOS	loops	bedpe	4288285	2	no	not_epithelial_call			
ENCSR934CYB	ChIA-PET	HEK293		baseline	POLR2A	RNAPII ChIA-PET in HEK293	ENCFF110LPZ	loops	bedpe	3437468	1	no	not_epithelial_call			
ENCSR934CYB	ChIA-PET	HEK293		baseline	POLR2A	RNAPII ChIA-PET in HEK293	ENCFF396IMY	loops	bedpe	4092220	2	no	not_epithelial_call			
ENCSR676KCF	ChIA-PET	HEK293T		baseline	CTCF	CTCF ChIA-PET in HEK293T	ENCFF158MHM	loops	bedpe	6604651	1	no	not_epithelial_call			
ENCSR676KCF	ChIA-PET	HEK293T		baseline	CTCF	CTCF ChIA-PET in HEK293T	ENCFF653GUB	loops	bedpe	5243218	2	no	not_epithelial_call			
ENCSR410UHV	ChIA-PET	HEK293		baseline	CTCF	CTCF ChIA-PET in HEK293	ENCFF432WRY	loops	bedpe	23387387	1	no	not_epithelial_call			
ENCSR410UHV	ChIA-PET	HEK293		baseline	CTCF	CTCF ChIA-PET in HEK293	ENCFF701GLV	loops	bedpe	22242424	2	no	not_epithelial_call			
ENCSR777YML	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 SMARCA5 auxin untreated degron intact hic	ENCFF066UGJ	domains	bedpe	222116	1	yes	tagged_untreated	4214	0	0
ENCSR777YML	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 SMARCA5 auxin untreated degron intact hic	ENCFF256IWF	domains	bedpe	248130	1	yes	tagged_untreated	4718	0	0
ENCSR777YML	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 SMARCA5 auxin untreated degron intact hic	ENCFF564AYM	loops	bedpe	1542812	1	yes	tagged_untreated	25862	2	0
ENCSR777YML	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 SMARCA5 auxin untreated degron intact hic	ENCFF985QPI	loops	bedpe	1640570	1	yes	tagged_untreated	27416	1	0
ENCSR477GZK	intact Hi-C	HCT116	encode_epithelium_slim	baseline		HCT116 intact Hi-C	ENCFF564HYN	domains	bedpe	315428	1,2	yes	baseline	6004	0	1
ENCSR477GZK	intact Hi-C	HCT116	encode_epithelium_slim	baseline		HCT116 intact Hi-C	ENCFF215GNC	domains	bedpe	286941	1,2	yes	baseline	5445	0	1
ENCSR370TFL	intact Hi-C	MCF 10A	encode_epithelium_slim	baseline		MCF10A intact Hi-C	ENCFF821LEJ	domains	bedpe	136269	1,2	yes	baseline	2513	0	0
ENCSR477GZK	intact Hi-C	HCT116	encode_epithelium_slim	baseline		HCT116 intact Hi-C	ENCFF308MMM	loops	bedpe	2746666	1,2	yes	baseline	44219	5	0
ENCSR477GZK	intact Hi-C	HCT116	encode_epithelium_slim	baseline		HCT116 intact Hi-C	ENCFF341UWI	loops	bedpe	2828436	1,2	yes	baseline	45532	2	0
ENCSR370TFL	intact Hi-C	MCF 10A	encode_epithelium_slim	baseline		MCF10A intact Hi-C	ENCFF998TAU	domains	bedpe	124916	1,2	yes	baseline	2286	0	0
ENCSR533VUS	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 Pol2RA auxin untreated degron intact mnase hic	ENCFF976DMU	domains	bedpe	197869	1	yes	tagged_untreated	3787	0	0
ENCSR533VUS	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 Pol2RA auxin untreated degron intact mnase hic	ENCFF883GGR	domains	bedpe	221260	1	yes	tagged_untreated	4246	0	0
ENCSR370TFL	intact Hi-C	MCF 10A	encode_epithelium_slim	baseline		MCF10A intact Hi-C	ENCFF350BGT	loops	bedpe	4181287	1,2	yes	baseline	63612	4	0
ENCSR370TFL	intact Hi-C	MCF 10A	encode_epithelium_slim	baseline		MCF10A intact Hi-C	ENCFF685BLR	loops	bedpe	4301044	1,2	yes	baseline	65980	5	0
ENCSR533VUS	intact Hi-C	HCT116	encode_epithelium_slim	tagged_untreated		HCT116 Pol2RA auxin untreated degron intact mnase hic	ENCFF247KKX	loops	bedpe	2359592	1	yes	tagged_untreated	38901	4	0
