id	source	query	title	description
E-MTAB-16433	biostudies-arrayexpress	sacituzumab govitecan RNA-seq	Single-cell RNA-sequencing of colorectal cancer PDOX tumors treated with vehicle or the TROP2-targeting antibody-drug conjugate Sacituzumab Govitecan	Patient-derived colorectal cancer organoids were injected into mice to grow into subcutaneous tumors. Starting at 100 mm3, tumors were treated with Trodelvy (Sacituzumab Govitecan (SG)) or vehicle twice per week for 28 days before samples were harvested and subjected to single-cell RNA-sequencing of the tumor cells.
E-MTAB-16843	biostudies-arrayexpress	sacituzumab govitecan RNA-seq	Time course analysis of human colorectal cancer organoid treatment with Sacituzumab Govitecan (SG) or untargeted control IgG1-SN-38	Human colorectal cancer organoids were treated with the TROP2-targeting antibody-drug conjugate Sacituzumab Govitecan (SG) or non-targeting control IgG1-SN-38. Samples were harvested at different time points under treatment {0h, 3h, 6h, 9h, 12h} as well as after drug washout at 12 h on the following time points {12h + 12h, 12h + 36h, 12h + 60h}. Samples were subjected to single-cell RNA-seq using 
PRJEB111088	project	sacituzumab govitecan RNA-seq	Time course analysis of human colorectal cancer liver metastasis models under Sacituzumab Govitecan (SG) treatment or untargeted control	Time course analysis of human colorectal cancer liver metastasis models under Sacituzumab Govitecan (SG) treatment or untargeted control
PRJEB111028	project	sacituzumab govitecan RNA-seq	Time course analysis of human colorectal cancer organoid treatment with Sacituzumab Govitecan (SG) or untargeted control IgG1-SN-38	Time course analysis of human colorectal cancer organoid treatment with Sacituzumab Govitecan (SG) or untargeted control IgG1-SN-38
S-EPMC12904893	biostudies-literature	sacituzumab govitecan RNA-seq	TROP2 expression is associated with early stage and favorable prognosis in upper tract urothelial carcinoma.	
GSE303323	geo	sacituzumab govitecan RNA-seq	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [RNA-Seq]	Direct targeting of KRAS to inhibit the MAPK cascade is poised to transform the therapeutic landscape of pancreatic ductal adenocarcinoma (PDAC). However, analyses of PDAC samples from patients treated with KRASG12C inhibitors have revealed secondary mutations restoring MAPK signaling and promoting epithelial-to-mesenchymal transition (EMT) as key mechanisms of acquired resistance. Here, we show t
PRJNA1357832	project	sacituzumab govitecan RNA-seq	None	RNA-Seq of TNBC cells
PRJNA1294842	project	sacituzumab govitecan RNA-seq	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [RNA-Seq]	Prolonged KRAS-MAPK Inhibition Induces Interferon-mediated Epithelial-to-Mesenchymal Transition and Reveals Therapeutic Opportunities [RNA-Seq]
PRJNA1336621	project	sacituzumab govitecan RNA-seq	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [bulk RNA-seq]	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [bulk RNA-seq]
GSE309617	geo	sacituzumab govitecan RNA-seq	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [bulk RNA-seq]	Background: Triple-negative breast cancer (TNBC) is an aggressive subtype lacking targeted therapeutic options, where platinum-based chemotherapy such as carboplatin serves as a cornerstone of treatment. Despite initial responses, the rapid emergence of acquired resistance remains a major clinical barrier. Understanding the molecular adaptations that drive platinum resistance is essential to devel
PRJNA1336615	project	sacituzumab govitecan RNA-seq	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [scRNA-seq]	Therapeutic Synergy Overcomes Carboplatin Resistance in Triple-Negative Breast Cancer [scRNA-seq]
S-EPMC12448455	biostudies-literature	datopotamab deruxtecan	Datopotamab deruxtecan-associated select adverse events: clinical practices and institutional protocols on prophylaxis, monitoring, and management.	
S-EPMC11942793	biostudies-literature	datopotamab deruxtecan	Prophylaxis, clinical management, and monitoring of datopotamab deruxtecan-associated oral mucositis/stomatitis.	
S-EPMC12906696	biostudies-literature	datopotamab deruxtecan	Optimal Dosage Justification for Datopotamab Deruxtecan in HR-Positive/HER2-Negative Breast Cancer Through Model-Informed Drug Development Approaches.	
S-EPMC10787203	biostudies-literature	datopotamab deruxtecan	Application of the model-informed drug development paradigm to datopotamab deruxtecan dose selection for late-stage development.	
S-EPMC12044543	biostudies-literature	datopotamab deruxtecan	Datopotamab-deruxtecan in early-stage breast cancer: the sequential multiple assignment randomized I-SPY2.2 phase 2 trial.	
S-EPMC9398094	biostudies-literature	datopotamab deruxtecan	Datopotamab Deruxtecan, a Novel TROP2-directed Antibody-drug Conjugate, Demonstrates Potent Antitumor Activity by Efficient Drug Delivery to Tumor Cells.	
S-EPMC12706414	biostudies-literature	datopotamab deruxtecan	Population Pharmacokinetic Analysis of Datopotamab Deruxtecan (Dato-DXd), a TROP2-Directed Antibody-Drug Conjugate, in Patients With Advanced Solid Tumors.	
S-EPMC12423748	biostudies-literature	datopotamab deruxtecan	Preclinical Activity of Datopotamab Deruxtecan (Dato-DXd), an Antibody-Drug Conjugate Targeting TROP2, in Poorly Differentiated Endometrial Carcinomas.	
S-EPMC12089997	biostudies-literature	datopotamab deruxtecan	Datopotamab-deruxtecan plus durvalumab in early-stage breast cancer: the sequential multiple assignment randomized I-SPY2.2 phase 2 trial.	
S-EPMC12751586	biostudies-literature	datopotamab deruxtecan	The efficacy and safety of datopotamab deruxtecan (Dato-DXd) in advanced solid tumors: a systematic review and meta-analysis.	
PRJNA1169861	project	datopotamab deruxtecan	None	Anti-tumor activity and biomarker analysis for TROP2-antibody drug conjugate Datopotamab deruxtecan in patient-derived breast cancer xenograft models
S-EPMC10564307	biostudies-literature	datopotamab deruxtecan	First-in-Human, Phase I Dose-Escalation and Dose-Expansion Study of Trophoblast Cell-Surface Antigen 2-Directed Antibody-Drug Conjugate Datopotamab Deruxtecan in Non-Small-Cell Lung Cancer: TROPION-PanTumor01.	
S-EPMC11800260	biostudies-literature	datopotamab deruxtecan	TROPION-Breast04: a randomized phase III study of neoadjuvant datopotamab deruxtecan (Dato-DXd) plus durvalumab followed by adjuvant durvalumab versus standard of care in patients with treatment-naive early-stage triple negative or HR-low/HER2- breast cancer.	
S-EPMC12325563	biostudies-literature	datopotamab deruxtecan	US expert Delphi consensus on the prevention and management of stomatitis in patients treated with datopotamab deruxtecan.	
S-EPMC11788653	biostudies-literature	datopotamab deruxtecan	Antitumor Activity and Biomarker Analysis for TROP2 Antibody-Drug Conjugate Datopotamab Deruxtecan in Patient-Derived Breast Cancer Xenograft Models.	
S-EPMC10981107	biostudies-literature	datopotamab deruxtecan	Datopotamab deruxtecan: A novel antibody drug conjugate for triple-negative breast cancer	
S-EPMC12743830	biostudies-literature	datopotamab deruxtecan	TROPION-Lung15: a randomized phase III study of osimertinib combined with datopotamab deruxtecan (Dato-DXd) or Dato-DXd alone versus platinum-doublet chemotherapy in patients with &lt;i&gt;EGFR&lt;/i&gt;-mutated advanced non-small cell lung cancer and whose disease has progressed on prior osimertinib.	
2744228	ecrin-mdr-crc	datopotamab deruxtecan	Study of Dato-Dxd as Monotherapy and in Combination With Anti-cancer Agents in Patients With Advanced Solid Tumours (TROPION-PanTumor03)	TROPION-PanTumor03 will investigate the safety, tolerability, and anti-tumour activity of Datopotamab Deruxtecan (Dato-DXd) as Monotherapy and in Combination with Anticancer Agents in Patients with Advanced/Metastatic Solid Tumours.
S-EPMC12752073	biostudies-literature	datopotamab deruxtecan	Cost-effectiveness analysis of datopotamab deruxtecan versus docetaxel for previously treated advanced or metastatic non-small cell lung cancer.	
S-EPMC11906863	biostudies-literature	datopotamab deruxtecan	Preclinical evaluation of a novel antibody-drug conjugate OBI-992 for Cancer therapy.	
S-EPMC12353838	biostudies-literature	datopotamab deruxtecan	Perioperative durvalumab plus chemotherapy plus new agents for resectable non-small-cell lung cancer: the platform phase 2 NeoCOAST-2 trial.	
S-EPMC10137214	biostudies-literature	datopotamab deruxtecan	'Targeting' Improved Outcomes with Antibody-Drug Conjugates in Non-Small Cell Lung Cancer-An Updated Review.	
S-EPMC12411510	biostudies-literature	datopotamab deruxtecan	The tricky effects of TROP2 in lung cancer: from clinical practice back to fundamental investigations.	
S-EPMC10773713	biostudies-literature	datopotamab deruxtecan	Antibodies to watch in 2024.	
S-EPMC11156334	biostudies-literature	datopotamab deruxtecan	Blockade of SIRPα-CD47 axis by anti-SIRPα antibody enhances anti-tumor activity of DXd antibody-drug conjugates.	
S-EPMC9728470	biostudies-literature	datopotamab deruxtecan	Antibodies to watch in 2023.	
S-EPMC12213220	biostudies-literature	datopotamab deruxtecan	Pretargeted Trop-2 ImmunoPET for Rapid, Selective Detection of Pancreatic Tumors.	
S-EPMC11791482	biostudies-literature	datopotamab deruxtecan	OBI-992, a Novel TROP2-Targeted Antibody-Drug Conjugate, Demonstrates Antitumor Activity in Multiple Cancer Models.	
S-EPMC12670072	biostudies-literature	datopotamab deruxtecan	Preclinical Pharmacokinetic, Pharmacodynamic, and Safety Profile of OBI-992: A Novel TROP2-Targeted Antibody-Drug Conjugate.	
S-EPMC9614644	biostudies-literature	datopotamab deruxtecan	Antibody-drug conjugates targeting TROP-2: Clinical development in metastatic breast cancer.	
S-EPMC12035291	biostudies-literature	datopotamab deruxtecan	TROPION-Breast05: a randomized phase III study of Dato-DXd with or without durvalumab versus chemotherapy plus pembrolizumab in patients with PD-L1-high locally recurrent inoperable or metastatic triple-negative breast cancer.	
S-EPMC12153610	biostudies-literature	datopotamab deruxtecan	Efficacy and Safety of TROP-2-Targeting Antibody-Drug Conjugate Treatment in Previously Treated Patients with Advanced Non-Small Cell Lung Cancer: A Systematic Review and Pooled Analysis of Reconstructed Patient Data.	
PRJNA1357832	project	datopotamab deruxtecan	None	RNA-Seq of TNBC cells
S-EPMC9077081	biostudies-literature	TROP2 ADC PD-L1	Shedding light on triple-negative breast cancer with Trop2-targeted antibody-drug conjugates.	
S-EPMC12514053	biostudies-literature	TROP2 ADC PD-L1	Prognostic relevance of TROP2 expression in patients with non-small cell lung cancer receiving immunotherapy.	
S-EPMC8150754	biostudies-literature	TROP2 ADC PD-L1	Therapeutic Strategies for Metastatic Triple-Negative Breast Cancers: From Negative to Positive.	
PRJNA1357832	project	TROP2 ADC PD-L1	None	RNA-Seq of TNBC cells
