series,section,ring,n,CLDN4_vs_neiTB_n,CLDN4_vs_neiTB_rho,CLDN4_vs_neiTB_p,TACSTD2_vs_neiTB_n,TACSTD2_vs_neiTB_rho,TACSTD2_vs_neiTB_p,epi_vs_neiTB_n,epi_vs_neiTB_rho,epi_vs_neiTB_p,partial_CLDN4_vs_neiTB_ctrl_broad_n,partial_CLDN4_vs_neiTB_ctrl_broad_rho,partial_CLDN4_vs_neiTB_ctrl_broad_p,partial_TACSTD2_vs_neiTB_ctrl_broad_n,partial_TACSTD2_vs_neiTB_ctrl_broad_rho,partial_TACSTD2_vs_neiTB_ctrl_broad_p
GSE273378,LM_SD_4,3,3497,3497,-0.10830220688958282,1.352905346453324e-10,3497,-0.217204984918527,1.2999213785291218e-38,3497,-0.16900419719609056,8.048243034100127e-24,3497,-0.008911886331501803,0.5983114041960771,3497,-0.17739661180748495,4.0780051787191765e-26
GSE273378,LM_SD_5,1,3153,3153,-0.2385572618610041,4.804201976018478e-42,3153,-0.22889571120188903,9.294652199222476e-39,3153,-0.2690160099176064,2.091292896948393e-53,3153,-0.12074862997383559,1.0286175543065603e-11,3153,-0.12497232818401349,1.8918065972666344e-12
GSE273378,LM_SD_5,2,3208,3208,-0.2288462686121891,2.1802747218908816e-39,3208,-0.19684911351196366,2.180106204121986e-29,3208,-0.24450615490552868,6.965975354100778e-45,3208,-0.11185529315732026,2.1133297265922585e-10,3208,-0.08951866996540436,3.804483435086337e-07
GSE273378,LM_SD_5,3,3218,3218,-0.20908758348052645,4.050918360572223e-33,3218,-0.2068725682148077,1.9258920136939201e-32,3218,-0.24688813940132162,6.8290279623821534e-46,3218,-0.09726505309108645,3.228625286318689e-08,3218,-0.10611383043416757,1.5968461156533743e-09
GSE273378,LM_SD_6,1,2468,2468,0.11225947699820836,2.24736858688742e-08,2468,0.10505465718485377,1.687388722273673e-07,2468,0.12800652584952552,1.744681546588927e-10,2468,0.0642176975792772,0.0014131689581509462,2468,0.05088267580970322,0.01146633975372771
GSE273378,LM_SD_6,2,2515,2515,0.15240751991774862,1.5379505973939106e-14,2515,0.08785668536456277,1.0226091028928483e-05,2515,0.14237109153010183,7.342811485176139e-13,2515,0.08739193618019961,1.1392221570933105e-05,2515,0.034917128709444314,0.07998907049094318
GSE273378,LM_SD_6,3,2525,2525,0.15255955584958442,1.2842408026486219e-14,2525,0.12517634201727368,2.758825998779737e-10,2525,0.16558176021628615,5.563457315027661e-17,2525,0.08630528254039878,1.407139957969855e-05,2525,0.05837081419059901,0.0033446619802130887
GSE273378,LM_SD_7,1,2569,2569,0.0190052688838807,0.3355947117690504,2569,-0.06873336780316854,0.0004899356694429283,2569,-0.028328214978599914,0.15116931773814868,2569,0.0571358288487264,0.0037686505506429476,2569,-0.039350194327263395,0.04612165450480331
GSE273378,LM_SD_7,2,2706,2706,0.055797519653341454,0.0036905847013316544,2706,-0.023079282254480117,0.23007271318608033,2706,0.02383225365777421,0.21522011814862077,2706,0.07271709550654423,0.00015312117462319973,2706,-0.017525429910743268,0.36213306725907884
GSE273378,LM_SD_7,3,2724,2724,0.09065117461279457,2.1493496127918105e-06,2724,0.0050868842931739155,0.7907211415542781,2724,0.06310762512354608,0.000982524643141557,2724,0.08992065248857996,2.595189151036256e-06,2724,-0.007088377196181609,0.711538151028175
GSE273378,LM_SD_1216_8,1,2707,2707,-0.10382674941406668,6.158816099650519e-08,2707,-0.06503342217774831,0.0007101379064517563,2707,-0.1055932232352831,3.6550636625063904e-08,2707,-0.02638180167549551,0.1699951632946511,2707,0.010209958850223142,0.5954320929024275
GSE273378,LM_SD_1216_8,2,2749,2749,-0.11031545719425685,6.670546804804424e-09,2749,-0.06766441648613672,0.000384993650829899,2749,-0.10932750445625171,9.096646249557557e-09,2749,-0.026783850627524038,0.16034424044819184,2749,0.017810303463241806,0.3505826714820009
GSE273378,LM_SD_1216_8,3,2755,2755,-0.12624492814005805,2.9315280545788636e-11,2755,-0.08516371838144501,7.598813903931406e-06,2755,-0.12797790874090972,1.562128200648692e-11,2755,-0.036426022295973366,0.05591478497018098,2755,0.0024264523206216715,0.8987011821192613
GSE273378,LM_SD_9,1,2704,2704,0.11658070273154177,1.200810048750419e-09,2704,0.19088317671720145,1.3290763197408925e-23,2704,0.16350128565552122,1.1708510149539846e-17,2704,0.09100186833813273,2.1398617175082447e-06,2704,0.16455894808568095,7.187238725176372e-18
GSE273378,LM_SD_9,2,2766,2766,0.18337796786470342,2.4164771742583243e-22,2766,0.2752192575025659,2.906845342284658e-49,2766,0.254504202917132,3.810086500943036e-42,2766,0.12902777261484877,9.668693993038837e-12,2766,0.2268567925198531,1.2909429681986996e-33
GSE273378,LM_SD_9,3,2787,2787,0.2071174949156342,2.210066642649156e-28,2787,0.29657383166101003,1.0659039200647274e-57,2787,0.2782312309180946,1.0143865098564081e-50,2787,0.13788726658605002,2.650985065073125e-13,2787,0.2329279191288221,1.1876711505600343e-35
GSE273378,LM_SD_10,1,2574,2574,-0.19694029944127667,6.386697672915924e-24,2574,-0.11891601157603233,1.4331617186234694e-09,2574,-0.1958973712213943,1.1105539186000616e-23,2574,-0.08031183117785617,4.519093043109528e-05,2574,-0.003206170352938341,0.8708450497864367
GSE273378,LM_SD_10,2,2616,2616,-0.1621517187722109,7.129396765115039e-17,2616,-0.1082650696706125,2.8388817971522635e-08,2616,-0.16769982738883135,5.9019206453328986e-18,2616,-0.0609223895582036,0.0018245709005631301,2616,-0.013067103043764955,0.5041015347800839
GSE273378,LM_SD_10,3,2619,2619,-0.12224011071401132,3.4662711747997613e-10,2619,-0.07085942851777428,0.0002843613582985764,2619,-0.12058302194633062,5.99238010497012e-10,2619,-0.051001616834417327,0.00904046437255299,2619,-0.0039293856795169484,0.8407019575124948
GSE273378,LM_SD_1216_12,1,3591,3591,-0.02961599416561134,0.07597909290459758,3591,0.012996036472719512,0.4362456564124691,3591,-0.026301330927583876,0.11506501235781692,3591,0.012760588793146151,0.4446035396667379,3591,0.0459265094486004,0.005911719002569611
GSE273378,LM_SD_1216_12,2,3604,3604,-0.020366738585465217,0.22156181964028424,3604,-0.0006862781615682978,0.9671481946926855,3604,-0.029666271014461867,0.07495510358788265,3604,0.028756661729140293,0.08432653183037842,3604,0.033993931928053174,0.04128557328181611
GSE273378,LM_SD_1216_12,3,3596,3596,0.007716222179023211,0.6436783033646662,3596,0.014561274500275941,0.382699239095623,3596,0.002174360188689414,0.8962943214658929,3596,0.055505916359517765,0.000868727409414093,3596,0.04522773887558997,0.0066757342804115915
GSE273378,LM_SD_13,1,2886,2886,-0.08087057821699929,1.3630357536423268e-05,2886,-0.14246672295342744,1.477532637837724e-14,2886,-0.11840742958682966,1.7624891740807958e-10,2886,-0.05000540012033176,0.0072122322783372194,2886,-0.1377396498089275,1.071109169071976e-13
GSE273378,LM_SD_13,2,2904,2904,-0.04483082547650998,0.015689784548065057,2904,-0.1465957101261632,2.0318007096080808e-15,2904,-0.09835290155032277,1.0919579939228922e-07,2904,-0.03344614202015521,0.0715297070312699,2904,-0.16183520006976687,1.7052447127610911e-18
GSE273378,LM_SD_13,3,2910,2910,-0.04225979205399749,0.0226243745363523,2910,-0.1473305086860879,1.3729094292756884e-15,2910,-0.08976287674984058,1.2351234116130343e-06,2910,-0.044434630471558566,0.016522963501561523,2910,-0.1766702661609394,7.848400238705354e-22
GSE273378,LM_SD_1216_14,1,1848,1848,-0.12758588261816187,3.723178633122155e-08,1848,-0.22770147691609605,3.6777416195070293e-23,1848,-0.21134253014052293,4.190940693145407e-20,1848,-0.04406970789007192,0.058208643622851566,1848,-0.14499553578712493,3.8001554375747546e-10
GSE273378,LM_SD_1216_14,2,1896,1896,-0.08959292176968978,9.366700270690735e-05,1896,-0.18940740248069884,8.99603473049447e-17,1896,-0.16413284934033143,6.433943396545026e-13,1896,-0.024514073885433103,0.28602841847568233,1896,-0.12863972336359156,1.898060217079681e-08
GSE273378,LM_SD_1216_14,3,1910,1910,-0.07563311853110692,0.0009396127917075497,1910,-0.20544789622552861,1.1919134648331259e-19,1910,-0.16357931027165573,6.346855814729556e-13,1910,-0.002644569500564065,0.9080475471358381,1910,-0.13926266397050693,9.833266085620771e-10
GSE273378,LM_SD_15,1,1672,1672,0.08454829110654515,0.0005385720864491214,1672,0.04950251985421894,0.04298148621247021,1672,0.11059535556886785,5.8211415182609676e-06,1672,0.10168007356930521,3.1080965071470425e-05,1672,0.06750101374038103,0.005758791588343059
GSE273378,LM_SD_15,2,1715,1715,0.09442219611466092,8.99684454140431e-05,1715,0.08285402901724602,0.0005934242574960767,1715,0.13849002910971184,8.470645601648066e-09,1715,0.09974053854693771,3.506200927079252e-05,1715,0.08592098778961102,0.0003677564517003023
GSE273378,LM_SD_15,3,1725,1725,0.11974430240330004,6.110082287504171e-07,1725,0.08290050914658494,0.0005677836069964357,1725,0.1555076984505072,8.382109717603927e-11,1725,0.1210619590784377,4.5830344742698156e-07,1725,0.08129133458324668,0.0007263645388506535
