series,section,n_spots,same_CLDN4_TB_n,same_CLDN4_TB_rho,same_CLDN4_TB_p,same_TACSTD2_TB_n,same_TACSTD2_TB_rho,same_TACSTD2_TB_p,same_epi_TB_n,same_epi_TB_rho,same_epi_TB_p,same_CLDN4_T_n,same_CLDN4_T_rho,same_CLDN4_T_p,same_CLDN4_B_n,same_CLDN4_B_rho,same_CLDN4_B_p,same_TACSTD2_T_n,same_TACSTD2_T_rho,same_TACSTD2_T_p,same_TACSTD2_B_n,same_TACSTD2_B_rho,same_TACSTD2_B_p,same_epi_T_n,same_epi_T_rho,same_epi_T_p,same_broad_TB_n,same_broad_TB_rho,same_broad_TB_p
GSE273378,LM_SD_4,3500,3500,-0.20225522475336657,1.2459467208044334e-33,3500,-0.2834502779166892,1.139996149380335e-65,3500,-0.254574478363603,6.725851639340693e-53,3500,-0.1296775516474414,1.3434539462523002e-14,3500,-0.17859317490713006,1.7882354559443922e-26,3500,-0.1726395935387833,8.050138420225489e-25,3500,-0.2762351951753338,2.488934210333786e-62,3500,-0.1536066107051751,6.330904072718903e-20,3500,-0.2434719220490005,2.113255666163823e-48
GSE273378,LM_SD_5,3230,3230,-0.18187773005604932,2.016082248782073e-25,3230,-0.17366527639425586,2.739826154121991e-23,3230,-0.1934871080238714,1.2938296260401e-28,3230,-0.12882948151534465,1.98818043228703e-13,3230,-0.1409092424234825,8.597915921005112e-16,3230,-0.1302412246812416,1.079297507565764e-13,3230,-0.13432056275030446,1.7791629237646392e-14,3230,-0.13167631989854395,5.760650258840296e-14,3230,-0.21286319454213967,2.0600544989135386e-34
GSE273378,LM_SD_6,2530,2530,0.0762382613776939,0.0001238343807645759,2530,0.048708252554409553,0.0142766920608154,2530,0.06934431142565653,0.0004822344891971046,2530,0.07954311698160532,6.193413632083977e-05,2530,0.04269899867101888,0.03174240381804206,2530,0.03625404399732548,0.06826641948568875,2530,0.07284154625405499,0.00024548401416121704,2530,0.07208528579887291,0.0002847914693951281,2530,0.10205286149107921,2.68855226513929e-07
GSE273378,LM_SD_7,2753,2753,-0.02875131874332417,0.13150828237461956,2753,-0.07535721645622906,7.565804613236293e-05,2753,-0.056718860326649884,0.0029105632789745914,2753,-0.022324354559493928,0.24161832042624146,2753,0.05330400567427789,0.005149520093495853,2753,-0.07433875602067601,9.457107006220377e-05,2753,0.03944375599966167,0.03850468791451167,2753,-0.05171177470108442,0.00665061450920179,2753,-0.03798936856818648,0.04625270582807158
GSE273378,LM_SD_1216_8,2756,2756,-0.04992987744909835,0.008750633659469976,2756,-0.026592735502539856,0.1628142603017458,2756,-0.047614067970829094,0.012422517331167195,2756,-0.006866333650583191,0.718617647997741,2756,-0.04035706901463368,0.034128349299207196,2756,0.010367719009097132,0.5864082566568235,2756,-0.020006078827252294,0.293764037849798,2756,-0.0020833478083229044,0.9129476513194056,2756,-0.09209561336538043,1.2795651431596796e-06
GSE273378,LM_SD_9,2801,2801,0.03730799796830774,0.04834626034215203,2801,0.13697546159326524,3.3268927693047073e-13,2801,0.07788747850321762,3.681921378383667e-05,2801,-0.011997940028887285,0.5256083841448904,2801,0.10072037549928098,9.203737717095066e-08,2801,0.12388364854166149,4.7391904369298395e-11,2801,0.14175047119215933,4.816233834250277e-14,2801,0.03661794073276967,0.05265127971590026,2801,0.04329452665622088,0.02194077022947198
GSE273378,LM_SD_10,2620,2620,-0.18956770551630955,1.2747919180035151e-22,2620,-0.11278429345111873,7.093641352043548e-09,2620,-0.18670281291831684,5.587588565120928e-22,2620,-0.083523988327981,1.8631088159433453e-05,2620,-0.21120847365716103,8.35276777154525e-28,2620,-0.06649854625008882,0.0006593756200942366,2620,-0.10111451726219729,2.143194794615865e-07,2620,-0.09063718424754721,3.372843271737282e-06,2620,-0.23592635505006956,1.8183463021638313e-34
GSE273378,LM_SD_1216_12,3604,3604,-0.012676657313428074,0.44678343387339786,3604,-0.0011298469723055823,0.9459408938135816,3604,0.0028707631649418494,0.8632158138599246,3604,-0.041369368121070525,0.013000981640517372,3604,0.06208985826033938,0.00019165738106189306,3604,-0.026201024095394918,0.1157978219967068,3604,0.041138248287521995,0.0135167982489473,3604,-0.027721932200988224,0.09611598617181576,3604,-0.031756588128824446,0.05661479855337866
GSE273378,LM_SD_13,2912,2912,-0.1076960481810408,5.6753737709866785e-09,2912,-0.1448471465108134,4.014414189977279e-15,2912,-0.1324998973566889,7.038409095172541e-13,2912,0.08377891087832379,5.983364324082959e-06,2912,-0.22041374981183334,2.2596003077831682e-33,2912,0.0957702523767792,2.2460049384100461e-07,2912,-0.2775622803683499,1.1624007825053564e-52,2912,0.10436035177400908,1.6557239730236574e-08,2912,-0.11204548695501002,1.3376514251065852e-09
GSE273378,LM_SD_1216_14,1915,1915,-0.15466410814883635,1.0120653824938188e-11,1915,-0.18991559524353044,5.212074144169873e-17,1915,-0.19497861933504487,7.332291893699227e-18,1915,-0.145116092062666,1.7704616171883246e-10,1915,-0.07114229903480612,0.0018384976485399203,1915,-0.18440587327862548,4.1426348076511266e-16,1915,-0.06618764831548918,0.0037590365530474202,1915,-0.18600755180731135,2.28255912685324e-16,1915,-0.23658313384705884,9.047247959710134e-26
GSE273378,LM_SD_15,1741,1741,-0.015134700322533778,0.5279866602695981,1741,0.04421459318270045,0.0651184889311812,1741,0.04808340095229258,0.04485482698291405,1741,-0.016390178803132135,0.4943290243733899,1741,0.019934708582309484,0.40582296034726223,1741,0.03370742576397513,0.15977118759697698,1741,0.06154851301131855,0.010207467816292844,1741,0.04048443143107881,0.09127620603580687,1741,-0.02890093596786274,0.2280930453494316
