accession	matched_terms	category	is_ici	is_kd_ko	marker_terms	organism	gds_type	n_samples	platform	has_expression_matrix	matrix_n_rows	matrix_total_bytes	under_2gb	downloaded	matrix_files	pubmed_ids	ftp_matrix_url	title
GSE238003	ICI	ICI;KD/KO	Y	Y		Homo sapiens; Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	6	21697;21626	N	0	5120	Y	Y	GSE238003-GPL21626_series_matrix.txt.gz;GSE238003-GPL21697_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE238nnn/GSE238003/matrix/	Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [CUT&Tag]
GSE238006	ICI	ICI;KD/KO	Y	Y		Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing	8	18460;18480	N	0	5734	Y	Y	GSE238006-GPL18460_series_matrix.txt.gz;GSE238006-GPL18480_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE238nnn/GSE238006/matrix/	Neuroendocrine lineage commitment of small cell lung cancers can be leveraged into p53-independent non-cytotoxic therapy [RNA-seq]
GSE243238	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	20	18573	N	0	5836	Y	Y	GSE243238_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE243nnn/GSE243238/matrix/	Identification of tumor-intrinsic drivers of immune exclusion in acral melanoma
GSE244820	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Expression profiling by high throughput sequencing	10	24247	N	0	3174	Y	Y	GSE244820_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE244nnn/GSE244820/matrix/	Activation of alveolar epithelial ER stress by b-coronavirus infection disrupts surfactant homeostasis in mice: implications for COVID-19 respiratory failure
GSE247130	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	12	24247	N	0	4608	Y	Y	GSE247130_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247130/matrix/	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [1]
GSE247271	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	30	19057	N	0	4812	Y	Y	GSE247271_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE247nnn/GSE247271/matrix/	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [ChIP-seq]
GSE249002	ICI	ICI;KD/KO	Y	Y		Mus musculus	Expression profiling by high throughput sequencing	4	30172	N	0	3481	Y	Y	GSE249002_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249002/matrix/	HDAC inhibitors directly modulate T cell gene expression and signaling and promote development of effector-exhausted T cells in murine tumors [scRNA-seq]
GSE249056	TACSTD2	marker-only	N	N	TACSTD2	Homo sapiens	Expression profiling by high throughput sequencing	2	24676	N	0	2457	Y	Y	GSE249056_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249056/matrix/	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [bulk RNA-Seq]
GSE249057	TACSTD2	marker-only	N	N	TACSTD2	Homo sapiens	Expression profiling by high throughput sequencing	5	18573	N	0	2764	Y	Y	GSE249057_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE249nnn/GSE249057/matrix/	Identification and characterization of metastasis-initiating cells in esophageal squamous cell carcinoma in a pulmonary metastasis mouse model [scRNA-Seq]
GSE255144	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	6	24676	N	0	3072	Y	Y	GSE255144_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE255nnn/GSE255144/matrix/	PD-L1 and IFN-γ modulate Non-Small Cell Lung Cancer (NSCLC) Cell Plasticity responsible for ICI-Resistance
GSE259379	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	2	30172	N	0	2969	Y	Y	GSE259379_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259379/matrix/	TG6050, an oncolytic vaccinia virus encoding interleukin-12 and anti-CTLA-4 antibody induces tumor regression through profound tumor microenvironment remodeling and strong antitumor adaptive immune response [scRNA-seq]
GSE259380	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	149	24247	N	0	7680	Y	Y	GSE259380_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE259nnn/GSE259380/matrix/	TG6050, an oncolytic vaccinia virus encoding interleukin-12 and anti-CTLA-4 antibody induces tumor regression through profound tumor microenvironment remodeling and strong antitumor adaptive immune response [RNA-seq]
GSE261597	ICI	ICI	Y	N		Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	6	24247	N	0	3686	Y	Y	GSE261597_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261597/matrix/	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer
GSE261799	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	8	24247	N	0	2764	Y	Y	GSE261799_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261799/matrix/	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche
GSE261889	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	19	24247	N	0	2969	Y	Y	GSE261889_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261889/matrix/	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer
GSE261890	ICI	ICI	Y	N		Mus musculus	Other	2	24247	N	0	3276	Y	Y	GSE261890_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261890/matrix/	Cancer cell self-built physical barriers promote acquired resistance to immunotherapy [spatial]
GSE261898	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	14	24247	N	0	3891	Y	Y	GSE261898_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE261nnn/GSE261898/matrix/	Acquired resistance to immunotherapy by physical barriers with cancer cell–expressing collagens in non–small cell lung cancer
GSE263386	ICI	ICI;KD/KO	Y	Y		Mus musculus	Expression profiling by high throughput sequencing	15	24247	N	0	3174	Y	Y	GSE263386_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE263nnn/GSE263386/matrix/	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche [II]
GSE264098	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	4	24247	N	0	3686	Y	Y	GSE264098_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264098/matrix/	CEBPA restricts alveolar type 2 cell plasticity during development and injury-repair [scATAC-seq]
GSE264573	TROP2	marker-only	N	N	TROP2	Homo sapiens	Expression profiling by high throughput sequencing	4	24676	N	0	3891	Y	Y	GSE264573_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE264nnn/GSE264573/matrix/	Single Cell Analysis of Treatment–Resistant Prostate Cancer: Implications of Cell State Changes for Cell Surface Antigen Targeted Therapies
GSE266364	ICI	ICI;KD/KO	Y	Y		Homo sapiens; Mus musculus	Expression profiling by high throughput sequencing	33	16791;17021	N	0	8498	Y	Y	GSE266364-GPL16791_series_matrix.txt.gz;GSE266364-GPL17021_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266364/matrix/	Immunogenic cell death inducer cEmsy boosted cancer immunotherapy in lung adenocarcinoma
GSE266384	ICI	ICI	Y	N		Mus musculus	Expression profiling by array	4	11202	Y	39429	864256	Y	Y	GSE266384_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE266nnn/GSE266384/matrix/	A comprehensive gene expression analysis to identify the key regulator suppressing the IFN-γ-inducible factors in tumor cells
GSE268525	ICI	ICI;KD/KO	Y	Y		Mus musculus	Expression profiling by high throughput sequencing	3	21273	N	0	2764	Y	Y	GSE268525_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268525/matrix/	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche (scRNA-Seq)
GSE268909	CLDN4;claudin-4	marker-only	N	N	CLDN4;claudin-4	Homo sapiens	Expression profiling by high throughput sequencing	26	24676	N	0	3276	Y	Y	GSE268909_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE268nnn/GSE268909/matrix/	Effects of hyperglycemia on airway epithelial barrier function in WT and CF 16HBE cells
GSE274584	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	21	24676	N	0	4300	Y	Y	GSE274584_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274584/matrix/	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [EV RNA]
GSE274588	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing; Other	57	24676	N	0	5632	Y	Y	GSE274588_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274588/matrix/	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [PBMC]
GSE274595	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	8	24676	N	0	2867	Y	Y	GSE274595_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274595/matrix/	Enhancing Non-Small Cell Lung Cancer Treatment Utilizing Natural Killer Cell-Derived Extracellular Vesicles (NKEVS) As A Novel Adoptive Cellular Therapeutic [tumor]
GSE274960	ICI	ICI;KD/KO	Y	Y		Mus musculus	Expression profiling by high throughput sequencing	19	24247	N	0	2662	Y	Y	GSE274960_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274960/matrix/	Targeting NTRK1 Enhances Immune Checkpoint Inhibitor Efficacy in NTRK1 Wild-type Non-Small Cell Lung Cancer
GSE276139	TROP2	marker-only	N	N	TROP2	Homo sapiens	Expression profiling by high throughput sequencing	6	18573	N	0	2560	Y	Y	GSE276139_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276139/matrix/	Gene expression profile at single cell level of cerebrospinal fluid (CSF) cells from lung adenocarcinoma leptomeningeal metastases patients (LUAD LM)
GSE277136	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	10	24676	N	0	3686	Y	Y	GSE277136_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE277nnn/GSE277136/matrix/	Single-cell landscape of bronchoalveolar immune cells in patients with immune checkpoint inhibitor-related pneumonitis
GSE278119	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing; Other	44	24676	N	0	5017	Y	Y	GSE278119_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE278nnn/GSE278119/matrix/	Clonally expanded effector CD4+ cytotoxic T lymphocytes are associated with severe neurological adverse events after immune checkpoint inhibitor therapy
GSE280068	ICI	ICI	Y	N		Mus musculus	Non-coding RNA profiling by high throughput sequencing	9	17021	N	0	2867	Y	Y	GSE280068_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280068/matrix/	Anti-PD-1 exacerbates bleomycin-induced lung injury in mice via Caspase-3/GSDME-mediated pyroptosis
GSE283462	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	6	24247	N	0	2764	Y	Y	GSE283462_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283462/matrix/	SFRP2+ CAFs Hinder Abscopal Effect from Combined Radiotherapy and Immunotherapy by Forming a Hostile Perivascular Niche [B16]
GSE283829	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	27	24676	N	0	3686	Y	Y	GSE283829_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE283nnn/GSE283829/matrix/	In situ detection of PD1–PD-L1 interactions as a functional predictor for response to immune checkpoint inhibition in NSCLC.
GSE285029	ICI	ICI;KD/KO	Y	Y		Homo sapiens	Expression profiling by high throughput sequencing	234	16791	N	0	9011	Y	Y	GSE285029_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285029/matrix/	Cell-intrinsic PD-L1 signaling drives immunosuppression by myeloid-derived suppressor cells through IL-6/Jak/Stat3 in PD-L1-high lung cance
GSE285606	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	4	19057	N	0	3276	Y	Y	GSE285606_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285606/matrix/	Loss of miR-29a/b1 cluster reprograms the tumor microenvironment and contributes to immunosuppression in lung cancer
GSE285888	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	1	16791	N	0	2969	Y	Y	GSE285888_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE285nnn/GSE285888/matrix/	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients
GSE288083	ICI	ICI;KD/KO	Y	Y		Homo sapiens	Expression profiling by high throughput sequencing	4	24676	N	0	3379	Y	Y	GSE288083_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288083/matrix/	TIE-2 expressing monocytic myeloid-derived suppressor cells are involved in resistance to anti-PD-1 mediates by angiopoietin 2 in melanoma patients
GSE293914	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	1	34281	N	0	3379	Y	Y	GSE293914_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE293nnn/GSE293914/matrix/	CCL20 Released by Drug-Tolerant Persisters Impairs Immunotherapy in EGFR-Mutated Lung Adenocarcinoma
GSE295969	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	18	18573	N	0	4198	Y	Y	GSE295969_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295969/matrix/	Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer
GSE298984	ICI	ICI	Y	N		Mus musculus	Expression profiling by high throughput sequencing	2	19057	N	0	2355	Y	Y	GSE298984_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE298nnn/GSE298984/matrix/	Immature monocytic cells within tumors differentiate into immunosuppressive cells in resistant tumors to immunotherapy
GSE302284	TROP2	marker-only	N	N	TROP2	Homo sapiens	Expression profiling by high throughput sequencing	6	20795	N	0	2662	Y	Y	GSE302284_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE302nnn/GSE302284/matrix/	Eradicating Drug Tolerant Persister Cells in EGFR-Mutated Non-Small Cell Lung Cancer by Targeting TROP2 with CAR-T cellular therapy
GSE303531	ICI	ICI	Y	N		Homo sapiens	Other	25	18573	N	0	5017	Y	Y	GSE303531_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE303nnn/GSE303531/matrix/	CHI3L1 contributes to an immune suppressed tumour microenvironment in highly invasive brain metastases
GSE307029	TACSTD2	ICI	Y	N	TACSTD2	Homo sapiens	Methylation profiling by genome tiling array	80	21145	N	0	6758	Y	Y	GSE307029_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE307nnn/GSE307029/matrix/	Multi-omics reveals heterogeneity in  advanced small cell lung cancers
GSE309446	ICI	ICI	Y	N		Homo sapiens	Other	32	20301	N	0	4300	Y	Y	GSE309446_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309446/matrix/	A phase II study of sitravatinib combined with tislelizumab plus docetaxel for acquired resistance to PD-(L)1 in patients with advanced/metastatic non-small cell lung cancer
GSE309751	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Genome binding/occupancy profiling by high throughput sequencing	14	24247	N	0	4403	Y	Y	GSE309751_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309751/matrix/	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair
GSE309894	CLDN4	marker-only	N	N	CLDN4	Homo sapiens	Other	34	24676	N	0	4096	Y	Y	GSE309894_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE309nnn/GSE309894/matrix/	Clinical Characteristics and Spatial transcriptome analysis of Early Resistance to Alectinib in ALK-Positive non-small cell lung cancer: A Retrospective OLCSG Study
GSE310370	ICI	ICI	Y	N		synthetic construct; Homo sapiens	Non-coding RNA profiling by array	4	21572	Y	6631	55296	Y	Y	GSE310370_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310370/matrix/	Expression data of microRNAs captured by OAA from plasma of NSCLC patients treated with nivolumab
GSE310539	CLDN4	marker-only	N	N	CLDN4	Mus musculus	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing	8	24247	N	0	2662	Y	Y	GSE310539_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310539/matrix/	AP-1 mediated chromatin changes govern alveolar type 2 cell transition in lung injury-repair [multiome]
GSE315510	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	30	24676	N	0	5632	Y	Y	GSE315510_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE315nnn/GSE315510/matrix/	Mitochondrial potential as a biomarker of T cell fitness and function in cancer immunotherapy
GSE317011	ICI	ICI;KD/KO	Y	Y		Mus musculus	Expression profiling by high throughput sequencing	6	21273	N	0	2867	Y	Y	GSE317011_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE317nnn/GSE317011/matrix/	β-Elemene Enhances the Efficacy of PD-L1 Inhibitor in Lung Cancer by Reprogramming Tumor-Associated Macrophages to M1 Phenotype via Suppressing FLT1/PI3K/AKT Signaling
GSE317352	ICI	ICI	Y	N		Mus musculus	Expression profiling by array	46	32057	Y	799	109568	Y	Y	GSE317352_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE317nnn/GSE317352/matrix/	Early adjunct anti-PD-L1 therapy improves outcomes and reverses immune paralysis in murine pulmonary mucormycosis
GSE320142	ICI	ICI	Y	N		Homo sapiens	Other	4	33762	N	0	2252	Y	Y	GSE320142_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE320nnn/GSE320142/matrix/	NKG2A inhibition promotes NK cell-CD8+ T cell interactions in support of improved anticancer immunity in ovarian carcinoma
GSE328294	ICI	ICI	Y	N		Homo sapiens	Expression profiling by high throughput sequencing	6	24676	N	0	3788	Y	Y	GSE328294_series_matrix.txt.gz		https://ftp.ncbi.nlm.nih.gov/geo/series/GSE328nnn/GSE328294/matrix/	IBI351, a novel KRASG12C inhibitor, enhances αPD-1 efficacy in KRASG12C mutant lung cancer
