dataset	donor	n_cells	n_malignant_like	n_cldn4_high	n_cldn4_low	n_tnk	cldn4_threshold	mean_cldn4_high	mean_cldn4_low	paired	scale
GSE148071	P27	707	25	13	12	81	2.510591983795166	3.272501230239868	0.3019721210002899	True	log1p_cp10k
GSE148071	P28	2373	376	188	188	67	1.7468565702438354	2.4446539878845215	0.6280311942100525	True	log1p_cp10k
GSE148071	P3	7835	6874	3437	3437	20	0.6082463264465332	1.9914251565933228	0.015370885841548443	True	log1p_cp10k
GSE148071	P32	595	179	90	89	70	2.870422601699829	3.4214069843292236	1.6532632112503052	True	log1p_cp10k
GSE148071	P38	1358	64	32	32	147	1.059389352798462	1.9764035940170288	0.13551810383796692	True	log1p_cp10k
GSE148071	P39	1896	7	4	3	254	1.7465612888336182	2.2222914695739746	0.0	False	log1p_cp10k
GSE148071	P4	4558	237	237	0	307	0.0	0.3213840126991272		False	log1p_cp10k
GSE148071	P40	1155	49	25	24	346	1.7954355478286743	2.6807639598846436	0.6507665514945984	True	log1p_cp10k
GSE148071	P42	1001	103	103	0	430	0.0	0.1107536256313324		False	log1p_cp10k
GSE148071	P5	2454	108	54	54	51	1.0813159942626953	1.7895475625991821	0.17737168073654175	True	log1p_cp10k
GSE148071	P6	3119	1267	634	633	67	2.320279836654663	3.049943208694458	0.8688734173774719	True	log1p_cp10k
GSE148071	P7	3059	132	132	0	1055	0.0	0.6297363638877869		False	log1p_cp10k
GSE148071	P8	1342	46	23	23	60	2.317678213119507	2.625030040740967	1.4842453002929688	True	log1p_cp10k
GSE148071	P9	3520	1867	934	933	61	1.5522502660751343	2.3433144092559814	0.6202095746994019	True	log1p_cp10k
GSE127465	p1	8290	1201	1201	0	1727	0.0	0.11714496463537216		False	log1p_deposited_normalized
GSE127465	p2	492	66	66	0	85	0.0	0.1946858912706375		False	log1p_deposited_normalized
GSE127465	p3	10279	494	247	247	2001	0.39859795570373535	1.260882019996643	0.02006729133427143	True	log1p_deposited_normalized
GSE127465	p4	4956	71	71	0	2589	0.0	0.35640570521354675		False	log1p_deposited_normalized
GSE127465	p5	4576	222	222	0	883	0.0	0.5554450750350952		False	log1p_deposited_normalized
GSE127465	p6	5672	25	25	0	1714	0.0	0.14169640839099884		False	log1p_deposited_normalized
GSE127465	p7	6097	319	319	0	602	0.0	0.2660546898841858		False	log1p_deposited_normalized
