contrast,definition,set,n_set_nominal,n_scored,score
naive_KO_vs_WT,mean_logFC_cpm_gt_1,chemokine_inflammatory,8,1,1.63180736
naive_KO_vs_WT,mean_logFC_cpm_gt_1,chemokine_other,20,10,0.137545336
naive_KO_vs_WT,mean_logFC_cpm_gt_1,mhc_haplotype_safe,15,15,0.35782762
naive_KO_vs_WT,mean_logFC_cpm_gt_1,mhc_haplotype_safe_no_chaperone,12,12,0.370679115
naive_KO_vs_WT,mean_logFC_cpm_gt_1,mhc_heavy_chain_H2K1_H2D1,2,2,0.141836138
naive_KO_vs_WT,mean_logFC_cpm_gt_1,mhc_haplotype_risk,12,11,1.81389021
naive_KO_vs_WT,mean_logFC_cpm_gt_1,injury_mediator,4,2,-1.0677163
naive_KO_vs_WT,frac_up_detected,ifn_core,64,60,0.816666667
naive_KO_vs_WT,frac_up_detected,chemokine_ifn,4,3,1
naive_KO_vs_WT,frac_up_detected,chemokine_inflammatory,8,3,1
naive_KO_vs_WT,frac_up_detected,chemokine_other,20,16,0.5
naive_KO_vs_WT,frac_up_detected,mhc_haplotype_safe,15,15,0.933333333
naive_KO_vs_WT,frac_up_detected,mhc_haplotype_safe_no_chaperone,12,12,0.916666667
naive_KO_vs_WT,frac_up_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0.5
naive_KO_vs_WT,frac_up_detected,mhc_haplotype_risk,12,11,0.909090909
naive_KO_vs_WT,frac_up_detected,injury_mediator,4,3,0.666666667
naive_KO_vs_WT,frac_fdr_up_detected,ifn_core,64,60,0.0833333333
naive_KO_vs_WT,frac_fdr_up_detected,chemokine_ifn,4,3,0.333333333
naive_KO_vs_WT,frac_fdr_up_detected,chemokine_inflammatory,8,3,0.666666667
naive_KO_vs_WT,frac_fdr_up_detected,chemokine_other,20,16,0.1875
naive_KO_vs_WT,frac_fdr_up_detected,mhc_haplotype_safe,15,15,0.2
naive_KO_vs_WT,frac_fdr_up_detected,mhc_haplotype_safe_no_chaperone,12,12,0.166666667
naive_KO_vs_WT,frac_fdr_up_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0
naive_KO_vs_WT,frac_fdr_up_detected,mhc_haplotype_risk,12,11,0.727272727
naive_KO_vs_WT,frac_fdr_up_detected,injury_mediator,4,3,0
naive_KO_vs_WT,mean_signed_neglog10P_detected,ifn_core,64,60,0.69788112
naive_KO_vs_WT,mean_signed_neglog10P_detected,chemokine_ifn,4,3,3.31275239
naive_KO_vs_WT,mean_signed_neglog10P_detected,chemokine_inflammatory,8,3,2.11172449
naive_KO_vs_WT,mean_signed_neglog10P_detected,chemokine_other,20,16,0.975596339
naive_KO_vs_WT,mean_signed_neglog10P_detected,mhc_haplotype_safe,15,15,1.52175892
naive_KO_vs_WT,mean_signed_neglog10P_detected,mhc_haplotype_safe_no_chaperone,12,12,1.40266008
naive_KO_vs_WT,mean_signed_neglog10P_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0.517275894
naive_KO_vs_WT,mean_signed_neglog10P_detected,mhc_haplotype_risk,12,11,6.17781709
naive_KO_vs_WT,mean_signed_neglog10P_detected,injury_mediator,4,3,-2.21147559
naive_KO_vs_WT,mean_rank_pct_detected,ifn_core,64,60,68.4966185
naive_KO_vs_WT,mean_rank_pct_detected,chemokine_ifn,4,3,98.9755111
naive_KO_vs_WT,mean_rank_pct_detected,chemokine_inflammatory,8,3,93.8052004
naive_KO_vs_WT,mean_rank_pct_detected,chemokine_other,20,16,54.8284927
naive_KO_vs_WT,mean_rank_pct_detected,mhc_haplotype_safe,15,15,80.3054166
naive_KO_vs_WT,mean_rank_pct_detected,mhc_haplotype_safe_no_chaperone,12,12,80.3903403
naive_KO_vs_WT,mean_rank_pct_detected,mhc_heavy_chain_H2K1_H2D1,2,2,58.7525477
naive_KO_vs_WT,mean_rank_pct_detected,mhc_haplotype_risk,12,11,85.1580002
naive_KO_vs_WT,mean_rank_pct_detected,injury_mediator,4,3,47.5202273
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,ifn_core,64,60,0.215411522
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,chemokine_ifn,4,3,2.71217103
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,chemokine_inflammatory,8,0,
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,chemokine_other,20,13,0.322212957
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,mhc_haplotype_safe,15,15,0.35782762
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,mhc_haplotype_safe_no_chaperone,12,12,0.370679115
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,mhc_heavy_chain_H2K1_H2D1,2,2,0.141836138
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,mhc_haplotype_risk,12,11,1.81389021
naive_KO_vs_WT,mean_logFC_detected_not_VILI_up,injury_mediator,4,0,
VILI_WT_vs_naive_WT,mean_logFC_detected,ifn_core,64,60,-0.329681238
VILI_WT_vs_naive_WT,mean_logFC_detected,chemokine_ifn,4,2,1.10555375
VILI_WT_vs_naive_WT,mean_logFC_detected,chemokine_inflammatory,8,6,3.91161582
VILI_WT_vs_naive_WT,mean_logFC_detected,chemokine_other,20,17,0.59796471
VILI_WT_vs_naive_WT,mean_logFC_detected,mhc_haplotype_safe,15,15,-0.30197496
VILI_WT_vs_naive_WT,mean_logFC_detected,mhc_haplotype_safe_no_chaperone,12,12,-0.395470902
VILI_WT_vs_naive_WT,mean_logFC_detected,mhc_heavy_chain_H2K1_H2D1,2,2,-0.644768603
VILI_WT_vs_naive_WT,mean_logFC_detected,mhc_haplotype_risk,12,11,-0.473674902
VILI_WT_vs_naive_WT,mean_logFC_detected,injury_mediator,4,4,2.5733653
VILI_WT_vs_naive_WT,median_logFC_detected,ifn_core,64,60,-0.302567615
VILI_WT_vs_naive_WT,median_logFC_detected,chemokine_ifn,4,2,1.10555375
VILI_WT_vs_naive_WT,median_logFC_detected,chemokine_inflammatory,8,6,3.8398706
VILI_WT_vs_naive_WT,median_logFC_detected,chemokine_other,20,17,0.440791397
VILI_WT_vs_naive_WT,median_logFC_detected,mhc_haplotype_safe,15,15,-0.330775807
VILI_WT_vs_naive_WT,median_logFC_detected,mhc_haplotype_safe_no_chaperone,12,12,-0.360939922
VILI_WT_vs_naive_WT,median_logFC_detected,mhc_heavy_chain_H2K1_H2D1,2,2,-0.644768603
VILI_WT_vs_naive_WT,median_logFC_detected,mhc_haplotype_risk,12,11,-0.498688077
VILI_WT_vs_naive_WT,median_logFC_detected,injury_mediator,4,4,2.45521036
VILI_WT_vs_naive_WT,mean_logFC_all,ifn_core,64,60,-0.329681238
VILI_WT_vs_naive_WT,mean_logFC_all,chemokine_ifn,4,4,0.084159596
VILI_WT_vs_naive_WT,mean_logFC_all,chemokine_inflammatory,8,8,3.27363167
VILI_WT_vs_naive_WT,mean_logFC_all,chemokine_other,20,20,0.273411404
VILI_WT_vs_naive_WT,mean_logFC_all,mhc_haplotype_safe,15,15,-0.30197496
VILI_WT_vs_naive_WT,mean_logFC_all,mhc_haplotype_safe_no_chaperone,12,12,-0.395470902
VILI_WT_vs_naive_WT,mean_logFC_all,mhc_heavy_chain_H2K1_H2D1,2,2,-0.644768603
VILI_WT_vs_naive_WT,mean_logFC_all,mhc_haplotype_risk,12,11,-0.473674902
VILI_WT_vs_naive_WT,mean_logFC_all,injury_mediator,4,4,2.5733653
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,ifn_core,64,59,-0.282779877
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,chemokine_ifn,4,1,0.315804881
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,chemokine_inflammatory,8,5,4.1091861
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,chemokine_other,20,12,0.272259606
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,mhc_haplotype_safe,15,15,-0.30197496
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,mhc_haplotype_safe_no_chaperone,12,12,-0.395470902
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,mhc_heavy_chain_H2K1_H2D1,2,2,-0.644768603
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,mhc_haplotype_risk,12,9,-0.546057986
VILI_WT_vs_naive_WT,mean_logFC_cpm_gt_1,injury_mediator,4,4,2.5733653
VILI_WT_vs_naive_WT,frac_up_detected,ifn_core,64,60,0.266666667
VILI_WT_vs_naive_WT,frac_up_detected,chemokine_ifn,4,2,1
VILI_WT_vs_naive_WT,frac_up_detected,chemokine_inflammatory,8,6,1
VILI_WT_vs_naive_WT,frac_up_detected,chemokine_other,20,17,0.647058824
VILI_WT_vs_naive_WT,frac_up_detected,mhc_haplotype_safe,15,15,0.2
VILI_WT_vs_naive_WT,frac_up_detected,mhc_haplotype_safe_no_chaperone,12,12,0.0833333333
VILI_WT_vs_naive_WT,frac_up_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0
VILI_WT_vs_naive_WT,frac_up_detected,mhc_haplotype_risk,12,11,0.181818182
VILI_WT_vs_naive_WT,frac_up_detected,injury_mediator,4,4,1
VILI_WT_vs_naive_WT,frac_fdr_up_detected,ifn_core,64,60,0
VILI_WT_vs_naive_WT,frac_fdr_up_detected,chemokine_ifn,4,2,0
VILI_WT_vs_naive_WT,frac_fdr_up_detected,chemokine_inflammatory,8,6,1
VILI_WT_vs_naive_WT,frac_fdr_up_detected,chemokine_other,20,17,0.176470588
VILI_WT_vs_naive_WT,frac_fdr_up_detected,mhc_haplotype_safe,15,15,0
VILI_WT_vs_naive_WT,frac_fdr_up_detected,mhc_haplotype_safe_no_chaperone,12,12,0
VILI_WT_vs_naive_WT,frac_fdr_up_detected,mhc_heavy_chain_H2K1_H2D1,2,2,0
VILI_WT_vs_naive_WT,frac_fdr_up_detected,mhc_haplotype_risk,12,11,0
VILI_WT_vs_naive_WT,frac_fdr_up_detected,injury_mediator,4,4,1
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,ifn_core,64,60,-1.39652694
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,chemokine_ifn,4,2,1.3790746
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,chemokine_inflammatory,8,6,9.029272
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,chemokine_other,20,17,0.801914403
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,mhc_haplotype_safe,15,15,-1.6971486
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,mhc_haplotype_safe_no_chaperone,12,12,-2.19895478
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,mhc_heavy_chain_H2K1_H2D1,2,2,-5.63947752
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,mhc_haplotype_risk,12,11,-2.84968272
VILI_WT_vs_naive_WT,mean_signed_neglog10P_detected,injury_mediator,4,4,7.80575082
VILI_WT_vs_naive_WT,mean_rank_pct_detected,ifn_core,64,60,31.8786286
VILI_WT_vs_naive_WT,mean_rank_pct_detected,chemokine_ifn,4,2,88.274736
VILI_WT_vs_naive_WT,mean_rank_pct_detected,chemokine_inflammatory,8,6,99.3480174
VILI_WT_vs_naive_WT,mean_rank_pct_detected,chemokine_other,20,17,65.9504463
VILI_WT_vs_naive_WT,mean_rank_pct_detected,mhc_haplotype_safe,15,15,29.3077945
VILI_WT_vs_naive_WT,mean_rank_pct_detected,mhc_haplotype_safe_no_chaperone,12,12,21.669253
VILI_WT_vs_naive_WT,mean_rank_pct_detected,mhc_heavy_chain_H2K1_H2D1,2,2,10.2441171
VILI_WT_vs_naive_WT,mean_rank_pct_detected,mhc_haplotype_risk,12,11,24.1325147
VILI_WT_vs_naive_WT,mean_rank_pct_detected,injury_mediator,4,4,96.0440986
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,ifn_core,64,60,-0.329681238
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,chemokine_ifn,4,2,1.10555375
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,chemokine_inflammatory,8,0,
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,chemokine_other,20,14,0.444410844
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,mhc_haplotype_safe,15,15,-0.30197496
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,mhc_haplotype_safe_no_chaperone,12,12,-0.395470902
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,mhc_heavy_chain_H2K1_H2D1,2,2,-0.644768603
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,mhc_haplotype_risk,12,11,-0.473674902
VILI_WT_vs_naive_WT,mean_logFC_detected_not_VILI_up,injury_mediator,4,0,
