set,gene,in_baseline_table,logFC_baseline,logCPM_baseline,FDR_baseline,logFC_VILI_WT,logCPM_VILI_WT,FDR_VILI_WT,VILI_FDR_up
chemokine_other,Ccl1,yes,0,-2.07129811,1,0,-1.67430743,1,no
chemokine_other,Ccl6,yes,-0.253661898,7.39630744,0.798656866,-0.066292158,7.49999412,1,no
chemokine_other,Ccl8,yes,1.96219797,0.354966643,0.044369433,1.53841991,0.133047497,0.303662295,no
chemokine_other,Ccl9,yes,0.292368297,3.43649653,0.853459776,1.04430615,3.92560542,0.000919047,yes
chemokine_other,Ccl11,yes,-0.320432299,1.78668288,1,1.27919017,2.70073201,0.001093587,yes
chemokine_other,Ccl12,yes,0.788495895,-0.164407516,0.997100603,0.633872101,0.026132293,1,no
chemokine_other,Ccl17,yes,0.4398206,0.994791079,1,1.62015193,1.81754567,0.003237533,yes
chemokine_other,Ccl19,yes,-0.189477799,0.176629402,1,-1.527247,-0.089344924,0.455945726,no
chemokine_other,Ccl20,yes,2.22650853,0.354966643,0.026807208,2.49569516,0.940402419,0.214054726,no
chemokine_other,Ccl22,yes,-0.112110366,2.26855189,1,0.798221283,2.80142601,0.274632714,no
chemokine_other,Ccl24,yes,0.770518154,-0.823370598,1,2.40808474,0.133047497,0.053633927,no
chemokine_other,Ccl25,yes,-0.896495424,0.683589391,0.563201726,-0.190521906,1.05361303,1,no
chemokine_other,Ccl27a,yes,-0.31748219,0.388133507,1,-0.177787119,0.64762067,1,no
chemokine_other,Cxcl12,yes,0.28953422,8.88053298,0.445290422,-0.807041542,8.39547797,1.10067e-06,no
chemokine_other,Cxcl13,yes,-0.047112596,1.9510697,1,-1.11189288,1.66554258,0.28754177,no
chemokine_other,Cxcl14,yes,0.472617547,6.76396281,0.669082321,0.38086792,6.74723148,0.05846926,no
chemokine_other,Cxcl16,yes,0.232555801,6.49332775,0.823466442,0.342585346,6.58602409,0.172977615,no
chemokine_other,Cxcl17,yes,-0.14856118,4.27077656,1,0.440791397,4.60414203,0.250010387,no
chemokine_other,Cx3cl1,yes,0.970255834,6.70431217,8.46758e-07,-0.463250439,5.94957407,0.184682338,no
chemokine_other,Xcl1,yes,-3.70043972,-1.61186649,0.896621925,-3.169925,-1.35237933,1,no
mhc_haplotype_safe,B2m,yes,0.655249264,9.73293377,0.033588316,-0.589623878,9.08589273,0.000312847,no
mhc_haplotype_safe,Tap1,yes,0.183633493,6.19431693,1,-0.581507429,5.86291098,0.002097048,no
mhc_haplotype_safe,Tap2,yes,-0.008632457,6.63864727,1,-0.330775807,6.51675179,0.135363914,no
mhc_haplotype_safe,Tapbp,yes,0.104827622,8.10549837,1,-0.186009106,7.98858343,0.55769862,no
mhc_haplotype_safe,Tapbpl,yes,0.308019115,5.49094431,0.415510452,-0.179354702,5.25347054,0.735834549,no
mhc_haplotype_safe,Psmb8,yes,0.431991771,6.01947594,0.290707433,-0.797374331,5.46524393,2.52526e-05,no
mhc_haplotype_safe,Psmb9,yes,0.901806032,5.0068527,0.037343278,-0.38973005,4.33131712,0.410078106,no
mhc_haplotype_safe,Psmb10,yes,0.367612833,5.54525073,0.203986117,-0.557207625,5.1119622,0.044995885,no
mhc_haplotype_safe,Psme1,yes,0.199192675,6.26743827,0.782806359,-0.131874434,6.12416438,0.846746357,no
mhc_haplotype_safe,Psme2,yes,0.239154212,4.87560816,0.702189081,-0.332149794,4.61801421,0.425260767,no
mhc_haplotype_safe,Nlrc5,yes,0.747974933,4.59403781,0.092615153,-0.789065623,3.86096795,0.008088303,no
mhc_haplotype_safe,Erap1,yes,0.317319893,6.33756233,0.32953187,0.119021961,6.25347054,0.926539799,no
mhc_haplotype_safe,Calr,yes,0.604899092,8.8776166,0.001407387,0.195706009,8.66010554,0.51058945,no
mhc_haplotype_safe,Canx,yes,0.119122045,8.84588747,1,-0.00453579,8.8097602,1,no
mhc_haplotype_safe,Pdia3,yes,0.195243782,8.71190478,0.749684047,0.024856196,8.62875979,1,no
mhc_haplotype_safe_no_chaperone,B2m,yes,0.655249264,9.73293377,0.033588316,-0.589623878,9.08589273,0.000312847,no
mhc_haplotype_safe_no_chaperone,Tap1,yes,0.183633493,6.19431693,1,-0.581507429,5.86291098,0.002097048,no
mhc_haplotype_safe_no_chaperone,Tap2,yes,-0.008632457,6.63864727,1,-0.330775807,6.51675179,0.135363914,no
mhc_haplotype_safe_no_chaperone,Tapbp,yes,0.104827622,8.10549837,1,-0.186009106,7.98858343,0.55769862,no
mhc_haplotype_safe_no_chaperone,Tapbpl,yes,0.308019115,5.49094431,0.415510452,-0.179354702,5.25347054,0.735834549,no
mhc_haplotype_safe_no_chaperone,Psmb8,yes,0.431991771,6.01947594,0.290707433,-0.797374331,5.46524393,2.52526e-05,no
mhc_haplotype_safe_no_chaperone,Psmb9,yes,0.901806032,5.0068527,0.037343278,-0.38973005,4.33131712,0.410078106,no
mhc_haplotype_safe_no_chaperone,Psmb10,yes,0.367612833,5.54525073,0.203986117,-0.557207625,5.1119622,0.044995885,no
mhc_haplotype_safe_no_chaperone,Psme1,yes,0.199192675,6.26743827,0.782806359,-0.131874434,6.12416438,0.846746357,no
mhc_haplotype_safe_no_chaperone,Psme2,yes,0.239154212,4.87560816,0.702189081,-0.332149794,4.61801421,0.425260767,no
mhc_haplotype_safe_no_chaperone,Nlrc5,yes,0.747974933,4.59403781,0.092615153,-0.789065623,3.86096795,0.008088303,no
mhc_haplotype_safe_no_chaperone,Erap1,yes,0.317319893,6.33756233,0.32953187,0.119021961,6.25347054,0.926539799,no
mhc_heavy_chain_H2K1_H2D1,H2-K1,yes,-0.070918061,9.65523938,1,-0.727376975,9.3274526,4.47324e-06,no
mhc_heavy_chain_H2K1_H2D1,H2-D1,yes,0.354590336,9.93629862,0.48248859,-0.562160232,9.48011515,0.00166113,no
mhc_haplotype_risk,H2-K2,yes,4.26166757,6.60906141,1.37159e-65,-0.335671596,3.18367357,0.652679426,no
mhc_haplotype_risk,H2-Q1,yes,1.07055114,6.46446327,2.3581e-05,-0.498688077,5.62260878,0.026759499,no
mhc_haplotype_risk,H2-Q2,yes,1.32851275,4.84607397,8.62382e-07,-0.316310285,3.90689316,0.543457189,no
mhc_haplotype_risk,H2-Q4,no,,,,,,,no
mhc_haplotype_risk,H2-Q6,yes,0.267680314,6.79636674,0.866589065,-1.0285472,6.26674018,3.5947e-08,no
mhc_haplotype_risk,H2-Q7,yes,-0.55255535,6.39528823,0.46271405,-1.31099591,6.16253193,9.15118e-14,no
mhc_haplotype_risk,H2-Q8,yes,0.085078576,5.06697369,1,-0.709001088,4.73508351,0.009026507,no
mhc_haplotype_risk,H2-Q10,yes,2.17320894,6.04764296,7.92692e-23,0.138247921,4.68104367,1,no
mhc_haplotype_risk,H2-T23,yes,1.04526203,7.3599383,0.000365257,-0.524875923,6.53270689,0.003635833,no
mhc_haplotype_risk,H2-M2,yes,5.18182792,4.00284335,3.4418e-54,0.316027493,0.454975592,1,no
mhc_haplotype_risk,H2-M3,yes,1.19062939,4.23248264,8.01722e-06,-0.328679711,3.41315542,0.714073308,no
mhc_haplotype_risk,H2-Bl,yes,3.90092904,3.55075371,9.57989e-25,-0.611929548,0.68324458,0.843593986,no
injury_mediator,Tnf,yes,0.244418728,0.354966643,1,3.27098653,2.43421703,3.32989e-10,yes
injury_mediator,Il1b,yes,0.005943139,3.87414572,1,1.63943419,4.92188233,1.6189e-07,yes
injury_mediator,Il6,yes,-0.956931278,-0.749370016,1,4.65179401,2.94774439,3.74735e-21,yes
injury_mediator,Egr1,yes,-2.14137574,7.8682811,3.28028e-05,0.731246486,8.99013986,0.035579283,yes
