gene,module,in_table,entrez,logFC_baseline,logCPM_baseline,P_baseline,FDR_baseline,logFC_VILI_WT,FDR_VILI_WT,logCPM_vili,logFC_KOhigh,FDR_KOhigh,logFC_KOlow,FDR_KOlow,class,low_abundance_baseline
Irgm1,IFN_ISG,yes,15944,0.4589508,5.73363956,0.026111716,0.290345693,-0.810667656,7.94323e-05,5.14905982,0.085985427,1,-0.010332685,1,not_hit,no
Irgm2,IFN_ISG,yes,54396,1.22132726,6.26576623,1.91286e-05,0.001650176,-1.18320916,6.6158e-07,5.07723663,0.342209126,0.997543901,0,1,baseline_only,no
Igtp,IFN_ISG,yes,16145,1.384195,5.4649491,1.26613e-05,0.001203638,-0.875808757,0.004480146,4.27113641,0.679856315,0.447653717,0.224925688,1,baseline_only,no
Tgtp1,IFN_ISG,no,,,,,,,,,,,,,absent,
Tgtp2,IFN_ISG,yes,100039796,1.15342896,6.39018134,0.000637259,0.02585365,-1.51665027,2.64997e-11,5.15858259,0.78500559,0.253652098,0.900136106,0.009798676,baseline_only,no
Iigp1,IFN_ISG,yes,60440,0.898523462,5.2950241,0.00259239,0.067225597,-1.206056,1.23679e-07,4.32287206,-0.224014338,1,-0.376513233,1,not_hit,no
Gbp2b,IFN_ISG,yes,14468,0.376903161,6.12591858,0.051656877,0.419772566,-1.28129251,2.43479e-13,5.44593045,0.230663683,1,0.110163787,1,not_hit,no
Ccl1,chemokine,yes,20290,0,-2.07129811,1,1,0,1,-1.67430743,2.3219281,1,0,1,not_hit,yes
Ccl2,chemokine,yes,20296,0.313157885,-0.370858393,0.824293302,1,3.81669279,6.26668e-16,2.37008669,3.00052875,3.55069e-24,0.473476725,1,injury_only,yes
Ccl3,chemokine,yes,20302,0.356934545,0.250629984,0.62486997,1,3.86304842,8.26749e-22,2.95504919,2.3219281,3.30042e-17,0.497195518,1,injury_only,yes
Ccl4,chemokine,yes,20303,2.51245,0.09862689,0.001554777,0.047463331,2.92376441,0.001647931,0.785124194,2.7577574,4.54562e-09,0.742667954,1,injury_shared,yes
Ccl5,chemokine,yes,20304,2.71031088,4.95522533,1.18618e-05,0.001144781,0.315804881,0.722280956,3.26820708,0.101283336,1,-0.603405106,0.915882579,baseline_only,no
Ccl6,chemokine,yes,20305,-0.253661898,7.39630744,0.190807929,0.798656866,-0.066292158,1,7.49999412,-0.036400654,1,0.140011395,1,not_hit,no
Ccl7,chemokine,yes,20306,0.965234582,-0.547736155,0.32563735,0.978474971,4.55999559,2.56671e-16,2.1330475,2.58745636,7.50531e-12,0.471232039,1,injury_only,yes
Ccl8,chemokine,yes,20307,1.96219797,0.354966643,0.001404974,0.044369433,1.53841991,0.303662295,0.133047497,0.122856748,1,0.11321061,1,baseline_only,yes
Ccl9,chemokine,yes,20308,0.292368297,3.43649653,0.224011073,0.853459776,1.04430615,0.000919047,3.92560542,0.991398282,0.023409245,0.566498438,0.452963107,injury_only,no
Ccl11,chemokine,yes,20292,-0.320432299,1.78668288,0.380935621,1,1.27919017,0.001093587,2.70073201,1.13346236,0.223624409,0.882710041,0.074719219,injury_only,no
Ccl12,chemokine,yes,20293,0.788495895,-0.164407516,0.339211742,0.997100603,0.633872101,1,0.026132293,1.93009799,0.063038528,0.750972452,1,not_hit,yes
Ccl17,chemokine,yes,20295,0.4398206,0.994791079,0.35474605,1,1.62015193,0.003237533,1.81754567,1.59038617,0.029307315,-0.261540159,1,injury_only,yes
Ccl19,chemokine,yes,24047,-0.189477799,0.176629402,0.867227024,1,-1.527247,0.455945726,-0.089344924,0.556393349,1,1.40439026,1,not_hit,yes
Ccl20,chemokine,yes,20297,2.22650853,0.354966643,0.000668173,0.026807208,2.49569516,0.214054726,0.940402419,-1.80023049,0.969693061,-3.06774461,0.593467041,baseline_only,yes
Ccl22,chemokine,yes,20299,-0.112110366,2.26855189,0.799938745,1,0.798221283,0.274632714,2.80142601,1.99653891,0.00068075,0.21243266,1,not_hit,no
Ccl24,chemokine,yes,56221,0.770518154,-0.823370598,0.564890608,1,2.40808474,0.053633927,0.133047497,2.08586074,0.027911522,0.097847323,1,not_hit,yes
Ccl25,chemokine,yes,20300,-0.896495424,0.683589391,0.090851853,0.563201726,-0.190521906,1,1.05361303,0.244418728,1,-0.189477799,1,not_hit,yes
Ccl27a,chemokine,yes,20301,-0.31748219,0.388133507,0.649014435,1,-0.177787119,1,0.64762067,-0.447458977,1,-0.756728849,1,not_hit,yes
Cxcl1,chemokine,yes,14825,1.63180736,1.72311776,0.000475739,0.021288622,3.20897191,1.39554e-14,3.07388542,2.61401249,1.58269e-13,0.922958964,0.034036089,injury_shared,no
Cxcl2,chemokine,yes,20310,2.63941028,-0.117101801,0.001101301,0.037438062,5.09722181,2.76315e-18,2.25642991,2.99154834,5.38179e-18,1.49991212,0.009798676,injury_shared_low_baseline_cpm,yes
Cxcl3,chemokine,yes,330122,1.65711229,-0.678980688,0.107098703,0.613044584,2.02748074,0.377004732,-0.089344924,3.02416631,2.24631e-05,0.847996907,1,not_hit,yes
Cxcl5,chemokine,yes,20311,2.1324503,-0.427441921,0.021042553,0.255110874,0.691877705,1,-0.674307425,2.14684139,0.219458777,2.42786154,0.03459802,not_hit,yes
Cxcl9,chemokine,yes,17329,2.88330377,1.33809282,0.002282902,0.06232753,-1.87446912,0.492103358,-0.504382423,2.72246602,0.645266237,0.530514717,1,not_hit,no
Cxcl10,chemokine,yes,15945,2.54289844,0.761591903,0.004257013,0.093900892,1.89530262,0.06885942,0.535145941,1.07138463,0.5516354,-0.725140159,1,not_hit,yes
Cxcl11,chemokine,yes,56066,5.04439412,-1.07129811,0.010305774,0.167807069,0,1,-1.67430743,3.169925,1,0,1,not_hit,yes
Cxcl12,chemokine,yes,20315,0.28953422,8.88053298,0.057751373,0.445290422,-0.807041542,1.10067e-06,8.39547797,0.087190205,1,-0.10828755,1,not_hit,no
Cxcl13,chemokine,yes,55985,-0.047112596,1.9510697,0.965588758,1,-1.11189288,0.28754177,1.66554258,1.94132409,0.004798099,1.46122713,0.094623198,not_hit,no
Cxcl14,chemokine,yes,57266,0.472617547,6.76396281,0.12836023,0.669082321,0.38086792,0.05846926,6.74723148,0.201595929,1,0.440345833,1,not_hit,no
Cxcl16,chemokine,yes,66102,0.232555801,6.49332775,0.204605138,0.823466442,0.342585346,0.172977615,6.58602409,0.33080018,0.845141156,0.163878371,1,not_hit,no
Cxcl17,chemokine,yes,232983,-0.14856118,4.27077656,0.47554335,1,0.440791397,0.250010387,4.60414203,0.739662221,0.196518608,0.004734032,1,not_hit,no
Cx3cl1,chemokine,yes,20312,0.970255834,6.70431217,2.96492e-09,8.46758e-07,-0.463250439,0.184682338,5.94957407,0.434332823,0.792034828,0.232413295,1,baseline_only,no
Xcl1,chemokine,yes,16963,-3.70043972,-1.61186649,0.265038147,0.896621925,-3.169925,1,-1.35237933,0,1,2.3219281,1,not_hit,yes
B2m,MHC_I_classical,yes,12010,0.655249264,9.73293377,0.000930043,0.033588316,-0.589623878,0.000312847,9.08589273,0.314736017,0.904672256,0.117873459,1,baseline_only,no
H2-K1,MHC_I_classical,yes,14972,-0.070918061,9.65523938,0.724031147,1,-0.727376975,4.47324e-06,9.3274526,0.08004717,1,-0.192842004,1,not_hit,no
H2-D1,MHC_I_classical,yes,14964,0.354590336,9.93629862,0.066866018,0.48248859,-0.562160232,0.00166113,9.48011515,0.26127267,0.994782963,0.038504585,1,not_hit,no
Tap1,MHC_I_classical,yes,21354,0.183633493,6.19431693,0.441394482,1,-0.581507429,0.002097048,5.86291098,0.006282841,1,-0.442483089,0.774915713,not_hit,no
Tap2,MHC_I_classical,yes,21355,-0.008632457,6.63864727,0.962929036,1,-0.330775807,0.135363914,6.51675179,-0.105665781,1,-0.272173438,1,not_hit,no
Tapbp,MHC_I_classical,yes,21356,0.104827622,8.10549837,0.471505925,1,-0.186009106,0.55769862,7.98858343,0.229426821,1,-0.003006399,1,not_hit,no
Psmb8,MHC_I_classical,yes,16913,0.431991771,6.01947594,0.026174502,0.290707433,-0.797374331,2.52526e-05,5.46524393,0.442213088,0.677576656,-0.057674291,1,not_hit,no
Psmb9,MHC_I_classical,yes,16912,0.901806032,5.0068527,0.001094233,0.037343278,-0.38973005,0.410078106,4.33131712,0.135683598,1,-0.055878992,1,baseline_only,no
Psmb10,MHC_I_classical,yes,19171,0.367612833,5.54525073,0.014323027,0.203986117,-0.557207625,0.044995885,5.1119622,0.344158868,1,0.064488726,1,not_hit,no
Nlrc5,MHC_I_classical,yes,434341,0.747974933,4.59403781,0.004173122,0.092615153,-0.789065623,0.008088303,3.86096795,0.726434927,0.584386121,0.115220898,1,not_hit,no
Ciita,MHC_II,yes,12265,0.279209397,5.16949322,0.160922533,0.74150462,-0.885923166,0.000455661,4.66776724,0.025648587,1,-0.735702288,0.32651514,not_hit,no
Cd74,MHC_II,yes,16149,0.486238793,10.098666,0.003721585,0.085505885,0.237386314,0.345003609,9.93001414,0.246452903,1,0.005988481,1,not_hit,no
H2-Aa,MHC_II,yes,14960,-0.19803064,8.47631944,0.251045547,0.887883916,0.105611911,0.984618914,8.6462111,-0.136652412,1,-0.400239085,0.779216603,not_hit,no
H2-Ab1,MHC_II,yes,14961,0.363992743,8.16740517,0.07374467,0.503129002,0.165844761,0.71104305,8.08994218,0.067476873,1,-0.229038779,1,not_hit,no
H2-Eb1,MHC_II,yes,14969,0.212679513,8.01649619,0.240161669,0.873004359,0.052446685,1,7.95482148,0.210695961,1,-0.217299621,1,not_hit,no
H2-Ea,MHC_II,no,,,,,,,,,,,,,absent,
H2-DMb1,MHC_II,yes,14999,0.258243142,5.08225392,0.135833513,0.683571603,0.310752168,0.311895062,5.12820894,0.172359752,1,-0.287098111,1,not_hit,no
H2-DMa,MHC_II,yes,14998,0.354197551,5.4532436,0.047759448,0.407067214,0.128386201,0.925238196,5.35083214,0.414821381,0.85520952,-0.064781799,1,not_hit,no
H2-Oa,MHC_II,yes,15001,-1.40040215,2.19548843,1.01011e-05,0.00101502,0.448627861,0.585894663,2.98390406,-0.230553742,1,-1.51624975,0.022110739,baseline_down,no
H2-Ob,MHC_II,yes,15002,-2.28777987,4.50234908,6.81287e-26,1.05624e-22,-0.210276734,0.729422263,5.14107587,-1.09822874,0.006682005,-2.42539141,7.91214e-16,baseline_down,no
H2-DMb2,MHC_II,yes,15000,0.23309231,4.30591242,0.310633602,0.960305133,0.09105198,1,4.24157195,0.686212294,0.492868762,0.027448058,1,not_hit,no
H2-K2,MHC_haplotype_risk,yes,630499,4.26166757,6.60906141,1.89577e-69,1.37159e-65,-0.335671596,0.652679426,3.18367357,3.74400783,2.14546e-30,3.32511035,8.57066e-26,haplotype_risk_excluded,no
H2-Q1,MHC_haplotype_risk,yes,15006,1.07055114,6.46446327,1.22767e-07,2.3581e-05,-0.498688077,0.026759499,5.62260878,0.79870402,0.022734707,0.679353118,0.032274223,haplotype_risk_excluded,no
H2-Q2,MHC_haplotype_risk,yes,15013,1.32851275,4.84607397,3.05936e-09,8.62382e-07,-0.316310285,0.543457189,3.90689316,0.986770916,0.028340672,0.861844116,0.03589084,haplotype_risk_excluded,no
H2-Q4,MHC_haplotype_risk,no,,,,,,,,,,,,,absent,
H2-Q6,MHC_haplotype_risk,yes,110557,0.267680314,6.79636674,0.236959507,0.866589065,-1.0285472,3.5947e-08,6.26674018,0.601925741,0.439158785,0.152191177,1,haplotype_risk_excluded,no
H2-Q7,MHC_haplotype_risk,yes,15018,-0.55255535,6.39528823,0.061800284,0.46271405,-1.31099591,9.15118e-14,6.16253193,0.190743188,1,-0.564343884,1,haplotype_risk_excluded,no
H2-Q8,MHC_haplotype_risk,yes,15019,0.085078576,5.06697369,0.721827387,1,-0.709001088,0.009026507,4.73508351,0.579263895,0.655035248,-0.182998056,1,haplotype_risk_excluded,no
H2-Q10,MHC_haplotype_risk,yes,15007,2.17320894,6.04764296,4.38254e-26,7.92692e-23,0.138247921,1,4.68104367,1.40060241,4.0209e-06,1.05270982,0.000408101,haplotype_risk_excluded,no
H2-T23,MHC_haplotype_risk,yes,15040,1.04526203,7.3599383,2.91128e-06,0.000365257,-0.524875923,0.003635833,6.53270689,0.65190485,0.086640831,0.444075506,0.470248483,haplotype_risk_excluded,no
H2-M2,MHC_haplotype_risk,yes,14990,5.18182792,4.00284335,6.34287e-58,3.4418e-54,0.316027493,1,0.454975592,3.65441684,7.25323e-11,3.75379662,1.37604e-11,haplotype_risk_excluded,no
H2-M3,MHC_haplotype_risk,yes,14991,1.19062939,4.23248264,3.65678e-08,8.01722e-06,-0.328679711,0.714073308,3.41315542,0.633495983,0.691684502,0.505837596,1,haplotype_risk_excluded,no
H2-Bl,MHC_haplotype_risk,yes,14963,3.90092904,3.55075371,4.85504e-28,9.57989e-25,-0.611929548,0.843593986,0.68324458,3.18715142,9.77488e-08,3.18410394,8.36561e-09,haplotype_risk_excluded,no
Tnf,injury_mediator,yes,21926,0.244418728,0.354966643,0.762014194,1,3.27098653,3.32989e-10,2.43421703,2.00521771,3.7571e-08,0.598780321,1,injury_only,yes
Il1b,injury_mediator,yes,16176,0.005943139,3.87414572,1,1,1.63943419,1.6189e-07,4.92188233,1.72869107,2.60194e-07,0.675012105,0.604088108,injury_only,no
Il6,injury_mediator,yes,16193,-0.956931278,-0.749370016,0.40784964,1,4.65179401,3.74735e-21,2.94774439,2.23720323,0.000182418,0.758882783,0.345533296,injury_only,yes
Egr1,injury_mediator,yes,13653,-2.14137574,7.8682811,1.76822e-07,3.28028e-05,0.731246486,0.035579283,8.99013986,2.13449252,3.30042e-17,0.542752473,0.798093185,baseline_down_and_injury_up,no
