question,definition,set_a,set_b,contrast,n_perm,seed,n_a,n_b,score_a,score_b,gap,null_mean,null_sd,z,perm_p_greater,status
Q2_ifn_chemokine_minus_inflam,mean_signed_neglog10P_detected,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,3,3.31275239,2.11172449,1.20102789,0.01487111,1.09551909,1.08273492,0.104895105,ok
Q3_mhc_safe_minus_heavy_chain,mean_signed_neglog10P_detected,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,1.52175892,0.517275894,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,mean_signed_neglog10P_detected,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,1.40266008,0.517275894,,,,,,n_below_3
Q1_ifn_core_minus_inflam,mean_rank_pct_detected,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,3,68.4966185,93.8052004,-25.3085819,0.0902749213,17.2399149,-1.47325883,0.92007992,ok
Q2_ifn_chemokine_minus_inflam,mean_rank_pct_detected,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,3,98.9755111,93.8052004,5.17031067,-0.38124421,23.2630765,0.238642334,0.422577423,ok
Q3_mhc_safe_minus_heavy_chain,mean_rank_pct_detected,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,80.3054166,58.7525477,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,mean_rank_pct_detected,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,80.3903403,58.7525477,,,,,,n_below_3
Q1_ifn_core_minus_inflam,mean_logFC_detected_not_VILI_up,ifn_core,chemokine_inflammatory,naive_KO_vs_WT,1000,42,60,0,0.215411522,,,,,,,n_below_3
Q2_ifn_chemokine_minus_inflam,mean_logFC_detected_not_VILI_up,chemokine_ifn,chemokine_inflammatory,naive_KO_vs_WT,1000,42,3,0,2.71217103,,,,,,,n_below_3
Q3_mhc_safe_minus_heavy_chain,mean_logFC_detected_not_VILI_up,mhc_haplotype_safe,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,15,2,0.35782762,0.141836138,,,,,,n_below_3
Q4_mhc_safe_no_chaperone_minus_heavy,mean_logFC_detected_not_VILI_up,mhc_haplotype_safe_no_chaperone,mhc_heavy_chain_H2K1_H2D1,naive_KO_vs_WT,1000,42,12,2,0.370679115,0.141836138,,,,,,n_below_3
