gene	matched_symbol	log2FoldChange	stat	pvalue	padj	contrast_id	organism	tier	in_primary_meta
RSAD2	RSAD2	1.1025995751424291	0.5876746942727941	0.5567506643179392		GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IFI27	IFI27	0.5948051104134708	0.7147236468364788	0.4747798230029902		GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
STAT1	STAT1	0.704492675449109	7.857416140510069	3.921383675922953e-15	9.97782198483481e-14	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
STAT2	STAT2	1.0580659614622752	10.042728762850787	9.889968460064372e-24	5.976610250435452e-22	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IRF1	IRF1	0.2055531880910845	1.0495150674899458	0.29394112416161	0.4548625342986503	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IRF3	IRF3	0.5863625907975796	4.334313287223358	1.4621582542592657e-05	9.583664667935906e-05	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IRF7	IRF7	1.7405980604886149	5.636197481859005	1.7384601162212413e-08	1.9297870807143158e-07	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IFNB1						GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IFNL1						GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
CGAS						GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
STING1	STING1	-0.0261986393171839	-0.1152332268979256	0.9082602628325293	0.9498589351717186	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
TBK1	TBK1	0.0167328068225304	0.1453045686424743	0.8844704077542882	0.9349525082345712	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
DDX58	RIGI	1.7020630269601664	7.446734497672519	9.567889673017032e-14	2.0544074309836715e-12	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
IFIH1	IFIH1	0.8508637646175067	3.975903841155215	7.01124535275617e-05	0.0003952459181569	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
MAVS	MAVS	0.2951993546644857	4.540537359128251	5.611103485043603e-06	3.9671039263898793e-05	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
B2M	B2M	0.6021158264532497	8.125043239835593	4.472029583153462e-16	1.229369701094344e-14	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
TAP1	TAP1	0.3484357648448883	2.6330779528165467	0.0084614924499693	0.0265332418135919	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
TAP2	TAP2	0.0167263354291846	0.1438814539878153	0.8855940808663764	0.9354420291992862	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
TAPBP	TAPBP	0.6708200857756992	8.697362154988745	3.3968799067556466e-18	1.187637314032772e-16	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
PSMB8	PSMB8	0.1533489986541064	0.0916605083769398	0.9269677750033308		GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
PSMB9	PSMB9	0.8527909240656283	1.7994499738871998	0.0719475305254546	0.1561220210442462	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
NLRC5	NLRC5	0.1817144652503795	0.7230706377537073	0.4696364875039481	0.6288342001373568	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
HLA-A	HLA-A	1.1997216689811192	16.097216384725908	2.668422154992521e-58	1.290044090103281e-55	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
HLA-B	HLA-B	0.6387314785422874	6.044577111289029	1.4980239525176294e-09	1.9609986754712573e-08	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
HLA-C	HLA-C	0.6659373258064112	8.946262352103464	3.677224523690794e-19	1.48145654661336e-17	GSE294709_HCT116_Ku80AID_IAA_D2	human	timecourse	False
XRCC5	XRCC5	-0.1292466016086303	-1.615507588905385	0.1062008182482135	0.31036672241427	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
XRCC6	XRCC6	-0.2533633394439231	-3.815802768649544	0.0001357408994597	0.0028175113054858	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
PRKDC	PRKDC	-0.2335366887724338	-3.5869628336560924	0.0003345519864039	0.0056300787793518	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
LIG4	LIG4	0.3232922366925545	1.8571255897072412	0.0632932882904934	0.2259857240497873	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
ISG15	ISG15	0.0752392889362202	0.4507721621379857	0.652153766811033	0.8439059531388129	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IFIT1	IFIT1	0.086634465385773	0.1610969644488346	0.8720170310382975		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IFIT2	IFIT2	0.5581397082060167	0.8806000123619303	0.3785343519080996		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
MX1	MX1	0.8796564306877686	0.8282528917273642	0.4075272954370657		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
OAS1						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
OAS2						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
RSAD2						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IFI27	IFI27	0.5260242738955719	0.5723756793010306	0.5670674888532492		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
STAT1	STAT1	0.205454342131955	2.152299521555169	0.0313737714907983	0.1441014366425092	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
STAT2	STAT2	0.6348073979577075	4.704951901421036	2.539258130036438e-06	0.0001073565035633	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IRF1	IRF1	0.4151443974942993	1.7551889608920803	0.079226991501454	0.2593797665277689	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IRF3	IRF3	0.2423733107659601	2.1101140489333767	0.0348485334710833	0.1539603731424822	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IRF7	IRF7	1.0338357141342471	2.597774624810041	0.009383005634453		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IFNB1						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IFNL1						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
CGAS						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
STING1	STING1	0.2483797419008004	1.0412315137160697	0.2977681131549781	0.5646646792843297	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
TBK1	TBK1	0.113692453204672	0.9391739256091264	0.3476414539230434	0.6156171557809997	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
DDX58	RIGI	0.4492631700858119	1.2364015857645827	0.2163093269759782		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
IFIH1	IFIH1	0.1392907585844722	0.4058544503530203	0.6848495478466374		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
MAVS	MAVS	0.1870784283633111	2.4496652728755306	0.0142989071183922	0.0853631515239201	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
B2M	B2M	0.257166142649719	3.218658207831799	0.0012879190097505	0.0150296069056412	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
TAP1	TAP1	0.0246074817613807	0.1486109718753964	0.8818606148516127	0.9552762249982324	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
TAP2	TAP2	0.0602469741292607	0.5498914367660288	0.582393837987594	0.8008936783777729	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
TAPBP	TAPBP	0.3466451369655043	2.949682085829457	0.0031810106653039	0.0292211095487763	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
PSMB8						GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
PSMB9	PSMB9	0.1460889946965193	0.2780479831143488	0.7809755252018917		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
NLRC5	NLRC5	-0.0747683811309374	-0.2447317131105956	0.8066641710668041		GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
HLA-A	HLA-A	0.2335115122324091	2.730041597715815	0.0063326334416831	0.048176644067834	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
HLA-B	HLA-B	0.1620904010784753	1.4187921423701293	0.1559596241904923	0.3916443951916492	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
HLA-C	HLA-C	0.1041242197358833	1.2917599506798552	0.196440288763482	0.4497288102272705	GSE294709_HCT116_Ku80AID_IAA_24h	human	timecourse	False
XRCC5	XRCC5	-0.1543280285739523	-2.300008949083747	0.0214477130465032	0.1042919837835909	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
XRCC6	XRCC6	-0.4342129221530654	-7.913904805032671	2.4943905696854877e-15	4.442831461457554e-13	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
PRKDC	PRKDC	-0.3660690164931895	-6.70844902488765	1.967038591304024e-11	1.4878087098472831e-09	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
LIG4	LIG4	0.1628785338403946	0.946967104718736	0.3436555415130624	0.6176738517136635	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
ISG15	ISG15	1.1903047480020346	9.482188724272335	2.4900441445329293e-21	1.0999022995230857e-18	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IFIT1	IFIT1	1.388891134813556	4.948886644281748	7.463919851749165e-07	2.0919813939813712e-05	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IFIT2	IFIT2	0.8140554931964957	2.425158414616997	0.0153017080783363	0.081005159304443	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
MX1	MX1	1.264877911433726	1.4420796065526296	0.1492799174362973		GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
OAS1	OAS1	2.282894754720683	2.92141080935724	0.0034845002930426		GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
OAS2						GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
RSAD2						GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IFI27	IFI27	1.7772855500789833	2.39249665459921	0.0167341806498418		GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
STAT1	STAT1	0.6337128126183832	4.104036890396512	4.060026800634931e-05	0.0006701775180779	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
STAT2	STAT2	0.6804105250983353	5.742522579234096	9.327643652138744e-09	3.992448405060781e-07	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IRF1	IRF1	0.0332497629044174	0.1478198769638257	0.882484922120804	0.950704840687114	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IRF3	IRF3	0.1830566497042821	1.5532115491769007	0.1203726030867602	0.3353436899789808	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IRF7	IRF7	1.3822079585141376	3.3458547742982674	0.0008202934640945		GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IFNB1						GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IFNL1						GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
CGAS						GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
STING1	STING1	-0.1378309136880114	-0.6605439490434925	0.5089048248927377	0.7500481196926545	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
TBK1	TBK1	-0.0278113693965671	-0.2140395338449383	0.8305162279411581	0.9299726936883196	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
DDX58	RIGI	1.9066159480765237	9.100490043665102	8.992515825691434e-20	3.4242880090727764e-17	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
IFIH1	IFIH1	0.8142527814471824	3.478980913018917	0.0005033244346628	0.0053547319190578	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
MAVS	MAVS	0.218297593216624	3.37580140726715	0.0007360102483551	0.0073289099842977	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
B2M	B2M	0.1238829465002961	1.95602749567964	0.0504619151751527	0.1897734349865926	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
TAP1	TAP1	0.4973296497833904	3.953779616699933	7.6926269318717e-05	0.0011605147432876	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
TAP2	TAP2	0.1706395637222048	1.5478887797122758	0.1216490765167381	0.3370457809955655	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
TAPBP	TAPBP	0.2827503532439556	2.695600900736812	0.0070261794233451	0.044797978852194	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
PSMB8	PSMB8	-0.7570969337927871	-0.3470417821920318	0.7285599294698364		GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
PSMB9	PSMB9	0.1057252661456766	0.2279689824788316	0.8196703540358539		GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
NLRC5	NLRC5	0.2967852510715628	1.09076687474365	0.2753754757437306	0.5469657500027281	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
HLA-A	HLA-A	0.6657490125974896	10.15173320489989	3.2552999778089773e-24	2.1146045679379137e-21	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
HLA-B	HLA-B	0.4150948777650151	4.599222689077442	4.240702812431669e-06	9.347321588359864e-05	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
HLA-C	HLA-C	0.4850434436023101	7.192566285494868	6.358467998846051e-13	6.624203972760089e-11	GSE294709_HCT116_Ku80AID_CDKi_48h	human	timecourse	False
XRCC5	XRCC5	-0.0060164347774347	-0.0477484228399896	0.9619167422414924	0.9861350591349536	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
XRCC6	XRCC6	-0.4359314547086511	-3.759823189620602	0.000170033486961	0.0031249397603645	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
PRKDC	PRKDC	-0.490511942486962	-4.252352084865198	2.115369343483643e-05	0.0005907396934574	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
LIG4	LIG4	0.2666533820791065	1.2193347171908615	0.2227171768623653	0.4705536127587648	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
ISG15	ISG15	0.2926044989234451	1.7584441935527355	0.0786719591763043	0.2506657172533507	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IFIT1	IFIT1	-0.3067263161380659	-1.2512327992940626	0.210849554928678	0.4564159469186861	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IFIT2	IFIT2	0.1689176470316021	0.4719060180516705	0.636993872320028	0.8174293888990736	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
MX1	MX1	0.2135610768378518	0.4176791650734555	0.6761817074880436	0.8414165141599121	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
OAS1	OAS1	0.5914434719732178	0.8761900633065008	0.3809267175347294		GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
OAS2	OAS2	0.1554447814840665	0.0825132272118681	0.934238600408362		GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
RSAD2	RSAD2	0.3137780428076751	0.2084482560403106	0.8348789808531475		GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IFI27	IFI27	0.1102793098748749	0.1799455974529598	0.8571952778322438		GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
STAT1	STAT1	0.341559522646142	2.598439019525871	0.0093648676986105	0.060851505351698	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
STAT2	STAT2	0.4630822300300455	3.530824706099496	0.0004142661945925	0.0060842551257649	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IRF1	IRF1	0.1022428675828843	0.5557601825027588	0.5783748087089742	0.7803469641311557	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IRF3	IRF3	0.4631394509940536	3.2213028669684083	0.0012760921699016	0.0142955959725392	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IRF7	IRF7	0.8259965419970595	3.3629917538737604	0.0007710266687697	0.009809132549362	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IFNB1						GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IFNL1						GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
CGAS						GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
STING1	STING1	-0.5426141886074395	-2.729513433353901	0.0063427864861395	0.0460554704813119	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
TBK1	TBK1	0.0112158715796596	0.0608588239105745	0.9514716423869772	0.9821686960475028	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
DDX58	RIGI	0.8663539570185419	3.8838777758527567	0.0001028036004873	0.0021509676409665	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
IFIH1	IFIH1	0.1109680232261272	0.4180021821910118	0.6759455217439174	0.8413041506993606	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
MAVS	MAVS	0.31308365149241	2.34437103826371	0.0190592004073343	0.0989863728020492	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
B2M	B2M	0.3145343466866586	2.596837948849185	0.0094086300666703	0.0610192507900414	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
TAP1	TAP1	0.2599698772163155	1.9070979183432384	0.056507908776429	0.2029330761445563	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
TAP2	TAP2	0.4220127273227234	2.927360912867412	0.0034185192581612	0.0296298284873259	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
TAPBP	TAPBP	0.2352842535826562	1.8648180587882424	0.0622069111195464	0.2169823009042913	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
PSMB8	PSMB8	-0.4803822227154296	-0.4579519874907525	0.646986935744954		GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
PSMB9	PSMB9	-0.1296731158389138	-0.3863971541375212	0.6992025574565015	0.8554475334120566	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
NLRC5	NLRC5	0.0549494393821666	0.2455858347087055	0.80600285573631	0.9121776514948672	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
HLA-A	HLA-A	1.1755786139313245	8.454698659586889	2.7980902422690607e-17	1.812096537850439e-14	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
HLA-B	HLA-B	0.4196729585486486	3.2939863892835177	0.0009877728133858	0.0116916538399024	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
HLA-C	HLA-C	0.5263816717428492	4.095091627474586	4.220014568976941e-05	0.0010434945116015	GSE294709_HCT116_Ku80AID_MAVSKO	human	epistasis	False
XRCC5	XRCC5	-3.215375297390817	-37.44055593097406	8.557014732140865e-307	1.1055004802023524e-303	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
XRCC6	XRCC6	-0.5978852298983318	-14.18599660659458	1.118651326409052e-45	5.398778456045986e-44	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
PRKDC	PRKDC	-0.7491724824434616	-18.89163810493743	1.3363391035499147e-79	1.3769211806209091e-77	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
LIG4	LIG4	0.355207597029525	1.9156902454905576	0.0554045347805046	0.1155924424395746	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
ISG15	ISG15	2.088867508117122	34.27160442404879	2.079184823653225e-257	1.9399949507364397e-254	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IFIT1	IFIT1	2.5147203797566	28.97762580519191	1.2595515243390829e-184	5.7173426625067285e-182	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
IFIT2	IFIT2	2.3148523446506584	15.893570235796345	7.021217121749297e-57	4.5705946340999785e-55	GSE294709_HCT116_Ku80flox_Cre_4OHT	human	unadjusted	False
