meta	geneset	n_contrasts	n_NES_positive	n_NES_negative	n_FDR_lt_0.25_up	median_NES	min_NES	max_NES	stouffer_Z_up	stouffer_p_up	stouffer_Z_down	stouffer_p_down	contrasts
primary_plus_encode_ontarget	RIGI_MDA5	13	7	6	4	0.9494558533846627	-1.4524926467036654	1.9583762652981007	2.665024686584798	0.0038491335673446303	-2.6650246865848044	0.9961508664326555	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6;GSE294709_HCT116_Ku80flox_interaction
primary_plus_encode_ontarget	STING	13	10	3	4	0.9579688269128738	-1.0892353386398852	1.527500703344602	1.4931055804308115	0.06770477601574164	-1.4931055804308118	0.9322952239842583	GSE294709_HCT116_Ku80AID_CDKi_D4;GSE294709_HEK293_Ku70_dox_withdrawal;GSE180581_HEK293T_siKu70;GSE180581_HEK293T_siKu80;GSE247031_Treg_Xrcc6_cKO;ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6;GSE294709_HCT116_Ku80flox_interaction
encode_ontarget_only	APM_KEGG	7	2	5	1	-1.0910975308417	-1.47499570317758	1.5799291380789304	-0.41904660258656773	0.6624089629854826	0.4190466025865679	0.33759103701451737	ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6
encode_ontarget_only	APM_MHCI	7	1	6	1	-1.031590979180446	-1.838752442279086	1.6379788823530503	0.43317047212118603	0.33244546438042494	-0.43317047212118537	0.6675545356195749	ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6
encode_ontarget_only	IFN_ALPHA	7	4	3	3	0.9586656519549195	-1.8264438241729821	1.4315061636755937	0.8783516191953434	0.18987646553416254	-0.8783516191953429	0.8101235344658373	ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6
encode_ontarget_only	IFN_GAMMA	7	3	4	2	-0.9000766238536502	-1.6250158806435255	1.4216439317882774	0.06548062228014088	0.4738956672000938	-0.06548062228014223	0.5261043327999068	ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6
encode_ontarget_only	RIGI_MDA5	7	4	3	1	0.9494558533846627	-1.0525250615608241	1.2227518225309204	1.1326944887674533	0.12867128643946035	-1.1326944887674533	0.8713287135605396	ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6
encode_ontarget_only	STING	7	5	2	1	0.7466169439378146	-1.0892353386398852	1.527500703344602	-0.09655012227992466	0.5384581659978829	0.09655012227992466	0.4615418340021171	ENCODE_K562_shXRCC5;ENCODE_K562_shXRCC6;ENCODE_HepG2_shXRCC5;ENCODE_HepG2_shXRCC6;ENCODE_K562_crXRCC5;ENCODE_K562_crXRCC6;ENCODE_HepG2_crXRCC6
timecourse_AID_only	APM_KEGG	3	3	0	1	1.1814291797156937	1.1650186430464646	1.3131855710373443	1.7362411088012095	0.04126060566127489	-1.7362411088012097	0.9587393943387251	GSE294709_HCT116_Ku80AID_IAA_D2;GSE294709_HCT116_Ku80AID_IAA_24h;GSE294709_HCT116_Ku80AID_CDKi_48h
timecourse_AID_only	APM_MHCI	3	3	0	3	2.0927421615289594	1.5895725776726732	2.120737762172022	4.655452161968685	1.6163523108998725e-06	-4.655452161968697	0.9999983836476891	GSE294709_HCT116_Ku80AID_IAA_D2;GSE294709_HCT116_Ku80AID_IAA_24h;GSE294709_HCT116_Ku80AID_CDKi_48h
timecourse_AID_only	IFN_ALPHA	3	3	0	3	2.292634897444779	1.9026229653424305	2.673217341342292	5.327140866846502	4.988539317957361e-08	-5.32714086684652	0.9999999501146069	GSE294709_HCT116_Ku80AID_IAA_D2;GSE294709_HCT116_Ku80AID_IAA_24h;GSE294709_HCT116_Ku80AID_CDKi_48h
timecourse_AID_only	IFN_GAMMA	3	3	0	3	2.0193627466558093	1.758941409202973	2.461798934151787	5.327140866846502	4.988539317957361e-08	-5.32714086684652	0.9999999501146069	GSE294709_HCT116_Ku80AID_IAA_D2;GSE294709_HCT116_Ku80AID_IAA_24h;GSE294709_HCT116_Ku80AID_CDKi_48h
timecourse_AID_only	RIGI_MDA5	3	2	1	2	1.1390328284101499	-1.1015824386995072	1.3077245152519035	0.9619732355603345	0.16803152424160273	-0.9619732355603343	0.8319684757583972	GSE294709_HCT116_Ku80AID_IAA_D2;GSE294709_HCT116_Ku80AID_IAA_24h;GSE294709_HCT116_Ku80AID_CDKi_48h
timecourse_AID_only	STING	3	3	0	1	1.0863881986585902	1.080629248072488	1.1778538142789912	0.8235528932604115	0.20509682571475318	-0.8235528932604117	0.7949031742852469	GSE294709_HCT116_Ku80AID_IAA_D2;GSE294709_HCT116_Ku80AID_IAA_24h;GSE294709_HCT116_Ku80AID_CDKi_48h
