symbol	ensembl_id
Ncoa3	ENSMUSG00000027678
Ncoa7	ENSMUSG00000039697
Ncr1	ENSMUSG00000062524
Nfkb1	ENSMUSG00000028163
Nfkbia	ENSMUSG00000021025
Nkg7	ENSMUSG00000004612
Nlrc5	ENSMUSG00000074151
Nmi	ENSMUSG00000026946
Nod1	ENSMUSG00000038058
Nub1	ENSMUSG00000028954
Nup93	ENSMUSG00000032939
Oas1a	ENSMUSG00000052776
Oas2	ENSMUSG00000032690
Oas3	ENSMUSG00000032661
Oasl1	ENSMUSG00000041827
Ogfr	ENSMUSG00000049401
P2ry14	ENSMUSG00000036381
Parp12	ENSMUSG00000038507
Parp14	ENSMUSG00000034422
Parp9	ENSMUSG00000022906
Pde4b	ENSMUSG00000028525
Peli1	ENSMUSG00000020134
Pfkp	ENSMUSG00000021196
Pim1	ENSMUSG00000024014
Pla2g4a	ENSMUSG00000056220
Plscr1	ENSMUSG00000032369
Pml	ENSMUSG00000036986
Pnp	ENSMUSG00000115338
Pnpt1	ENSMUSG00000020464
Prf1	ENSMUSG00000037202
Procr	ENSMUSG00000027611
Psma2	ENSMUSG00000015671
Psma3	ENSMUSG00000060073
Psmb10	ENSMUSG00000031897
Psmb2	ENSMUSG00000028837
Psmb8	ENSMUSG00000024338
Psmb9	ENSMUSG00000096727
Psme1	ENSMUSG00000022216
Psme2	ENSMUSG00000079197
Ptgs2	ENSMUSG00000032487
Ptpn1	ENSMUSG00000027540
Ptpn2	ENSMUSG00000024539
Ptpn6	ENSMUSG00000004266
Ptprc	ENSMUSG00000026395
Rapgef6	ENSMUSG00000037533
Rbck1	ENSMUSG00000027466
Rigi	ENSMUSG00000040296
Ripk1	ENSMUSG00000021408
Ripk2	ENSMUSG00000041135
Rnf213	ENSMUSG00000070327
Rnf31	ENSMUSG00000047098
Rsad2	ENSMUSG00000020641
Rtp4	ENSMUSG00000033355
Samd9l	ENSMUSG00000047735
Samhd1	ENSMUSG00000027639
Sectm1a	ENSMUSG00000025165
Sell	ENSMUSG00000026581
Selp	ENSMUSG00000026580
Serping1	ENSMUSG00000023224
Slamf7	ENSMUSG00000038179
Slc25a28	ENSMUSG00000040414
Socs1	ENSMUSG00000038037
Socs3	ENSMUSG00000053113
Sod2	ENSMUSG00000006818
Sp110	ENSMUSG00000070034
Sppl2a	ENSMUSG00000027366
Sri	ENSMUSG00000003161
Sspn	ENSMUSG00000030255
St3gal5	ENSMUSG00000056091
St8sia4	ENSMUSG00000040710
Stat1	ENSMUSG00000026104
Stat2	ENSMUSG00000040033
Stat3	ENSMUSG00000004040
Stat4	ENSMUSG00000062939
Tacstd2	ENSMUSG00000051397
Tap1	ENSMUSG00000037321
Tapbp	ENSMUSG00000024308
Tdrd7	ENSMUSG00000035517
Tent5a	ENSMUSG00000032265
Tmem140	ENSMUSG00000057137
Tmt1b	ENSMUSG00000025347
Tnfaip2	ENSMUSG00000021281
Tnfaip3	ENSMUSG00000019850
Tnfaip6	ENSMUSG00000053475
Tnfsf10	ENSMUSG00000039304
Tor1b	ENSMUSG00000026848
Trafd1	ENSMUSG00000042726
Trim12c	ENSMUSG00000057143
Trim14	ENSMUSG00000039853
Trim21	ENSMUSG00000030966
Trim25	ENSMUSG00000000275
Trim26	ENSMUSG00000024457
Txnip	ENSMUSG00000038393
Uba7	ENSMUSG00000032596
Ube2l6	ENSMUSG00000027078
Upp1	ENSMUSG00000020407
Usp18	ENSMUSG00000030107
Vamp5	ENSMUSG00000073002
Vamp8	ENSMUSG00000050732
Vcam1	ENSMUSG00000027962
Wars1	ENSMUSG00000021266
Xaf1	ENSMUSG00000040483
Xcl1	ENSMUSG00000026573
Zbp1	ENSMUSG00000027514
Znfx1	ENSMUSG00000039501
