dataset	contrast	role	compartment	species	score	n_genes_in_set	n_genes_present	n_genes_used	genes_used	interpretable_program	expr_floor	mean_score_ctrl	mean_score_treat	delta_mean_score	mw_p	mw_method	n_ctrl	n_treat	note	paired_mean_delta	wilcoxon_p	wilcoxon_method	wilcoxon_n_nonzero
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	mouse	effector	11	10	10	Cd8a;Cd8b1;Cd3d;Cd3e;Gzma;Gzmb;Prf1;Nkg7;Ifng;Ctsw	True	1.0	5.1137466566274945	5.840261988465569	0.7265153318380744	0.05555555555555555	exact	5	5	4T1 tumors in BALB/c. Column IDs are GEO library names: KO162/164/165/172/RESUB-KO163R versus RESUB-171R/170R/169R/168R/control170.				
GSE334497	Trop2KO_vs_WT	primary_ko	bulk_tumor_immunocompetent_mouse	mouse	leukocyte	10	9	9	Ptprc;Cd3d;Cd3e;Cd4;Cd8a;Cd68;Itgam;Ncr1;Adgre1	True	1.0	7.094848802852772	7.449611365836861	0.3547625629840896	0.05555555555555555	exact	5	5	4T1 tumors in BALB/c. Column IDs are GEO library names: KO162/164/165/172/RESUB-KO163R versus RESUB-171R/170R/169R/168R/control170.				
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	human	ifn_alpha	97	95	90		True	1.0	5.093474163302649	5.399374649582808	0.30590048628015865	0.4	exact	3	4	T-47D mammary-fat-pad tumors in NRG mice. Recomputed from DESeq2 normalized counts in the deposited table, protein-coding rows only. NRG mice lack adaptive immunity; human gene matrix does not measure mouse infiltrate.				
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	human	ifn_gamma	200	184	171		True	1.0	4.739123300657479	4.843577728442323	0.10445442778484448	0.4	exact	3	4	T-47D mammary-fat-pad tumors in NRG mice. Recomputed from DESeq2 normalized counts in the deposited table, protein-coding rows only. NRG mice lack adaptive immunity; human gene matrix does not measure mouse infiltrate.				
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	human	effector	12	2	1	CD8A	False	1.0	1.4865877173160882	0.8367305186976828	-0.6498571986184054	0.22857142857142856	exact	3	4	T-47D mammary-fat-pad tumors in NRG mice. Recomputed from DESeq2 normalized counts in the deposited table, protein-coding rows only. NRG mice lack adaptive immunity; human gene matrix does not measure mouse infiltrate.				
GSE289287	Trop2KO_vs_WT_xenograft	primary_ko	bulk_xenograft_NRG_human_genes	human	leukocyte	10	6	4	PTPRC;CD8A;CD68;ITGAM	False	1.0	1.6543493730975787	1.1920322036125774	-0.46231716948500123	0.22857142857142856	exact	3	4	T-47D mammary-fat-pad tumors in NRG mice. Recomputed from DESeq2 normalized counts in the deposited table, protein-coding rows only. NRG mice lack adaptive immunity; human gene matrix does not measure mouse infiltrate.				
GSE289287	DSG2KO_vs_WT_xenograft	comparator_not_TACSTD2	bulk_xenograft_NRG_human_genes	human	ifn_alpha	97	95	94		True	1.0	4.876730581885515	5.846562568770405	0.9698319868848895	0.016666666666666666	exact	3	7	Same study, DSG2 knockout rather than Trop2. Comparator only. Normalized in a separate DESeq2 model from the Trop2 table, so counts are not pooled with Trop2 KO samples.				
GSE289287	DSG2KO_vs_WT_xenograft	comparator_not_TACSTD2	bulk_xenograft_NRG_human_genes	human	ifn_gamma	200	184	180		True	1.0	4.503979180984238	5.173818414679007	0.6698392336947689	0.016666666666666666	exact	3	7	Same study, DSG2 knockout rather than Trop2. Comparator only. Normalized in a separate DESeq2 model from the Trop2 table, so counts are not pooled with Trop2 KO samples.				
GSE289287	DSG2KO_vs_WT_xenograft	comparator_not_TACSTD2	bulk_xenograft_NRG_human_genes	human	effector	12	2	1	CD8A	False	1.0	1.4865877173160882	0.78706285273181	-0.6995248645842782	0.3833333333333333	exact	3	7	Same study, DSG2 knockout rather than Trop2. Comparator only. Normalized in a separate DESeq2 model from the Trop2 table, so counts are not pooled with Trop2 KO samples.				
GSE289287	DSG2KO_vs_WT_xenograft	comparator_not_TACSTD2	bulk_xenograft_NRG_human_genes	human	leukocyte	10	6	6	PTPRC;CD4;CD8A;CD68;ITGAM;FCGR3A	True	1.0	1.1028995820650525	1.1713719970293452	0.0684724149642928	0.8333333333333333	exact	3	7	Same study, DSG2 knockout rather than Trop2. Comparator only. Normalized in a separate DESeq2 model from the Trop2 table, so counts are not pooled with Trop2 KO samples.				
GSE304294	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	ifn_alpha	97	96	75		True	1.0	3.215731885851458	3.516886051115751	0.3011541652642933	0.2	exact	3	2	KYSE30, 1 day. Library names OX2 are IMMU132 (n=2) and OX1 are control (n=3). ADC exposure is not a genetic knockout, so TACSTD2 mRNA need not fall.				
GSE304294	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	ifn_gamma	200	196	129		True	1.0	3.2813313257429133	3.500245167685681	0.21891384194276764	0.2	exact	3	2	KYSE30, 1 day. Library names OX2 are IMMU132 (n=2) and OX1 are control (n=3). ADC exposure is not a genetic knockout, so TACSTD2 mRNA need not fall.				
GSE304294	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	effector	12	12	1	CTSW	False	1.0	0.5101027617652228	0.8571796894356387	0.34707692767041587	0.2	exact	3	2	KYSE30, 1 day. Library names OX2 are IMMU132 (n=2) and OX1 are control (n=3). ADC exposure is not a genetic knockout, so TACSTD2 mRNA need not fall.				
GSE304294	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	3	2	KYSE30, 1 day. Library names OX2 are IMMU132 (n=2) and OX1 are control (n=3). ADC exposure is not a genetic knockout, so TACSTD2 mRNA need not fall.				
GSE304294	IACS_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	ifn_alpha	97	96	76		True	1.0	3.1852456524388395	3.193800551662251	0.00855489922341146	0.4	exact	3	3	OXPHOS inhibitor IACS-010759 alone. Not a TROP2 perturbation.				
GSE304294	IACS_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	ifn_gamma	200	196	130		True	1.0	3.264530123090474	3.2565347346720217	-0.007995388418452265	1.0	exact	3	3	OXPHOS inhibitor IACS-010759 alone. Not a TROP2 perturbation.				
GSE304294	IACS_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	effector	12	12	0		False	1.0					no_genes_above_floor	3	3	OXPHOS inhibitor IACS-010759 alone. Not a TROP2 perturbation.				
GSE304294	IACS_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	3	3	OXPHOS inhibitor IACS-010759 alone. Not a TROP2 perturbation.				
GSE304294	IMMU132_plus_IACS_vs_control	secondary_adc_combination	in_vitro_cell_line	human	ifn_alpha	97	96	77		True	1.0	3.148357942689532	3.242809607284414	0.09445166459488208	0.1	exact	3	3	IMMU132 plus IACS-010759. Not attributable to the ADC alone.				
GSE304294	IMMU132_plus_IACS_vs_control	secondary_adc_combination	in_vitro_cell_line	human	ifn_gamma	200	196	129		True	1.0	3.2809544027824273	3.3316282961229935	0.050673893340566156	0.1	exact	3	3	IMMU132 plus IACS-010759. Not attributable to the ADC alone.				
GSE304294	IMMU132_plus_IACS_vs_control	secondary_adc_combination	in_vitro_cell_line	human	effector	12	12	1	CTSW	False	1.0	0.5101027617652228	0.9507833444592085	0.4406805826939857	0.1	exact	3	3	IMMU132 plus IACS-010759. Not attributable to the ADC alone.				
GSE304294	IMMU132_plus_IACS_vs_control	secondary_adc_combination	in_vitro_cell_line	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	3	3	IMMU132 plus IACS-010759. Not attributable to the ADC alone.				
GSE312098	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	ifn_alpha	97	96	76		True	1.0	3.36193116075872	3.7941018199984846	0.4321706592397647	0.1	exact	3	3	CX-1 cells, 48 h, 3 ug/ml IMMU132. Library names from GEO: X_1-3 control, X_4-6 IMMU132.				
GSE312098	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	ifn_gamma	200	196	127		True	1.0	3.3743125100730738	3.700579236247144	0.32626672617407015	0.1	exact	3	3	CX-1 cells, 48 h, 3 ug/ml IMMU132. Library names from GEO: X_1-3 control, X_4-6 IMMU132.				
GSE312098	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	effector	12	12	1	NKG7	False	1.0	1.0182352400269794	0.3897424563054936	-0.6284927837214858	0.1	exact	3	3	CX-1 cells, 48 h, 3 ug/ml IMMU132. Library names from GEO: X_1-3 control, X_4-6 IMMU132.				
GSE312098	IMMU132_vs_control	primary_adc	in_vitro_cell_line	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	3	3	CX-1 cells, 48 h, 3 ug/ml IMMU132. Library names from GEO: X_1-3 control, X_4-6 IMMU132.				
GSE312098	GSK2606414_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	ifn_alpha	97	96	75		True	1.0	3.396024194720727	3.5300711241003158	0.13404692937958895	0.1	exact	3	3	PERK inhibitor GSK2606414 alone.				
GSE312098	GSK2606414_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	ifn_gamma	200	196	126		True	1.0	3.395626431270839	3.498480335168568	0.10285390389772875	0.1	exact	3	3	PERK inhibitor GSK2606414 alone.				
GSE312098	GSK2606414_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	effector	12	12	1	NKG7	False	1.0	1.0182352400269794	0.8322694018576976	-0.1859658381692818	0.4	exact	3	3	PERK inhibitor GSK2606414 alone.				
GSE312098	GSK2606414_vs_control	same_experiment_not_adc	in_vitro_cell_line	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	3	3	PERK inhibitor GSK2606414 alone.				
GSE312098	IMMU132_plus_GSK_vs_control	secondary_adc_combination	in_vitro_cell_line	human	ifn_alpha	97	96	78		True	1.0	3.2881085983662195	3.817591815880114	0.5294832175138944	0.1	exact	3	3	IMMU132 plus GSK2606414. Not attributable to the ADC alone.				
GSE312098	IMMU132_plus_GSK_vs_control	secondary_adc_combination	in_vitro_cell_line	human	ifn_gamma	200	196	129		True	1.0	3.327157417296062	3.785431906190753	0.45827448889469125	0.1	exact	3	3	IMMU132 plus GSK2606414. Not attributable to the ADC alone.				
GSE312098	IMMU132_plus_GSK_vs_control	secondary_adc_combination	in_vitro_cell_line	human	effector	12	12	1	NKG7	False	1.0	1.0182352400269794	0.21652221866436497	-0.8017130213626145	0.1	exact	3	3	IMMU132 plus GSK2606414. Not attributable to the ADC alone.				
GSE312098	IMMU132_plus_GSK_vs_control	secondary_adc_combination	in_vitro_cell_line	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	3	3	IMMU132 plus GSK2606414. Not attributable to the ADC alone.				
GSE311016	IMMU132_vs_paired_control	primary_adc	bulk_PDX_human_genes	human	ifn_alpha	97	96	92		True	1.0	3.10804445046019	3.170210595823261	0.06216614536307086	1.0	exact	5	5	Five CRC PDX models, control versus IMMU132 at day 29. Column prefix C/T matches GEO treatment labels. Matrix is human genes, so mouse stromal immune cells are not in the table. Host strain is not stated in the GEO fields read here.	0.06216614536307104	0.8125	exact_drop_zero	5.0
GSE311016	IMMU132_vs_paired_control	primary_adc	bulk_PDX_human_genes	human	ifn_gamma	200	196	154		True	1.0	2.9381722342607244	2.96678604865805	0.028613814397325577	0.8412698412698413	exact	5	5	Five CRC PDX models, control versus IMMU132 at day 29. Column prefix C/T matches GEO treatment labels. Matrix is human genes, so mouse stromal immune cells are not in the table. Host strain is not stated in the GEO fields read here.	0.02861381439732531	0.8125	exact_drop_zero	5.0
GSE311016	IMMU132_vs_paired_control	primary_adc	bulk_PDX_human_genes	human	effector	12	12	3	CD8B;GZMB;PRF1	False	1.0	0.4684616903296429	0.47303383335600924	0.0045721430263663265	1.0	exact	5	5	Five CRC PDX models, control versus IMMU132 at day 29. Column prefix C/T matches GEO treatment labels. Matrix is human genes, so mouse stromal immune cells are not in the table. Host strain is not stated in the GEO fields read here.	0.004572143026366343	1.0	exact_drop_zero	5.0
GSE311016	IMMU132_vs_paired_control	primary_adc	bulk_PDX_human_genes	human	leukocyte	10	10	0		False	1.0					no_genes_above_floor	5	5	Five CRC PDX models, control versus IMMU132 at day 29. Column prefix C/T matches GEO treatment labels. Matrix is human genes, so mouse stromal immune cells are not in the table. Host strain is not stated in the GEO fields read here.				
