series,sample,n_spots,n_cd8pos,genes_present,spearman_r,spearman_p,krt8_resid_r,krt8_resid_p,q1_n,q4_n,q1_med_dist,q4_med_dist,q4_minus_q1,dist_u,dist_p,note
GSE273378,GSM8427432_LM_SD_3,3902,853,"CLDN4,CD8A,KRT8",-0.010133949689037226,0.52683771680146,0.01964946371878509,0.21976681014628915,978,1049,199.01004999748127,198.9572818471342,-0.05276815034707738,464064.5,0.00019197606489138142,
GSE273378,GSM8427433_LM_SD_4,3524,1409,"CLDN4,CD8A,KRT8",-0.10645474356710473,2.3692510933007657e-10,-0.042632174123225244,0.011372524144639374,882,891,198.82907232092595,198.82907232092595,0.0,385215.0,0.466814980402961,
GSE273378,GSM8427434_LM_SD_5,3230,154,"CLDN4,CD8A,KRT8",-0.038404485505785284,0.02906484753966794,-0.02988966480105451,0.08942400979078594,811,808,525.3579731954203,525.6805113374472,0.32253814202692865,337400.5,0.2995153015358313,
GSE273378,GSM8427435_LM_SD_6,3194,335,"CLDN4,CD8A,KRT8",0.0642102419032222,0.0002821065444503495,0.048850280584145776,0.005756027066646705,2928,3194,344.7230772663762,344.7230772663762,0.0,4548707.5,0.06509924395763893,
GSE273378,GSM8427436_LM_SD_7,2822,758,"CLDN4,CD8A,KRT8",0.02752690955811193,0.14376110473271078,0.08746848658710862,3.2649524669182615e-06,818,723,271.5269096723051,198.82907232092595,-72.69783735137918,195397.0,7.598262362056599e-31,
GSE273378,GSM8427437_LM_SD_1216_8,2836,377,"CLDN4,CD8A,KRT8",-0.03327883740314356,0.07640380781656644,0.008884855065785392,0.6362447327625459,974,1014,344.4444802867365,199.69977466186586,-144.74470562487065,426155.5,1.197822237708882e-07,
GSE273378,GSM8427438_LM_SD_9,2801,290,"CLDN4,CD8A,KRT8",-0.006075102808183394,0.7479216235240679,0.016602830365189926,0.37974600036636347,702,710,597.3750915463417,344.8644371595607,-252.51065438678097,173168.5,3.094545357168018e-23,
GSE273378,GSM8427439_LM_SD_10,2620,379,"CLDN4,CD8A,KRT8",0.0015135729164833284,0.9382761306101961,0.04396300501557262,0.024429802677783285,698,671,199.69977466186586,199.01004999748127,-0.6897246643845847,217764.5,0.024504569042695868,
GSE273378,GSM8427440_LM_SD_1216_12,3604,94,"CLDN4,CD8A,KRT8",-0.01863320589331327,0.26342935273423496,-0.011240191058305874,0.49994692498834126,918,917,528.1410796368713,526.924093205084,-1.2169864317872907,394732.5,0.021099201886782163,
GSE273378,GSM8427441_LM_SD_13,2912,577,"CLDN4,CD8A,KRT8",0.018775878186850958,0.3111289248817145,0.1761826839056906,9.868383735361973e-22,1613,779,199.00251254695254,198.82907232092595,-0.17344022602659948,524146.0,3.7764908915162157e-11,
GSE273378,GSM8427442_LM_SD_1216_14,1915,357,"CLDN4,CD8A,KRT8",-0.1199161183697815,1.4157691754871068e-07,-0.08478718324263285,0.00020351308127688342,480,479,198.9572818471342,199.00251254695254,0.045230699818347375,126351.0,0.0076672273867865615,
GSE273378,GSM8427443_LM_SD_15,1744,134,"CLDN4,CD8A,KRT8",-0.015793902664256294,0.5098052622190294,-0.003298514530987772,0.890515755832816,439,436,398.1519810323691,346.01300553591915,-52.13897549644997,87550.0,0.029147305572025797,
GSE322553,GSM9554209_NSCLC_936_1,2894,775,"CLDN4,CD8A,KRT8",-0.029364416723655414,0.11425725680067175,0.04576047751127376,0.013818287790305223,1314,755,199.00251254695254,199.00251254695254,0.0,447688.0,0.00019919454128558377,
GSE322553,GSM9554210_NSCLC_41485_2,3945,39,"CLDN4,CD8A,KRT8",-0.024096216887169654,0.13022758916731608,-0.011804855010432705,0.45854504314192795,2333,1044,527.0037950527491,456.3562205120031,-70.64757454074595,1073421.5,3.4898304589067154e-08,
