assay	mouse	dataset	genotype	digest	gate	tac_rule	min_high	min_low	n_epi	n_high	n_low	tacstd2_pct	status
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_ge2	50	50	160	99	35	78.125	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	20	20	2057	186	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	20	20	995	104	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	20	20	3897	50	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	20	20	3980	319	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_ge5	20	20	28	1	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_ge5	20	20	174	33	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_ge5	20	20	207	124	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_ge5	20	20	160	65	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	30	30	2057	186	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	30	30	995	104	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	30	30	3897	50	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	30	30	3980	319	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_ge5	30	30	28	1	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_ge5	30	30	174	33	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_ge5	30	30	207	124	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_ge5	30	30	160	65	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	50	50	2057	186	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	50	50	995	104	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	50	50	3897	50	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	count_ge5	50	50	3980	319	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	count_ge5	50	50	28	1	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	count_ge5	50	50	174	33	64	63.2183908045977	below_floor
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	count_ge5	50	50	207	124	38	81.64251207729468	below_floor
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	count_ge5	50	50	160	65	35	78.125	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	20	20	2057	358	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	20	20	995	182	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	20	20	3897	167	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	20	20	3980	779	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	median_split_pos	20	20	28	3	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	median_split_pos	20	20	174	55	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	median_split_pos	20	20	207	85	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	median_split_pos	20	20	160	63	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	30	30	2057	358	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	30	30	995	182	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	30	30	3897	167	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	30	30	3980	779	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	median_split_pos	30	30	28	3	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	median_split_pos	30	30	174	55	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	median_split_pos	30	30	207	85	38	81.64251207729468	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	median_split_pos	30	30	160	63	35	78.125	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	50	50	2057	358	1341	34.807972775887215	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	50	50	995	182	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	50	50	3897	167	3563	8.57069540672312	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	locked	median_split_pos	50	50	3980	779	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	locked	median_split_pos	50	50	28	3	23	17.857142857142858	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	locked	median_split_pos	50	50	174	55	64	63.2183908045977	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	locked	median_split_pos	50	50	207	85	38	81.64251207729468	below_floor
scRNA	GSE165641_KL2	GSE165641	KL	mixed	locked	median_split_pos	50	50	160	63	35	78.125	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	20	20	1918	697	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	20	20	921	353	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	20	20	3678	326	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	20	20	3778	1528	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_gt0	20	20	53	5	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_gt0	20	20	212	110	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_gt0	20	20	223	171	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_gt0	20	20	167	125	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	30	30	1918	697	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	30	30	921	353	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	30	30	3678	326	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	30	30	3778	1528	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_gt0	30	30	53	5	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_gt0	30	30	212	110	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_gt0	30	30	223	171	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_gt0	30	30	167	125	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	50	50	1918	697	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	50	50	921	353	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	50	50	3678	326	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_gt0	50	50	3778	1528	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_gt0	50	50	53	5	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_gt0	50	50	212	110	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_gt0	50	50	223	171	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_gt0	50	50	167	125	42	74.8502994011976	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	20	20	1918	430	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	20	20	921	230	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	20	20	3678	148	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	20	20	3778	927	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_ge2	20	20	53	3	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_ge2	20	20	212	80	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_ge2	20	20	223	150	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_ge2	20	20	167	99	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	30	30	1918	430	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	30	30	921	230	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	30	30	3678	148	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	30	30	3778	927	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_ge2	30	30	53	3	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_ge2	30	30	212	80	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_ge2	30	30	223	150	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_ge2	30	30	167	99	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	50	50	1918	430	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	50	50	921	230	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	50	50	3678	148	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge2	50	50	3778	927	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_ge2	50	50	53	3	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_ge2	50	50	212	80	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_ge2	50	50	223	150	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_ge2	50	50	167	99	42	74.8502994011976	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	20	20	1918	186	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	20	20	921	104	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	20	20	3678	50	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	20	20	3778	319	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_ge5	20	20	53	1	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_ge5	20	20	212	33	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_ge5	20	20	223	124	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_ge5	20	20	167	65	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	30	30	1918	186	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	30	30	921	104	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	30	30	3678	50	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	30	30	3778	319	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_ge5	30	30	53	1	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_ge5	30	30	212	33	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_ge5	30	30	223	124	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_ge5	30	30	167	65	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	50	50	1918	186	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	50	50	921	104	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	50	50	3678	50	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	count_ge5	50	50	3778	319	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	count_ge5	50	50	53	1	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	count_ge5	50	50	212	33	102	51.886792452830186	below_floor
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	count_ge5	50	50	223	124	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	count_ge5	50	50	167	65	42	74.8502994011976	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	20	20	1918	349	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	20	20	921	177	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	20	20	3678	163	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	20	20	3778	764	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	median_split_pos	20	20	53	3	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	median_split_pos	20	20	212	55	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	median_split_pos	20	20	223	86	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	median_split_pos	20	20	167	63	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	30	30	1918	349	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	30	30	921	177	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	30	30	3678	163	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	30	30	3778	764	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	median_split_pos	30	30	53	3	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	median_split_pos	30	30	212	55	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	median_split_pos	30	30	223	86	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	median_split_pos	30	30	167	63	42	74.8502994011976	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	50	50	1918	349	1221	36.339937434827945	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	50	50	921	177	568	38.327904451682954	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	50	50	3678	163	3352	8.863512778684067	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	epcam_only	median_split_pos	50	50	3778	764	2250	40.44467972472208	ok
scRNA	GSE180963_K	GSE180963	K	mixed	epcam_only	median_split_pos	50	50	53	3	48	9.433962264150944	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	epcam_only	median_split_pos	50	50	212	55	102	51.886792452830186	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	epcam_only	median_split_pos	50	50	223	86	52	76.68161434977578	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	epcam_only	median_split_pos	50	50	167	63	42	74.8502994011976	below_floor
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	20	20	2059	716	1343	34.774162214667314	ok
scRNA	GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	20	20	995	363	632	36.482412060301506	ok
scRNA	GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	20	20	3916	334	3582	8.529111338100103	ok
scRNA	GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	20	20	3980	1558	2422	39.14572864321608	ok
scRNA	GSE180963_K	GSE180963	K	mixed	broad_lung	count_gt0	20	20	191	7	184	3.6649214659685865	below_floor
scRNA	GSE180963_KL	GSE180963	KL	mixed	broad_lung	count_gt0	20	20	395	120	275	30.379746835443036	ok
scRNA	GSE165641_KL1	GSE165641	KL	mixed	broad_lung	count_gt0	20	20	393	185	208	47.07379134860051	ok
scRNA	GSE165641_KL2	GSE165641	KL	mixed	broad_lung	count_gt0	20	20	307	128	179	41.693811074918564	ok
scRNA	GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	broad_lung	count_gt0	30	30	2059	716	1343	34.774162214667314	ok
