dataset,x,y,n,spearman_rho,ci_low,ci_high,p_value,fdr
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",MUC5B,655,0.3539793681710288,0.2808662732772365,0.42300765394544526,9.069985059566458e-21,1.8139970119132916e-20
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",PTPRC,655,,,,,
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",COL1A1,655,-0.3130766360306053,-0.38448862758733404,-0.23793981627409924,2.317556279394084e-16,4.0557234889396467e-16
GTEx-lung,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",PECAM1,655,-0.03883217016396096,-0.11963952928715132,0.042486302240634585,0.3210480404092419,0.3457440435176451
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",TACSTD2,601,0.5071964776314117,0.44141766366863244,0.5675531153742353,1.3288851498354098e-40,1.8604392097695736e-39
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",CLDN4,601,0.4754025682555652,0.40704951235709547,0.5384607661845018,3.2373044759569387e-35,2.266113133169857e-34
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",NKX2-1,601,-0.12710941343607832,-0.20960533400627496,-0.042816673298725266,0.0017943691455711958,0.002283742548908795
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",EPCAM,601,0.20018540527691947,0.11742367020649636,0.2801856370051686,7.515146771832276e-07,1.7535342467608644e-06
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SFTPC,601,-0.03754089305118398,-0.12190702200002013,0.04736381185951373,0.3582346216094063,0.3582346216094063
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SFTPB,601,-0.2692405238224223,-0.3460968711802571,-0.18879466391622413,1.9317951308606292e-11,9.015043944016269e-11
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",AGER,601,,,,,
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SCGB1A1,601,0.06124396042160872,-0.023632714750435543,0.14524405186536168,0.13369305775817966,0.1439771391241935
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",SCGB3A2,601,-0.0957916761101376,-0.17909168491501093,-0.011128015921441876,0.018830154372431927,0.021968513434503914
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",KRT5,601,0.12781004703967982,0.043527549930370744,0.2102861460918503,0.001691416711164418,0.002283742548908795
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",TP63,601,0.2289729188893373,0.14707306803780462,0.30775452559670546,1.368789986108309e-08,3.980451866304933e-08
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",FOXJ1,601,0.17658951581251625,0.09323086577655353,0.2574897574199633,1.3343306876732275e-05,2.335078703428148e-05
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",MUC5B,601,0.22871852560240136,0.1468104121966153,0.30751147916807475,1.4215899522517617e-08,3.980451866304933e-08
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",PTPRC,601,,,,,
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",COL1A1,601,0.13306106655021258,0.04885805571366354,0.21538606469805502,0.001076267259772667,0.0016741935152019263
TCGA-LUAD,"MODULE_score(ELF3,GRHL1,KLF4,TFAP2A)",PECAM1,601,-0.18523706336615056,-0.2658178396313698,-0.10208576173921588,4.846909016751784e-06,9.693818033503568e-06
