dataset,gene_a,gene_b,n,spearman_rho,p_value,fdr,bg_percentile,ci_low,ci_high
GTEx-lung,KLF4,MUC5B,655,0.016446400650144716,0.6743856345747016,0.6878733472661955,45.44981799271971,-0.06482468413318557,0.09750074959734233
GTEx-lung,KLF4,PTPRC,655,,,,,,
GTEx-lung,COL1A1,KLF4,655,-0.23632430378994937,9.146442356298103e-10,1.7941098468123202e-09,11.974978999159966,-0.3115318235778839,-0.15817448891367641
GTEx-lung,KLF4,PECAM1,655,0.11140409168668351,0.00430902704354975,0.006048450804248731,61.11744469778792,0.03049536932145356,0.19086240821121753
GTEx-lung,TACSTD2,TFAP2A,655,-0.017108382640536497,0.6620751316111138,0.6798489606476537,39.71558862354494,-0.09815658072694819,0.0641652701123017
GTEx-lung,CLDN4,TFAP2A,655,0.07568114870059774,0.05286981768225237,0.0647126568430769,55.42671706868275,-0.005537405181807955,0.15590776110739263
GTEx-lung,NKX2-1,TFAP2A,655,-0.061165030654032185,0.1178483134826828,0.13763963330420204,32.64730589223569,-0.1416461959033938,0.020119406662655676
GTEx-lung,EPCAM,TFAP2A,655,-0.05688021108778838,0.14591019265066685,0.1678515750041506,33.28183127325093,-0.13743011850801343,0.024417073206279748
GTEx-lung,SFTPC,TFAP2A,655,-0.134563853174171,0.0005543335023715014,0.0008654390394167318,22.36439457578303,-0.21341691071577373,-0.053968905364025675
GTEx-lung,SFTPB,TFAP2A,655,-0.1279450154393784,0.0010317051945270893,0.0015628801461647986,23.196927877115083,-0.2069796171420383,-0.047251290674461856
GTEx-lung,AGER,TFAP2A,655,,,,,,
GTEx-lung,SCGB1A1,TFAP2A,655,0.6322529480073188,2.0862019207823833e-74,1.7732716326650256e-73,99.20446817872714,0.5808847421424517,0.6786052427356878
GTEx-lung,SCGB3A2,TFAP2A,655,0.3039819207431792,1.806973371682695e-15,4.4591439656040704e-15,84.95339813592544,0.22843484849556758,0.3758900018550538
GTEx-lung,KRT5,TFAP2A,655,0.6191394955805698,1.4218716810147158e-70,1.144980879975008e-69,99.04346173846955,0.566426118078556,0.666807260171249
GTEx-lung,TFAP2A,TP63,655,0.6348349852314857,3.488406490863516e-75,3.139565841777165e-74,99.23396935877436,0.5837354682339883,0.680925449115442
GTEx-lung,FOXJ1,TFAP2A,655,0.6473053730992545,4.839097226747379e-79,4.627386723077181e-78,99.35147405896237,0.5975212927979912,0.6921182702944457
GTEx-lung,MUC5B,TFAP2A,655,0.5770569648057416,2.041659087510048e-59,1.4198810926774427e-58,98.4049361974479,0.5202449190965835,0.6287841536837255
GTEx-lung,PTPRC,TFAP2A,655,,,,,,
GTEx-lung,COL1A1,TFAP2A,655,0.03734738666467557,0.3399127214855501,0.3662439886428814,49.00246009840394,-0.043970464403662125,0.1181736120157627
GTEx-lung,PECAM1,TFAP2A,655,-0.2497889030304636,8.951025963072987e-11,1.9020930171530096e-10,10.940437617504701,-0.3243950291487515,-0.17209427058841884
GTEx-lung,CLDN4,TACSTD2,655,0.755758580352249,3.599161245366653e-122,6.883395881763724e-121,99.9009960398416,0.7186686130056569,0.7885602810742532
GTEx-lung,NKX2-1,TACSTD2,655,0.5584783390392734,5.489016756606316e-55,3.499248182336526e-54,98.02592103684148,0.4999619852582075,0.6119186019644836
GTEx-lung,EPCAM,TACSTD2,655,0.8145386268007351,1.4288880960622676e-156,7.287329289917565e-155,99.97049881995281,0.7852832569646354,0.8401647938433794
GTEx-lung,SFTPC,TACSTD2,655,0.5356187369770513,6.606102533370011e-50,4.042934750422447e-49,97.53040121604865,0.475093134699623,0.591099905906211
