dataset,covariates,gene_a,gene_b,n,partial_rho,p_value,fdr
GTEx-lung,EPCAM,KLF4,TACSTD2,655,0.13101884822865,0.0007831591507132608,0.0014147391109658905
GTEx-lung,EPCAM,KLF4,CLDN4,655,0.24758469328373361,1.3655520121763645e-10,4.779432042617276e-10
GTEx-lung,EPCAM,TFAP2A,TACSTD2,655,0.05045623872983337,0.1975054391380281,0.2457845464828794
GTEx-lung,EPCAM,TFAP2A,CLDN4,655,0.20226874542040604,1.820156374520708e-07,5.995809233715273e-07
GTEx-lung,EPCAM,ELF3,NKX2-1,655,0.13765301371649363,0.0004150201986637483,0.0008014183146610313
GTEx-lung,EPCAM,GRHL1,NKX2-1,655,-0.15446543574445112,7.294104684005327e-05,0.00014588209368010654
GTEx-lung,EPCAM,KLF4,NKX2-1,655,0.1678987632124242,1.587319654745025e-05,4.040450030260064e-05
GTEx-lung,EPCAM,TFAP2A,NKX2-1,655,-0.03051294153145663,0.43597439818299083,0.48829132596494973
GTEx-lung,EPCAM,TACSTD2,NKX2-1,655,0.000677168551858346,0.9862097372050496,0.9862097372050496
GTEx-lung,EPCAM,CLDN4,NKX2-1,655,0.3807742441606875,5.40656230070412e-24,3.364083209327008e-23
GTEx-lung,EPCAM+SFTPC+SCGB1A1,ELF3,TACSTD2,655,0.17030273024999923,1.2300453906667272e-05,3.280121041777939e-05
GTEx-lung,EPCAM+SFTPC+SCGB1A1,ELF3,CLDN4,655,0.5857569776244643,2.5773802445059466e-61,2.88666587384666e-60
GTEx-lung,EPCAM+SFTPC+SCGB1A1,GRHL1,TACSTD2,655,0.12015395137013786,0.0021170588357738132,0.0037048529626041733
GTEx-lung,EPCAM+SFTPC+SCGB1A1,GRHL1,CLDN4,655,0.194839794302492,5.339977593592123e-07,1.5738881328482046e-06
GTEx-lung,EPCAM+SFTPC+SCGB1A1,KLF4,TACSTD2,655,0.13303861522459298,0.0006599993317836263,0.0012319987526627691
GTEx-lung,EPCAM+SFTPC+SCGB1A1,KLF4,CLDN4,655,0.16102565839427585,3.615470565078738e-05,8.080228311235714e-05
GTEx-lung,EPCAM+SFTPC+SCGB1A1,TFAP2A,TACSTD2,655,-0.04223030746710393,0.2815999409289036,0.3355233338727362
GTEx-lung,EPCAM+SFTPC+SCGB1A1,TFAP2A,CLDN4,655,0.10060236201083536,0.010157981863228405,0.01625277098116545
GTEx-lung,EPCAM+SFTPC+SCGB1A1,ELF3,NKX2-1,655,0.059339380406604254,0.130123388045022,0.16561158478457344
GTEx-lung,EPCAM+SFTPC+SCGB1A1,GRHL1,NKX2-1,655,0.03800339363401953,0.3326062298889665,0.3801214055873902
GTEx-lung,EPCAM+SFTPC+SCGB1A1,KLF4,NKX2-1,655,0.013544590724855695,0.7299412318641405,0.7569760923035531
GTEx-lung,EPCAM+SFTPC+SCGB1A1,TFAP2A,NKX2-1,655,0.08854246044101559,0.02376094607633333,0.03696147167429629
GTEx-lung,EPCAM+SFTPC+SCGB1A1,TACSTD2,NKX2-1,655,0.0293462707768657,0.45442430104289516,0.49897570310592415
GTEx-lung,EPCAM+SFTPC+SCGB1A1,CLDN4,NKX2-1,655,0.2502683377738242,9.076304075456344e-11,3.388486854837035e-10
GTEx-lung,all_lineage_markers,ELF3,TACSTD2,655,0.1639861556809758,2.9767932074376975e-05,6.945850817354628e-05
GTEx-lung,all_lineage_markers,ELF3,CLDN4,655,0.602222953855153,1.2995590124761662e-64,1.8193826174666327e-63
GTEx-lung,all_lineage_markers,GRHL1,TACSTD2,655,0.0166636784224006,0.6734440037488183,0.7115634756591288
GTEx-lung,all_lineage_markers,GRHL1,CLDN4,655,0.32207723371667923,5.81988372127772e-17,2.507026833781172e-16
GTEx-lung,all_lineage_markers,KLF4,TACSTD2,655,0.08536992769786875,0.030555531903254215,0.04624621044816854
GTEx-lung,all_lineage_markers,KLF4,CLDN4,655,0.19895786998098905,3.7307209321222973e-07,1.160668734438048e-06
GTEx-lung,all_lineage_markers,TFAP2A,TACSTD2,655,-0.07000206912366705,0.07632636906822504,0.10425065043464884
GTEx-lung,all_lineage_markers,TFAP2A,CLDN4,655,-0.04825375188295262,0.22209789133653568,0.2703800416270869
GTEx-lung,all_lineage_markers,ELF3,NKX2-1,655,0.03999891368592687,0.31158053418679593,0.3635106232179286
GTEx-lung,all_lineage_markers,GRHL1,NKX2-1,655,0.07847160627153794,0.046868977149707135,0.0690700715890421
GTEx-lung,all_lineage_markers,KLF4,NKX2-1,655,0.010714537850096514,0.7864212850396438,0.8007198538585464
GTEx-lung,all_lineage_markers,TFAP2A,NKX2-1,655,0.06536358029762733,0.09798407983814678,0.13064543978419568
GTEx-lung,all_lineage_markers,TACSTD2,NKX2-1,655,0.07060699034441983,0.07381387293745945,0.10333942211244322
GTEx-lung,all_lineage_markers,CLDN4,NKX2-1,655,0.15892332879159174,5.2403607961981234e-05,0.000108688964661887
TCGA-LUAD,none,ELF3,TACSTD2,601,0.37622931879868,1.205553592789866e-21,5.193153938171731e-21
TCGA-LUAD,none,ELF3,CLDN4,601,0.5672288710399612,1.816739553445266e-52,1.017374149929349e-50
TCGA-LUAD,none,GRHL1,TACSTD2,601,0.4086236670886287,1.3662657880491044e-25,1.0930126304392835e-24
TCGA-LUAD,none,GRHL1,CLDN4,601,0.4383755755910692,1.2883663188366748e-29,1.20247523091423e-28
TCGA-LUAD,none,KLF4,TACSTD2,601,0.09416083935412188,0.020959843618226507,0.024453150887930927
TCGA-LUAD,none,KLF4,CLDN4,601,-0.21916285703229949,5.705873165235265e-08,1.0650963241772493e-07
TCGA-LUAD,none,TFAP2A,TACSTD2,601,0.27822013145311525,3.811125145953661e-12,8.892625340558542e-12
TCGA-LUAD,none,TFAP2A,CLDN4,601,0.30436487360489994,2.3885200748076853e-14,7.039848641538442e-14
TCGA-LUAD,none,ELF3,NKX2-1,601,0.20109816971713812,6.67512223868613e-07,1.1681463917700727e-06
TCGA-LUAD,none,GRHL1,NKX2-1,601,0.11694202906562154,0.004094912367344113,0.005211706649347053
TCGA-LUAD,none,KLF4,NKX2-1,601,-0.3828330965555746,2.0514310998126276e-22,1.2764460176611904e-21
TCGA-LUAD,none,TFAP2A,NKX2-1,601,-0.2180740294415178,6.658656166970325e-08,1.2028540172591554e-07
TCGA-LUAD,none,TACSTD2,NKX2-1,601,-0.033564491075229,0.41144009747826893,0.4189208265233284
TCGA-LUAD,none,CLDN4,NKX2-1,601,0.2423141939513878,1.7663867840957243e-09,3.5327735681914486e-09
TCGA-LUAD,EPCAM,ELF3,TACSTD2,601,0.3322923201298537,6.20614969465141e-17,2.31696255266986e-16
TCGA-LUAD,EPCAM,ELF3,CLDN4,601,0.4802445668820391,6.069947940041832e-36,1.699585423211713e-34
TCGA-LUAD,EPCAM,GRHL1,TACSTD2,601,0.3790861635039794,6.090567061751002e-22,2.8422646288171345e-21
TCGA-LUAD,EPCAM,GRHL1,CLDN4,601,0.3791789220386516,5.941378727681978e-22,2.8422646288171345e-21
TCGA-LUAD,EPCAM,KLF4,TACSTD2,601,0.18281837927155706,6.580780127323604e-06,1.0838931974415348e-05
TCGA-LUAD,EPCAM,KLF4,CLDN4,601,-0.06440532552184727,0.11503767160589179,0.12388672326788346
TCGA-LUAD,EPCAM,TFAP2A,TACSTD2,601,0.24778112712004513,7.606942620490214e-10,1.638418410567123e-09
TCGA-LUAD,EPCAM,TFAP2A,CLDN4,601,0.24261592058407083,1.7372852236636873e-09,3.5327735681914486e-09
TCGA-LUAD,EPCAM,ELF3,NKX2-1,601,0.12220257725080859,0.002714527655527597,0.003707647529501108
TCGA-LUAD,EPCAM,GRHL1,NKX2-1,601,0.061493683073749,0.1324360793353846,0.1399324611845573
TCGA-LUAD,EPCAM,KLF4,NKX2-1,601,-0.3257951959260981,2.6532869900171556e-16,9.286504465060044e-16
TCGA-LUAD,EPCAM,TFAP2A,NKX2-1,601,-0.2817740303090374,2.056759448114505e-12,5.0077621345396645e-12
TCGA-LUAD,EPCAM,TACSTD2,NKX2-1,601,-0.08552035507658239,0.03623487278469891,0.041411283182513046
TCGA-LUAD,EPCAM,CLDN4,NKX2-1,601,0.1537940023234341,0.00015567688130335833,0.00023561906359427206
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,ELF3,TACSTD2,601,0.3110319510769386,7.028731355730104e-15,2.3153467995346227e-14
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,ELF3,CLDN4,601,0.46881708274410755,5.244584617296304e-34,7.342418464214825e-33
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,GRHL1,TACSTD2,601,0.3846241849352479,1.606081418777784e-22,1.124256993144449e-21
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,GRHL1,CLDN4,601,0.3810705103443275,4.191300316222554e-22,2.34712817708463e-21
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,KLF4,TACSTD2,601,0.15835056480722037,0.0001007533309004297,0.00015672740362289062
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,KLF4,CLDN4,601,-0.09977626304432162,0.014649855573837323,0.01745514706669979
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,TFAP2A,TACSTD2,601,0.2855167225380487,1.11038417978512e-12,2.826432457634851e-12
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,TFAP2A,CLDN4,601,0.2694686206171702,2.0822434630780834e-11,4.664225357294907e-11
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,ELF3,NKX2-1,601,0.10753537640728889,0.008493197428622366,0.010569312355618945
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,GRHL1,NKX2-1,601,0.080571293085436,0.04891019192759922,0.05477941495891112
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,KLF4,NKX2-1,601,-0.472011102778407,1.6495894375745757e-34,3.0792336168058747e-33
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,TFAP2A,NKX2-1,601,-0.2200220377744588,5.451418082694045e-08,1.0526876297616088e-07
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,TACSTD2,NKX2-1,601,-0.10343676276255315,0.011375531711021966,0.013848473387331089
TCGA-LUAD,EPCAM+SFTPC+SCGB1A1,CLDN4,NKX2-1,601,0.15349062352449105,0.00016458543673543395,0.00024254695939958688
TCGA-LUAD,all_lineage_markers,ELF3,TACSTD2,601,0.3060735324740325,3.224504139609058e-14,9.028611590905362e-14
TCGA-LUAD,all_lineage_markers,ELF3,CLDN4,601,0.4503695059740013,1.0360449689926456e-30,1.160370365271763e-29
TCGA-LUAD,all_lineage_markers,GRHL1,TACSTD2,601,0.29176505604159597,5.295489181692562e-13,1.4121304484513497e-12
TCGA-LUAD,all_lineage_markers,GRHL1,CLDN4,601,0.31057536287298737,1.2941168085279943e-14,4.026141182087094e-14
TCGA-LUAD,all_lineage_markers,KLF4,TACSTD2,601,0.20185890472464613,8.002961021781932e-07,1.3580782339993582e-06
TCGA-LUAD,all_lineage_markers,KLF4,CLDN4,601,-0.012108868782472575,0.7695142078318589,0.7695142078318588
TCGA-LUAD,all_lineage_markers,TFAP2A,TACSTD2,601,0.15139173652624,0.00022915170812293196,0.00032903835012523564
TCGA-LUAD,all_lineage_markers,TFAP2A,CLDN4,601,0.1230986502096128,0.002789674058671687,0.0037195654115622493
TCGA-LUAD,all_lineage_markers,ELF3,NKX2-1,601,0.12240860718996635,0.002947866634330719,0.0038390821284307037
TCGA-LUAD,all_lineage_markers,GRHL1,NKX2-1,601,0.13283921875744273,0.0012437826030909712,0.0017412956443273596
TCGA-LUAD,all_lineage_markers,KLF4,NKX2-1,601,-0.3415692428841383,1.5595613098588396e-17,6.238245239435358e-17
TCGA-LUAD,all_lineage_markers,TFAP2A,NKX2-1,601,-0.042731007547722466,0.30093075273206493,0.31207633616658587
TCGA-LUAD,all_lineage_markers,TACSTD2,NKX2-1,601,-0.07672303606582248,0.06299638481450007,0.06917250097278438
TCGA-LUAD,all_lineage_markers,CLDN4,NKX2-1,601,0.17450148218544656,2.089351392632981e-05,3.34296222821277e-05
