gene	cytoband	mean_log2_cldn4_high	mean_log2_cldn4_low	sd_log2_cldn4_high	sd_log2_cldn4_low	log2_ratio_high_over_low	p_value	q_value	higher_expression_in
PRSS8	16p11.2	12.15	11.46	0.73	1.41	0.69	1.44e-07	8.236e-05	CLDN4 High
CAPS	19p13.3	10.76	9.8	1.49	1.63	0.96	1.6e-07	8.871e-05	CLDN4 High
RABEP1	17p13.2	9.19	9.49	0.47	0.5	-0.3	1.72e-07	9.268e-05	CLDN4 Low
PHLDA2	11p15.4	8.57	7.77	1.25	1.4	0.8	1.99e-07	0.0001047	CLDN4 High
TMEM139	7q34	10.07	9.43	0.85	1.23	0.64	2.73e-07	0.0001381	CLDN4 High
KRTCAP2	1q22	11.48	11.11	0.69	0.52	0.37	2.77e-07	0.0001381	CLDN4 High
TNFRSF8	1p36.22	4.58	5.5	1.41	1.65	-0.92	3.04e-07	0.000148	CLDN4 Low
SLPI	20q13.12	13.87	12.88	1.58	1.73	0.99	3.2e-07	0.0001521	CLDN4 High
SERINC2	1p35.2	11.37	10.72	1.06	1.13	0.65	3.3e-07	0.0001532	CLDN4 High
SPTBN1	2p16.2	11.7	12.09	0.64	0.68	-0.39	3.41e-07	0.0001548	CLDN4 Low
MOSPD3	7q22.1	9.91	9.6	0.52	0.53	0.31	4.07e-07	0.0001804	CLDN4 High
DOCK11	Xq24	6.79	7.55	1.24	1.33	-0.76	4.32e-07	0.0001868	CLDN4 Low
ELF3	1q32.1	13.07	12.48	0.8	1.17	0.59	4.5e-07	0.0001868	CLDN4 High
TTL	2q14.1	9.4	9.76	0.67	0.52	-0.35	4.57e-07	0.0001868	CLDN4 Low
SMIM5	17q25.1	4.73	3.89	1.51	1.35	0.84	4.58e-07	0.0001868	CLDN4 High
ARL8A	1q32.1	11.09	10.83	0.44	0.45	0.26	6.19e-07	0.0002474	CLDN4 High
PPDPF	20q13.33	13.67	13.2	0.78	0.84	0.47	7.06e-07	0.0002767	CLDN4 High
C7ORF50	7p22.3	10.2	9.81	0.73	0.62	0.39	7.39e-07	0.000279	CLDN4 High
S100A2	1q21.3	8.67	7.58	1.79	2	1.1	7.4e-07	0.000279	CLDN4 High
HSPB1	7q11.23	14.51	14.02	0.82	0.88	0.49	8.15e-07	0.0003015	CLDN4 High
ZC3H14	14q31.3	10.18	10.42	0.43	0.42	-0.24	1.043e-06	0.0003787	CLDN4 Low
ZNF660	3p21.31	4.24	4.83	1.1	0.99	-0.59	1.09e-06	0.0003889	CLDN4 Low
ABHD11-AS1	7q11.23	4.62	3.36	2.3	2.13	1.26	1.169e-06	0.0004097	CLDN4 High
N4BP2	4p14	6.24	6.71	0.81	0.82	-0.46	1.264e-06	0.0004353	CLDN4 Low
KRTCAP3	2p23.3	9.67	9.09	0.92	1.13	0.58	1.288e-06	0.0004359	CLDN4 High
GPATCH2L	14q24.3	7.46	7.75	0.52	0.52	-0.29	1.533e-06	0.0005042	CLDN4 Low
GSTK1	7q34	11.82	11.43	0.7	0.71	0.39	1.54e-06	0.0005042	CLDN4 High
POP7	7q22.1	9.57	9.27	0.54	0.53	0.3	1.664e-06	0.0005361	CLDN4 High
WFDC2	20q13.12	14.54	13.79	1.21	1.49	0.75	1.776e-06	0.0005629	CLDN4 High
TSPAN1	1p34.1	9.78	8.72	1.98	1.84	1.06	1.945e-06	0.0005985	CLDN4 High
TMUB1	7q36.1	10.67	10.39	0.48	0.53	0.28	1.954e-06	0.0005985	CLDN4 High
CD55	1q32.2	11.51	10.95	1.04	0.97	0.56	1.978e-06	0.0005985	CLDN4 High
VTCN1	1p13.1-p12	11.06	9.84	1.89	2.48	1.22	2.047e-06	0.0006104	CLDN4 High
SORBS1	10q24.1	8.34	8.84	1.01	0.81	-0.5	2.192e-06	0.0006438	CLDN4 Low
PPP1R35	7q22.1	9.14	8.79	0.66	0.61	0.35	2.228e-06	0.000645	CLDN4 High
BPGM	7q33	8.97	8.63	0.6	0.61	0.33	2.333e-06	0.0006656	CLDN4 High
H1-2	6p22.2	10.03	9.13	1.67	1.6	0.9	2.424e-06	0.0006775	CLDN4 High
PLLP	16q13	9.3	8.69	1.11	1.14	0.62	2.442e-06	0.0006775	CLDN4 High
TOP3A	17p11.2	8.34	8.61	0.5	0.47	-0.27	2.524e-06	0.0006905	CLDN4 Low
PGBD1	6p22.1	6.45	6.93	0.94	0.79	-0.48	2.637e-06	0.0007118	CLDN4 Low
BIK	22q13.2	7.99	7.3	1.17	1.35	0.69	2.877e-06	0.0007128	CLDN4 High
AP1S1	7q22.1	9.99	9.7	0.55	0.54	0.3	2.892e-06	0.0007128	CLDN4 High
TRIP6	7q22.1	11.05	10.69	0.63	0.7	0.36	2.907e-06	0.0007128	CLDN4 High
IL17RE	3p25.3	7.99	7.49	0.84	1.02	0.51	2.925e-06	0.0007128	CLDN4 High
NSUN5	7q11.23	9.74	9.48	0.48	0.49	0.26	2.978e-06	0.0007128	CLDN4 High
EPS8L2	11p15.5	11.28	10.82	0.73	0.93	0.45	2.987e-06	0.0007128	CLDN4 High
STX1A	7q11.23	7.67	7.3	0.69	0.67	0.37	3.021e-06	0.0007128	CLDN4 High
WDHD1	14q22.2-q22.3	7.55	7.92	0.72	0.66	-0.37	3.041e-06	0.0007128	CLDN4 Low
CPSF2	14q32.12	9.89	10.12	0.41	0.44	-0.23	3.087e-06	0.0007128	CLDN4 Low
ZNF449	Xq26.3	7.06	7.34	0.47	0.54	-0.28	3.095e-06	0.0007128	CLDN4 Low
KLHL18	3p21.31	8.44	8.66	0.45	0.37	-0.22	3.105e-06	0.0007128	CLDN4 Low
HEBP2	6q24.1	10.56	10.16	0.72	0.75	0.4	3.137e-06	0.0007128	CLDN4 High
RECQL	12p12.1	9.13	9.49	0.71	0.62	-0.36	3.164e-06	0.0007128	CLDN4 Low
NEK9	14q24.3	9.91	10.22	0.59	0.54	-0.31	3.198e-06	0.0007128	CLDN4 Low
MACC1	7p21.1	9.2	8.34	1.3	1.83	0.86	3.207e-06	0.0007128	CLDN4 High
PROM2	2q11.1	10.83	9.9	1.47	1.94	0.93	3.212e-06	0.0007128	CLDN4 High
ZKSCAN8	6p21	9.05	9.48	0.89	0.69	-0.43	3.395e-06	0.0007451	CLDN4 Low
EFNA1	1q22	10.78	10.35	0.82	0.77	0.43	3.501e-06	0.0007602	CLDN4 High
ZNF445	3p21.31	9	9.35	0.67	0.63	-0.35	3.575e-06	0.0007678	CLDN4 Low
ARRDC1	9q34.3	10.43	10.1	0.62	0.59	0.33	3.63e-06	0.0007714	CLDN4 High
LAD1	1q32.1	10.74	10.16	0.8	1.27	0.57	3.706e-06	0.0007732	CLDN4 High
JUND	19p13.11	12.92	12.58	0.67	0.61	0.34	3.716e-06	0.0007732	CLDN4 High
DYNLRB1	20q11.22	12.07	11.79	0.54	0.53	0.29	3.795e-06	0.0007815	CLDN4 High
DDR2	1q23.3	6.82	7.54	1.38	1.31	-0.72	4.093e-06	0.0008342	CLDN4 Low
ATF3	1q32.3	9.8	9.09	1.43	1.19	0.71	4.171e-06	0.0008416	CLDN4 High
TMEM54	1p35.1	9.51	8.92	0.98	1.21	0.59	4.321e-06	0.0008631	CLDN4 High
LAMTOR2	1q22	9.83	9.49	0.67	0.6	0.34	4.402e-06	0.0008705	CLDN4 High
SBDSP1	7q11.23	8.35	8.08	0.48	0.53	0.27	4.475e-06	0.0008763	CLDN4 High
YPEL3	16p11.2	10.99	10.63	0.69	0.65	0.36	4.558e-06	0.0008838	CLDN4 High
BRI3	7q21.3	10.69	10.38	0.64	0.52	0.31	4.709e-06	0.0008961	CLDN4 High
TMEM270	7q11.23	3.25	2.56	1.37	1.23	0.69	4.711e-06	0.0008961	CLDN4 High
SERINC5	5q14.1	7.82	8.27	0.88	0.83	-0.46	4.844e-06	0.0009128	CLDN4 Low
MDN1	6q15	9.18	9.59	0.79	0.79	-0.42	5.033e-06	0.0009395	CLDN4 Low
SCAMP3	1q22	11.3	11.08	0.45	0.39	0.22	5.205e-06	0.0009627	CLDN4 High
SENP1	12q13.11	9.16	9.45	0.55	0.52	-0.28	5.516e-06	0.001011	CLDN4 Low
ADD2	2p13.3	7.3	8.19	1.86	1.48	-0.89	5.776e-06	0.001049	CLDN4 Low
MAFF	22q13.1	9.03	8.52	0.91	1.06	0.52	5.905e-06	0.001063	CLDN4 High
RFXANK	19p13.11	11.05	10.67	0.73	0.71	0.38	5.977e-06	0.001066	CLDN4 High
NECAB3	20q11.22	10.35	9.96	0.79	0.67	0.39	6.117e-06	0.001081	CLDN4 High
LONRF2	2q11.2	8.73	9.56	1.65	1.54	-0.84	6.205e-06	0.001087	CLDN4 Low
TMPRSS4	11q23.3	10.43	9.28	1.64	2.64	1.15	6.761e-06	0.001174	CLDN4 High
NUP160	11p11.2	10.03	10.26	0.45	0.46	-0.24	6.908e-06	0.001189	CLDN4 Low
GRHL1	2p25.1	7.81	7.17	1.09	1.36	0.64	7.194e-06	0.001228	CLDN4 High
RAB20	13q34	8.88	8.49	0.76	0.73	0.39	7.578e-06	0.001269	CLDN4 High
CRB3	19p13.3	8.88	8.36	0.75	1.18	0.52	7.594e-06	0.001269	CLDN4 High
MIDN	19p13.3	11.65	11.35	0.55	0.58	0.29	7.622e-06	0.001269	CLDN4 High
UHRF1BP1	6p21.31	9.35	9.68	0.68	0.57	-0.33	7.78e-06	0.001284	CLDN4 Low
ZFP36	19q13.2	12.05	11.4	1.29	1.22	0.65	8.097e-06	0.001326	CLDN4 High
FAM110A	20p13	8.69	8.3	0.71	0.78	0.38	8.462e-06	0.001374	CLDN4 High
DDRGK1	20p13	10.17	9.87	0.6	0.58	0.3	9.121e-06	0.001469	CLDN4 High
BORCS8	19p13.11	8.87	8.51	0.69	0.71	0.36	9.348e-06	0.001483	CLDN4 High
CSTB	21q22.3	11.89	11.52	0.7	0.75	0.37	9.458e-06	0.001483	CLDN4 High
FBXW2	9q33.2	10.19	10.45	0.53	0.49	-0.26	9.532e-06	0.001483	CLDN4 Low
SH2D3A	19p13.3	8.74	8.25	0.84	1.08	0.5	9.537e-06	0.001483	CLDN4 High
CNOT1	16q21	11.87	12.14	0.54	0.5	-0.27	9.604e-06	0.001483	CLDN4 Low
ZNF620	3p22.1	6.39	6.74	0.7	0.66	-0.35	9.653e-06	0.001483	CLDN4 Low
TACSTD2	1p32.1	12.73	11.94	1.32	1.72	0.79	9.781e-06	0.001491	CLDN4 High
OVOL1	11q13.1	6.98	6.17	1.45	1.67	0.8	9.881e-06	0.001495	CLDN4 High
PWWP2B	10q26.3	9.45	9.12	0.62	0.64	0.32	9.997e-06	0.001495	CLDN4 High
FAM138F	19p13.3	0.39	0.94	0.66	1.33	-0.54	1.015e-05	0.001495	CLDN4 Low
SNX30	9q32	8.56	8.93	0.73	0.68	-0.36	1.015e-05	0.001495	CLDN4 Low
CHST12	7p22.3	9	8.73	0.49	0.57	0.27	1.024e-05	0.001495	CLDN4 High
CLSPN	1p34.3	6.81	7.41	1.24	1.06	-0.59	1.025e-05	0.001495	CLDN4 Low
VASH1	14q24.3	8.92	9.33	0.84	0.74	-0.41	1.058e-05	0.001532	CLDN4 Low
PRND	20p13	2.39	3.23	1.45	1.81	-0.84	1.074e-05	0.001534	CLDN4 Low
TMEM184A	7p22.3	9.14	8.6	0.92	1.2	0.55	1.075e-05	0.001534	CLDN4 High
ATP6V1F	7q32.1	11.36	11.06	0.56	0.58	0.29	1.096e-05	0.001552	CLDN4 High
RNGTT	6q15	8.18	8.46	0.55	0.55	-0.28	1.109e-05	0.001561	CLDN4 Low
GPAM	10q25.2	7.98	8.36	0.76	0.7	-0.37	1.151e-05	0.001607	CLDN4 Low
BTAF1	10q23.32	8.96	9.28	0.65	0.6	-0.32	1.165e-05	0.001616	CLDN4 Low
UBR7	14q32.12	9.67	9.94	0.47	0.58	-0.27	1.262e-05	0.001738	CLDN4 Low
KCTD20	6p21.31	9.9	10.19	0.59	0.52	-0.28	1.3e-05	0.001774	CLDN4 Low
DHX33	17p13.2	8.07	8.39	0.63	0.64	-0.32	1.316e-05	0.001774	CLDN4 Low
ANKRD6	6q15	9.17	9.66	0.89	1.04	-0.49	1.322e-05	0.001774	CLDN4 Low
GPC3	Xq26.2	6.79	7.81	1.91	2.13	-1.02	1.323e-05	0.001774	CLDN4 Low
ATAD5	17q11.2	6.28	6.69	0.83	0.76	-0.4	1.339e-05	0.001783	CLDN4 Low
DPY19L3	19q13.11	8.33	8.72	0.81	0.75	-0.4	1.362e-05	0.001791	CLDN4 Low
GADD45A	1p31.3	9.75	9.33	0.79	0.86	0.42	1.363e-05	0.001791	CLDN4 High
SUZ12	17q11.2	9.43	9.66	0.45	0.45	-0.23	1.377e-05	0.001792	CLDN4 Low
SYNM	15q26.3	6.4	6.98	1.2	1.12	-0.59	1.391e-05	0.001792	CLDN4 Low
TSPO	22q13.2	11.11	10.67	0.91	0.84	0.44	1.395e-05	0.001792	CLDN4 High
VAMP8	2p11.2	11.36	11.01	0.67	0.73	0.35	1.4e-05	0.001792	CLDN4 High
CASP8AP2	6q15	8.19	8.51	0.63	0.65	-0.32	1.479e-05	0.001867	CLDN4 Low
H2AC6	6p22.2	10.66	10.09	1.1	1.18	0.57	1.481e-05	0.001867	CLDN4 High
C1ORF116	1q32.1	8.93	8.04	1.69	1.85	0.89	1.486e-05	0.001867	CLDN4 High
PCGF1	2p13.1	8.66	8.43	0.47	0.46	0.23	1.52e-05	0.001895	CLDN4 High
NOXA1	9q34.3	8.39	7.89	1.04	0.96	0.5	1.527e-05	0.001895	CLDN4 High
CAPG	2p11.2	11.34	10.93	0.81	0.84	0.41	1.66e-05	0.002036	CLDN4 High
ZSCAN12	6p22.1	7.81	8.18	0.78	0.69	-0.37	1.67e-05	0.002036	CLDN4 Low
DUSP5	10q25.2	8.47	7.84	1.23	1.29	0.63	1.672e-05	0.002036	CLDN4 High
LUZP1	1p36.12	9.54	9.86	0.68	0.59	-0.32	1.709e-05	0.002069	CLDN4 Low
TRIR	19p13.13	12.13	11.81	0.67	0.6	0.32	1.721e-05	0.00207	CLDN4 High
ZNHIT1	7q22.1	11.24	10.94	0.63	0.6	0.31	1.742e-05	0.002083	CLDN4 High
S100A6	1q21.3	13.26	12.55	1.4	1.44	0.71	1.789e-05	0.002127	CLDN4 High
KIF7	15q26.1	7.2	7.66	0.93	0.93	-0.46	1.814e-05	0.002144	CLDN4 Low
MYH3	17p13.1	3.69	4.38	1.28	1.47	-0.68	1.918e-05	0.002253	CLDN4 Low
SLC9A3R2	16p13.3	11.38	10.99	0.82	0.74	0.39	1.988e-05	0.002305	CLDN4 High
OXCT2	1p34.2	1.94	2.5	1.1	1.17	-0.56	1.988e-05	0.002305	CLDN4 Low
GTF2A1	14q31.1	7.16	7.46	0.68	0.53	-0.3	2.001e-05	0.002305	CLDN4 Low
EXOC5	14q22.3	9.63	9.84	0.42	0.46	-0.22	2.008e-05	0.002305	CLDN4 Low
TNPO1	5q13.2	10.55	10.75	0.43	0.41	-0.21	2.087e-05	0.002382	CLDN4 Low
MTHFD1	14q23.3	10.34	10.61	0.52	0.58	-0.27	2.173e-05	0.002467	CLDN4 Low
CLN3	16p12.1	10.35	10.07	0.55	0.56	0.27	2.226e-05	0.002507	CLDN4 High
NAP1L1	12q21.1	12.61	12.93	0.66	0.63	-0.32	2.24e-05	0.002507	CLDN4 Low
H2AC18	1q21.2	9.33	8.64	1.42	1.39	0.69	2.247e-05	0.002507	CLDN4 High
NCBP3	17p13.2	8.82	9.09	0.5	0.61	-0.27	2.355e-05	0.002614	CLDN4 Low
RC3H2	9q33.2	8.39	8.66	0.54	0.57	-0.27	2.409e-05	0.002639	CLDN4 Low
FLT3	13q12.2	1.58	2.29	1.23	1.64	-0.71	2.418e-05	0.002639	CLDN4 Low
TRAM2	6p12.2	9.93	10.23	0.62	0.6	-0.3	2.426e-05	0.002639	CLDN4 Low
NDUFA4	7p21.3	11.97	11.59	0.75	0.79	0.38	2.431e-05	0.002639	CLDN4 High
CEBPB	20q13.13	12.18	11.86	0.64	0.66	0.32	2.467e-05	0.002663	CLDN4 High
DENND2D	1p13.3-p13.2	9.9	9.6	0.56	0.69	0.31	2.521e-05	0.002707	CLDN4 High
GPX4	19p13.3	12.07	11.74	0.7	0.64	0.33	2.572e-05	0.002747	CLDN4 High
KIAA1958	9q32	6.25	6.62	0.8	0.73	-0.38	2.59e-05	0.002751	CLDN4 Low
ARF1	1q42.13	13.87	13.67	0.43	0.39	0.2	2.617e-05	0.002765	CLDN4 High
CARD19	9q22.31	8.67	8.35	0.69	0.65	0.33	2.677e-05	0.002812	CLDN4 High
SOCS4	14q22.3	8.69	8.93	0.49	0.51	-0.24	2.702e-05	0.002812	CLDN4 Low
FKBP8	19p13.11	13.02	12.77	0.55	0.5	0.26	2.703e-05	0.002812	CLDN4 High
UHRF1BP1L	12q23.1	8.03	8.29	0.53	0.5	-0.25	2.723e-05	0.002818	CLDN4 Low
MYO5A	15q21.2	8.41	8.8	0.81	0.77	-0.38	2.79e-05	0.002872	CLDN4 Low
ATG2B	14q32.2	9.1	9.38	0.58	0.56	-0.28	2.833e-05	0.002902	CLDN4 Low
GALNT16	14q24.1	5.83	6.54	1.37	1.55	-0.71	2.979e-05	0.003036	CLDN4 Low
BRIP1	17q23.2	6.17	6.67	1.15	0.91	-0.5	3.063e-05	0.0031	CLDN4 Low
METTL27	7q11.23	7.19	6.51	1.42	1.41	0.68	3.074e-05	0.0031	CLDN4 High
ANKFY1	17p13.2	10.53	10.79	0.49	0.57	-0.26	3.088e-05	0.0031	CLDN4 Low
EMP1	12p13.1	11.29	10.75	1.05	1.17	0.54	3.153e-05	0.003136	CLDN4 High
CXCL16	17p13.2	11.83	11.38	0.82	1.03	0.45	3.156e-05	0.003136	CLDN4 High
BICDL2	16p13.3	8.34	7.8	0.86	1.31	0.53	3.314e-05	0.003277	CLDN4 High
RGS19	20q13.33	9.45	9.16	0.57	0.61	0.28	3.363e-05	0.003309	CLDN4 High
FBXW7	4q31.3	7.56	7.81	0.52	0.51	-0.25	3.424e-05	0.003337	CLDN4 Low
UCA1	19p13.12	8.3	7	2.57	2.83	1.3	3.425e-05	0.003337	CLDN4 High
CCDC141	2q31.2	1.38	1.9	0.87	1.26	-0.52	3.522e-05	0.0034	CLDN4 Low
PEX11B	1q21.1	9.89	9.67	0.5	0.43	0.22	3.524e-05	0.0034	CLDN4 High
ITPRIPL1	2q11.2	4.56	5.13	1.28	1.13	-0.58	3.563e-05	0.003421	CLDN4 Low
SDC4	20q13.12	12.34	11.98	0.7	0.82	0.37	3.613e-05	0.003435	CLDN4 High
TSR1	17p13.3	9.78	10.05	0.55	0.57	-0.27	3.629e-05	0.003435	CLDN4 Low
KLHL11	17q21.2	5.43	5.79	0.74	0.76	-0.36	3.629e-05	0.003435	CLDN4 Low
GRIN2A	16p13.2	5.87	7.14	2.71	2.62	-1.27	3.733e-05	0.003517	CLDN4 Low
GPR63	6q16.1	4.47	5.06	1.24	1.23	-0.59	3.762e-05	0.003528	CLDN4 Low
RAB3A	19p13.11	7.56	7.16	0.8	0.89	0.4	3.853e-05	0.003596	CLDN4 High
ZSWIM4	19p13.13	10.64	10.19	0.94	0.94	0.45	3.888e-05	0.003612	CLDN4 High
ICA1	7p21.3	8.73	8.32	0.82	0.91	0.41	3.954e-05	0.003657	CLDN4 High
AGFG2	7q22.1	9.79	9.41	0.74	0.84	0.38	4.049e-05	0.003716	CLDN4 High
S100A4	1q21.3	10.96	10.23	1.6	1.49	0.74	4.056e-05	0.003716	CLDN4 High
LCN2	9q34.11	11.95	10.95	1.98	2.19	0.99	4.077e-05	0.003718	CLDN4 High
USP22	17p11.2	11.85	12.1	0.53	0.53	-0.25	4.114e-05	0.003735	CLDN4 Low
GDF15	19p13.11	8.01	7.3	1.52	1.49	0.71	4.145e-05	0.003735	CLDN4 High
ACACA	17q12	10.05	10.35	0.61	0.63	-0.3	4.152e-05	0.003735	CLDN4 Low
JUN	1p32.1	12.62	12.18	1	0.84	0.44	4.188e-05	0.003751	CLDN4 High
IL6ST	5q11.2	8.1	8.51	0.88	0.84	-0.41	4.332e-05	0.003863	CLDN4 Low
MPV17	2p23.3	10.6	10.36	0.54	0.48	0.24	4.414e-05	0.003918	CLDN4 High
DUSP1	5q35.1	11.83	11.18	1.37	1.41	0.66	4.545e-05	0.004016	CLDN4 High
PPP2R5E	14q23.2	9.22	9.44	0.5	0.44	-0.22	4.87e-05	0.004286	CLDN4 Low
CD24	6q21	14.5	13.92	1.12	1.34	0.58	4.998e-05	0.004354	CLDN4 High
PNPLA2	11p15.5	11.73	11.43	0.61	0.67	0.3	5.035e-05	0.004354	CLDN4 High
TCIM	8p11.21	8.79	8	1.69	1.64	0.78	5.041e-05	0.004354	CLDN4 High
SQSTM1	5q35.3	13.22	12.87	0.83	0.63	0.35	5.059e-05	0.004354	CLDN4 High
DEDD	1q23.3	10.31	10.14	0.36	0.36	0.17	5.064e-05	0.004354	CLDN4 High
S100PBP	1p35.1	9.01	9.27	0.59	0.49	-0.26	5.079e-05	0.004354	CLDN4 Low
RASSF3	12q14.2	6.88	7.27	0.82	0.82	-0.38	5.116e-05	0.004367	CLDN4 Low
ZNF302	19q13.11	8.86	9.17	0.61	0.73	-0.32	5.195e-05	0.004415	CLDN4 Low
PDCD4-AS1	10q25.2	5.8	6.18	0.82	0.81	-0.38	5.219e-05	0.004417	CLDN4 Low
PRKDC	8q11.21	11.96	12.23	0.58	0.58	-0.27	5.281e-05	0.004446	CLDN4 Low
GID4	17p11.2	8.07	8.27	0.43	0.43	-0.2	5.298e-05	0.004446	CLDN4 Low
PARP11	12p13.32	7.67	8.13	1.05	0.94	-0.46	5.409e-05	0.004496	CLDN4 Low
SMG1	16p12.3	10.71	10.97	0.54	0.54	-0.25	5.41e-05	0.004496	CLDN4 Low
HELLS	10q23.33	6.96	7.39	0.95	0.91	-0.43	5.429e-05	0.004496	CLDN4 Low
PRPF8	17p13.3	12.65	12.93	0.57	0.62	-0.28	5.447e-05	0.004496	CLDN4 Low
POLR2J	7q22.1	10.78	10.49	0.62	0.63	0.29	5.508e-05	0.004514	CLDN4 High
ZNF460	19q13.43	6	6.37	0.73	0.85	-0.37	5.518e-05	0.004514	CLDN4 Low
ZFX	Xp22.11	9.48	9.7	0.49	0.48	-0.23	5.537e-05	0.004514	CLDN4 Low
PTPN21	14q31.3	8.37	8.68	0.69	0.65	-0.31	5.66e-05	0.004596	CLDN4 Low
TIMM17B	Xp11.23	10.63	10.25	0.9	0.71	0.38	5.706e-05	0.004612	CLDN4 High
LRCH4	7q22.1	10.86	10.57	0.63	0.63	0.29	5.757e-05	0.004612	CLDN4 High
VGLL1	Xq26.3	8.06	7.03	2.07	2.33	1.03	5.77e-05	0.004612	CLDN4 High
SPINT1	15q15.1	12.87	12.43	0.7	1.13	0.44	5.792e-05	0.004612	CLDN4 High
IREB2	15q25.1	9.82	10.05	0.5	0.48	-0.23	5.802e-05	0.004612	CLDN4 Low
BAG2	6p12.1	7.71	8.22	1.1	1.09	-0.51	5.819e-05	0.004612	CLDN4 Low
NOLC1	10q24.32	11.27	11.51	0.5	0.54	-0.24	5.936e-05	0.004684	CLDN4 Low
MCM3	6p12.2	11.04	11.35	0.64	0.7	-0.31	5.956e-05	0.004684	CLDN4 Low
MAP4	3p21.31	12.46	12.71	0.54	0.54	-0.25	6.017e-05	0.004713	CLDN4 Low
ABAT	16p13.2	8.27	8.84	1.19	1.26	-0.57	6.06e-05	0.004713	CLDN4 Low
KBTBD8	3p14.1	4.49	4.89	0.81	0.88	-0.39	6.064e-05	0.004713	CLDN4 Low
DUSP23	1q23.2	10.32	9.96	0.84	0.72	0.36	6.188e-05	0.004769	CLDN4 High
CBX5	12q13.13	11.84	12.16	0.72	0.67	-0.32	6.195e-05	0.004769	CLDN4 Low
CDK5R1	17q11.2	5.47	5.9	0.9	0.94	-0.43	6.219e-05	0.004769	CLDN4 Low
