cohort	slice	sample_id	patient_id	celltype	n
GSE207422	GSE207422_drmref	BD_immune02	P02	Stromal	2
GSE207422	GSE207422_drmref	BD_immune03	P03	Stromal	8
GSE207422	GSE207422_drmref	BD_immune04	P04	Stromal	11
GSE207422	GSE207422_drmref	BD_immune06	P06	Stromal	0
GSE207422	GSE207422_drmref	BD_immune07	P07	Stromal	150
GSE207422	GSE207422_drmref	BD_immune09	P09	Stromal	13
GSE207422	GSE207422_drmref	BD_immune10	P10	Stromal	32
GSE207422	GSE207422_drmref	BD_immune11	P11	Stromal	1
GSE207422	GSE207422_drmref	BD_immune12	P12	Stromal	1
GSE207422	GSE207422_drmref	BD_immune13	P13	Stromal	6
GSE207422	GSE207422_drmref	BD_immune14	P14	Stromal	9
GSE207422	GSE207422_drmref	BD_immune15	P15	Stromal	3
GSE207422	GSE207422_drmref	BD_immune02	P02	Other	0
GSE207422	GSE207422_drmref	BD_immune03	P03	Other	4
GSE207422	GSE207422_drmref	BD_immune04	P04	Other	3
GSE207422	GSE207422_drmref	BD_immune06	P06	Other	1
GSE207422	GSE207422_drmref	BD_immune07	P07	Other	31
GSE207422	GSE207422_drmref	BD_immune09	P09	Other	3
GSE207422	GSE207422_drmref	BD_immune10	P10	Other	22
GSE207422	GSE207422_drmref	BD_immune11	P11	Other	1
GSE207422	GSE207422_drmref	BD_immune12	P12	Other	48
GSE207422	GSE207422_drmref	BD_immune13	P13	Other	4
GSE207422	GSE207422_drmref	BD_immune14	P14	Other	27
GSE207422	GSE207422_drmref	BD_immune15	P15	Other	0
GSE241934	GSE241934_IIT	P343	P343	Epithelial	188
GSE241934	GSE241934_IIT	P438	P438	Epithelial	63
GSE241934	GSE241934_IIT	P519	P519	Epithelial	41
GSE241934	GSE241934_IIT	P529	P529	Epithelial	61
GSE241934	GSE241934_IIT	P531	P531	Epithelial	32
GSE241934	GSE241934_IIT	P547	P547	Epithelial	394
GSE241934	GSE241934_IIT	P549	P549	Epithelial	298
GSE241934	GSE241934_IIT	P586	P586	Epithelial	106
GSE241934	GSE241934_IIT	P589	P589	Epithelial	368
GSE241934	GSE241934_IIT	P590	P590	Epithelial	72
GSE241934	GSE241934_IIT	P591	P591	Epithelial	76
GSE241934	GSE241934_IIT	P343	P343	TNK	3307
GSE241934	GSE241934_IIT	P438	P438	TNK	3994
GSE241934	GSE241934_IIT	P519	P519	TNK	3100
GSE241934	GSE241934_IIT	P529	P529	TNK	4761
GSE241934	GSE241934_IIT	P531	P531	TNK	4061
GSE241934	GSE241934_IIT	P547	P547	TNK	2680
GSE241934	GSE241934_IIT	P549	P549	TNK	2870
GSE241934	GSE241934_IIT	P586	P586	TNK	3250
GSE241934	GSE241934_IIT	P589	P589	TNK	3521
GSE241934	GSE241934_IIT	P590	P590	TNK	5663
GSE241934	GSE241934_IIT	P591	P591	TNK	3505
GSE241934	GSE241934_IIT	P343	P343	B	725
GSE241934	GSE241934_IIT	P438	P438	B	1037
GSE241934	GSE241934_IIT	P519	P519	B	2147
GSE241934	GSE241934_IIT	P529	P529	B	1673
GSE241934	GSE241934_IIT	P531	P531	B	1876
GSE241934	GSE241934_IIT	P547	P547	B	699
GSE241934	GSE241934_IIT	P549	P549	B	1794
GSE241934	GSE241934_IIT	P586	P586	B	2075
GSE241934	GSE241934_IIT	P589	P589	B	274
GSE241934	GSE241934_IIT	P590	P590	B	1697
GSE241934	GSE241934_IIT	P591	P591	B	974
GSE241934	GSE241934_IIT	P343	P343	Myeloid	1021
GSE241934	GSE241934_IIT	P438	P438	Myeloid	430
GSE241934	GSE241934_IIT	P519	P519	Myeloid	588
GSE241934	GSE241934_IIT	P529	P529	Myeloid	661
GSE241934	GSE241934_IIT	P531	P531	Myeloid	1126
GSE241934	GSE241934_IIT	P547	P547	Myeloid	1507
GSE241934	GSE241934_IIT	P549	P549	Myeloid	1771
GSE241934	GSE241934_IIT	P586	P586	Myeloid	436
GSE241934	GSE241934_IIT	P589	P589	Myeloid	1785
GSE241934	GSE241934_IIT	P590	P590	Myeloid	287
GSE241934	GSE241934_IIT	P591	P591	Myeloid	827
GSE241934	GSE241934_IIT	P343	P343	Stromal	1810
GSE241934	GSE241934_IIT	P438	P438	Stromal	373
GSE241934	GSE241934_IIT	P519	P519	Stromal	773
GSE241934	GSE241934_IIT	P529	P529	Stromal	119
GSE241934	GSE241934_IIT	P531	P531	Stromal	364
GSE241934	GSE241934_IIT	P547	P547	Stromal	1684
GSE241934	GSE241934_IIT	P549	P549	Stromal	3562
GSE241934	GSE241934_IIT	P586	P586	Stromal	955
GSE241934	GSE241934_IIT	P589	P589	Stromal	741
GSE241934	GSE241934_IIT	P590	P590	Stromal	73
GSE241934	GSE241934_IIT	P591	P591	Stromal	416
GSE241934	GSE241934_RWC	P105	P105	Epithelial	266
GSE241934	GSE241934_RWC	P122	P122	Epithelial	17
GSE241934	GSE241934_RWC	P130	P130	Epithelial	105
GSE241934	GSE241934_RWC	P172	P172	Epithelial	213
GSE241934	GSE241934_RWC	P209	P209	Epithelial	64
GSE241934	GSE241934_RWC	P218	P218	Epithelial	96
GSE241934	GSE241934_RWC	P223	P223	Epithelial	5587
GSE241934	GSE241934_RWC	P266	P266	Epithelial	2175
GSE241934	GSE241934_RWC	P269	P269	Epithelial	645
GSE241934	GSE241934_RWC	P270	P270	Epithelial	863
GSE241934	GSE241934_RWC	P293	P293	Epithelial	613
GSE241934	GSE241934_RWC	P33	P33	Epithelial	8
GSE241934	GSE241934_RWC	P345	P345	Epithelial	1
GSE241934	GSE241934_RWC	P348	P348	Epithelial	1
GSE241934	GSE241934_RWC	P390	P390	Epithelial	432
GSE241934	GSE241934_RWC	P394	P394	Epithelial	15
GSE241934	GSE241934_RWC	P399	P399	Epithelial	331
GSE241934	GSE241934_RWC	P481	P481	Epithelial	0
GSE241934	GSE241934_RWC	P483	P483	Epithelial	10
GSE241934	GSE241934_RWC	P498	P498	Epithelial	12
GSE241934	GSE241934_RWC	P509	P509	Epithelial	192
GSE241934	GSE241934_RWC	P52	P52	Epithelial	96
GSE241934	GSE241934_RWC	P523	P523	Epithelial	91
GSE241934	GSE241934_RWC	P528	P528	Epithelial	212
GSE241934	GSE241934_RWC	P533	P533	Epithelial	45
GSE241934	GSE241934_RWC	P551	P551	Epithelial	94
GSE241934	GSE241934_RWC	P574	P574	Epithelial	130
GSE241934	GSE241934_RWC	P579	P579	Epithelial	2
GSE241934	GSE241934_RWC	P592	P592	Epithelial	36
GSE241934	GSE241934_RWC	P603	P603	Epithelial	49
GSE241934	GSE241934_RWC	P605	P605	Epithelial	12
GSE241934	GSE241934_RWC	P609	P609	Epithelial	76
GSE241934	GSE241934_RWC	P64	P64	Epithelial	48
GSE241934	GSE241934_RWC	P70	P70	Epithelial	248
GSE241934	GSE241934_RWC	P105	P105	TNK	4806
GSE241934	GSE241934_RWC	P122	P122	TNK	1713
GSE241934	GSE241934_RWC	P130	P130	TNK	2805
GSE241934	GSE241934_RWC	P172	P172	TNK	1701
GSE241934	GSE241934_RWC	P209	P209	TNK	4640
GSE241934	GSE241934_RWC	P218	P218	TNK	2734
GSE241934	GSE241934_RWC	P223	P223	TNK	711
GSE241934	GSE241934_RWC	P266	P266	TNK	1343
GSE241934	GSE241934_RWC	P269	P269	TNK	1077
GSE241934	GSE241934_RWC	P270	P270	TNK	2674
GSE241934	GSE241934_RWC	P293	P293	TNK	2261
GSE241934	GSE241934_RWC	P33	P33	TNK	8768
GSE241934	GSE241934_RWC	P345	P345	TNK	543
GSE241934	GSE241934_RWC	P348	P348	TNK	364
GSE241934	GSE241934_RWC	P390	P390	TNK	2376
GSE241934	GSE241934_RWC	P394	P394	TNK	3763
GSE241934	GSE241934_RWC	P399	P399	TNK	3940
GSE241934	GSE241934_RWC	P481	P481	TNK	5749
GSE241934	GSE241934_RWC	P483	P483	TNK	1725
GSE241934	GSE241934_RWC	P498	P498	TNK	562
GSE241934	GSE241934_RWC	P509	P509	TNK	4565
GSE241934	GSE241934_RWC	P52	P52	TNK	2624
GSE241934	GSE241934_RWC	P523	P523	TNK	5473
GSE241934	GSE241934_RWC	P528	P528	TNK	2220
GSE241934	GSE241934_RWC	P533	P533	TNK	3125
GSE241934	GSE241934_RWC	P551	P551	TNK	5388
GSE241934	GSE241934_RWC	P574	P574	TNK	4031
GSE241934	GSE241934_RWC	P579	P579	TNK	3684
GSE241934	GSE241934_RWC	P592	P592	TNK	3948
GSE241934	GSE241934_RWC	P603	P603	TNK	1260
GSE241934	GSE241934_RWC	P605	P605	TNK	6360
GSE241934	GSE241934_RWC	P609	P609	TNK	2452
GSE241934	GSE241934_RWC	P64	P64	TNK	2397
GSE241934	GSE241934_RWC	P70	P70	TNK	3214
GSE241934	GSE241934_RWC	P105	P105	B	1630
GSE241934	GSE241934_RWC	P122	P122	B	6263
GSE241934	GSE241934_RWC	P130	P130	B	3419
GSE241934	GSE241934_RWC	P172	P172	B	927
GSE241934	GSE241934_RWC	P209	P209	B	1723
GSE241934	GSE241934_RWC	P218	P218	B	412
GSE241934	GSE241934_RWC	P223	P223	B	162
GSE241934	GSE241934_RWC	P266	P266	B	403
GSE241934	GSE241934_RWC	P269	P269	B	361
GSE241934	GSE241934_RWC	P270	P270	B	893
GSE241934	GSE241934_RWC	P293	P293	B	1193
GSE241934	GSE241934_RWC	P33	P33	B	2887
GSE241934	GSE241934_RWC	P345	P345	B	49
GSE241934	GSE241934_RWC	P348	P348	B	17
GSE241934	GSE241934_RWC	P390	P390	B	948
GSE241934	GSE241934_RWC	P394	P394	B	3878
GSE241934	GSE241934_RWC	P399	P399	B	3056
GSE241934	GSE241934_RWC	P481	P481	B	1499
GSE241934	GSE241934_RWC	P483	P483	B	319
GSE241934	GSE241934_RWC	P498	P498	B	78
GSE241934	GSE241934_RWC	P509	P509	B	840
GSE241934	GSE241934_RWC	P52	P52	B	1639
GSE241934	GSE241934_RWC	P523	P523	B	1047
GSE241934	GSE241934_RWC	P528	P528	B	219
GSE241934	GSE241934_RWC	P533	P533	B	3582
GSE241934	GSE241934_RWC	P551	P551	B	1039
GSE241934	GSE241934_RWC	P574	P574	B	1689
GSE241934	GSE241934_RWC	P579	P579	B	1331
GSE241934	GSE241934_RWC	P592	P592	B	1137
GSE241934	GSE241934_RWC	P603	P603	B	2458
GSE241934	GSE241934_RWC	P605	P605	B	928
GSE241934	GSE241934_RWC	P609	P609	B	1196
GSE241934	GSE241934_RWC	P64	P64	B	1141
GSE241934	GSE241934_RWC	P70	P70	B	2034
GSE241934	GSE241934_RWC	P105	P105	Myeloid	207
GSE241934	GSE241934_RWC	P122	P122	Myeloid	122
GSE241934	GSE241934_RWC	P130	P130	Myeloid	999
GSE241934	GSE241934_RWC	P172	P172	Myeloid	923
GSE241934	GSE241934_RWC	P209	P209	Myeloid	500
GSE241934	GSE241934_RWC	P218	P218	Myeloid	596
GSE241934	GSE241934_RWC	P223	P223	Myeloid	167
GSE241934	GSE241934_RWC	P266	P266	Myeloid	1346
GSE241934	GSE241934_RWC	P269	P269	Myeloid	305
GSE241934	GSE241934_RWC	P270	P270	Myeloid	249
GSE241934	GSE241934_RWC	P293	P293	Myeloid	2473
GSE241934	GSE241934_RWC	P33	P33	Myeloid	123
GSE241934	GSE241934_RWC	P345	P345	Myeloid	27
GSE241934	GSE241934_RWC	P348	P348	Myeloid	49
GSE241934	GSE241934_RWC	P390	P390	Myeloid	1253
GSE241934	GSE241934_RWC	P394	P394	Myeloid	176
GSE241934	GSE241934_RWC	P399	P399	Myeloid	232
GSE241934	GSE241934_RWC	P481	P481	Myeloid	39
GSE241934	GSE241934_RWC	P483	P483	Myeloid	1260
GSE241934	GSE241934_RWC	P498	P498	Myeloid	100
GSE241934	GSE241934_RWC	P509	P509	Myeloid	139
GSE241934	GSE241934_RWC	P52	P52	Myeloid	2090
GSE241934	GSE241934_RWC	P523	P523	Myeloid	530
GSE241934	GSE241934_RWC	P528	P528	Myeloid	4938
GSE241934	GSE241934_RWC	P533	P533	Myeloid	79
GSE241934	GSE241934_RWC	P551	P551	Myeloid	699
GSE241934	GSE241934_RWC	P574	P574	Myeloid	421
GSE241934	GSE241934_RWC	P579	P579	Myeloid	304
GSE241934	GSE241934_RWC	P592	P592	Myeloid	350
GSE241934	GSE241934_RWC	P603	P603	Myeloid	812
GSE241934	GSE241934_RWC	P605	P605	Myeloid	398
GSE241934	GSE241934_RWC	P609	P609	Myeloid	929
GSE241934	GSE241934_RWC	P64	P64	Myeloid	678
GSE241934	GSE241934_RWC	P70	P70	Myeloid	1237
GSE241934	GSE241934_RWC	P105	P105	Stromal	205
GSE241934	GSE241934_RWC	P122	P122	Stromal	336
GSE241934	GSE241934_RWC	P130	P130	Stromal	810
GSE241934	GSE241934_RWC	P172	P172	Stromal	2085
GSE241934	GSE241934_RWC	P209	P209	Stromal	463
GSE241934	GSE241934_RWC	P218	P218	Stromal	437
GSE241934	GSE241934_RWC	P223	P223	Stromal	816
GSE241934	GSE241934_RWC	P266	P266	Stromal	1135
GSE241934	GSE241934_RWC	P269	P269	Stromal	599
GSE241934	GSE241934_RWC	P270	P270	Stromal	4515
GSE241934	GSE241934_RWC	P293	P293	Stromal	1344
GSE241934	GSE241934_RWC	P33	P33	Stromal	33
GSE241934	GSE241934_RWC	P345	P345	Stromal	41
GSE241934	GSE241934_RWC	P348	P348	Stromal	21
GSE241934	GSE241934_RWC	P390	P390	Stromal	3978
GSE241934	GSE241934_RWC	P394	P394	Stromal	693
GSE241934	GSE241934_RWC	P399	P399	Stromal	621
GSE241934	GSE241934_RWC	P481	P481	Stromal	98
GSE241934	GSE241934_RWC	P483	P483	Stromal	9873
GSE241934	GSE241934_RWC	P498	P498	Stromal	107
GSE241934	GSE241934_RWC	P509	P509	Stromal	531
GSE241934	GSE241934_RWC	P52	P52	Stromal	1126
GSE241934	GSE241934_RWC	P523	P523	Stromal	122
GSE241934	GSE241934_RWC	P528	P528	Stromal	170
GSE241934	GSE241934_RWC	P533	P533	Stromal	62
GSE241934	GSE241934_RWC	P551	P551	Stromal	299
GSE241934	GSE241934_RWC	P574	P574	Stromal	553
GSE241934	GSE241934_RWC	P579	P579	Stromal	976
GSE241934	GSE241934_RWC	P592	P592	Stromal	559
GSE241934	GSE241934_RWC	P603	P603	Stromal	2381
GSE241934	GSE241934_RWC	P605	P605	Stromal	125
GSE241934	GSE241934_RWC	P609	P609	Stromal	238
GSE241934	GSE241934_RWC	P64	P64	Stromal	1130
GSE241934	GSE241934_RWC	P70	P70	Stromal	95
GSE291670	GSE291670	MPR-1	MPR-1	Epithelial	1772
GSE291670	GSE291670	MPR-2	MPR-2	Epithelial	1467
GSE291670	GSE291670	MPR-3	MPR-3	Epithelial	1250
GSE291670	GSE291670	Non-MPR-1	Non-MPR-1	Epithelial	1592
GSE291670	GSE291670	Non-MPR-2	Non-MPR-2	Epithelial	610
GSE291670	GSE291670	Non-MPR-3	Non-MPR-3	Epithelial	493
GSE291670	GSE291670	MPR-1	MPR-1	TNK	125
GSE291670	GSE291670	MPR-2	MPR-2	TNK	139
GSE291670	GSE291670	MPR-3	MPR-3	TNK	160
GSE291670	GSE291670	Non-MPR-1	Non-MPR-1	TNK	615
GSE291670	GSE291670	Non-MPR-2	Non-MPR-2	TNK	697
GSE291670	GSE291670	Non-MPR-3	Non-MPR-3	TNK	82
GSE291670	GSE291670	MPR-1	MPR-1	B	52
GSE291670	GSE291670	MPR-2	MPR-2	B	6
GSE291670	GSE291670	MPR-3	MPR-3	B	8
GSE291670	GSE291670	Non-MPR-1	Non-MPR-1	B	126
GSE291670	GSE291670	Non-MPR-2	Non-MPR-2	B	26
GSE291670	GSE291670	Non-MPR-3	Non-MPR-3	B	4
GSE291670	GSE291670	MPR-1	MPR-1	Myeloid	109
GSE291670	GSE291670	MPR-2	MPR-2	Myeloid	84
GSE291670	GSE291670	MPR-3	MPR-3	Myeloid	61
GSE291670	GSE291670	Non-MPR-1	Non-MPR-1	Myeloid	133
GSE291670	GSE291670	Non-MPR-2	Non-MPR-2	Myeloid	380
GSE291670	GSE291670	Non-MPR-3	Non-MPR-3	Myeloid	39
GSE291670	GSE291670	MPR-1	MPR-1	Stromal	545
GSE291670	GSE291670	MPR-2	MPR-2	Stromal	438
GSE291670	GSE291670	MPR-3	MPR-3	Stromal	728
GSE291670	GSE291670	Non-MPR-1	Non-MPR-1	Stromal	371
GSE291670	GSE291670	Non-MPR-2	Non-MPR-2	Stromal	454
GSE291670	GSE291670	Non-MPR-3	Non-MPR-3	Stromal	215
GSE291670	GSE291670	MPR-1	MPR-1	Other	2980
GSE291670	GSE291670	MPR-2	MPR-2	Other	3038
GSE291670	GSE291670	MPR-3	MPR-3	Other	2896
GSE291670	GSE291670	Non-MPR-1	Non-MPR-1	Other	3443
GSE291670	GSE291670	Non-MPR-2	Non-MPR-2	Other	3318
GSE291670	GSE291670	Non-MPR-3	Non-MPR-3	Other	611
GSE205335	GSE205335	P0031	P0031	Epithelial	319
GSE205335	GSE205335	P1006	P1006	Epithelial	1282
GSE205335	GSE205335	P1015	P1015	Epithelial	291
GSE205335	GSE205335	P1016	P1016	Epithelial	5336
GSE205335	GSE205335	P1017	P1017	Epithelial	2186
GSE205335	GSE205335	P1018	P1018	Epithelial	1180
GSE205335	GSE205335	P1025	P1025	Epithelial	980
GSE205335	GSE205335	P1027	P1027	Epithelial	1318
GSE205335	GSE205335	P1030	P1030	Epithelial	603
GSE205335	GSE205335	P1037	P1037	Epithelial	3671
GSE205335	GSE205335	P1056	P1056	Epithelial	2386
GSE205335	GSE205335	P1062	P1062	Epithelial	188
GSE205335	GSE205335	P1063	P1063	Epithelial	131
GSE205335	GSE205335	P1072	P1072	Epithelial	406
GSE205335	GSE205335	P1076	P1076	Epithelial	849
GSE205335	GSE205335	P1079	P1079	Epithelial	543
GSE205335	GSE205335	P1084	P1084	Epithelial	196
GSE205335	GSE205335	P1089	P1089	Epithelial	1063
GSE205335	GSE205335	P1090	P1090	Epithelial	566
GSE205335	GSE205335	P1115	P1115	Epithelial	3769
GSE205335	GSE205335	P1119	P1119	Epithelial	1222
GSE205335	GSE205335	P4001	P4001	Epithelial	27
GSE205335	GSE205335	P0031	P0031	TNK	3824
