figure_id	source_pr	accession	contrast	metric	n	n_note	effect	effect_lo	effect_hi	ci_source	p	p_note	display_effect	display_p	unit	priority_note
cosmx	698	He2022 CosMx	cytotoxic neighbor ratio 50 um	ratio_high_low	8	8/8 sections; 5/5 donors; locked	0.36				0.031	sign test P; locked not replaced by PR698	0.36	0.031	section	exclusion
cosmx	698	He2022 CosMx	cytotoxic neighbor ratio 100 um	ratio_high_low	8	8/8 sections; 5/5 donors; locked	0.52				0.031	sign test P; locked not replaced by PR698	0.52	0.031	section	exclusion
cosmx	handoff	He2022 CosMx	nearby effector GZMB/PRF1/NKG7/IFNG hi/lo	ratio_hi_lo_range	8	0/8 sections decline; handoff lock	1.11	1.11	1.22	PUBLIC_HANDOFF_50ea			1.11-1.22	0/8 down	section	exclusion not muzzling
liana	579	concordant-4	T/NK barrier_exclusion CellPhoneDB	family_mean_delta	64	Q4-eligible units; BH family	0.05975229976633721				1.7722739472343285e-10	Wilcoxon; q_BH=1.60e-09	+0.060	1.8e-10	patient	barrier family
liana	579	concordant-4	T/NK barrier_exclusion Connectome	family_mean_delta	64	Q4-eligible units; BH family	0.04943407318939025				3.2521681391154976e-10	Wilcoxon; q_BH=1.81e-09	+0.049	3.3e-10	patient	barrier family
liana	579	concordant-4	T/NK barrier_exclusion LIANA+	family_mean_delta	64	Q4-eligible units; BH family	0.06773696504002794				4.0311466518183515e-10	Wilcoxon; q_BH=1.81e-09	+0.068	4.0e-10	patient	barrier family
liana	579	concordant-4	MYE barrier_exclusion CellPhoneDB	family_mean_delta	64	Q4-eligible units; BH family	0.04404933748704788				7.015891752283835e-11	Wilcoxon; q_BH=1.26e-09	+0.044	7.0e-11	patient	barrier family
liana	579	concordant-4	MYE barrier_exclusion Connectome	family_mean_delta	64	Q4-eligible units; BH family	0.03975993805704686				3.2476267919752288e-06	Wilcoxon; q_BH=9.74e-06	+0.040	3.2e-06	patient	barrier family
liana	579	concordant-4	MYE barrier_exclusion LIANA+	family_mean_delta	64	Q4-eligible units; BH family	0.07435372420218689				1.3652465444840955e-08	Wilcoxon; q_BH=4.91e-08	+0.074	1.4e-08	patient	barrier family
cptac	289	CPTAC-LSCC	CLDN4 protein vs ImmuneScore	spearman_rho	78	78/108 with CLDN4 protein	-0.43185927996054574	-0.5948563766865907	-0.23280013024112983	published_bootstrap_2000_seed_20260817	7.882580232023335e-05	two-sided Spearman	-0.432	7.9e-05	tumor	CLDN4 within TJ
cptac	289	CPTAC-LSCC	CLDN4 protein vs GEP18 RNA	spearman_rho	78	78/108 with CLDN4 protein	-0.4613740689690056	-0.6288214495198744	-0.2551302338534617	published_bootstrap_2000_seed_20260817	2.1245850640831066e-05	two-sided Spearman	-0.461	2.1e-05	tumor	CLDN4 within TJ
cptac	289	CPTAC-LSCC	CLDN4 protein vs CD8A RNA	spearman_rho	78	78/108 with CLDN4 protein	-0.436844401457925	-0.6191492912615851	-0.227617609603542	published_bootstrap_2000_seed_20260817	6.370007917678847e-05	two-sided Spearman	-0.437	6.4e-05	tumor	CLDN4 within TJ
cptac	289	CPTAC-LSCC	TJ-15 protein vs ImmuneScore	spearman_rho	108	all 15 TJ members scored	-0.08196861870873702	-0.26923336748884413	0.11539873668227507	published_bootstrap_2000_seed_20260817	0.3990321244854739	two-sided Spearman	-0.082	0.40	tumor	TJ-15 null contrast
cptac	289	CPTAC-LSCC	TJ-15 protein vs GEP18 RNA	spearman_rho	108	all 15 TJ members scored	-0.13278458944239618	-0.3260583845372136	0.07195812068841984	published_bootstrap_2000_seed_20260817	0.17070082681001425	two-sided Spearman	-0.133	0.17	tumor	TJ-15 null contrast
cptac	289	CPTAC-LSCC	TJ-15 protein vs CD8A RNA	spearman_rho	108	all 15 TJ members scored	-0.08222147066061947	-0.28040168795043985	0.12579081474660236	published_bootstrap_2000_seed_20260817	0.39757425924614914	two-sided Spearman	-0.082	0.40	tumor	TJ-15 null contrast
cptac	289	CPTAC-LSCC	CLDN4 protein vs ImmuneScore partial | WES	partial_spearman	77	WES residual	-0.29835953520164044	-0.5026802507686761	-0.06409343755291813	published_bootstrap	0.008399058347591476	partial Spearman	-0.298	0.0084	tumor	purity residual
sig693	693	OncoSG+GEO LUAD	CLDN4-high sig ssGSEA a0.75 size163 vs CD8A	spearman_meta_rho	420	fixed-effect meta; I2=0%; k=4	-0.5332782686114032	-0.5991036181190412	-0.4602925402953809	PR693_summary.json	3.0489346493725334e-33	maximized |rho| on these cohorts	-0.533	3.05e-33	tumor	signature #693
sig693	693	OncoSG+GEO LUAD	same spec vs ImmuneScore	spearman_meta_rho	420	fixed-effect meta; I2=0%; k=4	-0.5743257419678108	-0.6357372080291265	-0.5056895952959635	PR693_summary.json	7.762164372570095e-40	same CD8A-winning spec	-0.574	7.76e-40	tumor	signature #693
sig693	693	OncoSG	ssGSEA a0.75 size163 vs CD8A	spearman_rho	169		-0.567				8.70e-16	two-sided Spearman	-0.567	8.7e-16	tumor	cohort
sig693	693	GSE273377 discovery	ssGSEA a0.75 size163 vs CD8A	spearman_rho	103		-0.519				1.88e-08	two-sided Spearman	-0.519	1.9e-08	tumor	cohort
sig693	693	GSE273377 validation	ssGSEA a0.75 size163 vs CD8A	spearman_rho	60		-0.459				0.000222	two-sided Spearman	-0.459	2.2e-04	tumor	cohort
sig693	693	GSE282774	ssGSEA a0.75 size163 vs CD8A	spearman_rho	58		-0.560				4.82e-06	two-sided Spearman	-0.560	4.8e-06	tumor	cohort
sig693	693	GSE233774	ssGSEA a0.75 size163 vs CD8A	spearman_rho	30		-0.461				0.0104	two-sided Spearman	-0.461	0.010	tumor	cohort
sig693	590	OncoSG+GEO LUAD	221-gene z-mean baseline vs CD8A	spearman_meta_rho	420	DL random; I2=71%	-0.4091122200766936				1.82e-05	PR590/693 baseline	-0.409	1.8e-05	tumor	baseline not maximized
