dataset	gene	panels	log2FC	pvalue	padj	wald_stat
GSE289287	PDCD1	tcell_cytotox	0	1	1	0
GSE289287	PDCD1LG2	tcell_cytotox	0	1	1	0
GSE289287	TIGIT	tcell_cytotox	-0.87603	0.029891	0.23018	-2.1715
GSE289287	CGN	tight_junction	-0.74498	0.0031575	0.060923	-2.952
GSE289287	CGNL1	tight_junction	-0.27415	0.29345	0.66248	-1.0506
GSE289287	CLDN1	tight_junction	0.18835	0.42891	0.7569	0.79105
GSE289287	CLDN10	tight_junction	-0.07738	0.59489	1	-0.53177
GSE289287	CLDN11	tight_junction	0.3442	0.46129	1	0.73673
GSE289287	CLDN12	tight_junction	0.23651	0.32525	0.6885	0.98374
GSE289287	CLDN14	tight_junction	-0.0064362	0.96104	1	-0.048844
GSE289287	CLDN15	tight_junction	-0.23457	0.51021	0.80117	-0.65852
GSE289287	CLDN18	tight_junction	-0.016364	0.89593	1	-0.1308
GSE289287	CLDN23	tight_junction	-0.1553	0.76702	1	-0.29628
GSE289287	CLDN3	tight_junction	0.34316	0.11607	0.44504	1.5715
GSE289287	CLDN6	tight_junction	0.12296	0.58121	1	0.55162
GSE289287	CLDN7	tight_junction	0.51049	0.0027876	0.056938	2.9902
GSE289287	CLDN9	tight_junction	-0.019719	0.89232	1	-0.13537
GSE289287	CRB3	tight_junction	0.21717	0.51556	0.80415	0.65021
GSE289287	F11R	tight_junction	-0.31099	0.036281	0.25725	-2.0938
GSE289287	JAM2	tight_junction	0.19523	0.77034	1	0.29194
GSE289287	JAM3	tight_junction	-0.10429	0.56462	1	-0.576
GSE289287	MARVELD2	tight_junction	-0.021603	0.89822	0.96779	-0.12791
GSE289287	MARVELD3	tight_junction	0.11247	0.65167	0.87576	0.45144
GSE289287	OCLN	tight_junction	0.46808	0.31689	1	1.0009
GSE289287	PARD3	tight_junction	-0.52505	0.058761	0.3277	-1.89
GSE289287	PATJ	tight_junction	0.65722	0.0047191	0.078784	2.8256
GSE289287	TJP1	tight_junction	0.049375	0.83569	0.94988	0.2074
GSE289287	TJP2	tight_junction	0.57798	0.074017	0.36297	1.7865
GSE289287	TJP3	tight_junction	0.1173	0.73172	0.90873	0.34284
