dataset	contrast	organism	perturbation	gene_set	n_detected	direction	comp_rank_biserial	comp_p	mean_log2FC	n_up	n_down	wilcoxon_p
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	ifn_isg	38	down	-0.728	7.959e-15	-0.7932	1	37	1.455e-11
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	ifn_chemokine	10	down	-0.3508	0.05472	-0.465	3	7	0.04883
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	antigen_presentation	17	down	-0.4968	0.0003891	-0.6619	3	14	0.002579
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	tcell_cytotox	12	up	-0.05875	0.7245	-0.1098	1	11	0.004883
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	CLDN4_headline	1					0	1	
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	junctions	48	down	-0.4527	5.685e-08	-0.5135	7	41	7.681e-09
GSE245459	Human ovarian, shTACSTD2 vs shNC	human	KD	ifn_immune	77	down	-0.5244	1.702e-15	-0.6151	8	69	1.924e-12
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	tight_junction	27	down	-0.04755	0.6689	0.01419	12	15	0.8966
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	adherens	6	up	0.2157	0.3692	0.02849	3	3	0.5625
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	desmosome	15	down	-0.2505	0.09303	-0.08082	4	11	0.02155
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	ifn_isg	38	up	0.3647	0.0001002	0.1444	30	8	0.0001058
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	ifn_chemokine	11	up	0.1468	0.3992	0.09757	6	5	0.2783
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	antigen_presentation	18	down	-0.09404	0.4898	-0.04815	7	11	0.1674
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	tcell_cytotox	22	down	0.05548	0.6524	0.06232	9	13	0.8987
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	CLDN4_headline	1					1	0	
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	junctions	48	down	-0.07816	0.3489	-0.01371	19	29	0.2913
GSE15212	Human colorectal RKO, siTACSTD2 vs neg-ctrl	human	KD	ifn_immune	89	up	0.169	0.005863	0.07936	52	37	0.006237
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	tight_junction	27	down	-0.2288	0.03953	-0.1024	7	20	0.06923
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	adherens	11	up	0.1352	0.4374	0.06954	7	4	0.5771
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	desmosome	14	up	0.2623	0.0892	0.2425	9	5	0.1353
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	ifn_isg	38	up	0.9021	6.234e-22	1.056	38	0	7.276e-12
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	ifn_chemokine	10	up	0.5541	0.002407	0.6631	9	1	0.009766
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	antigen_presentation	18	up	0.7486	3.809e-08	0.7987	17	1	2.289e-05
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	tcell_cytotox	8	up	0.09765	0.6324	-0.006451	5	3	0.6406
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	CLDN4_headline	1					0	1	
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	junctions	52	down	-0.01956	0.8072	0.02683	23	29	0.9709
GSE289287_DSG2tumor	Human T-47D, DSG2 KO vs WT (xenograft) [partner]	human	KO(DSG2)	ifn_immune	74	up	0.732	1.257e-27	0.8255	69	5	1.173e-12
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	tight_junction	22	down	-0.0001952	0.9987	0.05467	12	10	0.8486
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	adherens	11	up	0.3137	0.07155	0.1917	9	2	0.1475
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	desmosome	11	down	-0.1552	0.3725	-0.1183	5	6	0.8984
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	ifn_isg	35	up	0.7419	3.014e-14	0.8633	33	2	7.974e-09
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	ifn_chemokine	7	up	0.4695	0.03143	0.5811	7	0	0.01562
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	antigen_presentation	18	up	0.3879	0.004367	0.351	14	4	0.01041
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	tcell_cytotox	6	down	-0.2323	0.3242	-0.07944	2	4	0.4062
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	CLDN4_headline	1					0	1	
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	junctions	44	up	0.03957	0.6496	0.04571	26	18	0.3883
GSE289287_DSG2cell	Human T-47D, DSG2 KO vs WT (cells) [partner]	human	KO(DSG2)	ifn_immune	66	up	0.5288	1.076e-13	0.6079	56	10	3.941e-09
