dataset	gene	panels	log2FC	pvalue	padj	wald_stat
GSE289287_DSG2tumor	BST2	ifn_isg	0.77613	0.0035612	0.03386	2.9146
GSE289287_DSG2tumor	DDX58	ifn_isg	1.1784	9.3387e-05	0.0022841	3.9072
GSE289287_DSG2tumor	DTX3L	ifn_isg	0.5571	0.036256	0.16319	2.094
GSE289287_DSG2tumor	EIF2AK2	ifn_isg	0.63352	0.008721	0.063711	2.6228
GSE289287_DSG2tumor	HERC5	ifn_isg	0.87558	0.032372	0.15189	2.1398
GSE289287_DSG2tumor	HERC6	ifn_isg	0.93836	0.0033669	0.032653	2.9321
GSE289287_DSG2tumor	IFI27	ifn_isg	0.6516	0.017642	0.10179	2.373
GSE289287_DSG2tumor	IFI35	ifn_isg	1.4129	4.363e-07	3.3655e-05	5.0524
GSE289287_DSG2tumor	IFI44	ifn_isg	1.4655	2.7062e-05	0.00087166	4.1969
GSE289287_DSG2tumor	IFI44L	ifn_isg	2.479	2.8138e-14	3.8477e-11	7.6066
GSE289287_DSG2tumor	IFI6	ifn_isg	0.91947	0.0067377	0.053077	2.7095
GSE289287_DSG2tumor	IFIH1	ifn_isg	0.51456	0.078892	0.26289	1.7572
GSE289287_DSG2tumor	IFIT1	ifn_isg	1.0598	0.0029899	0.030225	2.9688
GSE289287_DSG2tumor	IFIT2	ifn_isg	1.4175	8.817e-05	0.0021921	3.921
GSE289287_DSG2tumor	IFIT3	ifn_isg	1.8408	1.3621e-06	8.1953e-05	4.8305
GSE289287_DSG2tumor	IFITM1	ifn_isg	0.15155	0.62602	1	0.48734
GSE289287_DSG2tumor	IFITM3	ifn_isg	2.3508	4.3564e-10	1.2596e-07	6.2407
GSE289287_DSG2tumor	IRF1	ifn_isg	0.53996	0.072533	0.24921	1.7958
GSE289287_DSG2tumor	IRF7	ifn_isg	0.9429	0.017714	0.10217	2.3715
GSE289287_DSG2tumor	IRF8	ifn_isg	0.2242	0.70348	1	0.38063
GSE289287_DSG2tumor	IRF9	ifn_isg	0.46252	0.16886	1	1.3759
GSE289287_DSG2tumor	ISG15	ifn_isg	1.6552	2.1025e-07	1.9402e-05	5.19
GSE289287_DSG2tumor	ISG20	ifn_isg	0.70928	0.039155	0.17181	2.0626
GSE289287_DSG2tumor	MX1	ifn_isg	1.3998	4.3466e-05	0.0012664	4.0882
GSE289287_DSG2tumor	MX2	ifn_isg	1.1864	0.0011234	0.014968	3.2576
GSE289287_DSG2tumor	OAS1	ifn_isg	1.1589	5.7032e-05	0.0015569	4.0248
GSE289287_DSG2tumor	OAS2	ifn_isg	1.2989	6.1848e-06	0.00026593	4.52
GSE289287_DSG2tumor	OAS3	ifn_isg	1.1053	0.00010531	0.0025104	3.878
GSE289287_DSG2tumor	OASL	ifn_isg	1.3951	3.5553e-05	0.0010739	4.1346
GSE289287_DSG2tumor	PARP14	ifn_isg	1.0542	5.8362e-05	0.0015818	4.0193
GSE289287_DSG2tumor	PARP9	ifn_isg	0.93661	0.00060385	0.009531	3.4299
GSE289287_DSG2tumor	RSAD2	ifn_isg	1.2994	0.00098971	0.013621	3.2934
GSE289287_DSG2tumor	SAMD9	ifn_isg	0.29655	0.35746	0.6164	0.92022
GSE289287_DSG2tumor	SAMD9L	ifn_isg	0.66569	0.051755	0.20436	1.9452
GSE289287_DSG2tumor	STAT1	ifn_isg	0.84854	0.0024613	0.026351	3.0281
GSE289287_DSG2tumor	STAT2	ifn_isg	1.0344	3.1899e-05	0.00098933	4.1595
GSE289287_DSG2tumor	USP18	ifn_isg	1.2323	8.4224e-05	0.0021256	3.9321
GSE289287_DSG2tumor	XAF1	ifn_isg	1.461	8.7407e-05	0.002184	3.9231
GSE289287_DSG2tumor	TACSTD2	perturbation	-0.15442	0.27987	0.54433	-1.0806
GSE289287_DSG2tumor	CD274	tcell_cytotox	0.44753	0.3312	1	0.97171
GSE289287_DSG2tumor	CD8A	tcell_cytotox	-0.32388	0.39252	1	-0.85505
GSE289287_DSG2tumor	FOXP3	tcell_cytotox	0.069271	0.78228	1	0.27634
GSE289287_DSG2tumor	HAVCR2	tcell_cytotox	-0.0083093	0.82299	1	0.22371
GSE289287_DSG2tumor	KLRG1	tcell_cytotox	0.47775	0.41295	0.66691	0.81871
GSE289287_DSG2tumor	PDCD1	tcell_cytotox	0.033729	0.88712	1	0.14195
GSE289287_DSG2tumor	PDCD1LG2	tcell_cytotox	0.07404	0.77454	1	0.28645
GSE289287_DSG2tumor	TIGIT	tcell_cytotox	-0.82174	0.031074	0.14753	-2.1561
GSE289287_DSG2tumor	CGN	tight_junction	-0.2789	0.21382	0.47229	-1.2431
GSE289287_DSG2tumor	CGNL1	tight_junction	-2.4445	6.3195e-16	1.5843e-12	-8.083
GSE289287_DSG2tumor	CLDN1	tight_junction	2.1274	1.3517e-08	2.118e-06	5.6794
GSE289287_DSG2tumor	CLDN10	tight_junction	-0.088983	0.56838	1	-0.57045
GSE289287_DSG2tumor	CLDN11	tight_junction	-7.8204e-05	0.89294	0.95307	0.13459
GSE289287_DSG2tumor	CLDN12	tight_junction	-0.021397	0.93748	0.97192	-0.07844
GSE289287_DSG2tumor	CLDN14	tight_junction	-0.17492	0.64415	1	-0.4619
GSE289287_DSG2tumor	CLDN15	tight_junction	-0.36958	0.27953	0.54402	-1.0814
GSE289287_DSG2tumor	CLDN18	tight_junction	-0.057745	0.75915	1	-0.3066
GSE289287_DSG2tumor	CLDN23	tight_junction	0.47363	0.35957	1	0.91619
GSE289287_DSG2tumor	CLDN3	tight_junction	-0.5892	0.0034746	0.033332	-2.9223
GSE289287_DSG2tumor	CLDN6	tight_junction	0.020162	0.83112	1	0.21326
GSE289287_DSG2tumor	CLDN7	tight_junction	0.072057	0.62223	0.81388	0.49269
GSE289287_DSG2tumor	CLDN9	tight_junction	-0.048732	0.81158	1	-0.23838
GSE289287_DSG2tumor	CRB3	tight_junction	-0.094368	0.77798	0.89903	-0.28195
GSE289287_DSG2tumor	F11R	tight_junction	-0.27602	0.048861	0.19641	-1.9698
GSE289287_DSG2tumor	JAM2	tight_junction	-0.60392	0.19508	0.44672	-1.2957
GSE289287_DSG2tumor	JAM3	tight_junction	-0.12406	0.529	1	-0.62953
GSE289287_DSG2tumor	MARVELD2	tight_junction	-0.4281	0.017178	0.099956	-2.3829
GSE289287_DSG2tumor	MARVELD3	tight_junction	-0.08958	0.70575	0.86273	-0.37757
GSE289287_DSG2tumor	OCLN	tight_junction	-0.087151	0.97361	0.98841	0.033087
GSE289287_DSG2tumor	PARD3	tight_junction	0.16424	0.53392	0.76003	0.62203
GSE289287_DSG2tumor	PATJ	tight_junction	0.91745	6.7574e-05	0.0017739	3.9847
GSE289287_DSG2tumor	TJP1	tight_junction	-0.095992	0.6574	0.8352	-0.4435
GSE289287_DSG2tumor	TJP2	tight_junction	0.28481	0.30881	0.57182	1.0177
GSE289287_DSG2tumor	TJP3	tight_junction	-0.037769	0.91646	0.96273	-0.10489
