dataset	gene	panels	log2FC	mean_case	mean_ctrl	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE334497	PARP9	ifn_isg	0.2537	10.718	10.464	0.11675	0.89676	0.095238	1.2101
GSE334497	RSAD2	ifn_isg	0.22733	7.686	7.4586	0.44932	0.96392	0.42063	0.5031
GSE334497	SAMD9L	ifn_isg	0.18181	10.777	10.595	0.37061	0.9579	0.54762	0.60607
GSE334497	STAT1	ifn_isg	0.46019	11.439	10.979	0.28718	0.94589	0.42063	0.75473
GSE334497	STAT2	ifn_isg	0.23232	9.9995	9.7672	0.56052	0.9713	0.69048	0.38729
GSE334497	USP18	ifn_isg	0.30563	8.7275	8.4219	0.39547	0.96216	0.42063	0.58494
GSE334497	XAF1	ifn_isg	-0.027867	9.3521	9.38	0.92659	0.99138	0.42063	-0.061619
GSE334497	TACSTD2	perturbation	-3.944	3.1193	7.0633	0.0017775	0.70557	0.0079365	-3.1792
GSE334497	CD274	tcell_cytotox	0.77254	9.8126	9.0401	0.10479	0.88884	0.15079	1.2252
GSE334497	CD3D	tcell_cytotox	1.0561	4.6493	3.5931	0.092712	0.88884	0.095238	1.21
GSE334497	CD3E	tcell_cytotox	0.44605	6.3131	5.867	0.32166	0.95228	0.42063	0.6681
GSE334497	CD3G	tcell_cytotox	0.74255	6.6261	5.8836	0.054896	0.87142	0.095238	1.447
GSE334497	CD8A	tcell_cytotox	0.67689	7.3477	6.6708	0.10851	0.89058	0.15079	1.1481
GSE334497	CTLA4	tcell_cytotox	0.63846	4.5014	3.863	0.00437	0.71347	0.0079365	2.4855
GSE334497	CXCR3	tcell_cytotox	-0.39564	6.5842	6.9798	0.19785	0.92372	0.30952	-0.88876
GSE334497	FOXP3	tcell_cytotox	0.093128	4.7378	4.6447	0.79913	0.98239	0.42063	0.16745
GSE334497	GZMA	tcell_cytotox	-0.30566	4.2077	4.5133	0.63958	0.97427	0.69048	-0.31234
GSE334497	GZMB	tcell_cytotox	0.76698	6.5355	5.7685	0.26053	0.93634	0.42063	0.79322
GSE334497	HAVCR2	tcell_cytotox	0.35219	7.7001	7.3479	0.1463	0.90896	0.30952	1.0492
GSE334497	IFNG	tcell_cytotox	0.91388	4.4758	3.5619	0.13172	0.90769	0.095238	1.0815
GSE334497	LAG3	tcell_cytotox	0.58574	6.0709	5.4851	0.21736	0.93162	0.30952	0.84978
GSE334497	NKG7	tcell_cytotox	1.0302	6.4471	5.4169	0.049828	0.87014	0.095238	1.4846
GSE334497	PDCD1	tcell_cytotox	0.6884	5.9519	5.2635	0.17627	0.9139	0.15079	0.94859
GSE334497	PDCD1LG2	tcell_cytotox	0.42966	6.0155	5.5859	0.11781	0.89719	0.22222	1.1356
GSE334497	PRF1	tcell_cytotox	1.0456	6.1813	5.1356	0.042728	0.85019	0.095238	1.5224
GSE334497	TIGIT	tcell_cytotox	0.3495	6.1771	5.8276	0.47829	0.96593	0.84127	0.47722
GSE334497	CGN	tight_junction	-0.87592	7.1691	8.0451	0.060387	0.87729	0.055556	-1.4128
GSE334497	CGNL1	tight_junction	0.032991	11.259	11.226	0.93296	0.99223	0.84127	0.054909
GSE334497	CLDN1	tight_junction	-2.2369	3.7831	6.02	0.035023	0.83707	0.031746	-1.6078
GSE334497	CLDN10	tight_junction	0.59254	3.5981	3.0056	0.15877	0.91291	0.15079	1.0321
GSE334497	CLDN12	tight_junction	-0.24493	8.6827	8.9276	0.043362	0.85019	0.055556	-1.5493
GSE334497	CLDN15	tight_junction	-0.78502	3.6004	4.3854	0.22109	0.93333	0.42063	-0.85773
GSE334497	CLDN2	tight_junction	-0.2865	5.3087	5.5952	0.65364	0.97427	0.84127	-0.29544
GSE334497	CLDN23	tight_junction	-0.71851	3.6214	4.3399	0.081904	0.87965	0.15079	-1.3056
GSE334497	CLDN3	tight_junction	-1.4456	6.4527	7.8983	0.082376	0.87982	0.095238	-1.2667
GSE334497	CLDN7	tight_junction	-0.82488	7.1118	7.9367	0.090459	0.88884	0.015873	-1.3428
GSE334497	CRB3	tight_junction	-1.4237	2.1119	3.5356	0.11491	0.89612	0.30952	-1.1358
GSE334497	F11R	tight_junction	-0.097258	9.7893	9.8866	0.57976	0.97321	1	-0.37344
GSE334497	JAM2	tight_junction	-0.2397	7.5152	7.7549	0.44823	0.96392	0.69048	-0.51395
GSE334497	JAM3	tight_junction	-0.075906	5.2971	5.373	0.84352	0.98389	1	-0.12931
GSE334497	MARVELD2	tight_junction	-0.69253	6.5845	7.277	0.075675	0.87965	0.15079	-1.2904
GSE334497	MARVELD3	tight_junction	-1.5398	5.6289	7.1687	0.019792	0.7979	0.031746	-1.9182
GSE334497	OCLN	tight_junction	-0.66338	6.8073	7.4707	0.077776	0.87965	0.095238	-1.3964
GSE334497	PARD3	tight_junction	-0.14925	10.261	10.41	0.65576	0.97427	0.54762	-0.2934
GSE334497	PATJ	tight_junction	-0.3486	9.501	9.8496	0.52727	0.96956	0.84127	-0.41856
GSE334497	TJP1	tight_junction	-0.073653	10.911	10.984	0.87473	0.98678	0.84127	-0.10363
GSE334497	TJP2	tight_junction	-0.62775	9.1692	9.7969	0.12403	0.90201	0.095238	-1.116
GSE334497	TJP3	tight_junction	-0.74764	4.0562	4.8038	0.11029	0.89109	0.15079	-1.1368
