dataset	gene	panels	log2FC	pvalue	padj	wald_stat
GSE289287_DSG2cell	CCL5	ifn_chemokine	0.26746	0.37585	1	0.88557
GSE289287_DSG2cell	CXCL10	ifn_chemokine	0.085266	0.66393	1	0.4345
GSE289287_DSG2cell	CXCL11	ifn_chemokine	0.013041	0.9308	1	0.086844
GSE289287_DSG2cell	GBP1	ifn_chemokine	2.1464	9.7063e-09	4.4447e-07	5.7358
GSE289287_DSG2cell	GBP2	ifn_chemokine	1.3887	8.3506e-05	0.0013053	3.9341
GSE289287_DSG2cell	GBP3	ifn_chemokine	0.10761	0.59818	1	0.52702
GSE289287_DSG2cell	GBP4	ifn_chemokine	0.059386	0.84638	1	0.19374
GSE289287_DSG2cell	BST2	ifn_isg	0.057245	0.70192	0.84825	0.38273
GSE289287_DSG2cell	DDX58	ifn_isg	1.2425	0.00011081	0.0016693	3.8656
GSE289287_DSG2cell	DTX3L	ifn_isg	-0.074912	0.76108	0.88075	-0.30406
GSE289287_DSG2cell	EIF2AK2	ifn_isg	0.66642	0.00029292	0.003601	3.6215
GSE289287_DSG2cell	HERC5	ifn_isg	0.38604	0.30561	0.53929	1.0245
GSE289287_DSG2cell	HERC6	ifn_isg	-0.59095	0.011518	0.061815	-2.5266
GSE289287_DSG2cell	IFI27	ifn_isg	1.7826	5.7337e-08	2.1978e-06	5.4269
GSE289287_DSG2cell	IFI35	ifn_isg	0.56197	0.0031119	0.023094	2.9565
GSE289287_DSG2cell	IFI44	ifn_isg	1.0724	0.0046094	0.031046	2.8331
GSE289287_DSG2cell	IFI44L	ifn_isg	0.7596	0.010008	0.055951	2.5755
GSE289287_DSG2cell	IFI6	ifn_isg	1.5222	1.1896e-06	3.4032e-05	4.8574
GSE289287_DSG2cell	IFIH1	ifn_isg	0.95112	0.00077922	0.0077053	3.3601
GSE289287_DSG2cell	IFIT1	ifn_isg	1.2427	0.00026078	0.0032889	3.6514
GSE289287_DSG2cell	IFIT2	ifn_isg	0.81836	0.030856	0.1224	2.1589
GSE289287_DSG2cell	IFIT3	ifn_isg	1.1392	0.005821	0.036875	2.7577
GSE289287_DSG2cell	IFITM3	ifn_isg	1.8622	7.4149e-11	5.5291e-09	6.512
GSE289287_DSG2cell	IRF1	ifn_isg	0.55846	0.11312	0.29252	1.5843
GSE289287_DSG2cell	IRF7	ifn_isg	0.1838	0.62095	0.79735	0.49451
GSE289287_DSG2cell	ISG15	ifn_isg	2.2291	8.0921e-10	4.6397e-08	6.1431
GSE289287_DSG2cell	ISG20	ifn_isg	0.7813	0.037436	0.14062	2.081
GSE289287_DSG2cell	MX1	ifn_isg	1.5536	4.4627e-06	0.00010973	4.5886
GSE289287_DSG2cell	MX2	ifn_isg	0.082835	0.82363	0.91533	0.22287
GSE289287_DSG2cell	OAS1	ifn_isg	1.6878	3.8103e-06	9.5405e-05	4.6215
GSE289287_DSG2cell	OAS2	ifn_isg	1.4261	7.2588e-05	0.0011695	3.9676
GSE289287_DSG2cell	OAS3	ifn_isg	0.7227	0.0012341	0.011082	3.2309
GSE289287_DSG2cell	OASL	ifn_isg	1.2245	0.0011369	0.01044	3.2543
GSE289287_DSG2cell	PARP14	ifn_isg	0.60741	0.0074665	0.044727	2.6753
GSE289287_DSG2cell	PARP9	ifn_isg	0.37502	0.1879	0.40058	1.3168
GSE289287_DSG2cell	RSAD2	ifn_isg	0.58243	0.072758	0.21859	1.7943
GSE289287_DSG2cell	SAMD9	ifn_isg	1.6927	1.2539e-06	3.572e-05	4.8469
GSE289287_DSG2cell	SAMD9L	ifn_isg	0.34877	0.3441	0.57913	0.9461
GSE289287_DSG2cell	STAT1	ifn_isg	0.85371	9.2533e-06	0.00020354	4.4339
GSE289287_DSG2cell	STAT2	ifn_isg	0.34449	0.15204	0.35214	1.4323
GSE289287_DSG2cell	USP18	ifn_isg	0.50256	0.069719	0.21246	1.8137
GSE289287_DSG2cell	XAF1	ifn_isg	1.0595	0.0036587	0.025925	2.9062
GSE289287_DSG2cell	TACSTD2	perturbation	0.21379	0.15005	0.34925	1.4393
GSE289287_DSG2cell	CD274	tcell_cytotox	0.33208	0.23324	1	1.192
GSE289287_DSG2cell	CD8A	tcell_cytotox	-0.52765	0.12373	1	-1.5393
GSE289287_DSG2cell	FOXP3	tcell_cytotox	-0.048261	0.7479	1	-0.3214
GSE289287_DSG2cell	HAVCR2	tcell_cytotox	-0.048261	0.7479	1	-0.3214
GSE289287_DSG2cell	KLRG1	tcell_cytotox	-0.18694	0.56448	1	-0.57619
GSE289287_DSG2cell	TIGIT	tcell_cytotox	0.0024159	0.99477	0.9982	0.0065599
GSE289287_DSG2cell	CGN	tight_junction	0.46321	0.033144	0.12884	2.1303
GSE289287_DSG2cell	CGNL1	tight_junction	-1.2358	0.0014996	0.012952	-3.1748
GSE289287_DSG2cell	CLDN1	tight_junction	2.394	4.3307e-16	7.2069e-14	8.1289
GSE289287_DSG2cell	CLDN11	tight_junction	0.38457	0.12457	1	1.5359
GSE289287_DSG2cell	CLDN12	tight_junction	-0.19985	0.26877	0.50016	-1.1059
GSE289287_DSG2cell	CLDN15	tight_junction	-0.81286	0.025063	0.10582	-2.2404
GSE289287_DSG2cell	CLDN18	tight_junction	0.013041	0.9308	1	0.086844
GSE289287_DSG2cell	CLDN23	tight_junction	0.12814	0.73065	0.86467	0.34426
GSE289287_DSG2cell	CLDN3	tight_junction	0.2218	0.15213	0.35222	1.432
GSE289287_DSG2cell	CLDN7	tight_junction	-0.21509	0.064716	0.20229	-1.8472
GSE289287_DSG2cell	CRB3	tight_junction	0.0080125	0.97273	0.98843	0.03418
GSE289287_DSG2cell	F11R	tight_junction	0.52541	5.1249e-07	1.6114e-05	5.0216
GSE289287_DSG2cell	JAM2	tight_junction	-0.32438	0.38451	0.61455	-0.86962
GSE289287_DSG2cell	MARVELD2	tight_junction	-0.063593	0.68583	0.83838	-0.40452
GSE289287_DSG2cell	MARVELD3	tight_junction	-0.026397	0.84741	0.92821	-0.19242
GSE289287_DSG2cell	OCLN	tight_junction	0.011522	0.97526	0.98921	0.031013
GSE289287_DSG2cell	PARD3	tight_junction	-0.027036	0.89518	0.94912	-0.13175
GSE289287_DSG2cell	PATJ	tight_junction	0.19541	0.2218	0.44488	1.2218
GSE289287_DSG2cell	TJP1	tight_junction	0.28666	0.038023	0.14227	2.0746
GSE289287_DSG2cell	TJP2	tight_junction	0.19369	0.51843	0.72552	0.64576
GSE289287_DSG2cell	TJP3	tight_junction	-0.5899	0.00096391	0.0091407	-3.3009
