dataset	gene	panels	log2FC	mean_case	mean_ctrl	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE15212	HERC6	ifn_isg	0.033932	8.8239	8.79	0.73052	0.88706	0.82008	0.20447
GSE15212	IFI27	ifn_isg	0.57975	9.7808	9.2011	0.0056691	0.083117	0.002047	2.4389
GSE15212	IFI35	ifn_isg	0.10481	9.8355	9.7307	0.49843	0.75818	0.61646	0.45826
GSE15212	IFI44	ifn_isg	-0.053204	6.5178	6.571	0.44448	0.722	0.61646	-0.4846
GSE15212	IFI44L	ifn_isg	0.10133	7.36	7.2587	0.62057	0.82993	0.68197	0.3626
GSE15212	IFI6	ifn_isg	-0.22722	9.7195	9.9467	0.15253	0.44889	0.15984	-0.91735
GSE15212	IFIH1	ifn_isg	0.2331	11.013	10.78	0.18599	0.4917	0.24962	1.0369
GSE15212	IFIT1	ifn_isg	-0.19793	7.2215	7.4194	0.1334	0.423	0.21289	-0.90793
GSE15212	IFIT2	ifn_isg	-0.020472	7.487	7.5074	0.88846	0.95819	0.89162	-0.093429
GSE15212	IFIT3	ifn_isg	0.15741	7.1275	6.9701	0.13273	0.42197	0.12465	1.1664
GSE15212	IFITM1	ifn_isg	0.26723	10.631	10.364	0.019721	0.16302	0.031997	1.2347
GSE15212	IFITM3	ifn_isg	-0.025343	13.058	13.083	0.84045	0.93621	0.61646	-0.124
GSE15212	IRF1	ifn_isg	0.096931	10.426	10.329	0.6323	0.83754	0.68197	0.2914
GSE15212	IRF7	ifn_isg	0.8418	12.331	11.489	0.020932	0.16797	0.0047404	2.0616
GSE15212	IRF8	ifn_isg	0.042937	6.5924	6.5495	0.25532	0.56975	0.33549	0.67163
GSE15212	IRF9	ifn_isg	0.022757	7.9819	7.9591	0.7061	0.87679	0.75027	0.19663
GSE15212	ISG15	ifn_isg	0.34689	13.917	13.57	0.072027	0.31346	0.031997	0.83025
GSE15212	ISG20	ifn_isg	0.36452	13.091	12.727	0.072708	0.3151	0.29078	0.87667
GSE15212	MX1	ifn_isg	0.26057	10.727	10.466	0.10561	0.37952	0.21289	1.3895
GSE15212	MX2	ifn_isg	0.12896	9.4325	9.3036	0.17318	0.47529	0.33549	0.64351
GSE15212	OAS1	ifn_isg	0.34159	7.4944	7.1528	0.00057937	0.023069	0.00010774	3.2385
GSE15212	OAS2	ifn_isg	0.11221	8.0848	7.9725	0.52655	0.77701	0.33549	0.39658
GSE15212	OAS3	ifn_isg	0.1411	8.5081	8.367	0.019377	0.16209	0.018207	1.0893
GSE15212	OASL	ifn_isg	0.22077	8.3707	8.1499	0.1129	0.39108	0.083064	1.0126
GSE15212	PARP14	ifn_isg	0.34464	8.5974	8.2528	0.24947	0.56434	0.21289	0.69116
GSE15212	PARP9	ifn_isg	-0.40083	7.9464	8.3472	0.030138	0.20238	0.0068951	-2.019
GSE15212	RSAD2	ifn_isg	-0.01447	6.276	6.2905	0.8819	0.95497	0.68197	-0.073648
GSE15212	SAMD9	ifn_isg	0.57567	9.8154	9.2397	0.0369	0.22238	0.018207	1.7652
GSE15212	SAMD9L	ifn_isg	0.044221	6.2905	6.2462	0.22646	0.53929	0.38451	0.7328
GSE15212	STAT1	ifn_isg	0.38439	10.543	10.159	0.00048209	0.020833	0.00010774	2.9183
GSE15212	STAT2	ifn_isg	-0.012988	7.9201	7.933	0.86887	0.94862	1	-0.10216
GSE15212	USP18	ifn_isg	0.14807	9.8805	9.7324	0.23734	0.55158	0.24962	0.71299
GSE15212	XAF1	ifn_isg	0.05058	8.5152	8.4646	0.59375	0.81408	0.82008	0.2741
GSE15212	TACSTD2	perturbation	-3.0247	8.7219	11.747	5.2765e-15	1.0421e-10	0.00010774	-12.207
GSE15212	CD274	tcell_cytotox	-0.035426	8.8743	8.9097	0.81338	0.92467	0.89162	-0.13598
GSE15212	CD3D	tcell_cytotox	0.0058633	6.0963	6.0904	0.76485	0.90342	0.61646	0.12278
GSE15212	CD3E	tcell_cytotox	-0.032177	8.75	8.7822	0.81323	0.92456	0.55322	-0.13798
GSE15212	CD3G	tcell_cytotox	-0.046728	6.5547	6.6014	0.5207	0.77295	0.49364	-0.34678
GSE15212	CD8A	tcell_cytotox	0.2522	8.5128	8.2606	0.10131	0.3721	0.10246	0.95473
GSE15212	CD8B	tcell_cytotox	-0.014943	13.374	13.389	0.95733	0.98343	0.96359	-0.030922
GSE15212	CTLA4	tcell_cytotox	-0.030697	7.0155	7.0462	0.37995	0.67601	0.38451	-0.40779
GSE15212	CXCR3	tcell_cytotox	-0.083692	8.5077	8.5914	0.47424	0.7412	0.55322	-0.36469
GSE15212	FOXP3	tcell_cytotox	-0.11296	6.74	6.853	0.25572	0.57026	0.29078	-0.6073
GSE15212	GZMA	tcell_cytotox	0.43742	6.9773	6.5398	0.06005	0.2856	0.10246	1.7373
GSE15212	GZMB	tcell_cytotox	0.92118	11.013	10.092	0.016208	0.14826	0.00021547	2.1259
GSE15212	GZMK	tcell_cytotox	-0.10209	6.7082	6.8103	0.23897	0.55263	0.24962	-0.54247
GSE15212	HAVCR2	tcell_cytotox	0.18008	7.3262	7.1461	0.011972	0.12644	0.0047404	1.8212
GSE15212	IFNG	tcell_cytotox	-0.0068683	6.3379	6.3447	0.93821	0.97619	0.89162	-0.03592
GSE15212	KLRB1	tcell_cytotox	-0.054394	7.108	7.1624	0.2988	0.61094	0.75027	-0.52494
GSE15212	KLRG1	tcell_cytotox	-0.2988	9.8493	10.148	0.13578	0.4266	0.15051	-1.1651
GSE15212	LAG3	tcell_cytotox	-0.015747	8.0436	8.0594	0.90231	0.96249	0.38451	-0.084698
GSE15212	NKG7	tcell_cytotox	0.098599	7.7385	7.6399	0.68327	0.8653	0.89162	0.27238
GSE15212	PDCD1	tcell_cytotox	0.31679	9.3238	9.007	0.075444	0.32122	0.041478	1.3561
GSE15212	PDCD1LG2	tcell_cytotox	0.032708	6.3413	6.3086	0.17903	0.4832	0.15051	0.65312
GSE15212	PRF1	tcell_cytotox	-0.13265	10.953	11.086	0.515	0.76893	0.43708	-0.42509
GSE15212	TIGIT	tcell_cytotox	0.093357	6.5094	6.416	0.53982	0.78394	0.61646	0.34096
GSE15212	CGN	tight_junction	-0.15082	8.5177	8.6685	0.33199	0.63873	0.49364	-0.58805
GSE15212	CGNL1	tight_junction	0.60412	11.093	10.489	0.18924	0.49582	0.12465	0.83215
GSE15212	CLDN1	tight_junction	0.50911	10.291	9.7815	0.0014147	0.038804	0.0096962	1.5491
GSE15212	CLDN10	tight_junction	-0.053009	6.6807	6.7337	0.36055	0.66127	0.38451	-0.50272
GSE15212	CLDN11	tight_junction	0.079265	13.139	13.059	0.36412	0.66448	0.34872	0.55906
GSE15212	CLDN12	tight_junction	0.11918	11.556	11.437	0.082993	0.33749	0.1797	0.88946
GSE15212	CLDN14	tight_junction	0.048142	8.5548	8.5066	0.48546	0.74994	0.49364	0.30224
GSE15212	CLDN15	tight_junction	-0.1615	8.4351	8.5966	0.075795	0.32167	0.066796	-1.2171
GSE15212	CLDN18	tight_junction	-0.027159	7.2637	7.2908	0.5054	0.76296	0.75027	-0.2493
GSE15212	CLDN2	tight_junction	-0.20838	6.6548	6.8632	0.063802	0.29419	0.083064	-1.1746
GSE15212	CLDN23	tight_junction	0.15617	7.927	7.7708	0.0053835	0.081462	0.018207	1.2144
GSE15212	CLDN3	tight_junction	0.30729	10.627	10.319	0.043717	0.2427	0.031997	1.3474
GSE15212	CLDN6	tight_junction	-0.19105	7.7896	7.9806	0.30345	0.61632	0.55322	-0.61594
GSE15212	CLDN7	tight_junction	-0.27833	13.186	13.465	0.011006	0.12122	0.013467	-1.7654
GSE15212	CLDN9	tight_junction	0.1206	8.4426	8.322	0.14822	0.44182	0.15051	0.76508
GSE15212	CRB3	tight_junction	-0.083777	10.298	10.381	0.16068	0.46056	0.15051	-0.75289
GSE15212	F11R	tight_junction	-0.20094	13.461	13.662	0.16895	0.46936	0.34872	-1.0278
GSE15212	JAM2	tight_junction	-0.00821	6.5617	6.5699	0.86473	0.94712	0.96359	-0.11429
GSE15212	JAM3	tight_junction	-0.072977	6.8195	6.8925	0.21673	0.52737	0.43708	-0.49427
GSE15212	MARVELD2	tight_junction	-0.071538	11.743	11.814	0.63889	0.84092	1	-0.34609
GSE15212	MARVELD3	tight_junction	-0.086942	11.044	11.131	0.50793	0.76431	0.49364	-0.33519
GSE15212	OCLN	tight_junction	0.11099	8.4778	8.3668	0.55144	0.79	0.38451	0.35375
GSE15212	PARD3	tight_junction	0.061527	9.8102	9.7487	0.26295	0.57765	0.33549	0.63221
GSE15212	TJP1	tight_junction	0.19365	11.85	11.657	0.095507	0.36171	0.10246	1.0639
GSE15212	TJP2	tight_junction	-0.2817	13.164	13.446	0.028734	0.19793	0.018207	-1.472
GSE15212	TJP3	tight_junction	-0.32447	7.7215	8.0459	0.00052042	0.021729	0.002047	-1.9281
