dataset	gene	panels	log2FC	mean_case	mean_ctrl	t_pvalue	t_fdr	mwu_pvalue	cohens_d
GSE245459	PSMB10	antigen_presentation	-0.49406	1.0651	1.5592	0.074326	0.19883	0.1	-2.4612
GSE245459	PSMB8	antigen_presentation	-1.5437	0.027209	1.5709	0.00044304	0.0096069	0.1	-23.892
GSE245459	PSMB9	antigen_presentation	-0.62484	2.1285	2.7534	0.0016	0.017058	0.1	-6.4645
GSE245459	TAP1	antigen_presentation	-0.3969	3.9037	4.3006	0.0068153	0.039541	0.1	-4.1955
GSE245459	TAP2	antigen_presentation	0.70195	2.1115	1.4095	0.0070151	0.040319	0.1	5.8708
GSE245459	TAPBP	antigen_presentation	-1.2844	5.6317	6.9161	0.00013408	0.0055815	0.1	-11.812
GSE245459	DSC2	desmosome	-0.27067	0.0026943	0.27336	0.0021913	0.020372	0.076523	-14.932
GSE245459	DSG2	desmosome	-0.83219	3.3097	4.1419	0.010699	0.053237	0.1	-6.996
GSE245459	DSP	desmosome	-0.63243	2.2645	2.8969	0.0001141	0.0053644	0.1	-12.364
GSE245459	EVPL	desmosome	-0.022824	0.004217	0.027041	0.27006	0.47539	0.35368	-1.1782
GSE245459	JUP	desmosome	-1.163	4.458	5.621	0.00014124	0.005682	0.1	-12.657
GSE245459	PERP	desmosome	-0.11432	4.9317	5.046	0.017583	0.073279	0.1	-3.2342
GSE245459	PKP2	desmosome	-0.32222	0.03477	0.35699	0.00083943	0.012372	0.1	-8.193
GSE245459	PKP3	desmosome	-0.52814	1.869	2.3971	0.0045194	0.030936	0.1	-6.4355
GSE245459	PPL	desmosome	-0.63323	0.052347	0.68557	0.0074533	0.041877	0.1	-8.5932
GSE245459	CLDN4	headline;tight_junction	-1.9152	0.13569	2.0509	3.2889e-05	0.0036555	0.1	-19.024
GSE245459	CCL5	ifn_chemokine	-0.43912	0.02037	0.45949	0.030605	0.10719	0.076523	-4.0603
GSE245459	CXCL10	ifn_chemokine	-0.26743	0.025838	0.29327	0.0027949	0.023381	0.076523	-5.4832
GSE245459	CXCL11	ifn_chemokine	-1.4033	1.5607	2.964	0.0034911	0.026617	0.1	-12.615
GSE245459	CXCL13	ifn_chemokine	0.021317	0.021317	0	0.42265	0.5375	0.50499	0.8165
GSE245459	GBP1	ifn_chemokine	0.057724	4.4087	4.351	0.61073	0.7099	0.7	0.48248
GSE245459	GBP2	ifn_chemokine	-1.5547	3.1214	4.6761	0.00019093	0.0065487	0.1	-27.231
GSE245459	GBP3	ifn_chemokine	-0.87619	1.0547	1.9309	0.0038116	0.028063	0.1	-5.1356
GSE245459	GBP4	ifn_chemokine	-0.1856	0	0.1856	0.01339	0.061316	0.063603	-6.9849
GSE245459	GBP5	ifn_chemokine	-0.0089003	0.0038152	0.012715	0.14393	0.32129	0.076523	-1.8982
GSE245459	GBP6	ifn_chemokine	0.0064403	0.0064403	0	0.42265	0.5375	0.50499	0.8165
GSE245459	BST2	ifn_isg	-0.49508	8.0263	8.5214	0.00061935	0.010798	0.1	-12.6
GSE245459	DDX58	ifn_isg	-1.5691	1.3082	2.8773	4.8869e-05	0.004043	0.1	-31.376
GSE245459	DTX3L	ifn_isg	-0.51922	3.2777	3.7969	0.0012708	0.015234	0.1	-6.9877
GSE245459	EIF2AK2	ifn_isg	-0.30387	3.603	3.9068	0.0098691	0.050395	0.1	-5.7402
GSE245459	HERC5	ifn_isg	-0.89843	1.3441	2.2425	0.00071966	0.011483	0.1	-7.8724
GSE245459	HERC6	ifn_isg	-0.52158	1.9895	2.5111	0.017533	0.073139	0.1	-4.9596
GSE245459	IFI27	ifn_isg	-0.41541	0.11535	0.53076	0.021507	0.083947	0.1	-3.8535
GSE245459	IFI35	ifn_isg	-1.4687	3.1918	4.6606	0.0038499	0.028172	0.1	-9.0477
GSE245459	IFI44	ifn_isg	-0.64782	0	0.64782	0.024579	0.091751	0.063603	-5.1115
GSE245459	IFI44L	ifn_isg	-0.18304	0.027065	0.21011	0.042877	0.13529	0.1	-3.2826
GSE245459	IFI6	ifn_isg	-1.6055	4.6583	6.2638	0.0014194	0.016139	0.1	-13.486
GSE245459	IFIH1	ifn_isg	-0.79156	1.2368	2.0284	0.02418	0.090846	0.1	-3.5278
GSE245459	IFIT1	ifn_isg	-1.8897	2.1692	4.0589	0.0029444	0.024195	0.1	-12.638
GSE245459	IFIT2	ifn_isg	-1.6223	1.7914	3.4137	0.00091324	0.012904	0.1	-10.96
GSE245459	IFIT3	ifn_isg	-1.3845	2.1623	3.5468	0.00046648	0.0098616	0.1	-8.5669
GSE245459	IFITM1	ifn_isg	-1.911	3.769	5.68	0.00013592	0.0055869	0.1	-13.635
GSE245459	IFITM3	ifn_isg	-0.39846	8.257	8.6554	0.0023507	0.021309	0.1	-5.7707
GSE245459	IRF1	ifn_isg	-0.28813	0.76548	1.0536	0.017214	0.072232	0.1	-4.9797
GSE245459	IRF7	ifn_isg	-0.73962	0.57625	1.3159	0.022101	0.085574	0.1	-3.086
GSE245459	IRF8	ifn_isg	0.0064545	0.0064545	0	0.42265	0.5375	0.50499	0.8165
GSE245459	IRF9	ifn_isg	-0.54157	0.23012	0.7717	0.0043305	0.030133	0.1	-4.8179
GSE245459	ISG15	ifn_isg	-0.62143	5.3623	5.9837	0.014255	0.063853	0.1	-6.4276
GSE245459	ISG20	ifn_isg	-0.65115	0.79147	1.4426	0.0063632	0.038023	0.1	-6.9693
GSE245459	MX1	ifn_isg	-0.24681	0.20869	0.4555	0.031737	0.10988	0.1	-4.4611
GSE245459	MX2	ifn_isg	-0.018463	0	0.018463	0.071369	0.1931	0.063603	-2.8902
GSE245459	OAS1	ifn_isg	-1.4562	0.19706	1.6532	0.0033549	0.025971	0.1	-10.845
GSE245459	OAS2	ifn_isg	-0.5214	0.029118	0.55052	0.017152	0.072058	0.1	-5.4304
GSE245459	OAS3	ifn_isg	-0.092437	3.4484	3.5408	0.34307	0.5375	0.4	-0.87738
GSE245459	OASL	ifn_isg	-2.0925	0.55111	2.6436	0.0057122	0.035526	0.1	-8.171
GSE245459	PARP14	ifn_isg	-0.83139	3.2781	4.1094	0.020613	0.081618	0.1	-4.9906
GSE245459	PARP9	ifn_isg	-0.73988	1.8823	2.6221	0.0019598	0.019154	0.1	-14.659
GSE245459	RSAD2	ifn_isg	-0.72222	0.084802	0.80702	0.0090919	0.047959	0.1	-8.2995
GSE245459	SAMD9	ifn_isg	-1.2285	0.13263	1.3612	0.0010103	0.013456	0.1	-15.734
GSE245459	SAMD9L	ifn_isg	-0.51032	0.094134	0.60446	0.01554	0.06756	0.1	-5.6927
GSE245459	STAT1	ifn_isg	-0.49044	3.6269	4.1173	0.0060209	0.036735	0.1	-5.5618
GSE245459	STAT2	ifn_isg	-1.107	2.5796	3.6865	0.00019983	0.0066706	0.1	-15.186
GSE245459	USP18	ifn_isg	-0.17407	4.5681	4.7422	0.003186	0.025198	0.1	-6.5042
GSE245459	XAF1	ifn_isg	-0.45006	0.046121	0.49618	0.013014	0.060279	0.1	-5.8742
GSE245459	TACSTD2	perturbation	-2.6276	0.047932	2.6755	5.2521e-05	0.0041144	0.1	-34.52
GSE245459	CD274	tcell_cytotox	-0.10059	1.1123	1.2129	0.37954	0.5375	0.4	-0.83181
GSE245459	CD8A	tcell_cytotox	-0.059782	0.049528	0.10931	0.12147	0.28317	0.1	-1.7531
GSE245459	FOXP3	tcell_cytotox	-0.020523	0.12854	0.14906	0.45418	0.56845	0.7	-0.70683
GSE245459	HAVCR2	tcell_cytotox	0.022774	0.085282	0.062507	0.35094	0.5375	0.7	0.86525
GSE245459	KLRB1	tcell_cytotox	-0.036748	0.098218	0.13497	0.6691	0.75914	1	-0.38261
GSE245459	KLRG1	tcell_cytotox	-0.23652	0.24719	0.4837	0.004768	0.031969	0.1	-4.9029
GSE245459	LAG3	tcell_cytotox	-0.64321	0.71592	1.3591	0.0085237	0.045874	0.1	-5.4638
GSE245459	NKG7	tcell_cytotox	-0.029243	0.41515	0.44439	0.83121	0.89148	1	-0.18661
GSE245459	PDCD1	tcell_cytotox	-0.18122	0.058979	0.2402	0.14335	0.32023	0.1	-1.8567
GSE245459	PDCD1LG2	tcell_cytotox	-0.01746	0.052615	0.070074	0.68353	0.7711	0.7	-0.37111
GSE245459	PRF1	tcell_cytotox	-0.014038	0	0.014038	0.42265	0.5375	0.50499	-0.8165
GSE245459	TIGIT	tcell_cytotox	-0.00089185	0.0049613	0.0058532	0.91321	0.95521	1	-0.094903
GSE245459	CGN	tight_junction	-0.010598	1.9205	1.9311	0.85535	0.91073	1	-0.15872
GSE245459	CGNL1	tight_junction	-1.27	0.94632	2.2163	6.9273e-05	0.0044325	0.1	-34.907
GSE245459	CLDN1	tight_junction	-3.8595	0.31325	4.1728	7.6631e-07	0.0012848	0.1	-64.66
GSE245459	CLDN10	tight_junction	0.013878	0.044279	0.030401	0.61088	0.70993	0.7	0.4876
GSE245459	CLDN11	tight_junction	-0.019358	0.036025	0.055383	0.52801	0.63698	0.7	-0.56432
GSE245459	CLDN12	tight_junction	-0.34319	2.5537	2.8969	0.070643	0.19172	0.1	-2.8833
GSE245459	CLDN14	tight_junction	0.013204	0.38311	0.36991	0.87547	0.92686	1	0.14078
GSE245459	CLDN15	tight_junction	-0.51749	1.8075	2.3249	0.0035561	0.026957	0.1	-5.1256
GSE245459	CLDN18	tight_junction	-0.27753	0.10481	0.38234	0.0036217	0.027253	0.1	-5.2836
GSE245459	CLDN2	tight_junction	-0.18041	0.036907	0.21732	0.00854	0.045954	0.1	-4.3929
GSE245459	CLDN23	tight_junction	-0.17552	2.3636	2.5392	0.31393	0.53097	0.7	-1.0474
GSE245459	CLDN3	tight_junction	-1.4835	0.023271	1.5067	0.00010998	0.0052936	0.076523	-23.263
GSE245459	CLDN6	tight_junction	-0.035799	0.16607	0.20186	0.72522	0.80525	0.7	-0.32187
GSE245459	CLDN7	tight_junction	-1.3929	0.41385	1.8068	0.0010206	0.013553	0.1	-9.702
GSE245459	CLDN9	tight_junction	-0.33254	0.59784	0.93037	0.054907	0.16081	0.1	-2.5197
GSE245459	CRB3	tight_junction	-0.49481	0.61222	1.107	0.015256	0.066688	0.1	-3.546
GSE245459	F11R	tight_junction	-1.3111	2.2382	3.5492	0.00048908	0.010055	0.1	-13.98
GSE245459	JAM2	tight_junction	0.13176	0.44002	0.30826	0.15203	0.33449	0.1	1.7008
GSE245459	JAM3	tight_junction	0.25258	3.0232	2.7706	0.001825	0.018404	0.1	6.0018
GSE245459	MARVELD2	tight_junction	-0.4893	0.052043	0.54135	0.0013812	0.015965	0.1	-8.0592
GSE245459	MARVELD3	tight_junction	-0.044186	0.019482	0.063668	0.21486	0.40923	0.1	-1.4248
GSE245459	OCLN	tight_junction	0.097603	3.4773	3.3797	0.16075	0.34903	0.2	1.5085
GSE245459	PARD3	tight_junction	-0.15653	3.2343	3.3908	0.060413	0.1722	0.1	-2.5351
GSE245459	PATJ	tight_junction	-0.28695	1.8325	2.1195	0.0068396	0.039611	0.1	-4.1987
GSE245459	TJP1	tight_junction	-0.13003	3.6694	3.7994	0.19688	0.38581	0.1	-1.4519
GSE245459	TJP2	tight_junction	-0.048373	0.15764	0.20601	0.11888	0.27881	0.4	-1.727
GSE245459	TJP3	tight_junction	-2.1251	1.5354	3.6605	0.0033972	0.026186	0.1	-8.4708
