patient	cohort	unit	malig_def	cldn4_pct	cldn4_mean	frac_tnk	tacstd2	quartile	tj_score	tj_score_no_cldn4	tj_core
P1119	GSE205335	patient	author_malig	36.08837970540098	0.5610693021147378	0.2602682313495389	7.974355364297573	Q1	4.302410995970771	4.281598596141817	6.627602144864119
TD1	GSE189357	patient	marker_malig	56.1299176578225	0.9674971541301648	0.6516167192429022	9.355994913125835	Q3	4.52554681441546	4.503107814311397	7.42105228120536
TD2	GSE189357	patient	marker_malig	35.6255178127589	0.5306434754503818	0.6274357838795395	8.410162986889063	Q2	4.496579159420643	4.478142741576608	6.402103380164895
TD3	GSE189357	patient	marker_malig	48.042168674698786	0.6981268538447051	0.5154842787170169	8.359015002000628	Q1	4.5750646117102844	4.559493182278642	6.397397625263801
TD4	GSE189357	patient	marker_malig	30.346232179226067	0.5108686257635009	0.6036066689350119	8.83833561517815	Q3	4.540836028544229	4.525441176292549	5.911030787901063
TD5	GSE189357	patient	marker_malig	36.86635944700461	0.5360227792318812	0.5794328843230777	8.5445844111357	Q2	4.609101287694456	4.588868956960913	6.632983033297367
TD6	GSE189357	patient	marker_malig	63.501238645747314	1.13970175467227	0.3769307700855651	9.841796273497033	Q4	4.465641371082242	4.445123872489017	6.533366387950417
TD7	GSE189357	patient	marker_malig	36.63133097762073	0.4511173921656661	0.5278015397775877	8.334090037099793	Q1	4.378950929800298	4.3572914483756335	6.108196784281737
TD8	GSE189357	patient	marker_malig	45.338567222767416	0.6825880840310956	0.4675600798917596	8.044177107322884	Q1	4.475179995338887	4.457961141215633	6.146204792970826
TD9	GSE189357	patient	marker_malig	78.56412354264675	1.286821189923943	0.2472543105901098	9.761939942633683	Q4	4.478215157821663	4.451304583544734	6.8117677295349734
