Samples,geneID,value,cell_line,Responder,Baseline,GSE_ID,Mouse_treatment,pvalue,label,label2,num,count,cohort,model,cancer_type
SRX10606808,Tacstd2,0.0630555684577779,MC38_GSE172162_antiPD1(n=8),Baseline,1,GSE172162,isotype,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX10606809,Tacstd2,0.0,MC38_GSE172162_antiPD1(n=8),Baseline,1,GSE172162,isotype,,NA,NA,2,8,MC38_GSE172162_antiPD1,MC38,Colorectal carcinoma
SRX8615943,Tacstd2,1.12886617070482,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Responders,0,GSE153239,antiTGFb; antiPD1 FcS;,0.989431937816084,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615941,Tacstd2,1.02516732935124,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Responders,0,GSE153239,antiTGFb; antiPD1 FcS;,0.989431937816084,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615940,Tacstd2,0.276267275006927,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Responders,0,GSE153239,antiTGFb; antiPD1 FcS;,0.989431937816084,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615939,Tacstd2,0.181792935502499,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Responders,0,GSE153239,antiTGFb; antiPD1 FcS;,0.989431937816084,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615942,Tacstd2,0.16186345442582,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Responders,0,GSE153239,antiTGFb; antiPD1 FcS;,0.989431937816084,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615914,Tacstd2,0.0087501672858076,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Baseline,1,GSE153239,antiTGFb,,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615915,Tacstd2,0.254780616345161,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Baseline,1,GSE153239,antiTGFb,,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615916,Tacstd2,0.263049928553122,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Baseline,1,GSE153239,antiTGFb,,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615917,Tacstd2,0.517614759453305,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Baseline,1,GSE153239,antiTGFb,,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615918,Tacstd2,0.304192487945405,CT26_GSE153239_FcS_antiTGFb_antiPD1(n=10),Baseline,1,GSE153239,antiTGFb,,NA,NA,2,10,CT26_GSE153239_FcS_antiTGFb_antiPD1,CT26,Colorectal carcinoma
SRX8615910,Tacstd2,0.62962488508734,CT26_GSE153239_FcS_antiPD1(n=10),Non-responders,0,GSE153239,antiPD1_FcS,0.999953620793337,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615913,Tacstd2,0.477007464149018,CT26_GSE153239_FcS_antiPD1(n=10),Non-responders,0,GSE153239,antiPD1_FcS,0.999953620793337,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615912,Tacstd2,0.460429307496847,CT26_GSE153239_FcS_antiPD1(n=10),Non-responders,0,GSE153239,antiPD1_FcS,0.999953620793337,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615909,Tacstd2,0.300668632575434,CT26_GSE153239_FcS_antiPD1(n=10),Non-responders,0,GSE153239,antiPD1_FcS,0.999953620793337,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615911,Tacstd2,0.0085587130618341,CT26_GSE153239_FcS_antiPD1(n=10),Non-responders,0,GSE153239,antiPD1_FcS,0.999953620793337,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615904,Tacstd2,0.117599844366568,CT26_GSE153239_FcS_antiPD1(n=10),Baseline,1,GSE153239,isotype,,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615905,Tacstd2,0.154330652833521,CT26_GSE153239_FcS_antiPD1(n=10),Baseline,1,GSE153239,isotype,,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615906,Tacstd2,0.0084382130664074,CT26_GSE153239_FcS_antiPD1(n=10),Baseline,1,GSE153239,isotype,,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615907,Tacstd2,0.367419352616418,CT26_GSE153239_FcS_antiPD1(n=10),Baseline,1,GSE153239,isotype,,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615908,Tacstd2,0.453138160720228,CT26_GSE153239_FcS_antiPD1(n=10),Baseline,1,GSE153239,isotype,,NA,NA,2,10,CT26_GSE153239_FcS_antiPD1,CT26,Colorectal carcinoma
SRX8615933,Tacstd2,1.69576074930729,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615931,Tacstd2,0.399690697196546,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615932,Tacstd2,0.21651768478215,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615929,Tacstd2,0.008402025564473,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615930,Tacstd2,0.0080711553288644,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb WT; antiPD1 FcS;,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615919,Tacstd2,0.170755459657288,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb WT,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615920,Tacstd2,0.0078795919222606,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb WT,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615921,Tacstd2,0.008463699895843,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb WT,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615922,Tacstd2,0.493205491744856,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb WT,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615923,Tacstd2,0.265751357950234,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb WT,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_WT_antiPD1,CT26,Colorectal carcinoma
SRX8615937,Tacstd2,1.79593329438572,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,0.178139572680639,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615938,Tacstd2,0.766525652384272,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,0.178139572680639,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615935,Tacstd2,0.443338881278346,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,0.178139572680639,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615934,Tacstd2,0.0856274252912135,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,0.178139572680639,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615936,Tacstd2,0.0083498180038731,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Responders,0,GSE153239,antiGARP:TGFb FcD; antiPD1 FcS;,0.178139572680639,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615924,Tacstd2,0.19668510468779,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb FcD,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615925,Tacstd2,0.0087874119902572,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb FcD,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615926,Tacstd2,0.134292539072276,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb FcD,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615927,Tacstd2,0.666258737500443,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb FcD,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX8615928,Tacstd2,0.303154391755479,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1(n=10),Baseline,1,GSE153239,antiGARP:TGFb FcD,,NA,NA,2,10,CT26_GSE153239_FcS_antiGARP:TGFb_FcD_antiPD1,CT26,Colorectal carcinoma
SRX7064346,Tacstd2,2.78951691783387,CT26_GSE139475_antiPD1(n=14),Responders,0,GSE139475,antiPD1,0.905541868789538,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064350,Tacstd2,1.47475774803454,CT26_GSE139475_antiPD1(n=14),Responders,0,GSE139475,antiPD1,0.905541868789538,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064342,Tacstd2,1.14310535606828,CT26_GSE139475_antiPD1(n=14),Responders,0,GSE139475,antiPD1,0.905541868789538,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064345,Tacstd2,0.635917280623511,CT26_GSE139475_antiPD1(n=14),Responders,0,GSE139475,antiPD1,0.905541868789538,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064343,Tacstd2,0.479154368058881,CT26_GSE139475_antiPD1(n=14),Responders,0,GSE139475,antiPD1,0.905541868789538,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064347,Tacstd2,1.53972652790581,CT26_GSE139475_antiPD1(n=14),Non-responders,0,GSE139475,antiPD1,0.951671790048082,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064344,Tacstd2,1.39636363846477,CT26_GSE139475_antiPD1(n=14),Non-responders,0,GSE139475,antiPD1,0.951671790048082,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064348,Tacstd2,1.39432807053456,CT26_GSE139475_antiPD1(n=14),Non-responders,0,GSE139475,antiPD1,0.951671790048082,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064349,Tacstd2,0.961495047332599,CT26_GSE139475_antiPD1(n=14),Non-responders,0,GSE139475,antiPD1,0.951671790048082,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064337,Tacstd2,2.30751110391209,CT26_GSE139475_antiPD1(n=14),Baseline,1,GSE139475,isotype,,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064338,Tacstd2,0.357836766320015,CT26_GSE139475_antiPD1(n=14),Baseline,1,GSE139475,isotype,,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064339,Tacstd2,1.99793238509602,CT26_GSE139475_antiPD1(n=14),Baseline,1,GSE139475,isotype,,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064340,Tacstd2,1.64028424462297,CT26_GSE139475_antiPD1(n=14),Baseline,1,GSE139475,isotype,,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
SRX7064341,Tacstd2,1.84328675299402,CT26_GSE139475_antiPD1(n=14),Baseline,1,GSE139475,isotype,,NA,NA,2,14,CT26_GSE139475_antiPD1,CT26,Colorectal carcinoma
ERX3246769,Tacstd2,4.19107803850091,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.739950574332942,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246767,Tacstd2,2.63137332499863,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.739950574332942,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246770,Tacstd2,0.357836766320015,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.739950574332942,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246771,Tacstd2,0.345698109294575,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.739950574332942,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246768,Tacstd2,0.137172501589509,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.739950574332942,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246762,Tacstd2,2.64013131776213,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246763,Tacstd2,2.7215474909735,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246764,Tacstd2,0.120076238539897,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246765,Tacstd2,0.480306402118443,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246766,Tacstd2,0.111716607068852,CT26_ERP114266_day7_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day7_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246777,Tacstd2,1.82650484188581,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.034317941791589,*,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246780,Tacstd2,0.657330491534476,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.034317941791589,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246781,Tacstd2,0.321343881739544,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.034317941791589,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246779,Tacstd2,0.30266366887994,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.034317941791589,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246778,Tacstd2,0.171217100112255,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Responders,0,ERP114266,antiPDL1; antiCTL4;,0.034317941791589,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246772,Tacstd2,0.368024776961943,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246773,Tacstd2,0.334477277297033,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246774,Tacstd2,0.194335902020498,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246775,Tacstd2,0.0650769343394087,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
ERX3246776,Tacstd2,0.254270149685212,CT26_ERP114266_day14_antiCTLA4&antiPDL1(n=10),Baseline,1,ERP114266,isotype,,NA,NA,2,10,CT26_ERP114266_day14_antiCTLA4&antiPDL1,CT26,Colorectal carcinoma
