sample	CLDN4_protein	TACSTD2_protein	TJ15_protein	TJ7_protein	GEP18_RNA	CD8A_RNA	CD8_RNA	CYT_RNA	ImmuneScore	StromalScore	ESTIMATEScore	CD8_CIBERSORT	CD8_xCell	Immune_xCell	WES_purity	WGS_purity
C3N-02252		27.5618093977454	0.26338529747794015	0.5926760064259181	0.9040814731874591	8.7621	0.33923136931249254	0.9582887716356738	8789.702	7514.35	16304.052	0.15487309	0.02848087	0.1468239	0.43	0.425
C3L-03963		25.379905833056	0.14117102362215503	-0.18537332058139616	0.7859751098507479	9.9316	1.4387064048044007	1.259024095204608	9889.599	8333.843	18223.441	0.305143833	0.09554174	0.3344562	0.25	0.16
C3N-03072		25.9945682783374	-0.4061671671364872	-0.4705928938593935	-0.9838276335604124	5.9272	-2.063525232549292	-1.0656476162588928	6400.169	7708.477	14108.646	0.042648485	0.0	0.06225782	0.47	0.5125
C3L-02969		27.2956506326386	-0.3664357833049016	-0.14258155000217512	1.6379496064534091	10.6517	2.170810049953655	2.3264155460629397	10334.539	7636.402	17970.941	0.60558652	0.1550024	0.339985	0.39	
C3N-03662		26.1062627722092	-0.12894509826598438	-0.04524987315203988	-0.4861507785857449	7.5806	-0.9232620156751897	-1.1156913559201216	6290.012	7803.361	14093.372	0.06535181	8.848169999999999e-19	0.03116004	0.52	0.365
C3N-03051	24.7252071327146	27.8981128387806	0.5399551057892761	0.6100576983010871	-0.4595818553627606	6.8544	-1.2093708376895171	-0.7576974291346861	7693.499	6432.661	14126.16	0.0	2.5245039999999997e-19	0.1197112	0.34	0.3475
C3N-02434	24.6953990611267	27.0891939984871	-0.3013232540315212	0.24275742952664983	-0.5178839647069101	7.7532	-0.332986952116075	-0.5823054536715843	5941.645	4564.151	10505.797	0.18643498	0.0	0.03820926	0.66	0.415
C3L-02127	24.5677458415024	27.0268816880587	-0.10760094951774114	0.37975130330108564	-0.03384577390065476	8.1512	-0.1522852830547332	-0.4964902867316833	7031.187	6913.147	13944.334	0.171435904	1.68424e-18	0.06457264	0.69	0.5
C3N-02339	23.8886025924563	26.6586262141977	0.0022975593469399497	-0.22845965698020482	-0.42625885066131625	6.5216	-1.783195750554549	-0.43926265634776707	7740.632	8808.825	16549.457	0.10689934	0.0	0.1055207	0.28	0.22
C3L-03961	23.403090153716	26.0720424935531	-0.21183183369696096	-0.5829863812266476	0.5746341313082803	8.552	-0.04535411884681437	0.3823552125571237	9586.249	8491.392	18077.641	0.17119708	0.0240828	0.3390753	0.28	0.23
C3L-04391	23.3349487474016	26.5438684339918	-0.5733122176989104	-0.7495568537134369	0.14732567069878544	6.6032	-1.762284148096537	-0.30243448548183827	8197.119	9271.08	17468.198	0.043892188	0.00186507	0.1369302	0.3	0.18
C3L-02619	23.0861812835521	27.1433787935814	-0.07377188267978725	0.015063307548976826	-0.502281261637096	7.3997	-1.0264151286000582	-0.958688535878687	8135.902	7596.068	15731.97	0.03802996	0.0	0.1452592	0.24	0.2575
C3N-02494	23.1467451072339	26.5958500786806	-0.45376466977219077	-0.46974743374789374	0.4693233403340946	8.3318	0.007963105612207831	0.30116208705509645	8976.606	7489.591	16466.197	0.06848409	0.03897523	0.325835	0.42	0.255
C3N-03880	22.7056761170918	27.6905505113278	-1.0020717599301876	-0.8560524397509593	1.013104448409577	9.6518	1.059053856785062	1.2541511421920895	9205.822	7074.207	16280.029	0.23489164	0.08809001	0.2718228	0.9	0.22
C3N-03092	22.7618305408409	26.4940561920345	0.1006857431796929	-0.31970495149707817	1.202526637513026	9.222	0.8283703894804335	1.2592887492453684	10136.719	8083.316	18220.035	0.2316356884	0.01900139	0.3060947	0.66	0.14
C3L-02669	22.9251366897478	26.769187383016	-0.1473406197082773	-0.3967474964682615	0.21897719210564545	8.1823	-0.07811445412346242	-0.23975357773779857	7683.01	7663.502	15346.513	0.185025092	0.01270514	0.1108806	0.39	0.405
C3N-03877	24.2506401336499	26.5077816861843	0.891852347265721	0.8249219920240058	-0.9131323526261953	7.3217	-0.6739305663267257	-1.2982189466829506	5593.807	5847.109	11440.916	0.101543376	0.00154751	0.02763189	0.71	0.44
C3N-01846	23.7945118702108	26.3368231483017	-0.1908693863043522	-0.32313879849603844	-0.6860482695093583	7.7231	0.252357457298641	-1.1270833857730174	6976.467	7511.766	14488.232	0.168265959	9.584266999999999e-20	0.05600437	0.44	0.32
C3L-02964	23.7795421751231	27.3577979540206	0.09676768649761834	0.31361241492808006	0.799313410139832	9.5417	0.9366579846600714	0.999737688246297	9473.423	7619.178	17092.601	0.245411047	0.03525004	0.1822481	0.28	0.275
C3N-00247	22.3033178851605	25.8758670304205	-0.30974870888739264	-0.8802975216886207	2.0508743841740102	11.1017	2.3905271423941494	2.295754690436877	11388.346	8931.578	20319.924	0.43940833	0.1991034	0.5611272	0.22	0.1
C3N-02288	23.8393771945847	26.3136194132746	-0.052467689398278616	0.31925171636626537	-0.1749887649195241	8.4325	0.13488724554626513	-0.3061280367480763	7990.761	6493.293	14484.053	0.148693555	0.0	0.1645278	0.96	0.36
C3L-01606	22.7046902335154	27.5426168602365	-0.007340045886348076	-0.06431172807143631	0.1307292580423092	8.1521	-0.03478063531458497	1.095345526342432	8359.364	6871.937	15231.301	0.14385173	0.0	0.1297773	0.27	0.254
C3L-02164	21.5292435671238	25.9053068963884	-0.24729218585370819	-0.6590919087394649	0.8504401501719945	9.2516	1.061203251166664	0.9978755792747513	10896.868	9814.918	20711.786	0.098547939	0.111307	0.6820522	0.18	
C3N-02374	23.1399887462924	27.9606564526647	-0.5124166425058677	-0.23616658009548894	-0.47697333192656455	8.0115	-0.16774102724541162	-0.7457918775704582	7414.409	6963.983	14378.391	0.190778682	0.0	0.07312796	0.34	0.37
C3N-02675	23.8807709636174	26.949262152465	0.4765282928582271	0.3552949840240998	1.3420218558562116	9.8918	1.2838283250979816	1.1266017402366195	10556.834	8012.935	18569.768	0.27604475	0.07217016	0.3799198	0.24	0.12
C3N-02523	22.9412708067395	26.7106451125157	-0.31015991992580005	-0.2474803497756272	-0.7652707832228933	6.1477	-1.1944190860517683	-1.7180963430466354	6907.034	7307.295	14214.329	0.035885202	8.748984999999998e-19	0.05924682	0.52	0.54
C3L-02130	23.3465314285032	26.7570214392823	0.19143670133255863	-0.04173534128526931	0.020134183854682165	8.3925	0.16984678701098876	0.3517812692963116	8524.22	8599.175	17123.396	0.209970486	0.01463708	0.1539692	0.28	0.1625
C3N-02426	22.3264901416447	26.7756552868958	-0.5329024398325322	-0.7278182337450158	0.6450957553392627	9.4018	1.0284572993168684	0.20013098662006218	9322.928	9591.889	18914.817	0.284568606	0.05873828	0.2071572	0.32	0.2125
C3N-02284	23.8436131868963	28.7163749422162	0.6252346459538188	1.193050921806307	-1.8459515409020004	6.8493	-1.7936971392628942	-0.002317600364511993	4334.302	3648.996	7983.298	0.121434213	0.0008475556	0.002800134	0.67	0.7025
C3L-00923	23.1493725083431	27.1527471197643	0.03335364046813084	-0.10398537201883973	0.5946787930109516	9.4418	1.0390134228439758	0.8422936167935562	10178.986	8397.968	18576.954	0.289942432	0.07079929	0.3357365	0.23	0.155
C3N-03486	23.1665366577791	26.8393570530585	-0.09842723362221996	-0.5946843839167181	0.6989706874466395	8.5228	-0.06545451400986871	0.751172442615853	8782.851	5968.67	14751.52	0.203738247	0.002742818	0.1173766	0.35	0.37
C3N-04127	23.034891537651	27.0143525160473	-0.09915027224350756	-0.4935331028965406	0.13076931567964128	8.0221	0.0075824589603751685	0.13030262703086296	9746.152	8533.637	18279.789	0.1145446645	0.005237461	0.3174347	0.24	0.1
C3L-02951	22.9859922351152	26.5273828312014	-0.2880296283653366	-0.6109986160076916	0.2533715971653603	7.5532	-0.5428152509609098	-0.4386472853710829	9265.965	8975.804	18241.769	0.0335957	0.0	0.2919371	0.25	0.14
C3L-02629	23.4265497797893	25.5837900594977	0.1453132521470968	-0.21672660620051756	0.7353552685714537	9.5119	1.1715195197866488	0.9392285924563084	9894.326	9740.292	19634.618	0.228614529	0.0958579	0.2531778	0.25	0.12
C3L-04013	23.5207659093024	25.7374226120412	0.21780372843093793	-0.2256866613737658	-1.3722038352656496	6.7344	-0.3240165929395287	-1.6179837245421473	4597.709	3226.908	7824.618	0.100586828	0.0	0.009091492	0.81	0.789
C3N-00221	23.7848181205506	26.2793740973143	0.14894777460336192	0.5885943928551594	-1.2913535442304158	6.777	-1.0254139993018587	-2.1200164707312688	4988.409	5409.469	10397.878	0.084725217	9.575614e-19	0.02174243	0.98	0.639
C3L-00568	23.2254556671526	26.7965815431153	-0.5253029765146295	-0.736931077330194	0.5832150929511225	9.2417	0.8951130651631638	0.38135367052967156	8672.287	8547.554	17219.84	0.24707603	0.04856318	0.2021776	0.26	0.27
C3N-04155	24.0322947186033	27.1097666782384	0.14338914819880047	0.7247067293108037	-0.9554945367179322	6.8151	-1.36277147889423	-0.9862914761768453	5383.495	5150.6	10534.095	0.076958203	0.0	0.02242233	0.52	0.535
C3N-01025	23.5956467045868	27.155400802916	0.04220972947491995	0.6153140750273745	-1.0727072551182588	7.0344	-0.5921769899202446	-1.583388614285552	6033.961	5744.575	11778.536	0.07752396	0.003701449	0.06767075	0.48	0.5125
C3L-02552	22.5548587541889	26.8128934813492	-0.1905434151099087	-0.6649130537868461	0.47784517168882107	8.7922	0.5064485145534185	0.2754514103519142	9414.895	9985.291	19400.186	0.094370076	0.03630093	0.2160659	0.22	0.06
C3N-02375	23.2647180631334	27.8549356043925	0.057457287076720216	0.4833966707892123	-0.04351672184122062	8.2421	0.048971388442073556	0.11233464239764845	7092.818	4942.11	12034.927	0.147718176	0.0009235531	0.07929861	0.72	0.4875
C3L-02660	22.4242054248842	26.4088979404822	0.5387987676684202	0.10491156020298015	0.07643835875252863	8.9615	0.4689699789893541	0.025689935784873757	8922.612	8919.477	17842.089	0.188477928	0.02531196	0.1459157	0.26	0.085
C3L-01884	23.2115673843999	28.1758984790857	-0.040981630468132885	0.30841319973153786	0.22074032977519895	8.3822	0.14396726192778692	0.6735743345331189	7808.358	6167.161	13975.519	0.100457118	0.001505387	0.05823093	0.5	0.35
C3N-02300	22.9360743273508	27.1429126946072	-0.22255620378183963	-0.05391157879003983	0.10984581197181852	8.7025	0.4150099396545552	0.30760745876521284	7963.141	7314.663	15277.805	0.19243412	0.002038334	0.08750988	0.4	0.255
C3L-01285	22.995685338783	25.7294977480635	-0.16561388549560294	-0.2232314619568044	-1.287017019408986	7.1529	-1.5403180287681553	-1.4157821170927347	4336.494	4517.815	8854.309	0.1131746	6.581039e-18	0.02096027	0.84	0.82
C3L-02627	23.6479950617919	28.5358770289218	0.9745263549811308	1.3697564869075365	0.28492080165278855	8.482	0.14096209579817648	0.2688169821763159	7980.1	5583.639	13563.739	0.220044287	0.01223363	0.08624878	0.72	0.555
C3L-00993	23.5695982132843	27.2785769043735	0.04211058455859309	-0.005968101407815172	-0.9746059941605046	6.7853	-1.1752064764525207	-0.9287373565830789	5587.678	4658.413	10246.091	0.046117639	3.9716409999999997e-19	0.0305776	0.39	0.4
C3N-02425	24.5894811362765	28.2004555556803	-0.15456749208342915	0.3829998284883498	-0.9366907422923725	7.4429	-0.7520706427795616	-0.3376970210996942	6465.132	4796.394	11261.526	0.14307995	0.01662836	0.06677619	0.51	0.57
C3L-02170	23.3209524342765	26.7488149076604	0.29082523035393826	0.16462567663709163	0.1374703471668072	8.8019	0.47750182239313943	0.10132740104911712	9744.675	9208.055	18952.73	0.133100676	0.0252511	0.259718	0.22	
C3N-00555	23.7092231221	27.4495169983643	-0.21398391944280976	-0.05514658718359733	-0.4367715492742657	8.1429	-0.04225171253933738	-0.5638815405272919	7720.89	6046.756	13767.645	0.106353896	0.02460518	0.144921	0.31	0.3175
C3N-01893	23.7116684907201	27.3672774254676	0.49292165892274176	0.6837929289008269	0.8089470248133209	9.5319	1.1106362759774555	0.973344316174696	9983.613	8094.583	18078.196	0.185575307	0.04035115	0.2689334	0.25	0.25
C3N-03093	22.4777237000922	26.0177823043277	-0.7512511884598194	-1.116579180329052	1.1553147806142432	9.4418	0.8982006285107424	1.9046889903171762	10169.094	7936.537	18105.631	0.21606693	0.03403829	0.3231706	0.38	0.088
C3L-01455	22.4740539575817	27.2679481152622	0.09292214482757842	-0.055444299959859535	1.152104323035996	10.0218	1.456660312986398	2.067762514456337	9967.585	8987.384	18954.969	0.177431257	0.07859038	0.2202312	0.23	0.135
C3N-03848	23.3630820274328	27.0134302166464	0.2875261796412495	0.053483677914046325	0.5737102903330652	8.6516	0.41482081931217124	0.5302942791635783	10303.099	9140.139	19443.238	0.12717188	0.04756052	0.404833		0.05
C3L-02968	23.8963403726374	26.5540528818581	-0.12666272986319857	-0.36197739250949496	0.5850422275145578	8.8221	0.7479953740844918	0.7283890130068009	9705.244	7366.97	17072.214	0.14776261	0.02717178	0.3228638	0.28	0.305
C3N-03204	23.3385931020081	28.1698276925996	-0.017807388952985153	0.29054917389400736	-0.77656184599078	7.0644	-1.0565522217977406	-0.7320785023637706	5996.253	5643.62	11639.873	0.086974045	8.083852999999999e-20	0.02339405	0.66	0.5075
C3L-00445	22.8310756672023	26.6555841844485	-0.283804801816207	-0.35423969170456343	-0.5230123177315789	7.0931	-0.20531149534953314	-1.016760667632095	6793.207	7449.889	14243.096	0.035290282	0.0	0.06698945	0.6	0.41
C3N-02283	24.0201077396716	25.9759906714309	0.3882982905509261	-0.3521135771342647	-1.7993772301186008	7.6141	-0.2572950612308474	-1.624893596555385	2110.664	2885.259	4995.923	0.226985357	6.059934e-18	0.005576359	0.87	0.85
C3N-02289	23.6214719809024	26.3541959984771	-0.000601868487883834	-0.2035033335237003	0.01220048937639036	7.9524	0.2316449563995011	0.1704224710480615	8842.926	9024.277	17867.203	0.093162329	0.004064286	0.1737259	0.24	0.11
C3L-03962	23.6841690926988	26.3206889153287	-0.17597451636236291	-0.013164451158698964	-1.3822267541836704	6.6541	0.6896627992261641	-1.899359725051887	5329.551	5720.051	11049.602	0.063905291	0.03813604	0.06205248	0.53	0.375
C3L-03272	22.820214080924	27.1699492098038	-0.3253738260459433	0.007858524603452302	0.02541012668236523	8.5721	0.15042024178630886	-0.5272421107342209	7818.031	5816.451	13634.483	0.26386772	0.02298511	0.1454767	0.37	
C3N-01411	23.0982505758457	26.9990290616694	-0.5175216926707596	-0.34241069689711545	-0.7396214160210781	8.1825	-0.12324622135333552	-0.5391696450683635	6712.241	6207.132	12919.374	0.29831133	3.270343e-18	0.02986698	0.74	0.58
C3L-00415	23.341795351126	27.5192400274617	0.3201359990098426	-0.036618363765941665	-0.26755985557446477	7.7928	-0.2940006770526094	-0.3212682756475105	8259.383	5422.17	13681.553	0.15404999	0.004489071	0.1688526	0.29	0.185
C3N-03882	24.32715616234	28.783787445002	0.4199056381652037	1.518935703677981	-1.519875840980338	6.3847	-1.9860662077311197	-2.4933271777292365	5055.524	3436.861	8492.385	0.02231677	3.352383e-18	0.03304869	0.78	0.755
C3L-01000	22.79936032215	26.6232170098976	1.2210774946187608	0.7219143795012783	0.6921095210191358	9.5719	1.3446291716892067	0.733254627469434	9179.497	7488.44	16667.937	0.2649852	0.06094481	0.1913677	0.37	0.3275
C3L-02650	23.3649199464823	27.4005642384607	0.5373207093402738	0.7070806995871877	0.3100069187592136	8.5924	0.11916583733321617	0.1197398226118789	9412.736	7874.455	17287.191	0.154467291	0.004594769	0.2502484	0.29	0.15
C3L-02358	23.2177146621091	27.3892584040466	0.07078740326843755	0.20718557690208686	-0.5848553172131736	7.6126	-0.5857210502856398	-0.37244485782151016	6676.464	6356.983	13033.447	0.112276062	2.590862e-18	0.026396	0.84	0.4875
C3L-02168	24.0485068781566	26.4578545128229	-0.2715133046799973	-0.03155165760809268	-0.25487119365461514	7.583	-0.47107763419074433	-0.7340463888665327	7909.089	8612.224	16521.313	0.11525588	0.0	0.1395307	0.34	0.3425
C3L-02625		27.6342723405386	-0.9036447763770519	-0.8080553187996495	1.0762050180555542	9.6018	0.9569913337171979	0.6546990587875889	9750.545	7038.454	16788.999	0.21887288	0.08203321	0.3294276	0.31	0.3025
C3N-01028		26.6229236610237	-0.17135974792669936	-0.3040614151824692	0.3436759016249402	8.8119	0.3043215841151634	0.5995227027179653	9208.621	7590.236	16798.856	0.12901608	0.0208008	0.278538	0.28	0.3
C3N-02435		27.0511801854562	0.296025598105396	-0.09875625818597081	-0.20363063370663015	7.5518	-0.5242563695613911	-0.1711482884450256	6659.487	7688.434	14347.921	0.16344219	0.00408122	0.04317873	0.72	0.43
C3N-03441		26.1871701362753	0.6898557325491381	0.6124880241831746	-0.04432538728761583	8.2128	-0.13741792962355787	-0.2079220393069422	8922.842	7653.322	16576.164	0.190207667	0.003742571	0.2131155	0.25	0.14
C3L-04071		26.4778635078131	-0.21187038084068527	-0.19308791236607312	1.0088407906497923	9.1125	0.6950328765397549	1.7249095364382145	9840.928	8886.905	18727.833	0.1281564683	0.0450677	0.2971513	0.25	0.1375
C3N-01020		26.0916036190654	0.5894114257385225	0.3795684405505969	0.7381769119891562	9.272	0.6616461374828031	0.968934335388264	10384.542	8078.601	18463.143	0.17941255	0.0	0.3221533	0.29	0.16
C3N-00497		26.1429471579126	-0.5561170751237076	-0.8626139672132196	1.3209851056184485	10.4267	1.769034156422292	1.5351562168617012	10507.332	8279.526	18786.859	0.40796018	0.1307454	0.4340012	0.29	0.165
C3N-01194		27.6089558364228	-0.22977690855135005	-0.2464497772413723	1.0248859618774104	9.9918	1.5585254305113077	1.3202887231550955	9933.672	7258.843	17192.514	0.334796976	0.1385308	0.391132	0.26	0.15
C3L-02648		27.9008440004914	0.2481953320854087	0.03697042517222191	0.10249352479632598	7.9724	-0.2677873107022237	0.20599441481354597	8056.701	7074.411	15131.112	0.1820035312	0.001127282	0.0739786	0.46	0.2175
C3L-03678		27.1357947100944	0.3024114413429749	0.7071500610347361	-0.09244104544211842	8.0219	0.2764409070691092	-0.029998181606031734	6987.016	6150.23	13137.247	0.140829307	0.01056149	0.06252093	0.5	0.3775
C3L-02891	23.2160790889662	26.9051725243913	0.1796286939054043	0.2134419529797813	0.5387365875159159	8.3824	0.09879407917016932	0.3456883016054433	9378.037	8370.693	17748.73	0.10545604	0.01518391	0.2667599	0.22	0.26
C3L-00927	23.7815691449603	27.9490022214213	0.16611376585353518	0.21071904416138124	-0.19860613308697928	6.915	-1.2662909683740597	0.6793888086966932	7639.183	6247.993	13887.176	0.053928562	0.00337319	0.06646236	0.64	0.645
C3N-03886	23.4210929266287	25.3697590351574	0.21603747168346552	0.36440018098070726	-1.05199282891276	7.0698	-0.8270574249257338	-1.4794368900459633	4835.229	4298.355	9133.584	0.136747644	7.475757999999999e-19	0.01907854	0.83	0.71
C3L-04014	23.3201685319148	26.7776900570833	0.3050153673868171	0.3680898250563	-0.03598408120642116	8.0128	0.9804113444552726	0.46441304617804235	7592.101	6710.22	14302.32	0.121003892	0.0135635	0.1033038	0.36	0.235
C3N-03076	23.6769181145934	26.3396081700546	-0.018566036783143385	0.009974693135394008	-0.4323076378078687	7.6429	-0.42238580664049785	-1.0988187610533426	7528.236	8170.005	15698.242	0.0592605	0.02120632	0.1721463	0.37	0.33
C3N-03425		26.8826783323932	-0.09286482913945981	-0.45403274605413574	-0.059767526383690255	7.7225	-0.9224688767547309	-0.07626447821929935	8020.425	6717.064	14737.489	0.0	0.0	0.1345739	0.28	0.28
C3L-02163		27.8257814837125	-0.16555330873278087	0.192592715151711	-0.7463388939931918	7.4538	-0.7375054982617533	-0.991165266802603	4994.674	5303.91	10298.584	0.174845968	0.0	0.01956884	0.62	0.6575
C3N-04124		26.8111564240592	-0.2819685898832264	-0.5521277932501075	0.6695763409114112	8.1916	-0.08302104068836035	0.0358310767660677	8691.201	8585.849	17277.05	0.18566206	0.01303882	0.1884983	0.7	0.225
C3L-00904		27.0587721972649	-0.28544041995307423	-0.49426186059190425	0.613087568686818	9.6815	1.0889147959988374	1.119187298302543	8722.277	7566.733	16289.01	0.22216611	0.05628502	0.157084	0.42	0.3525
C3N-00211		26.9510889541525	0.01175562570284076	-0.15657974789315968	-0.5264870729902734	6.446	-1.5281936910293228	-0.44787489410364306	7140.634	8800.045	15940.68	0.030144843	0.002585544	0.08788637	0.26	0.26
C3N-01892		25.9489469808813	-0.4937314461835477	-0.6793842238216816	0.5901231136040708	9.1821	0.731261391972259	0.7005909707664976	8797.714	8290.336	17088.05	0.322088843	0.02572839	0.1884289	0.32	0.32
C3L-00603		24.8441245365842	-0.2256623085619386	-0.564026430312096	0.26848049784241484	9.4319	1.3118864154104575	0.5896484337823685	7953.441	5857.784	13811.225	0.341589576	0.03715093	0.08596306	0.68	0.635
C3L-03965		26.1503517542189	0.43048092599002047	0.44519943787889477	-0.44965538105594316	7.6936	-0.583355662766428	-0.6911339815732218	7115.069	6945.148	14060.216	0.15589797	3.5568109999999998e-19	0.0876817	0.42	0.455
C3N-03851		24.7263245301587	0.1270990313966334	-0.4568407746784507	-0.05744885760271133	8.5321	0.007582922641452217	0.3459186787160672	6512.201	5854.695	12366.896	0.217370563	0.05741686	0.1075925	0.48	0.48
C3L-02349		27.0957119760776	0.5750301807514613	0.7823175600307017	0.43292449796960186	8.6422	0.46076461486630665	0.3652950618145862	8108.208	5956.399	14064.607	0.243450982	0.005143074	0.1179758	0.87	0.278
